pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SL,"Sánchez, Cristopher",650911,696100,home_run,hit_into_play,Hunter Goodman homers (1) on a fly ball to center field.,2025,Slider
CH,"Sánchez, Cristopher",650911,696100,No event,foul,Hunter Goodman homers (1) on a fly ball to center field.,2025,Changeup
SI,"Sánchez, Cristopher",650911,696100,No event,ball,Hunter Goodman homers (1) on a fly ball to center field.,2025,Sinker
CH,"Sánchez, Cristopher",650911,696100,No event,foul,Hunter Goodman homers (1) on a fly ball to center field.,2025,Changeup
CH,"Sánchez, Cristopher",650911,696100,No event,ball,Hunter Goodman homers (1) on a fly ball to center field.,2025,Changeup
SI,"Sánchez, Cristopher",650911,696100,No event,ball,Hunter Goodman homers (1) on a fly ball to center field.,2025,Sinker
SI,"Sánchez, Cristopher",650911,641857,field_out,hit_into_play,"Ryan McMahon grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Sinker
CH,"Sánchez, Cristopher",650911,641857,No event,ball,"Ryan McMahon grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Changeup
CH,"Sánchez, Cristopher",650911,678662,field_out,hit_into_play,Ezequiel Tovar flies out to left fielder Max Kepler.,2025,Changeup
SI,"Sánchez, Cristopher",650911,678662,No event,swinging_strike,Ezequiel Tovar flies out to left fielder Max Kepler.,2025,Sinker
SI,"Sánchez, Cristopher",650911,678662,No event,ball,Ezequiel Tovar flies out to left fielder Max Kepler.,2025,Sinker
CH,"Sánchez, Cristopher",650911,678662,No event,ball,Ezequiel Tovar flies out to left fielder Max Kepler.,2025,Changeup
CH,"Sánchez, Cristopher",650911,686668,single,hit_into_play,Brenton Doyle singles on a line drive to right fielder Nick Castellanos. Jordan Beck to 2nd.,2025,Changeup
CH,"Sánchez, Cristopher",650911,686668,No event,ball,Brenton Doyle singles on a line drive to right fielder Nick Castellanos. Jordan Beck to 2nd.,2025,Changeup
SI,"Sánchez, Cristopher",650911,686668,No event,called_strike,Brenton Doyle singles on a line drive to right fielder Nick Castellanos. Jordan Beck to 2nd.,2025,Sinker
SI,"Sánchez, Cristopher",650911,687597,single,hit_into_play,Jordan Beck singles on a ground ball to first baseman Bryce Harper.,2025,Sinker
CH,"Sánchez, Cristopher",650911,687597,No event,swinging_strike,Jordan Beck singles on a ground ball to first baseman Bryce Harper.,2025,Changeup
CH,"Sánchez, Cristopher",650911,687597,No event,swinging_strike,Jordan Beck singles on a ground ball to first baseman Bryce Harper.,2025,Changeup
CH,"Sánchez, Cristopher",650911,687597,No event,ball,Jordan Beck singles on a ground ball to first baseman Bryce Harper.,2025,Changeup
CH,"Sánchez, Cristopher",650911,656248,strikeout,swinging_strike,Sean Bouchard strikes out swinging.,2025,Changeup
CH,"Sánchez, Cristopher",650911,656248,No event,ball,Sean Bouchard strikes out swinging.,2025,Changeup
SI,"Sánchez, Cristopher",650911,656248,No event,called_strike,Sean Bouchard strikes out swinging.,2025,Sinker
SI,"Sánchez, Cristopher",650911,656248,No event,foul,Sean Bouchard strikes out swinging.,2025,Sinker
CH,"Sánchez, Cristopher",650911,571657,strikeout,swinging_strike,Kyle Farmer strikes out swinging.,2025,Changeup
CH,"Sánchez, Cristopher",650911,571657,No event,called_strike,Kyle Farmer strikes out swinging.,2025,Changeup
CH,"Sánchez, Cristopher",650911,571657,No event,ball,Kyle Farmer strikes out swinging.,2025,Changeup
SI,"Sánchez, Cristopher",650911,571657,No event,called_strike,Kyle Farmer strikes out swinging.,2025,Sinker
SI,"Sánchez, Cristopher",650911,571657,No event,ball,Kyle Farmer strikes out swinging.,2025,Sinker
SI,"Sánchez, Cristopher",650911,669911,strikeout,called_strike,Michael Toglia called out on strikes.,2025,Sinker
SI,"Sánchez, Cristopher",650911,669911,No event,ball,Michael Toglia called out on strikes.,2025,Sinker
CH,"Sánchez, Cristopher",650911,669911,No event,foul,Michael Toglia called out on strikes.,2025,Changeup
CH,"Sánchez, Cristopher",650911,669911,No event,swinging_strike,Michael Toglia called out on strikes.,2025,Changeup
CH,"Sánchez, Cristopher",650911,669911,No event,ball,Michael Toglia called out on strikes.,2025,Changeup
SL,"Sánchez, Cristopher",650911,669911,No event,foul,Michael Toglia called out on strikes.,2025,Slider
CH,"Sánchez, Cristopher",650911,592178,strikeout,swinging_strike,Kris Bryant strikes out swinging.,2025,Changeup
