pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
EP,"Stubbs, Garrett",596117,640902,grounded_into_double_play,hit_into_play,"Jhonny Pereda grounds into a double play, shortstop Bryson Stott to second baseman Buddy Kennedy to first baseman Kody Clemens. Javier Sanoja out at 2nd. Jhonny Pereda out at 1st.",2024,Eephus
FA,"Stubbs, Garrett",596117,640902,No event,ball,"Jhonny Pereda grounds into a double play, shortstop Bryson Stott to second baseman Buddy Kennedy to first baseman Kody Clemens. Javier Sanoja out at 2nd. Jhonny Pereda out at 1st.",2024,Other
EP,"Stubbs, Garrett",596117,640902,No event,foul,"Jhonny Pereda grounds into a double play, shortstop Bryson Stott to second baseman Buddy Kennedy to first baseman Kody Clemens. Javier Sanoja out at 2nd. Jhonny Pereda out at 1st.",2024,Eephus
EP,"Stubbs, Garrett",596117,640902,No event,called_strike,"Jhonny Pereda grounds into a double play, shortstop Bryson Stott to second baseman Buddy Kennedy to first baseman Kody Clemens. Javier Sanoja out at 2nd. Jhonny Pereda out at 1st.",2024,Eephus
EP,"Stubbs, Garrett",596117,691594,force_out,hit_into_play,"Javier Sanoja grounds into a force out, second baseman Buddy Kennedy to shortstop Bryson Stott. Griffin Conine out at 2nd. Javier Sanoja to 1st.",2024,Eephus
EP,"Stubbs, Garrett",596117,665052,single,hit_into_play,Griffin Conine singles on a sharp line drive to center fielder Brandon Marsh.,2024,Eephus
FA,"Stubbs, Garrett",596117,665052,No event,ball,Griffin Conine singles on a sharp line drive to center fielder Brandon Marsh.,2024,Other
EP,"Stubbs, Garrett",596117,665052,No event,called_strike,Griffin Conine singles on a sharp line drive to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,668227,field_out,hit_into_play,"Randy Arozarena grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2024,Eephus
FA,"Stubbs, Garrett",596117,687799,field_out,hit_into_play,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Other
EP,"Stubbs, Garrett",596117,687799,No event,foul,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Eephus
EP,"Stubbs, Garrett",596117,687799,No event,ball,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Eephus
FA,"Stubbs, Garrett",596117,687799,No event,ball,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Other
EP,"Stubbs, Garrett",596117,687799,No event,called_strike,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Eephus
EP,"Stubbs, Garrett",596117,687799,No event,called_strike,"Cade Marlowe grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2024,Eephus
EP,"Stubbs, Garrett",596117,660844,field_out,hit_into_play,Leo Rivas pops out to shortstop Edmundo Sosa.,2024,Eephus
EP,"Stubbs, Garrett",596117,660844,No event,ball,Leo Rivas pops out to shortstop Edmundo Sosa.,2024,Eephus
EP,"Stubbs, Garrett",596117,660844,No event,called_strike,Leo Rivas pops out to shortstop Edmundo Sosa.,2024,Eephus
EP,"Stubbs, Garrett",596117,518934,field_out,hit_into_play,DJ LeMahieu flies out to left fielder Austin Hays.,2024,Eephus
EP,"Stubbs, Garrett",596117,650402,field_out,hit_into_play,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,650402,No event,foul,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
FA,"Stubbs, Garrett",596117,650402,No event,ball,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Other
EP,"Stubbs, Garrett",596117,650402,No event,foul,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,650402,No event,ball,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,650402,No event,ball,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,650402,No event,called_strike,Gleyber Torres lines out to center fielder Brandon Marsh.,2024,Eephus
EP,"Stubbs, Garrett",596117,665862,home_run,hit_into_play,Jazz Chisholm Jr. homers (15) on a fly ball to right center field. Giancarlo Stanton scores.,2024,Eephus
EP,"Stubbs, Garrett",596117,665862,No event,foul,Jazz Chisholm Jr. homers (15) on a fly ball to right center field. Giancarlo Stanton scores.,2024,Eephus
