pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SL,"Luzardo, Jesús",666200,605137,strikeout,swinging_strike,Josh Bell strikes out swinging.,2025,Slider
SL,"Luzardo, Jesús",666200,605137,No event,swinging_strike,Josh Bell strikes out swinging.,2025,Slider
CH,"Luzardo, Jesús",666200,605137,No event,ball,Josh Bell strikes out swinging.,2025,Changeup
CH,"Luzardo, Jesús",666200,605137,No event,called_strike,Josh Bell strikes out swinging.,2025,Changeup
ST,"Luzardo, Jesús",666200,695578,double,hit_into_play,James Wood doubles (1) on a sharp line drive to left fielder Max Kepler.,2025,Sweeper
ST,"Luzardo, Jesús",666200,695578,No event,foul,James Wood doubles (1) on a sharp line drive to left fielder Max Kepler.,2025,Sweeper
SI,"Luzardo, Jesús",666200,695578,No event,foul,James Wood doubles (1) on a sharp line drive to left fielder Max Kepler.,2025,Sinker
SL,"Luzardo, Jesús",666200,686611,strikeout,swinging_strike,Dylan Crews strikes out swinging.,2025,Slider
ST,"Luzardo, Jesús",666200,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,Sweeper
FF,"Luzardo, Jesús",666200,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,682928,strikeout,swinging_strike,CJ Abrams strikes out swinging.,2025,Sweeper
SI,"Luzardo, Jesús",666200,682928,No event,foul,CJ Abrams strikes out swinging.,2025,Sinker
ST,"Luzardo, Jesús",666200,682928,No event,ball,CJ Abrams strikes out swinging.,2025,Sweeper
ST,"Luzardo, Jesús",666200,682928,No event,called_strike,CJ Abrams strikes out swinging.,2025,Sweeper
ST,"Luzardo, Jesús",666200,682928,No event,ball,CJ Abrams strikes out swinging.,2025,Sweeper
SI,"Luzardo, Jesús",666200,696285,force_out,hit_into_play,"Jacob Young grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Paul DeJong out at 2nd.",2025,Sinker
FF,"Luzardo, Jesús",666200,657557,walk,ball,Paul DeJong walks.,2025,4-Seam Fastball
CH,"Luzardo, Jesús",666200,657557,No event,ball,Paul DeJong walks.,2025,Changeup
FF,"Luzardo, Jesús",666200,657557,No event,ball,Paul DeJong walks.,2025,4-Seam Fastball
CH,"Luzardo, Jesús",666200,657557,No event,swinging_strike,Paul DeJong walks.,2025,Changeup
CH,"Luzardo, Jesús",666200,657557,No event,ball,Paul DeJong walks.,2025,Changeup
ST,"Luzardo, Jesús",666200,657557,No event,called_strike,Paul DeJong walks.,2025,Sweeper
SL,"Luzardo, Jesús",666200,660688,strikeout,foul_tip,Keibert Ruiz strikes out on a foul tip.,2025,Slider
CH,"Luzardo, Jesús",666200,660688,No event,foul,Keibert Ruiz strikes out on a foul tip.,2025,Changeup
SL,"Luzardo, Jesús",666200,660688,No event,ball,Keibert Ruiz strikes out on a foul tip.,2025,Slider
SI,"Luzardo, Jesús",666200,660688,No event,called_strike,Keibert Ruiz strikes out on a foul tip.,2025,Sinker
FF,"Luzardo, Jesús",666200,660688,No event,called_strike,Keibert Ruiz strikes out on a foul tip.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,663993,strikeout,swinging_strike,Nathaniel Lowe strikes out swinging.,2025,Sweeper
FF,"Luzardo, Jesús",666200,663993,No event,foul,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,663993,No event,ball,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,663993,No event,foul,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,663993,No event,ball,Nathaniel Lowe strikes out swinging.,2025,Sweeper
FF,"Luzardo, Jesús",666200,663993,No event,swinging_strike,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,663993,No event,called_strike,Nathaniel Lowe strikes out swinging.,2025,Sweeper
FF,"Luzardo, Jesús",666200,642708,field_out,hit_into_play,Amed Rosario flies out to left fielder Max Kepler.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,642708,No event,ball,Amed Rosario flies out to left fielder Max Kepler.,2025,4-Seam Fastball
CH,"Luzardo, Jesús",666200,642708,No event,swinging_strike,Amed Rosario flies out to left fielder Max Kepler.,2025,Changeup
CH,"Luzardo, Jesús",666200,642708,No event,ball,Amed Rosario flies out to left fielder Max Kepler.,2025,Changeup
FF,"Luzardo, Jesús",666200,605137,field_out,hit_into_play,Josh Bell pops out to second baseman Bryson Stott.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,605137,No event,foul_tip,Josh Bell pops out to second baseman Bryson Stott.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,605137,No event,called_strike,Josh Bell pops out to second baseman Bryson Stott.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,695578,single,hit_into_play,James Wood singles on a sharp ground ball to third baseman Alec Bohm.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,695578,No event,ball,James Wood singles on a sharp ground ball to third baseman Alec Bohm.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,695578,No event,foul_tip,James Wood singles on a sharp ground ball to third baseman Alec Bohm.,2025,Sweeper
ST,"Luzardo, Jesús",666200,695578,No event,ball,James Wood singles on a sharp ground ball to third baseman Alec Bohm.,2025,Sweeper
ST,"Luzardo, Jesús",666200,695578,No event,called_strike,James Wood singles on a sharp ground ball to third baseman Alec Bohm.,2025,Sweeper
SL,"Luzardo, Jesús",666200,686611,strikeout,called_strike,Dylan Crews called out on strikes.,2025,Slider
FF,"Luzardo, Jesús",666200,686611,No event,foul,Dylan Crews called out on strikes.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,686611,No event,swinging_strike,Dylan Crews called out on strikes.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,686611,No event,ball,Dylan Crews called out on strikes.,2025,4-Seam Fastball
SI,"Luzardo, Jesús",666200,686611,No event,ball,Dylan Crews called out on strikes.,2025,Sinker
ST,"Luzardo, Jesús",666200,682928,strikeout,swinging_strike,CJ Abrams strikes out swinging.,2025,Sweeper
SI,"Luzardo, Jesús",666200,682928,No event,foul,CJ Abrams strikes out swinging.,2025,Sinker
SI,"Luzardo, Jesús",666200,682928,No event,called_strike,CJ Abrams strikes out swinging.,2025,Sinker
SL,"Luzardo, Jesús",666200,682928,No event,ball,CJ Abrams strikes out swinging.,2025,Slider
SI,"Luzardo, Jesús",666200,696285,walk,ball,Jacob Young walks.,2025,Sinker
FF,"Luzardo, Jesús",666200,696285,No event,ball,Jacob Young walks.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,696285,No event,ball,Jacob Young walks.,2025,4-Seam Fastball
SL,"Luzardo, Jesús",666200,696285,No event,ball,Jacob Young walks.,2025,Slider
SI,"Luzardo, Jesús",666200,696285,No event,called_strike,Jacob Young walks.,2025,Sinker
SL,"Luzardo, Jesús",666200,657557,strikeout,swinging_strike,Paul DeJong strikes out swinging.,2025,Slider
SL,"Luzardo, Jesús",666200,657557,No event,ball,Paul DeJong strikes out swinging.,2025,Slider
FF,"Luzardo, Jesús",666200,657557,No event,ball,Paul DeJong strikes out swinging.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,657557,No event,foul,Paul DeJong strikes out swinging.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,657557,No event,swinging_strike,Paul DeJong strikes out swinging.,2025,Sweeper
CH,"Luzardo, Jesús",666200,660688,home_run,hit_into_play,Keibert Ruiz homers (2) on a fly ball to left center field. Amed Rosario scores.,2025,Changeup
FF,"Luzardo, Jesús",666200,660688,No event,ball,Keibert Ruiz homers (2) on a fly ball to left center field. Amed Rosario scores.,2025,4-Seam Fastball
ST,"Luzardo, Jesús",666200,663993,strikeout,swinging_strike,Nathaniel Lowe strikes out swinging.,2025,Sweeper
ST,"Luzardo, Jesús",666200,663993,No event,blocked_ball,Nathaniel Lowe strikes out swinging.,2025,Sweeper
FF,"Luzardo, Jesús",666200,663993,No event,foul,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
FF,"Luzardo, Jesús",666200,663993,No event,swinging_strike,Nathaniel Lowe strikes out swinging.,2025,4-Seam Fastball
SI,"Luzardo, Jesús",666200,663993,No event,called_strike,Nathaniel Lowe strikes out swinging.,2025,Sinker
SL,"Luzardo, Jesús",666200,642708,single,hit_into_play,Amed Rosario singles on a ground ball to third baseman Alec Bohm.,2025,Slider
CH,"Luzardo, Jesús",666200,642708,No event,ball,Amed Rosario singles on a ground ball to third baseman Alec Bohm.,2025,Changeup
CH,"Luzardo, Jesús",666200,642708,No event,called_strike,Amed Rosario singles on a ground ball to third baseman Alec Bohm.,2025,Changeup
FF,"Luzardo, Jesús",666200,642708,No event,foul,Amed Rosario singles on a ground ball to third baseman Alec Bohm.,2025,4-Seam Fastball
CH,"Luzardo, Jesús",666200,605137,field_out,hit_into_play,"Josh Bell grounds out, pitcher Jesús Luzardo to first baseman Bryce Harper.",2025,Changeup
