pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
EP,"Clemens, Kody",665019,621438,field_out,hit_into_play,Tyrone Taylor lines out to center fielder Johan Rojas.,2024,Eephus
EP,"Clemens, Kody",665019,621438,No event,ball,Tyrone Taylor lines out to center fielder Johan Rojas.,2024,Eephus
EP,"Clemens, Kody",665019,578428,single,hit_into_play,Jose Iglesias singles on a sharp line drive to center fielder Johan Rojas.   Jesse Winker to 3rd.,2024,Eephus
EP,"Clemens, Kody",665019,578428,No event,called_strike,Jose Iglesias singles on a sharp line drive to center fielder Johan Rojas.   Jesse Winker to 3rd.,2024,Eephus
EP,"Clemens, Kody",665019,608385,walk,ball,Jesse Winker walks.,2024,Eephus
EP,"Clemens, Kody",665019,608385,No event,ball,Jesse Winker walks.,2024,Eephus
EP,"Clemens, Kody",665019,608385,No event,ball,Jesse Winker walks.,2024,Eephus
EP,"Clemens, Kody",665019,608385,No event,ball,Jesse Winker walks.,2024,Eephus
EP,"Clemens, Kody",665019,608385,No event,called_strike,Jesse Winker walks.,2024,Eephus
EP,"Clemens, Kody",665019,624413,home_run,hit_into_play,Pete Alonso homers (32) on a fly ball to center field.,2024,Eephus
EP,"Clemens, Kody",665019,624413,No event,foul,Pete Alonso homers (32) on a fly ball to center field.,2024,Eephus
EP,"Clemens, Kody",665019,624413,No event,called_strike,Pete Alonso homers (32) on a fly ball to center field.,2024,Eephus
EP,"Clemens, Kody",665019,624413,No event,ball,Pete Alonso homers (32) on a fly ball to center field.,2024,Eephus
EP,"Clemens, Kody",665019,607043,field_out,hit_into_play,Brandon Nimmo flies out to left fielder Cal Stevenson.,2024,Eephus
EP,"Clemens, Kody",665019,668901,field_out,hit_into_play,Mark Vientos lines out to left fielder Cal Stevenson.,2024,Eephus
EP,"Clemens, Kody",665019,668901,No event,ball,Mark Vientos lines out to left fielder Cal Stevenson.,2024,Eephus
