pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SL,"Strahm, Matt",621381,678662,strikeout,swinging_strike,Ezequiel Tovar strikes out swinging.,2025,Slider
CH,"Strahm, Matt",621381,678662,No event,foul,Ezequiel Tovar strikes out swinging.,2025,Changeup
SL,"Strahm, Matt",621381,678662,No event,ball,Ezequiel Tovar strikes out swinging.,2025,Slider
FF,"Strahm, Matt",621381,678662,No event,foul,Ezequiel Tovar strikes out swinging.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,678662,No event,foul,Ezequiel Tovar strikes out swinging.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,678662,No event,swinging_strike,Ezequiel Tovar strikes out swinging.,2025,4-Seam Fastball
CH,"Strahm, Matt",621381,678662,No event,blocked_ball,Ezequiel Tovar strikes out swinging.,2025,Changeup
SL,"Strahm, Matt",621381,678662,No event,foul,Ezequiel Tovar strikes out swinging.,2025,Slider
SI,"Strahm, Matt",621381,686668,walk,ball,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,Sinker
FF,"Strahm, Matt",621381,686668,No event,ball,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,686668,No event,foul,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,686668,No event,foul_tip,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,686668,No event,ball,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,686668,No event,ball,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,4-Seam Fastball
SL,"Strahm, Matt",621381,686668,No event,foul,Brenton Doyle walks. Kyle Farmer to 2nd.,2025,Slider
FF,"Strahm, Matt",621381,687597,strikeout,called_strike,Jordan Beck called out on strikes.,2025,4-Seam Fastball
SL,"Strahm, Matt",621381,687597,No event,foul,Jordan Beck called out on strikes.,2025,Slider
SL,"Strahm, Matt",621381,687597,No event,ball,Jordan Beck called out on strikes.,2025,Slider
FF,"Strahm, Matt",621381,687597,No event,ball,Jordan Beck called out on strikes.,2025,4-Seam Fastball
SL,"Strahm, Matt",621381,687597,No event,foul,Jordan Beck called out on strikes.,2025,Slider
FF,"Strahm, Matt",621381,687597,No event,ball,Jordan Beck called out on strikes.,2025,4-Seam Fastball
FC,"Strahm, Matt",621381,687597,No event,foul,Jordan Beck called out on strikes.,2025,Cutter
FF,"Strahm, Matt",621381,571657,walk,ball,Kyle Farmer walks.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,571657,No event,called_strike,Kyle Farmer walks.,2025,4-Seam Fastball
FF,"Strahm, Matt",621381,571657,No event,ball,Kyle Farmer walks.,2025,4-Seam Fastball
SL,"Strahm, Matt",621381,571657,No event,ball,Kyle Farmer walks.,2025,Slider
FC,"Strahm, Matt",621381,571657,No event,ball,Kyle Farmer walks.,2025,Cutter
SI,"Strahm, Matt",621381,571657,No event,called_strike,Kyle Farmer walks.,2025,Sinker
FF,"Strahm, Matt",621381,656248,field_out,hit_into_play,Sean Bouchard pops out to third baseman Alec Bohm in foul territory.,2025,4-Seam Fastball
SI,"Strahm, Matt",621381,656248,No event,ball,Sean Bouchard pops out to third baseman Alec Bohm in foul territory.,2025,Sinker
SI,"Strahm, Matt",621381,671277,field_out,hit_into_play,Luis García Jr. pops out to third baseman Alec Bohm.,2025,Sinker
SL,"Strahm, Matt",621381,695578,strikeout,called_strike,James Wood called out on strikes.,2025,Slider
FF,"Strahm, Matt",621381,695578,No event,foul,James Wood called out on strikes.,2025,4-Seam Fastball
SL,"Strahm, Matt",621381,695578,No event,ball,James Wood called out on strikes.,2025,Slider
SI,"Strahm, Matt",621381,695578,No event,foul,James Wood called out on strikes.,2025,Sinker
SL,"Strahm, Matt",621381,682928,field_out,hit_into_play,CJ Abrams flies out to right fielder Nick Castellanos. Jacob Young to 3rd.,2025,Slider
FC,"Strahm, Matt",621381,682928,No event,called_strike,CJ Abrams flies out to right fielder Nick Castellanos. Jacob Young to 3rd.,2025,Cutter
SI,"Strahm, Matt",621381,682928,No event,called_strike,CJ Abrams flies out to right fielder Nick Castellanos. Jacob Young to 3rd.,2025,Sinker
CH,"Strahm, Matt",621381,696285,double,hit_into_play,Jacob Young doubles (1) on a line drive to center fielder Johan Rojas.,2025,Changeup
FC,"Strahm, Matt",621381,696285,No event,foul,Jacob Young doubles (1) on a line drive to center fielder Johan Rojas.,2025,Cutter
SL,"Strahm, Matt",621381,696285,No event,ball,Jacob Young doubles (1) on a line drive to center fielder Johan Rojas.,2025,Slider
SL,"Strahm, Matt",621381,696285,No event,called_strike,Jacob Young doubles (1) on a line drive to center fielder Johan Rojas.,2025,Slider
SL,"Strahm, Matt",621381,682928,field_out,hit_into_play,"CJ Abrams grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Slider
SI,"Strahm, Matt",621381,682928,No event,called_strike,"CJ Abrams grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Sinker
SL,"Strahm, Matt",621381,682928,No event,called_strike,"CJ Abrams grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Slider
