pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
FF,"Johnson, Seth",686751,543877,field_out,hit_into_play,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,4-Seam Fastball
FF,"Johnson, Seth",686751,543877,No event,foul,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,4-Seam Fastball
FF,"Johnson, Seth",686751,543877,No event,foul,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,4-Seam Fastball
SL,"Johnson, Seth",686751,543877,No event,foul,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,Slider
SL,"Johnson, Seth",686751,543877,No event,foul,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,Slider
FF,"Johnson, Seth",686751,543877,No event,ball,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,4-Seam Fastball
SL,"Johnson, Seth",686751,543877,No event,ball,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,Slider
FF,"Johnson, Seth",686751,543877,No event,called_strike,Christian Vázquez flies out to left fielder Rodolfo Castro.,2025,4-Seam Fastball
SL,"Johnson, Seth",686751,664034,field_out,hit_into_play,Ty France lines out to right fielder Cal Stevenson.,2025,Slider
SL,"Johnson, Seth",686751,664034,No event,ball,Ty France lines out to right fielder Cal Stevenson.,2025,Slider
FF,"Johnson, Seth",686751,664034,No event,foul,Ty France lines out to right fielder Cal Stevenson.,2025,4-Seam Fastball
FF,"Johnson, Seth",686751,664034,No event,ball,Ty France lines out to right fielder Cal Stevenson.,2025,4-Seam Fastball
CU,"Johnson, Seth",686751,664034,No event,ball,Ty France lines out to right fielder Cal Stevenson.,2025,Curveball
CU,"Johnson, Seth",686751,664034,No event,called_strike,Ty France lines out to right fielder Cal Stevenson.,2025,Curveball
FF,"Johnson, Seth",686751,650489,field_out,hit_into_play,Willi Castro lines out to shortstop Rafael Lantigua.,2025,4-Seam Fastball
CH,"Johnson, Seth",686751,650489,No event,foul,Willi Castro lines out to shortstop Rafael Lantigua.,2025,Changeup
CH,"Johnson, Seth",686751,650489,No event,swinging_strike,Willi Castro lines out to shortstop Rafael Lantigua.,2025,Changeup
CH,"Johnson, Seth",686751,650489,No event,ball,Willi Castro lines out to shortstop Rafael Lantigua.,2025,Changeup
FF,"Johnson, Seth",686751,650489,No event,called_strike,Willi Castro lines out to shortstop Rafael Lantigua.,2025,4-Seam Fastball
FF,"Johnson, Seth",686751,668904,field_out,hit_into_play,Royce Lewis flies out to right fielder Cal Stevenson.,2025,4-Seam Fastball
