pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
SL,"Walker, Taijuan",592836,696100,strikeout,swinging_strike,Hunter Goodman strikes out swinging.,2025,Slider
SL,"Walker, Taijuan",592836,696100,No event,swinging_strike,Hunter Goodman strikes out swinging.,2025,Slider
CU,"Walker, Taijuan",592836,696100,No event,ball,Hunter Goodman strikes out swinging.,2025,Curveball
SL,"Walker, Taijuan",592836,696100,No event,swinging_strike,Hunter Goodman strikes out swinging.,2025,Slider
FC,"Walker, Taijuan",592836,641857,field_out,hit_into_play,"Ryan McMahon grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Cutter
FS,"Walker, Taijuan",592836,641857,No event,foul,"Ryan McMahon grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Split-Finger
FC,"Walker, Taijuan",592836,641857,No event,ball,"Ryan McMahon grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Cutter
FF,"Walker, Taijuan",592836,641857,No event,ball,"Ryan McMahon grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,4-Seam Fastball
FC,"Walker, Taijuan",592836,641857,No event,called_strike,"Ryan McMahon grounds out, shortstop Trea Turner to first baseman Bryce Harper.",2025,Cutter
SL,"Walker, Taijuan",592836,678662,field_out,hit_into_play,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
FC,"Walker, Taijuan",592836,678662,No event,ball,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
SI,"Walker, Taijuan",592836,678662,No event,ball,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SL,"Walker, Taijuan",592836,678662,No event,foul,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
SL,"Walker, Taijuan",592836,678662,No event,ball,"Ezequiel Tovar grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
SI,"Walker, Taijuan",592836,686668,field_out,hit_into_play,Brenton Doyle flies out to right fielder Nick Castellanos.,2025,Sinker
FC,"Walker, Taijuan",592836,671289,walk,ball,Tyler Freeman walks.,2025,Cutter
SI,"Walker, Taijuan",592836,671289,No event,ball,Tyler Freeman walks.,2025,Sinker
SL,"Walker, Taijuan",592836,671289,No event,foul,Tyler Freeman walks.,2025,Slider
CU,"Walker, Taijuan",592836,671289,No event,ball,Tyler Freeman walks.,2025,Curveball
SI,"Walker, Taijuan",592836,671289,No event,foul,Tyler Freeman walks.,2025,Sinker
SL,"Walker, Taijuan",592836,671289,No event,ball,Tyler Freeman walks.,2025,Slider
FS,"Walker, Taijuan",592836,666160,triple,hit_into_play,Mickey Moniak triples (1) on a fly ball to left fielder Max Kepler.,2025,Split-Finger
FS,"Walker, Taijuan",592836,666160,No event,ball,Mickey Moniak triples (1) on a fly ball to left fielder Max Kepler.,2025,Split-Finger
SL,"Walker, Taijuan",592836,607732,field_out,hit_into_play,Jacob Stallings lines out to right fielder Nick Castellanos.,2025,Slider
SI,"Walker, Taijuan",592836,607732,No event,ball,Jacob Stallings lines out to right fielder Nick Castellanos.,2025,Sinker
FS,"Walker, Taijuan",592836,607732,No event,ball,Jacob Stallings lines out to right fielder Nick Castellanos.,2025,Split-Finger
SL,"Walker, Taijuan",592836,607732,No event,ball,Jacob Stallings lines out to right fielder Nick Castellanos.,2025,Slider
SL,"Walker, Taijuan",592836,607732,No event,foul,Jacob Stallings lines out to right fielder Nick Castellanos.,2025,Slider
FF,"Walker, Taijuan",592836,605361,field_out,hit_into_play,Nick Martini flies out to left fielder Max Kepler.,2025,4-Seam Fastball
CU,"Walker, Taijuan",592836,605361,No event,called_strike,Nick Martini flies out to left fielder Max Kepler.,2025,Curveball
CU,"Walker, Taijuan",592836,669911,field_out,hit_into_play,"Michael Toglia grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",2025,Curveball
FS,"Walker, Taijuan",592836,696100,hit_by_pitch,hit_by_pitch,Hunter Goodman hit by pitch. Ryan McMahon to 2nd.,2025,Split-Finger
CU,"Walker, Taijuan",592836,641857,single,hit_into_play,Ryan McMahon singles on a sharp line drive to center fielder Brandon Marsh.,2025,Curveball
CU,"Walker, Taijuan",592836,641857,No event,ball,Ryan McMahon singles on a sharp line drive to center fielder Brandon Marsh.,2025,Curveball
CU,"Walker, Taijuan",592836,641857,No event,swinging_strike,Ryan McMahon singles on a sharp line drive to center fielder Brandon Marsh.,2025,Curveball
FC,"Walker, Taijuan",592836,641857,No event,called_strike,Ryan McMahon singles on a sharp line drive to center fielder Brandon Marsh.,2025,Cutter
SL,"Walker, Taijuan",592836,678662,field_out,hit_into_play,Ezequiel Tovar pops out to second baseman Bryson Stott.,2025,Slider
SL,"Walker, Taijuan",592836,686668,field_out,hit_into_play,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,Slider
SI,"Walker, Taijuan",592836,686668,No event,ball,Pitcher Taijuan Walker picks off Tyler Freeman at 1st on throw to first baseman Bryce Harper.,2025,Sinker
SL,"Walker, Taijuan",592836,686668,No event,ball,Pitcher Taijuan Walker picks off Tyler Freeman at 1st on throw to first baseman Bryce Harper.,2025,Slider
CU,"Walker, Taijuan",592836,686668,No event,foul,Pitcher Taijuan Walker picks off Tyler Freeman at 1st on throw to first baseman Bryce Harper.,2025,Curveball
SI,"Walker, Taijuan",592836,686668,No event,called_strike,Pitcher Taijuan Walker picks off Tyler Freeman at 1st on throw to first baseman Bryce Harper.,2025,Sinker
SI,"Walker, Taijuan",592836,671289,force_out,hit_into_play,"Tyler Freeman grounds into a force out, third baseman Alec Bohm to second baseman Bryson Stott. Jacob Stallings out at 2nd. Tyler Freeman to 1st.",2025,Sinker
FC,"Walker, Taijuan",592836,671289,No event,called_strike,"Tyler Freeman grounds into a force out, third baseman Alec Bohm to second baseman Bryson Stott. Jacob Stallings out at 2nd. Tyler Freeman to 1st.",2025,Cutter
FC,"Walker, Taijuan",592836,671289,No event,ball,"Tyler Freeman grounds into a force out, third baseman Alec Bohm to second baseman Bryson Stott. Jacob Stallings out at 2nd. Tyler Freeman to 1st.",2025,Cutter
FS,"Walker, Taijuan",592836,666160,strikeout,swinging_strike,Mickey Moniak strikes out swinging.,2025,Split-Finger
FS,"Walker, Taijuan",592836,666160,No event,swinging_strike,Mickey Moniak strikes out swinging.,2025,Split-Finger
FS,"Walker, Taijuan",592836,666160,No event,ball,Mickey Moniak strikes out swinging.,2025,Split-Finger
CU,"Walker, Taijuan",592836,666160,No event,blocked_ball,Mickey Moniak strikes out swinging.,2025,Curveball
FC,"Walker, Taijuan",592836,666160,No event,called_strike,Mickey Moniak strikes out swinging.,2025,Cutter
FC,"Walker, Taijuan",592836,607732,single,hit_into_play,Jacob Stallings singles on a fly ball to right fielder Nick Castellanos.,2025,Cutter
SI,"Walker, Taijuan",592836,607732,No event,called_strike,Jacob Stallings singles on a fly ball to right fielder Nick Castellanos.,2025,Sinker
FS,"Walker, Taijuan",592836,605361,field_out,hit_into_play,"Nick Martini grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",2025,Split-Finger
FF,"Walker, Taijuan",592836,605361,No event,called_strike,"Nick Martini grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",2025,4-Seam Fastball
CU,"Walker, Taijuan",592836,669911,strikeout,swinging_strike,Michael Toglia strikes out swinging.,2025,Curveball
FS,"Walker, Taijuan",592836,669911,No event,swinging_strike,Michael Toglia strikes out swinging.,2025,Split-Finger
FC,"Walker, Taijuan",592836,669911,No event,ball,Michael Toglia strikes out swinging.,2025,Cutter
CU,"Walker, Taijuan",592836,669911,No event,ball,Michael Toglia strikes out swinging.,2025,Curveball
CU,"Walker, Taijuan",592836,669911,No event,swinging_strike,Michael Toglia strikes out swinging.,2025,Curveball
FC,"Walker, Taijuan",592836,696100,field_out,hit_into_play,"Hunter Goodman grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Cutter
FC,"Walker, Taijuan",592836,641857,strikeout_double_play,swinging_strike,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,Cutter
FC,"Walker, Taijuan",592836,641857,No event,ball,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,Cutter
FF,"Walker, Taijuan",592836,641857,No event,ball,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,4-Seam Fastball
FS,"Walker, Taijuan",592836,641857,No event,foul,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,Split-Finger
FS,"Walker, Taijuan",592836,641857,No event,ball,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,Split-Finger
FC,"Walker, Taijuan",592836,641857,No event,called_strike,"Phillies challenged (tag play), call on the field was overturned: Ryan McMahon strikes out swinging and Ezequiel Tovar caught stealing 2nd, catcher J.T. Realmuto to shortstop Trea Turner to catcher J.T. Realmuto.",2025,Cutter
SL,"Walker, Taijuan",592836,678662,field_error,hit_into_play,Ezequiel Tovar reaches on a fielding error by third baseman Alec Bohm.,2025,Slider
FC,"Walker, Taijuan",592836,678662,No event,swinging_strike,Ezequiel Tovar reaches on a fielding error by third baseman Alec Bohm.,2025,Cutter
FF,"Walker, Taijuan",592836,686668,field_out,hit_into_play,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,4-Seam Fastball
FF,"Walker, Taijuan",592836,686668,No event,foul,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,4-Seam Fastball
FS,"Walker, Taijuan",592836,686668,No event,foul,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,Split-Finger
SL,"Walker, Taijuan",592836,686668,No event,ball,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,Slider
SL,"Walker, Taijuan",592836,686668,No event,foul,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,Slider
SI,"Walker, Taijuan",592836,686668,No event,called_strike,Brenton Doyle flies out to center fielder Brandon Marsh.,2025,Sinker
SL,"Walker, Taijuan",592836,664040,field_out,hit_into_play,"Brandon Lowe grounds out, second baseman Bryson Stott to first baseman Raider Tello.",2025,Slider
FC,"Walker, Taijuan",592836,664040,No event,swinging_strike,"Brandon Lowe grounds out, second baseman Bryson Stott to first baseman Raider Tello.",2025,Cutter
CU,"Walker, Taijuan",592836,664040,No event,foul,"Brandon Lowe grounds out, second baseman Bryson Stott to first baseman Raider Tello.",2025,Curveball
FS,"Walker, Taijuan",592836,664040,No event,ball,"Brandon Lowe grounds out, second baseman Bryson Stott to first baseman Raider Tello.",2025,Split-Finger
FC,"Walker, Taijuan",592836,664040,No event,ball,"Brandon Lowe grounds out, second baseman Bryson Stott to first baseman Raider Tello.",2025,Cutter
SL,"Walker, Taijuan",592836,800440,field_out,hit_into_play,Narciso Polanco flies out to center fielder Brandon Marsh.,2025,Slider
SI,"Walker, Taijuan",592836,800440,No event,ball,Narciso Polanco flies out to center fielder Brandon Marsh.,2025,Sinker
CU,"Walker, Taijuan",592836,800440,No event,foul,Narciso Polanco flies out to center fielder Brandon Marsh.,2025,Curveball
