pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,679525,542303,field_out,hit_into_play,Marcell Ozuna flies out to right fielder Hunter Renfroe.,2024,Curveball
CU,679525,645277,force_out,hit_into_play,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Curveball
SI,679525,645277,No event,foul,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Sinker
SI,679525,645277,No event,ball,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Sinker
SL,679525,645277,No event,foul,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Slider
SI,679525,645277,No event,called_strike,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Sinker
SI,679525,645277,No event,ball,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Sinker
SL,679525,645277,No event,called_strike,"Ozzie Albies grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Michael Harris II out at 2nd. Ozzie Albies to 1st.",2024,Slider
CU,679525,671739,single,hit_into_play,Michael Harris II singles on a sharp line drive to left fielder MJ Melendez.,2024,Curveball
CH,679525,671739,No event,foul,Michael Harris II singles on a sharp line drive to left fielder MJ Melendez.,2024,Changeup
CU,679525,671739,No event,called_strike,Michael Harris II singles on a sharp line drive to left fielder MJ Melendez.,2024,Curveball
SL,679525,606115,field_out,hit_into_play,"Orlando Arcia grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Slider
FF,679525,570482,strikeout,swinging_strike,Gio Urshela strikes out swinging.,2024,4-Seam Fastball
SI,679525,570482,No event,foul,Gio Urshela strikes out swinging.,2024,Sinker
SL,679525,570482,No event,foul,Gio Urshela strikes out swinging.,2024,Slider
SI,679525,669221,fielders_choice_out,hit_into_play,"Sean Murphy reaches on a fielder's choice out, third baseman Maikel Garcia to catcher Freddy Fermin. Jorge Soler out at home. Ramón Laureano to 2nd.",2024,Sinker
FF,679525,669221,No event,foul,"Sean Murphy reaches on a fielder's choice out, third baseman Maikel Garcia to catcher Freddy Fermin. Jorge Soler out at home. Ramón Laureano to 2nd.",2024,4-Seam Fastball
SL,679525,669221,No event,ball,"Sean Murphy reaches on a fielder's choice out, third baseman Maikel Garcia to catcher Freddy Fermin. Jorge Soler out at home. Ramón Laureano to 2nd.",2024,Slider
SI,679525,669221,No event,swinging_strike,"Sean Murphy reaches on a fielder's choice out, third baseman Maikel Garcia to catcher Freddy Fermin. Jorge Soler out at home. Ramón Laureano to 2nd.",2024,Sinker
SI,679525,669221,No event,called_strike,"Sean Murphy reaches on a fielder's choice out, third baseman Maikel Garcia to catcher Freddy Fermin. Jorge Soler out at home. Ramón Laureano to 2nd.",2024,Sinker
ST,679525,657656,single,hit_into_play,Ramón Laureano singles on a ground ball to center fielder Kyle Isbel. Matt Olson scores. Jorge Soler to 3rd.,2024,Sweeper
CU,679525,657656,No event,swinging_strike,Ramón Laureano singles on a ground ball to center fielder Kyle Isbel. Matt Olson scores. Jorge Soler to 3rd.,2024,Curveball
CU,679525,657656,No event,foul,Ramón Laureano singles on a ground ball to center fielder Kyle Isbel. Matt Olson scores. Jorge Soler to 3rd.,2024,Curveball
SL,679525,657656,No event,ball,Ramón Laureano singles on a ground ball to center fielder Kyle Isbel. Matt Olson scores. Jorge Soler to 3rd.,2024,Slider
SI,679525,624585,catcher_interf,foul,Jorge Soler reaches on catcher interference by Freddy Fermin. Matt Olson to 2nd. Jorge Soler to 1st.,2024,Sinker
FF,679525,621566,hit_by_pitch,hit_by_pitch,Matt Olson hit by pitch.,2024,4-Seam Fastball
FF,679525,621566,No event,ball,Matt Olson hit by pitch.,2024,4-Seam Fastball
CU,679525,621566,No event,foul,Matt Olson hit by pitch.,2024,Curveball
CU,679525,621566,No event,foul,Matt Olson hit by pitch.,2024,Curveball
CH,679525,621566,No event,swinging_strike,Matt Olson hit by pitch.,2024,Changeup
CU,679525,621566,No event,swinging_strike,Matt Olson hit by pitch.,2024,Curveball
SI,679525,621566,No event,ball,Matt Olson hit by pitch.,2024,Sinker
FF,679525,542303,field_out,hit_into_play,Marcell Ozuna flies out to right fielder Hunter Renfroe.,2024,4-Seam Fastball
SI,679525,542303,No event,called_strike,Marcell Ozuna flies out to right fielder Hunter Renfroe.,2024,Sinker
SL,679525,542303,No event,ball,Marcell Ozuna flies out to right fielder Hunter Renfroe.,2024,Slider
SI,679525,542303,truncated_pa,ball,"Orlando Arcia out at 3rd, catcher Freddy Fermin to third baseman Maikel Garcia.",2024,Sinker
FF,679525,542303,No event,ball,"Orlando Arcia out at 3rd, catcher Freddy Fermin to third baseman Maikel Garcia.",2024,4-Seam Fastball
SL,679525,645277,field_out,hit_into_play,"Ozzie Albies grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Slider
SI,679525,671739,field_out,hit_into_play,"Michael Harris II grounds out, second baseman Michael Massey to first baseman Yuli Gurriel. Orlando Arcia to 2nd.",2024,Sinker
CU,679525,671739,No event,foul,"Michael Harris II grounds out, second baseman Michael Massey to first baseman Yuli Gurriel. Orlando Arcia to 2nd.",2024,Curveball
