pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,689690,672356,hit_by_pitch,hit_by_pitch,Gabriel Arias hit by pitch.,2025,4-Seam Fastball
FF,689690,672356,No event,foul,Gabriel Arias hit by pitch.,2025,4-Seam Fastball
CH,689690,672356,No event,ball,Gabriel Arias hit by pitch.,2025,Changeup
SI,689690,672356,No event,foul,Gabriel Arias hit by pitch.,2025,Sinker
ST,689690,672356,No event,ball,Gabriel Arias hit by pitch.,2025,Sweeper
FF,689690,672356,No event,swinging_strike,Gabriel Arias hit by pitch.,2025,4-Seam Fastball
ST,689690,672356,No event,swinging_strike,Gabriel Arias hit by pitch.,2025,Sweeper
FF,689690,672356,No event,ball,Gabriel Arias hit by pitch.,2025,4-Seam Fastball
CH,689690,700932,field_out,hit_into_play,"Kyle Manzardo grounds out softly, pitcher Alek Jacob to first baseman Luis Arraez.",2025,Changeup
CH,689690,700932,No event,called_strike,"Kyle Manzardo grounds out softly, pitcher Alek Jacob to first baseman Luis Arraez.",2025,Changeup
SI,689690,678877,field_out,hit_into_play,Jhonkensy Noel pops out to second baseman Jake Cronenworth.,2025,Sinker
ST,689690,678877,No event,swinging_strike,Jhonkensy Noel pops out to second baseman Jake Cronenworth.,2025,Sweeper
CH,689690,467793,double,hit_into_play,Carlos Santana doubles (2) on a line drive to right fielder Fernando Tatis Jr. José Ramírez to 3rd.,2025,Changeup
CH,689690,467793,No event,swinging_strike,Carlos Santana doubles (2) on a line drive to right fielder Fernando Tatis Jr. José Ramírez to 3rd.,2025,Changeup
FF,689690,467793,No event,foul,Carlos Santana doubles (2) on a line drive to right fielder Fernando Tatis Jr. José Ramírez to 3rd.,2025,4-Seam Fastball
CH,689690,467793,No event,ball,Carlos Santana doubles (2) on a line drive to right fielder Fernando Tatis Jr. José Ramírez to 3rd.,2025,Changeup
CH,689690,657041,field_out,hit_into_play,Lane Thomas flies out to left fielder Jason Heyward.,2025,Changeup
FF,689690,657041,No event,ball,Lane Thomas flies out to left fielder Jason Heyward.,2025,4-Seam Fastball
ST,689690,657041,No event,foul,Lane Thomas flies out to left fielder Jason Heyward.,2025,Sweeper
FF,689690,657041,No event,called_strike,Lane Thomas flies out to left fielder Jason Heyward.,2025,4-Seam Fastball
ST,689690,657041,No event,ball,Lane Thomas flies out to left fielder Jason Heyward.,2025,Sweeper
CH,689690,608070,single,hit_into_play,José Ramírez singles on a line drive to center fielder Jackson Merrill.,2025,Changeup
CH,689690,608070,No event,swinging_strike,José Ramírez singles on a line drive to center fielder Jackson Merrill.,2025,Changeup
SI,689690,608070,No event,called_strike,José Ramírez singles on a line drive to center fielder Jackson Merrill.,2025,Sinker
FF,689690,621566,field_out,hit_into_play,Matt Olson flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,621566,No event,called_strike,Matt Olson flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,621566,No event,ball,Matt Olson flies out sharply to center fielder Jackson Merrill.,2025,4-Seam Fastball
CH,689690,621566,No event,ball,Matt Olson flies out sharply to center fielder Jackson Merrill.,2025,Changeup
ST,689690,663586,field_out,hit_into_play,Austin Riley lines out to left fielder Jason Heyward.,2025,Sweeper
FF,689690,663586,No event,called_strike,Austin Riley lines out to left fielder Jason Heyward.,2025,4-Seam Fastball
ST,689690,663586,No event,ball,Austin Riley lines out to left fielder Jason Heyward.,2025,Sweeper
ST,689690,663586,No event,swinging_strike,Austin Riley lines out to left fielder Jason Heyward.,2025,Sweeper
FF,689690,663586,No event,ball,Austin Riley lines out to left fielder Jason Heyward.,2025,4-Seam Fastball
CH,689690,595777,single,hit_into_play,Jurickson Profar singles on a ground ball to center fielder Jackson Merrill.,2025,Changeup
FF,689690,595777,No event,foul,Jurickson Profar singles on a ground ball to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,595777,No event,called_strike,Jurickson Profar singles on a ground ball to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,595777,No event,foul,Jurickson Profar singles on a ground ball to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,595777,No event,ball,Jurickson Profar singles on a ground ball to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,689690,542303,single,hit_into_play,Marcell Ozuna singles on a line drive to right fielder Fernando Tatis Jr. Matt Olson to 3rd.,2025,4-Seam Fastball
SI,689690,542303,No event,ball,Marcell Ozuna singles on a line drive to right fielder Fernando Tatis Jr. Matt Olson to 3rd.,2025,Sinker
FF,689690,542303,No event,called_strike,Marcell Ozuna singles on a line drive to right fielder Fernando Tatis Jr. Matt Olson to 3rd.,2025,4-Seam Fastball
SI,689690,542303,No event,ball,Marcell Ozuna singles on a line drive to right fielder Fernando Tatis Jr. Matt Olson to 3rd.,2025,Sinker
ST,689690,542303,No event,foul,Marcell Ozuna singles on a line drive to right fielder Fernando Tatis Jr. Matt Olson to 3rd.,2025,Sweeper
CH,689690,621566,single,hit_into_play,Matt Olson singles on a ground ball to right fielder Fernando Tatis Jr.,2025,Changeup
FF,689690,621566,No event,called_strike,Matt Olson singles on a ground ball to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
FF,689690,621566,No event,foul,Matt Olson singles on a ground ball to right fielder Fernando Tatis Jr.,2025,4-Seam Fastball
CH,689690,663586,home_run,hit_into_play,Austin Riley homers (1) on a fly ball to left center field.,2025,Changeup
CH,689690,663586,No event,ball,Austin Riley homers (1) on a fly ball to left center field.,2025,Changeup
CH,689690,595777,field_out,hit_into_play,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Changeup
SI,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Sinker
FF,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,4-Seam Fastball
ST,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Sweeper
CH,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Changeup
FF,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,4-Seam Fastball
CH,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Changeup
FF,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,4-Seam Fastball
FF,689690,595777,No event,ball,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,4-Seam Fastball
CH,689690,595777,No event,called_strike,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Changeup
CH,689690,595777,No event,ball,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,Changeup
FF,689690,595777,No event,foul,"Jurickson Profar grounds out, first baseman Luis Arraez to pitcher Alek Jacob.",2025,4-Seam Fastball
FF,689690,672284,field_out,hit_into_play,"Jarred Kelenic grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,689690,672284,No event,called_strike,"Jarred Kelenic grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,Changeup
FF,689690,606115,strikeout,swinging_strike,Orlando Arcia strikes out swinging.,2025,4-Seam Fastball
FF,689690,606115,No event,ball,Orlando Arcia strikes out swinging.,2025,4-Seam Fastball
CH,689690,606115,No event,foul,Orlando Arcia strikes out swinging.,2025,Changeup
