pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,689958,687192,grounded_into_double_play,hit_into_play,"Cade Hunter grounds into a double play, second baseman Will Wilson to shortstop Welbyn Francisca to first baseman Dayan Frias. Ethan O'Donnell out at 2nd. Cade Hunter out at 1st.",2025,4-Seam Fastball
SL,689958,701398,strikeout,swinging_strike,Sal Stewart strikes out swinging.,2025,Slider
SL,689958,701398,No event,ball,Sal Stewart strikes out swinging.,2025,Slider
SL,689958,701398,No event,foul,Sal Stewart strikes out swinging.,2025,Slider
FF,689958,701398,No event,foul,Sal Stewart strikes out swinging.,2025,4-Seam Fastball
FF,689958,701398,No event,foul_tip,Sal Stewart strikes out swinging.,2025,4-Seam Fastball
SL,689958,701398,No event,ball,Sal Stewart strikes out swinging.,2025,Slider
SL,689958,642851,walk,ball,Austin Wynns walks.,2025,Slider
FF,689958,642851,No event,foul,Austin Wynns walks.,2025,4-Seam Fastball
FF,689958,642851,No event,foul,Austin Wynns walks.,2025,4-Seam Fastball
SL,689958,642851,No event,ball,Austin Wynns walks.,2025,Slider
SL,689958,642851,No event,ball,Austin Wynns walks.,2025,Slider
SL,689958,642851,No event,ball,Austin Wynns walks.,2025,Slider
FF,689958,642851,No event,called_strike,Austin Wynns walks.,2025,4-Seam Fastball
FF,689958,687957,field_out,hit_into_play,Dustin Harris flies out to left fielder Angel Martínez.,2025,4-Seam Fastball
FS,689958,687957,No event,swinging_strike,Dustin Harris flies out to left fielder Angel Martínez.,2025,Split-Finger
FF,689958,687957,No event,called_strike,Dustin Harris flies out to left fielder Angel Martínez.,2025,4-Seam Fastball
FF,689958,621008,strikeout,swinging_strike,Alex De Goti strikes out swinging.,2025,4-Seam Fastball
SL,689958,621008,No event,swinging_strike,Alex De Goti strikes out swinging.,2025,Slider
SL,689958,621008,No event,swinging_strike,Alex De Goti strikes out swinging.,2025,Slider
SL,689958,621008,No event,ball,Alex De Goti strikes out swinging.,2025,Slider
FF,689958,676701,strikeout,swinging_strike,Alan Trejo strikes out swinging.,2025,4-Seam Fastball
SL,689958,676701,No event,ball,Alan Trejo strikes out swinging.,2025,Slider
FS,689958,676701,No event,ball,Alan Trejo strikes out swinging.,2025,Split-Finger
FF,689958,676701,No event,foul,Alan Trejo strikes out swinging.,2025,4-Seam Fastball
SL,689958,676701,No event,swinging_strike,Alan Trejo strikes out swinging.,2025,Slider
SL,689958,676701,No event,ball,Alan Trejo strikes out swinging.,2025,Slider
FF,689958,676701,No event,called_strike,Alan Trejo strikes out swinging.,2025,4-Seam Fastball
FF,689958,677049,double,hit_into_play,Josh Hatcher doubles (3) on a sharp line drive to center fielder Jaison Chourio. Alejandro Osuna to 3rd.,2025,4-Seam Fastball
FF,689958,677049,No event,ball,Josh Hatcher doubles (3) on a sharp line drive to center fielder Jaison Chourio. Alejandro Osuna to 3rd.,2025,4-Seam Fastball
FF,689958,677049,No event,swinging_strike,Josh Hatcher doubles (3) on a sharp line drive to center fielder Jaison Chourio. Alejandro Osuna to 3rd.,2025,4-Seam Fastball
FF,689958,677049,No event,ball,Josh Hatcher doubles (3) on a sharp line drive to center fielder Jaison Chourio. Alejandro Osuna to 3rd.,2025,4-Seam Fastball
FF,689958,694671,single,hit_into_play,Wyatt Langford singles on a fly ball to right fielder Alfonsin Rosario.,2025,4-Seam Fastball
FF,689958,801442,sac_fly,hit_into_play,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FF,689958,801442,No event,foul,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FF,689958,801442,No event,foul,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FF,689958,801442,No event,ball,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FS,689958,801442,No event,ball,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,Split-Finger
FF,689958,801442,No event,foul,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FS,689958,801442,No event,foul,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,Split-Finger
FS,689958,801442,No event,foul,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,Split-Finger
FF,689958,801442,No event,ball,Jack Pineda out on a sacrifice fly to center fielder Kahlil Watson. Luca Tresh scores.,2025,4-Seam Fastball
FF,689958,811287,walk,ball,Carson Roccaforte walks. Luca Tresh to 3rd. Colton Becker to 2nd.,2025,4-Seam Fastball
FF,689958,811287,No event,called_strike,Carson Roccaforte walks. Luca Tresh to 3rd. Colton Becker to 2nd.,2025,4-Seam Fastball
FF,689958,811287,No event,ball,Carson Roccaforte walks. Luca Tresh to 3rd. Colton Becker to 2nd.,2025,4-Seam Fastball
FF,689958,811287,No event,ball,Carson Roccaforte walks. Luca Tresh to 3rd. Colton Becker to 2nd.,2025,4-Seam Fastball
SL,689958,811287,No event,ball,Carson Roccaforte walks. Luca Tresh to 3rd. Colton Becker to 2nd.,2025,Slider
FF,689958,668472,single,hit_into_play,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FF,689958,668472,No event,foul,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FF,689958,668472,No event,called_strike,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FF,689958,668472,No event,ball,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FF,689958,668472,No event,ball,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FF,689958,668472,No event,ball,Nick Pratto singles on a pop up to left fielder Guy Lipscomb. Luca Tresh to 2nd.,2025,4-Seam Fastball
FS,689958,689531,field_out,hit_into_play,Brett Squires flies out to center fielder Kahlil Watson.,2025,Split-Finger
FF,689958,689531,No event,foul,Brett Squires flies out to center fielder Kahlil Watson.,2025,4-Seam Fastball
FS,689958,689531,No event,ball,Brett Squires flies out to center fielder Kahlil Watson.,2025,Split-Finger
FF,689958,689531,No event,swinging_strike,Brett Squires flies out to center fielder Kahlil Watson.,2025,4-Seam Fastball
FF,689958,689531,No event,ball,Brett Squires flies out to center fielder Kahlil Watson.,2025,4-Seam Fastball
FF,689958,689531,No event,swinging_strike,Brett Squires flies out to center fielder Kahlil Watson.,2025,4-Seam Fastball
FF,689958,681123,hit_by_pitch,hit_by_pitch,Luca Tresh hit by pitch.,2025,4-Seam Fastball
FF,689958,682998,walk,ball,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,4-Seam Fastball
FF,689958,682998,No event,swinging_strike,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,4-Seam Fastball
FF,689958,682998,No event,ball,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,4-Seam Fastball
SL,689958,682998,No event,ball,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,Slider
SL,689958,682998,No event,called_strike,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,Slider
FF,689958,682998,No event,ball,Corbin Carroll walks. Jorge Barrosa to 2nd.,2025,4-Seam Fastball
FS,689958,606466,strikeout,foul_tip,Ketel Marte strikes out on a foul tip.,2025,Split-Finger
SL,689958,606466,No event,foul,Ketel Marte strikes out on a foul tip.,2025,Slider
SL,689958,606466,No event,swinging_strike_blocked,Ketel Marte strikes out on a foul tip.,2025,Slider
FF,689958,606466,No event,ball,Ketel Marte strikes out on a foul tip.,2025,4-Seam Fastball
SL,689958,678489,single,hit_into_play,Jorge Barrosa singles on a line drive to right fielder Jhonkensy Noel. Garrett Hampson to 3rd.,2025,Slider
SL,689958,678489,No event,foul,Jorge Barrosa singles on a line drive to right fielder Jhonkensy Noel. Garrett Hampson to 3rd.,2025,Slider
