pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FS,547973,663624,field_out,hit_into_play,"Ryan Mountcastle grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,Split-Finger
SL,547973,663624,No event,swinging_strike_blocked,"Ryan Mountcastle grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,Slider
SL,547973,663624,No event,swinging_strike,"Ryan Mountcastle grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,Slider
SL,547973,641933,strikeout,called_strike,Tyler O'Neill called out on strikes.,2025,Slider
FS,547973,641933,No event,foul,Tyler O'Neill called out on strikes.,2025,Split-Finger
FF,547973,641933,No event,ball,Tyler O'Neill called out on strikes.,2025,4-Seam Fastball
SL,547973,641933,No event,foul,Tyler O'Neill called out on strikes.,2025,Slider
SI,547973,641933,No event,ball,Tyler O'Neill called out on strikes.,2025,Sinker
FF,547973,641933,No event,swinging_strike,Tyler O'Neill called out on strikes.,2025,4-Seam Fastball
SL,547973,641933,No event,called_strike,Tyler O'Neill called out on strikes.,2025,Slider
SL,547973,668939,walk,ball,Adley Rutschman walks.,2025,Slider
SI,547973,668939,No event,ball,Adley Rutschman walks.,2025,Sinker
FF,547973,668939,No event,called_strike,Adley Rutschman walks.,2025,4-Seam Fastball
FF,547973,668939,No event,called_strike,Adley Rutschman walks.,2025,4-Seam Fastball
FF,547973,668939,No event,ball,Adley Rutschman walks.,2025,4-Seam Fastball
FF,547973,668939,No event,ball,Adley Rutschman walks.,2025,4-Seam Fastball
FF,547973,676059,field_out,hit_into_play,Jordan Westburg lines out to left fielder Jarren Duran.,2025,4-Seam Fastball
FF,547973,676059,No event,ball,Jordan Westburg lines out to left fielder Jarren Duran.,2025,4-Seam Fastball
FF,547973,669394,force_out,hit_into_play,"Jake Burger grounds into a force out, shortstop Trevor Story to second baseman Kristian Campbell. Wyatt Langford out at 2nd.",2025,4-Seam Fastball
FF,547973,666969,field_out,hit_into_play,Adolis García flies out sharply to center fielder Ceddanne Rafaela.,2025,4-Seam Fastball
FF,547973,666969,No event,ball,Adolis García flies out sharply to center fielder Ceddanne Rafaela.,2025,4-Seam Fastball
FF,547973,666969,No event,ball,Adolis García flies out sharply to center fielder Ceddanne Rafaela.,2025,4-Seam Fastball
FF,547973,694671,single,hit_into_play,Wyatt Langford singles on a ground ball to right fielder Wilyer Abreu.,2025,4-Seam Fastball
FF,547973,608369,strikeout,swinging_strike,Corey Seager strikes out swinging.,2025,4-Seam Fastball
FF,547973,608369,No event,foul,Corey Seager strikes out swinging.,2025,4-Seam Fastball
SL,547973,608369,No event,ball,Corey Seager strikes out swinging.,2025,Slider
FF,547973,608369,No event,foul,Corey Seager strikes out swinging.,2025,4-Seam Fastball
FF,547973,608369,No event,ball,Corey Seager strikes out swinging.,2025,4-Seam Fastball
FF,547973,608369,No event,called_strike,Corey Seager strikes out swinging.,2025,4-Seam Fastball
SL,547973,663616,force_out,hit_into_play,"Trevor Larnach grounds into a force out, shortstop Trevor Story to second baseman David Hamilton. Carlos Correa out at 2nd.",2025,Slider
SL,547973,663616,No event,called_strike,"Trevor Larnach grounds into a force out, shortstop Trevor Story to second baseman David Hamilton. Carlos Correa out at 2nd.",2025,Slider
SL,547973,663616,No event,ball,"Trevor Larnach grounds into a force out, shortstop Trevor Story to second baseman David Hamilton. Carlos Correa out at 2nd.",2025,Slider
SI,547973,621043,walk,ball,Carlos Correa walks.,2025,Sinker
FS,547973,621043,No event,ball,Carlos Correa walks.,2025,Split-Finger
SL,547973,621043,No event,swinging_strike,Carlos Correa walks.,2025,Slider
SL,547973,621043,No event,ball,Carlos Correa walks.,2025,Slider
FF,547973,621043,No event,swinging_strike,Carlos Correa walks.,2025,4-Seam Fastball
SI,547973,621043,No event,ball,Carlos Correa walks.,2025,Sinker
SI,547973,621439,strikeout,called_strike,Byron Buxton called out on strikes.,2025,Sinker
FF,547973,621439,No event,swinging_strike,Byron Buxton called out on strikes.,2025,4-Seam Fastball
SL,547973,621439,No event,foul,Byron Buxton called out on strikes.,2025,Slider
FS,547973,650489,field_out,hit_into_play,"Willi Castro grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Split-Finger
FF,547973,650489,No event,foul,"Willi Castro grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
FF,547973,650489,No event,foul,"Willi Castro grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,4-Seam Fastball
,547973,595879,strikeout,swinging_strike,Javier Báez strikes out swinging.,2025,
,547973,595879,No event,swinging_strike,Javier Báez strikes out swinging.,2025,
,547973,595879,No event,called_strike,Javier Báez strikes out swinging.,2025,
,547973,595879,No event,ball,Javier Báez strikes out swinging.,2025,
,547973,693307,strikeout,swinging_strike,Dillon Dingler strikes out swinging.,2025,
,547973,693307,No event,foul,Dillon Dingler strikes out swinging.,2025,
,547973,693307,No event,ball,Dillon Dingler strikes out swinging.,2025,
,547973,693307,No event,swinging_strike,Dillon Dingler strikes out swinging.,2025,
,547973,699073,strikeout,swinging_strike,Thayron Liranzo strikes out swinging.,2025,
,547973,699073,No event,foul,Thayron Liranzo strikes out swinging.,2025,
,547973,699073,No event,called_strike,Thayron Liranzo strikes out swinging.,2025,
,547973,699073,No event,swinging_strike,Thayron Liranzo strikes out swinging.,2025,
,547973,699073,No event,ball,Thayron Liranzo strikes out swinging.,2025,
SI,547973,681146,strikeout,called_strike,Jonah Bride called out on strikes.,2025,Sinker
FS,547973,681146,No event,foul,Jonah Bride called out on strikes.,2025,Split-Finger
SI,547973,681146,No event,ball,Jonah Bride called out on strikes.,2025,Sinker
SI,547973,681146,No event,foul,Jonah Bride called out on strikes.,2025,Sinker
FS,547973,681146,No event,ball,Jonah Bride called out on strikes.,2025,Split-Finger
FS,547973,681146,No event,swinging_strike,Jonah Bride called out on strikes.,2025,Split-Finger
SI,547973,681146,No event,called_strike,Jonah Bride called out on strikes.,2025,Sinker
SL,547973,665052,strikeout,called_strike,Griffin Conine called out on strikes.,2025,Slider
FF,547973,665052,No event,ball,Griffin Conine called out on strikes.,2025,4-Seam Fastball
FF,547973,665052,No event,swinging_strike,Griffin Conine called out on strikes.,2025,4-Seam Fastball
FF,547973,665052,No event,foul,Griffin Conine called out on strikes.,2025,4-Seam Fastball
SL,547973,665052,No event,ball,Griffin Conine called out on strikes.,2025,Slider
SL,547973,665052,No event,ball,Griffin Conine called out on strikes.,2025,Slider
,547973,680777,field_out,hit_into_play,"Ryan Jeffers grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,
,547973,680777,No event,ball,"Ryan Jeffers grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,
,547973,680777,No event,foul,"Ryan Jeffers grounds out, second baseman Kristian Campbell to first baseman Triston Casas.",2025,
,547973,650489,strikeout,swinging_strike,Willi Castro strikes out swinging.,2025,
,547973,650489,No event,foul,Willi Castro strikes out swinging.,2025,
,547973,650489,No event,swinging_strike,Willi Castro strikes out swinging.,2025,
,547973,668904,strikeout,swinging_strike,Royce Lewis strikes out swinging.,2025,
,547973,668904,No event,foul,Royce Lewis strikes out swinging.,2025,
,547973,668904,No event,ball,Royce Lewis strikes out swinging.,2025,
,547973,668904,No event,called_strike,Royce Lewis strikes out swinging.,2025,
,547973,668904,No event,ball,Royce Lewis strikes out swinging.,2025,
FS,547973,668885,strikeout,swinging_strike,Austin Martin strikes out swinging.,2025,Split-Finger
SL,547973,668885,No event,called_strike,Austin Martin strikes out swinging.,2025,Slider
SL,547973,668885,No event,swinging_strike,Austin Martin strikes out swinging.,2025,Slider
FF,547973,668885,No event,ball,Austin Martin strikes out swinging.,2025,4-Seam Fastball
SI,547973,543877,single,hit_into_play,Christian Vázquez singles on a sharp line drive to left fielder Jarren Duran. Ty France scores.,2025,Sinker
FS,547973,543877,No event,blocked_ball,Christian Vázquez singles on a sharp line drive to left fielder Jarren Duran. Ty France scores.,2025,Split-Finger
SI,547973,543877,No event,ball,Christian Vázquez singles on a sharp line drive to left fielder Jarren Duran. Ty France scores.,2025,Sinker
FS,547973,543877,No event,swinging_strike,Christian Vázquez singles on a sharp line drive to left fielder Jarren Duran. Ty France scores.,2025,Split-Finger
FF,547973,543877,No event,foul,Christian Vázquez singles on a sharp line drive to left fielder Jarren Duran. Ty France scores.,2025,4-Seam Fastball
FF,547973,664034,double,hit_into_play,Ty France doubles (4) on a line drive to right fielder Nate Eaton. Royce Lewis scores.,2025,4-Seam Fastball
SI,547973,664034,No event,ball,Ty France doubles (4) on a line drive to right fielder Nate Eaton. Royce Lewis scores.,2025,Sinker
FF,547973,664056,field_out,hit_into_play,Harrison Bader flies out to center fielder Ceddanne Rafaela.,2025,4-Seam Fastball
SI,547973,668904,single,hit_into_play,Royce Lewis singles on a ground ball to second baseman Kristian Campbell.,2025,Sinker
FS,547973,668904,No event,called_strike,Royce Lewis singles on a ground ball to second baseman Kristian Campbell.,2025,Split-Finger
FS,547973,668904,No event,swinging_strike,Royce Lewis singles on a ground ball to second baseman Kristian Campbell.,2025,Split-Finger
SI,547973,621439,strikeout,called_strike,Byron Buxton called out on strikes.,2025,Sinker
FS,547973,621439,No event,ball,Byron Buxton called out on strikes.,2025,Split-Finger
FS,547973,621439,No event,swinging_strike,Byron Buxton called out on strikes.,2025,Split-Finger
FF,547973,621439,No event,called_strike,Byron Buxton called out on strikes.,2025,4-Seam Fastball
,547973,700246,field_out,hit_into_play,"Carson Williams grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,700246,No event,foul,"Carson Williams grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,700246,No event,ball,"Carson Williams grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,700246,No event,foul,"Carson Williams grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,666624,field_out,hit_into_play,"Christopher Morel grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,666624,No event,called_strike,"Christopher Morel grounds out, shortstop Trevor Story to first baseman Abraham Toro.",2025,
,547973,666018,strikeout,called_strike,Jonathan Aranda called out on strikes.,2025,
,547973,666018,No event,ball,Jonathan Aranda called out on strikes.,2025,
,547973,666018,No event,ball,Jonathan Aranda called out on strikes.,2025,
,547973,666018,No event,foul,Jonathan Aranda called out on strikes.,2025,
,547973,666018,No event,foul,Jonathan Aranda called out on strikes.,2025,
,547973,668885,field_out,hit_into_play,Austin Martin flies out to center fielder Ceddanne Rafaela.,2025,
,547973,668885,No event,ball,Austin Martin flies out to center fielder Ceddanne Rafaela.,2025,
,547973,668885,No event,called_strike,Austin Martin flies out to center fielder Ceddanne Rafaela.,2025,
,547973,543877,strikeout,swinging_strike,Christian Vázquez strikes out swinging.,2025,
,547973,543877,No event,called_strike,Christian Vázquez strikes out swinging.,2025,
,547973,543877,No event,called_strike,Christian Vázquez strikes out swinging.,2025,
,547973,543877,No event,ball,Christian Vázquez strikes out swinging.,2025,
,547973,669304,strikeout,called_strike,Jose Miranda called out on strikes.,2025,
,547973,669304,No event,swinging_strike,Jose Miranda called out on strikes.,2025,
,547973,669304,No event,called_strike,Jose Miranda called out on strikes.,2025,
,547973,664034,walk,ball,Ty France walks.   Willi Castro to 2nd.,2025,
,547973,664034,No event,called_strike,Ty France walks.   Willi Castro to 2nd.,2025,
,547973,664034,No event,ball,Ty France walks.   Willi Castro to 2nd.,2025,
