pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,594902,592518,single,hit_into_play,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,Sinker
SI,594902,592518,No event,foul,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,Sinker
SI,594902,592518,No event,ball,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,Sinker
FF,594902,592518,No event,foul,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,4-Seam Fastball
SI,594902,592518,No event,called_strike,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,Sinker
SI,594902,592518,No event,ball,Manny Machado singles on a sharp ground ball to center fielder Lane Thomas.,2025,Sinker
FF,594902,650333,field_out,hit_into_play,Luis Arraez grounds out to first baseman Kyle Manzardo.,2025,4-Seam Fastball
CU,594902,650333,No event,ball,Luis Arraez grounds out to first baseman Kyle Manzardo.,2025,Curveball
ST,594902,650333,No event,called_strike,Luis Arraez grounds out to first baseman Kyle Manzardo.,2025,Sweeper
ST,594902,650333,No event,ball,Luis Arraez grounds out to first baseman Kyle Manzardo.,2025,Sweeper
ST,594902,665487,field_out,hit_into_play,Fernando Tatis Jr. flies out sharply to center fielder Lane Thomas.,2025,Sweeper
SL,594902,665487,No event,foul,Fernando Tatis Jr. flies out sharply to center fielder Lane Thomas.,2025,Slider
SL,594902,665487,No event,ball,Fernando Tatis Jr. flies out sharply to center fielder Lane Thomas.,2025,Slider
CU,594902,455117,field_out,hit_into_play,Martín Maldonado flies out to center fielder Lane Thomas.,2025,Curveball
ST,594902,455117,No event,swinging_strike,Martín Maldonado flies out to center fielder Lane Thomas.,2025,Sweeper
ST,594902,455117,No event,foul,Martín Maldonado flies out to center fielder Lane Thomas.,2025,Sweeper
ST,594902,578428,field_out,hit_into_play,Jose Iglesias flies out to right fielder Nolan Jones in foul territory.,2025,Sweeper
FF,594902,578428,No event,ball,Jose Iglesias flies out to right fielder Nolan Jones in foul territory.,2025,4-Seam Fastball
CU,594902,657757,single,hit_into_play,Gavin Sheets singles on a ground ball to third baseman José Ramírez.,2025,Curveball
FF,594902,657757,No event,swinging_strike,Gavin Sheets singles on a ground ball to third baseman José Ramírez.,2025,4-Seam Fastball
CH,594902,657757,No event,ball,Gavin Sheets singles on a ground ball to third baseman José Ramírez.,2025,Changeup
CU,594902,657757,No event,called_strike,Gavin Sheets singles on a ground ball to third baseman José Ramírez.,2025,Curveball
SI,594902,593428,field_out,hit_into_play,Xander Bogaerts lines out to right fielder Nolan Jones.,2025,Sinker
ST,594902,593428,No event,foul,Xander Bogaerts lines out to right fielder Nolan Jones.,2025,Sweeper
FF,594902,593428,No event,ball,Xander Bogaerts lines out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,594902,593428,No event,foul,Xander Bogaerts lines out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,594902,630105,walk,ball,Jake Cronenworth walks.,2025,4-Seam Fastball
ST,594902,630105,No event,ball,Jake Cronenworth walks.,2025,Sweeper
SI,594902,630105,No event,foul,Jake Cronenworth walks.,2025,Sinker
CU,594902,630105,No event,foul,Jake Cronenworth walks.,2025,Curveball
FF,594902,630105,No event,foul,Jake Cronenworth walks.,2025,4-Seam Fastball
FF,594902,630105,No event,called_strike,Jake Cronenworth walks.,2025,4-Seam Fastball
SI,594902,630105,No event,ball,Jake Cronenworth walks.,2025,Sinker
SI,594902,630105,No event,ball,Jake Cronenworth walks.,2025,Sinker
