pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,685126,670242,double,hit_into_play,Matt Wallner doubles (2) on a fly ball to left fielder Andrew Benintendi.,2025,Slider
CH,685126,670242,No event,foul,Matt Wallner doubles (2) on a fly ball to left fielder Andrew Benintendi.,2025,Changeup
SL,685126,670242,No event,ball,Matt Wallner doubles (2) on a fly ball to left fielder Andrew Benintendi.,2025,Slider
CH,685126,670242,No event,foul,Matt Wallner doubles (2) on a fly ball to left fielder Andrew Benintendi.,2025,Changeup
SL,685126,669304,field_out,hit_into_play,"Jose Miranda grounds out sharply, shortstop Brooks Baldwin to first baseman Andrew Vaughn.",2025,Slider
SL,685126,669304,No event,called_strike,"Jose Miranda grounds out sharply, shortstop Brooks Baldwin to first baseman Andrew Vaughn.",2025,Slider
CH,685126,681508,strikeout,swinging_strike,Mickey Gasper strikes out swinging.,2025,Changeup
CH,685126,681508,No event,called_strike,Mickey Gasper strikes out swinging.,2025,Changeup
SL,685126,681508,No event,called_strike,Mickey Gasper strikes out swinging.,2025,Slider
CH,685126,664056,strikeout,swinging_strike,Harrison Bader strikes out swinging.,2025,Changeup
SL,685126,664056,No event,foul,Harrison Bader strikes out swinging.,2025,Slider
CH,685126,664056,No event,ball,Harrison Bader strikes out swinging.,2025,Changeup
SL,685126,664056,No event,foul,Harrison Bader strikes out swinging.,2025,Slider
CH,685126,664056,No event,ball,Harrison Bader strikes out swinging.,2025,Changeup
SL,685126,650489,strikeout,foul_tip,Willi Castro strikes out on a foul tip.,2025,Slider
SL,685126,650489,No event,called_strike,Willi Castro strikes out on a foul tip.,2025,Slider
SL,685126,650489,No event,ball,Willi Castro strikes out on a foul tip.,2025,Slider
SL,685126,650489,No event,ball,Willi Castro strikes out on a foul tip.,2025,Slider
FF,685126,650489,No event,ball,Willi Castro strikes out on a foul tip.,2025,4-Seam Fastball
SL,685126,650489,No event,called_strike,Willi Castro strikes out on a foul tip.,2025,Slider
SL,685126,681508,walk,ball,Mickey Gasper walks.,2025,Slider
CH,685126,681508,No event,ball,Mickey Gasper walks.,2025,Changeup
SL,685126,681508,No event,called_strike,Mickey Gasper walks.,2025,Slider
SL,685126,681508,No event,ball,Mickey Gasper walks.,2025,Slider
FF,685126,681508,No event,ball,Mickey Gasper walks.,2025,4-Seam Fastball
CH,685126,669304,strikeout,called_strike,Jose Miranda called out on strikes.,2025,Changeup
SL,685126,669304,No event,foul,Jose Miranda called out on strikes.,2025,Slider
SL,685126,669304,No event,ball,Jose Miranda called out on strikes.,2025,Slider
SL,685126,669304,No event,swinging_strike,Jose Miranda called out on strikes.,2025,Slider
SL,685126,663731,strikeout,swinging_strike,Connor Kaiser strikes out swinging.,2025,Slider
SL,685126,663731,No event,swinging_strike,Connor Kaiser strikes out swinging.,2025,Slider
FF,685126,663731,No event,foul,Connor Kaiser strikes out swinging.,2025,4-Seam Fastball
CH,685126,663731,No event,ball,Connor Kaiser strikes out swinging.,2025,Changeup
FF,685126,605244,field_out,hit_into_play,Aramis Garcia flies out to right fielder Austin Slater.,2025,4-Seam Fastball
CH,685126,605244,No event,ball,Aramis Garcia flies out to right fielder Austin Slater.,2025,Changeup
FF,685126,694815,double,hit_into_play,Jack Hurley doubles (2) on a sharp line drive to right fielder Austin Slater.,2025,4-Seam Fastball
SL,685126,694815,No event,ball,Jack Hurley doubles (2) on a sharp line drive to right fielder Austin Slater.,2025,Slider
FF,685126,694815,No event,ball,Jack Hurley doubles (2) on a sharp line drive to right fielder Austin Slater.,2025,4-Seam Fastball
FF,685126,694815,No event,called_strike,Jack Hurley doubles (2) on a sharp line drive to right fielder Austin Slater.,2025,4-Seam Fastball
SL,685126,694815,No event,ball,Jack Hurley doubles (2) on a sharp line drive to right fielder Austin Slater.,2025,Slider
FF,685126,694371,field_out,hit_into_play,Tommy Troy flies out to center fielder Michael A. Taylor.,2025,4-Seam Fastball
SL,685126,694371,No event,ball,Tommy Troy flies out to center fielder Michael A. Taylor.,2025,Slider
CH,685126,694371,No event,ball,Tommy Troy flies out to center fielder Michael A. Taylor.,2025,Changeup
