pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,657514,666969,field_out,hit_into_play,Adolis García flies out to right fielder Wilyer Abreu.,2025,Changeup
CU,657514,666969,No event,foul,Adolis García flies out to right fielder Wilyer Abreu.,2025,Curveball
SI,657514,666969,No event,ball,Adolis García flies out to right fielder Wilyer Abreu.,2025,Sinker
CH,657514,666969,No event,ball,Adolis García flies out to right fielder Wilyer Abreu.,2025,Changeup
SI,657514,666969,No event,called_strike,Adolis García flies out to right fielder Wilyer Abreu.,2025,Sinker
FC,657514,666969,No event,called_strike,Adolis García flies out to right fielder Wilyer Abreu.,2025,Cutter
CH,657514,607680,field_out,hit_into_play,"Kevin Pillar grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Changeup
SI,657514,607680,No event,foul,"Kevin Pillar grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Sinker
CH,657514,607680,No event,ball,"Kevin Pillar grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Changeup
FC,657514,607680,No event,called_strike,"Kevin Pillar grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,Cutter
CH,657514,694671,field_out,hit_into_play,"Wyatt Langford grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Changeup
CH,657514,694671,No event,ball,"Wyatt Langford grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Changeup
FC,657514,694671,No event,foul,"Wyatt Langford grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Cutter
SI,657514,608369,field_out,hit_into_play,Corey Seager flies out sharply to left fielder Jarren Duran.,2025,Sinker
FC,657514,608369,No event,ball,Corey Seager flies out sharply to left fielder Jarren Duran.,2025,Cutter
,657514,668663,strikeout,swinging_strike,Tres Barrera strikes out swinging.,2025,
,657514,668663,No event,swinging_strike,Tres Barrera strikes out swinging.,2025,
,657514,668663,No event,called_strike,Tres Barrera strikes out swinging.,2025,
,657514,676609,strikeout,called_strike,José Caballero called out on strikes.,2025,
,657514,676609,No event,ball,José Caballero called out on strikes.,2025,
,657514,676609,No event,swinging_strike,José Caballero called out on strikes.,2025,
,657514,676609,No event,called_strike,José Caballero called out on strikes.,2025,
,657514,676609,No event,ball,José Caballero called out on strikes.,2025,
,657514,676609,No event,ball,José Caballero called out on strikes.,2025,
,657514,666018,single,hit_into_play,Jonathan Aranda singles on a line drive to left fielder Karson Simas. Tristan Peters scores.,2025,
,657514,666018,No event,ball,Jonathan Aranda singles on a line drive to left fielder Karson Simas. Tristan Peters scores.,2025,
,657514,678554,field_out,hit_into_play,Curtis Mead flies out to right fielder Wilyer Abreu. Tristan Peters to 3rd.,2025,
,657514,678554,No event,called_strike,Curtis Mead flies out to right fielder Wilyer Abreu. Tristan Peters to 3rd.,2025,
,657514,671976,double,hit_into_play,Tristan Peters doubles (3) on a fly ball to left fielder Karson Simas.,2025,
,657514,671976,No event,ball,Tristan Peters doubles (3) on a fly ball to left fielder Karson Simas.,2025,
,657514,671976,No event,called_strike,Tristan Peters doubles (3) on a fly ball to left fielder Karson Simas.,2025,
,657514,642197,strikeout,swinging_strike,Jamie Westbrook strikes out swinging.,2025,
,657514,642197,No event,foul,Jamie Westbrook strikes out swinging.,2025,
,657514,642197,No event,swinging_strike,Jamie Westbrook strikes out swinging.,2025,
,657514,642197,No event,called_strike,Jamie Westbrook strikes out swinging.,2025,
,657514,666624,strikeout,swinging_strike,Christopher Morel strikes out swinging.,2025,
,657514,666624,No event,foul,Christopher Morel strikes out swinging.,2025,
,657514,666624,No event,ball,Christopher Morel strikes out swinging.,2025,
,657514,666624,No event,swinging_strike,Christopher Morel strikes out swinging.,2025,
,657514,666624,No event,called_strike,Christopher Morel strikes out swinging.,2025,
,657514,676356,strikeout,called_strike,Jonny DeLuca called out on strikes.,2025,
,657514,676356,No event,called_strike,Jonny DeLuca called out on strikes.,2025,
,657514,676356,No event,called_strike,Jonny DeLuca called out on strikes.,2025,
,657514,670764,home_run,hit_into_play,Taylor Walls homers (1) on a fly ball to left center field. José Caballero scores. Kenny Piper scores.,2025,
SI,657514,815089,field_out,hit_into_play,Coby Morales flies out to left fielder Roman Anthony.,2025,Sinker
FC,657514,815089,No event,ball,Coby Morales flies out to left fielder Roman Anthony.,2025,Cutter
SI,657514,815089,No event,ball,Coby Morales flies out to left fielder Roman Anthony.,2025,Sinker
CU,657514,815089,No event,foul,Coby Morales flies out to left fielder Roman Anthony.,2025,Curveball
FC,657514,815089,No event,called_strike,Coby Morales flies out to left fielder Roman Anthony.,2025,Cutter
SI,657514,815089,No event,ball,Coby Morales flies out to left fielder Roman Anthony.,2025,Sinker
FC,657514,815089,No event,called_strike,Coby Morales flies out to left fielder Roman Anthony.,2025,Cutter
SI,657514,656577,field_out,hit_into_play,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Sinker
FC,657514,656577,No event,foul,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Cutter
FC,657514,656577,No event,foul,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Cutter
SI,657514,656577,No event,foul,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Sinker
CH,657514,656577,No event,ball,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Changeup
CH,657514,656577,No event,ball,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Changeup
FC,657514,656577,No event,foul,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Cutter
CH,657514,656577,No event,blocked_ball,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Changeup
FC,657514,656577,No event,foul,"Alex Jackson grounds out, shortstop David Hamilton to first baseman Nick Sogard. Juan Matheus to 2nd.",2025,Cutter
SI,657514,801276,single,hit_into_play,Juan Matheus singles on a ground ball to second baseman Marcelo Mayer.,2025,Sinker
SI,657514,641555,field_out,hit_into_play,J.C. Escarra lines out sharply to center fielder Trayce Thompson.,2025,Sinker
SI,657514,642086,strikeout,called_strike,Dominic Smith called out on strikes.,2025,Sinker
SI,657514,642086,No event,called_strike,Dominic Smith called out on strikes.,2025,Sinker
SI,657514,642086,No event,ball,Dominic Smith called out on strikes.,2025,Sinker
CU,657514,642086,No event,ball,Dominic Smith called out on strikes.,2025,Curveball
FC,657514,642086,No event,called_strike,Dominic Smith called out on strikes.,2025,Cutter
FC,657514,683011,single,hit_into_play,Anthony Volpe singles on a ground ball to center fielder Trayce Thompson. Cody Bellinger scores. Jazz Chisholm Jr. scores. Anthony Volpe to 2nd. Fielding error by center fielder Trayce Thompson.,2025,Cutter
CH,657514,683011,No event,ball,Anthony Volpe singles on a ground ball to center fielder Trayce Thompson. Cody Bellinger scores. Jazz Chisholm Jr. scores. Anthony Volpe to 2nd. Fielding error by center fielder Trayce Thompson.,2025,Changeup
FC,657514,683011,No event,called_strike,Anthony Volpe singles on a ground ball to center fielder Trayce Thompson. Cody Bellinger scores. Jazz Chisholm Jr. scores. Anthony Volpe to 2nd. Fielding error by center fielder Trayce Thompson.,2025,Cutter
SI,657514,691176,strikeout,called_strike,Jasson Domínguez called out on strikes.,2025,Sinker
FC,657514,691176,No event,foul,Jasson Domínguez called out on strikes.,2025,Cutter
FC,657514,691176,No event,called_strike,Jasson Domínguez called out on strikes.,2025,Cutter
SI,657514,665862,walk,ball,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Sinker
SI,657514,665862,No event,ball,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Sinker
FC,657514,665862,No event,foul,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Cutter
SI,657514,665862,No event,called_strike,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Sinker
FC,657514,665862,No event,ball,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Cutter
SI,657514,665862,No event,called_strike,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Sinker
SI,657514,665862,No event,ball,Jazz Chisholm Jr. walks. Cody Bellinger to 2nd.,2025,Sinker
SI,657514,641355,walk,ball,Cody Bellinger walks.,2025,Sinker
SI,657514,641355,No event,ball,Cody Bellinger walks.,2025,Sinker
CU,657514,641355,No event,ball,Cody Bellinger walks.,2025,Curveball
FC,657514,641355,No event,ball,Cody Bellinger walks.,2025,Cutter
FC,657514,641355,No event,called_strike,Cody Bellinger walks.,2025,Cutter
CH,657514,642350,force_out,hit_into_play,"Jose Siri grounds into a force out, shortstop David Hamilton to second baseman Vaughn Grissom. Pete Alonso out at 2nd.",2025,Changeup
FC,657514,642350,No event,called_strike,"Jose Siri grounds into a force out, shortstop David Hamilton to second baseman Vaughn Grissom. Pete Alonso out at 2nd.",2025,Cutter
FC,657514,642350,No event,ball,"Jose Siri grounds into a force out, shortstop David Hamilton to second baseman Vaughn Grissom. Pete Alonso out at 2nd.",2025,Cutter
SI,657514,608385,field_out,hit_into_play,Jesse Winker flies out to left fielder Nick Sogard.,2025,Sinker
FC,657514,608385,No event,ball,Jesse Winker flies out to left fielder Nick Sogard.,2025,Cutter
FC,657514,608385,No event,ball,Jesse Winker flies out to left fielder Nick Sogard.,2025,Cutter
FC,657514,608385,No event,ball,Jesse Winker flies out to left fielder Nick Sogard.,2025,Cutter
CU,657514,624413,single,hit_into_play,Pete Alonso singles on a sharp line drive to left fielder Nick Sogard. Francisco Lindor to 3rd.,2025,Curveball
CH,657514,624413,No event,swinging_strike,Pete Alonso singles on a sharp line drive to left fielder Nick Sogard. Francisco Lindor to 3rd.,2025,Changeup
