pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,656271,680977,strikeout,swinging_strike,Brendan Donovan strikes out swinging.,2025,Changeup
FF,656271,680977,No event,swinging_strike,Brendan Donovan strikes out swinging.,2025,4-Seam Fastball
SL,656271,680977,No event,ball,Brendan Donovan strikes out swinging.,2025,Slider
SL,656271,680977,No event,ball,Brendan Donovan strikes out swinging.,2025,Slider
FF,656271,680977,No event,called_strike,Brendan Donovan strikes out swinging.,2025,4-Seam Fastball
FF,656271,671056,home_run,hit_into_play,Iván Herrera homers (3) on a fly ball to left field. Alec Burleson scores. Nolan Arenado scores.,2025,4-Seam Fastball
FF,656271,671056,No event,ball,Iván Herrera homers (3) on a fly ball to left field. Alec Burleson scores. Nolan Arenado scores.,2025,4-Seam Fastball
FF,656271,671056,No event,ball,Iván Herrera homers (3) on a fly ball to left field. Alec Burleson scores. Nolan Arenado scores.,2025,4-Seam Fastball
SL,656271,571448,single,hit_into_play,"Nolan Arenado singles on a ground ball to left fielder Taylor Ward, deflected by shortstop Nicky Lopez. Masyn Winn scores. Willson Contreras scores. Alec Burleson to 2nd.",2025,Slider
FF,656271,571448,No event,foul,"Nolan Arenado singles on a ground ball to left fielder Taylor Ward, deflected by shortstop Nicky Lopez. Masyn Winn scores. Willson Contreras scores. Alec Burleson to 2nd.",2025,4-Seam Fastball
SL,656271,571448,No event,foul,"Nolan Arenado singles on a ground ball to left fielder Taylor Ward, deflected by shortstop Nicky Lopez. Masyn Winn scores. Willson Contreras scores. Alec Burleson to 2nd.",2025,Slider
SI,656271,676475,walk,ball,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,Sinker
SI,656271,676475,No event,foul,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,Sinker
FF,656271,676475,No event,foul,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,4-Seam Fastball
SI,656271,676475,No event,ball,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,Sinker
FF,656271,676475,No event,foul,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,4-Seam Fastball
FF,656271,676475,No event,foul,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,4-Seam Fastball
SI,656271,676475,No event,foul,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,Sinker
FF,656271,676475,No event,ball,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,4-Seam Fastball
SL,656271,676475,No event,ball,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,Slider
FF,656271,676475,No event,swinging_strike,Alec Burleson walks. Victor Scott II scores. Masyn Winn to 3rd. Willson Contreras to 2nd.,2025,4-Seam Fastball
FF,656271,575929,walk,ball,Willson Contreras walks. Jordan Walker scores. Victor Scott II to 3rd. Masyn Winn to 2nd.,2025,4-Seam Fastball
FF,656271,575929,No event,ball,Willson Contreras walks. Jordan Walker scores. Victor Scott II to 3rd. Masyn Winn to 2nd.,2025,4-Seam Fastball
FF,656271,575929,No event,ball,Willson Contreras walks. Jordan Walker scores. Victor Scott II to 3rd. Masyn Winn to 2nd.,2025,4-Seam Fastball
FF,656271,575929,No event,ball,Willson Contreras walks. Jordan Walker scores. Victor Scott II to 3rd. Masyn Winn to 2nd.,2025,4-Seam Fastball
