pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FS,663773,669242,strikeout,swinging_strike,Tommy Edman strikes out swinging.,2024,Split-Finger
SI,663773,669242,No event,called_strike,Tommy Edman strikes out swinging.,2024,Sinker
SL,663773,669242,No event,foul,Tommy Edman strikes out swinging.,2024,Slider
SI,663773,669257,home_run,hit_into_play,Will Smith homers (1) on a fly ball to center field. Max Muncy scores.,2024,Sinker
SI,663773,669257,No event,ball,Will Smith homers (1) on a fly ball to center field. Max Muncy scores.,2024,Sinker
SI,663773,669257,No event,called_strike,Will Smith homers (1) on a fly ball to center field. Max Muncy scores.,2024,Sinker
SI,663773,571970,double,hit_into_play,Max Muncy doubles (1) on a line drive to right fielder Fernando Tatis Jr.,2024,Sinker
SI,663773,571970,No event,ball,Max Muncy doubles (1) on a line drive to right fielder Fernando Tatis Jr.,2024,Sinker
SI,663773,571970,No event,ball,Max Muncy doubles (1) on a line drive to right fielder Fernando Tatis Jr.,2024,Sinker
SI,663773,571970,No event,foul,Max Muncy doubles (1) on a line drive to right fielder Fernando Tatis Jr.,2024,Sinker
FS,663773,571970,No event,ball,Max Muncy doubles (1) on a line drive to right fielder Fernando Tatis Jr.,2024,Split-Finger
SI,663773,606192,field_out,hit_into_play,"Teoscar Hernández grounds out, pitcher Bryan Hoeing to first baseman Luis Arraez.",2024,Sinker
SI,663773,606192,No event,called_strike,"Teoscar Hernández grounds out, pitcher Bryan Hoeing to first baseman Luis Arraez.",2024,Sinker
SL,663773,605141,single,hit_into_play,Mookie Betts singles on a line drive to right fielder Fernando Tatis Jr. Enrique Hernández scores. Shohei Ohtani to 2nd.,2024,Slider
SI,663773,669242,single,hit_into_play,"Tommy Edman singles on a ground ball to center fielder Jackson Merrill, deflected by pitcher Bryan Hoeing.",2024,Sinker
FS,663773,669242,No event,ball,"Tommy Edman singles on a ground ball to center fielder Jackson Merrill, deflected by pitcher Bryan Hoeing.",2024,Split-Finger
FS,663773,669242,No event,foul,"Tommy Edman singles on a ground ball to center fielder Jackson Merrill, deflected by pitcher Bryan Hoeing.",2024,Split-Finger
FS,663773,669242,No event,ball,"Tommy Edman singles on a ground ball to center fielder Jackson Merrill, deflected by pitcher Bryan Hoeing.",2024,Split-Finger
SL,663773,669242,No event,called_strike,"Tommy Edman singles on a ground ball to center fielder Jackson Merrill, deflected by pitcher Bryan Hoeing.",2024,Slider
SI,663773,666158,field_out,hit_into_play,Gavin Lux flies out to center fielder Jackson Merrill.,2024,Sinker
FS,663773,666158,No event,ball,Gavin Lux flies out to center fielder Jackson Merrill.,2024,Split-Finger
FS,663773,666158,No event,swinging_strike_blocked,Gavin Lux flies out to center fielder Jackson Merrill.,2024,Split-Finger
FS,663773,666158,No event,ball,Gavin Lux flies out to center fielder Jackson Merrill.,2024,Split-Finger
SI,663773,669257,walk,ball,Will Smith walks.,2024,Sinker
SI,663773,669257,No event,ball,Will Smith walks.,2024,Sinker
FS,663773,669257,No event,ball,Will Smith walks.,2024,Split-Finger
SI,663773,669257,No event,ball,Will Smith walks.,2024,Sinker
SL,663773,669257,No event,called_strike,Will Smith walks.,2024,Slider
SI,663773,571970,field_out,hit_into_play,Max Muncy flies out to center fielder Jackson Merrill.,2024,Sinker
FS,663773,571970,No event,ball,Max Muncy flies out to center fielder Jackson Merrill.,2024,Split-Finger
SI,663773,669221,field_out,hit_into_play,Sean Murphy grounds out to first baseman Donovan Solano.,2024,Sinker
FS,663773,669221,No event,ball,Sean Murphy grounds out to first baseman Donovan Solano.,2024,Split-Finger
SL,663773,669221,No event,swinging_strike,Sean Murphy grounds out to first baseman Donovan Solano.,2024,Slider
SI,663773,669221,No event,ball,Sean Murphy grounds out to first baseman Donovan Solano.,2024,Sinker
SL,663773,669221,No event,called_strike,Sean Murphy grounds out to first baseman Donovan Solano.,2024,Slider
SI,663773,570482,strikeout,swinging_strike,Gio Urshela strikes out swinging.,2024,Sinker
SI,663773,570482,No event,ball,Gio Urshela strikes out swinging.,2024,Sinker
FS,663773,570482,No event,ball,Gio Urshela strikes out swinging.,2024,Split-Finger
SI,663773,570482,No event,called_strike,Gio Urshela strikes out swinging.,2024,Sinker
SL,663773,570482,No event,ball,Gio Urshela strikes out swinging.,2024,Slider
SI,663773,570482,No event,called_strike,Gio Urshela strikes out swinging.,2024,Sinker
SI,663773,657656,field_out,hit_into_play,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Sinker
SI,663773,657656,No event,foul,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Sinker
SI,663773,657656,No event,foul,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Sinker
SL,663773,657656,No event,ball,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Slider
SI,663773,657656,No event,foul,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Sinker
SL,663773,657656,No event,ball,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Slider
FS,663773,657656,No event,foul,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Split-Finger
SL,663773,657656,No event,swinging_strike,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Slider
FS,663773,657656,No event,ball,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Split-Finger
SI,663773,657656,No event,foul,Ramón Laureano flies out sharply to center fielder Jackson Merrill.,2024,Sinker
SI,663773,624585,home_run,hit_into_play,Jorge Soler homers (1) on a fly ball to center field.,2024,Sinker
SL,663773,624585,No event,called_strike,Jorge Soler homers (1) on a fly ball to center field.,2024,Slider
SI,663773,621566,field_out,hit_into_play,Matt Olson pops out to shortstop Xander Bogaerts.,2024,Sinker
FS,663773,621566,No event,ball,Matt Olson pops out to shortstop Xander Bogaerts.,2024,Split-Finger
FS,663773,621566,No event,foul,Matt Olson pops out to shortstop Xander Bogaerts.,2024,Split-Finger
SI,663773,621566,No event,foul,Matt Olson pops out to shortstop Xander Bogaerts.,2024,Sinker
SI,663773,672515,strikeout,swinging_strike,Gabriel Moreno strikes out swinging.,2024,Sinker
FS,663773,672515,No event,ball,Gabriel Moreno strikes out swinging.,2024,Split-Finger
SI,663773,672515,No event,called_strike,Gabriel Moreno strikes out swinging.,2024,Sinker
SI,663773,672515,No event,ball,Gabriel Moreno strikes out swinging.,2024,Sinker
SL,663773,672515,No event,called_strike,Gabriel Moreno strikes out swinging.,2024,Slider
SI,663773,553993,field_out,hit_into_play,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.",2024,Sinker
SI,663773,553993,No event,called_strike,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.",2024,Sinker
SI,663773,553993,No event,ball,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.",2024,Sinker
SI,663773,553993,No event,ball,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.",2024,Sinker
SL,663773,553993,No event,ball,"Eugenio Suárez grounds out sharply, second baseman Nick Ahmed to first baseman Donovan Solano.",2024,Slider
FS,663773,664983,field_out,hit_into_play,"Jake McCarthy bunt grounds out softly, pitcher Bryan Hoeing to first baseman Donovan Solano.",2024,Split-Finger
FS,663773,681624,home_run,hit_into_play,Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.,2024,Split-Finger
FS,663773,681624,No event,called_strike,Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.,2024,Split-Finger
