pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,669060,650489,field_out,hit_into_play,Willi Castro pops out softly to shortstop Brooks Baldwin.,2025,Cutter
CH,669060,650489,No event,ball,Willi Castro pops out softly to shortstop Brooks Baldwin.,2025,Changeup
FC,669060,650489,No event,called_strike,Willi Castro pops out softly to shortstop Brooks Baldwin.,2025,Cutter
SI,669060,664034,walk,ball,Ty France walks. Ryan Jeffers to 2nd.,2025,Sinker
SI,669060,664034,No event,ball,Ty France walks. Ryan Jeffers to 2nd.,2025,Sinker
SI,669060,664034,No event,ball,Ty France walks. Ryan Jeffers to 2nd.,2025,Sinker
CH,669060,664034,No event,ball,Ty France walks. Ryan Jeffers to 2nd.,2025,Changeup
CH,669060,664034,No event,foul,Ty France walks. Ryan Jeffers to 2nd.,2025,Changeup
SI,669060,664034,No event,foul,Ty France walks. Ryan Jeffers to 2nd.,2025,Sinker
FC,669060,680777,single,hit_into_play,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Cutter
CH,669060,680777,No event,ball,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Changeup
SI,669060,680777,No event,foul,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Sinker
CU,669060,680777,No event,ball,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Curveball
FC,669060,680777,No event,foul,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Cutter
CH,669060,680777,No event,ball,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Changeup
FC,669060,680777,No event,foul,Ryan Jeffers singles on a line drive to right fielder Travis Jankowski.,2025,Cutter
CH,669060,641313,strikeout,called_strike,Tim Anderson called out on strikes.,2025,Changeup
CU,669060,641313,No event,ball,Tim Anderson called out on strikes.,2025,Curveball
FF,669060,641313,No event,ball,Tim Anderson called out on strikes.,2025,4-Seam Fastball
CU,669060,641313,No event,ball,Tim Anderson called out on strikes.,2025,Curveball
CU,669060,641313,No event,swinging_strike,Tim Anderson called out on strikes.,2025,Curveball
FF,669060,641313,No event,called_strike,Tim Anderson called out on strikes.,2025,4-Seam Fastball
FC,669060,650859,field_out,hit_into_play,Luis Rengifo lines out to left fielder Andrew Benintendi.,2025,Cutter
CU,669060,650859,No event,ball,Luis Rengifo lines out to left fielder Andrew Benintendi.,2025,Curveball
FC,669060,650859,No event,ball,Luis Rengifo lines out to left fielder Andrew Benintendi.,2025,Cutter
CU,669060,650859,No event,foul,Luis Rengifo lines out to left fielder Andrew Benintendi.,2025,Curveball
FC,669060,518595,field_out,hit_into_play,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,Cutter
CH,669060,518595,No event,ball,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,Changeup
FC,669060,518595,No event,called_strike,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,Cutter
CU,669060,518595,No event,ball,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,Curveball
FC,669060,518595,No event,called_strike,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,Cutter
FF,669060,518595,No event,ball,Travis d'Arnaud flies out sharply to center fielder Luis Robert Jr.,2025,4-Seam Fastball
SI,669060,621493,grounded_into_double_play,hit_into_play,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to first baseman Andrew Vaughn. Luis Rengifo out at 3rd. Taylor Ward out at 1st.",2025,Sinker
CH,669060,621493,No event,blocked_ball,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to first baseman Andrew Vaughn. Luis Rengifo out at 3rd. Taylor Ward out at 1st.",2025,Changeup
SI,669060,621493,No event,called_strike,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to first baseman Andrew Vaughn. Luis Rengifo out at 3rd. Taylor Ward out at 1st.",2025,Sinker
SI,669060,621028,strikeout,swinging_strike,Kevin Newman strikes out swinging.,2025,Sinker
CH,669060,621028,No event,blocked_ball,Kevin Newman strikes out swinging.,2025,Changeup
CU,669060,621028,No event,blocked_ball,Kevin Newman strikes out swinging.,2025,Curveball
CU,669060,621028,No event,blocked_ball,Kevin Newman strikes out swinging.,2025,Curveball
FF,669060,621028,No event,foul,Kevin Newman strikes out swinging.,2025,4-Seam Fastball
SI,669060,621028,No event,foul_bunt,Kevin Newman strikes out swinging.,2025,Sinker
FC,669060,677347,single,hit_into_play,Kyren Paris singles on a fly ball to right fielder Brooks Baldwin. Luis Rengifo to 2nd.,2025,Cutter
FF,669060,677347,No event,foul,Kyren Paris singles on a fly ball to right fielder Brooks Baldwin. Luis Rengifo to 2nd.,2025,4-Seam Fastball
CU,669060,677347,No event,blocked_ball,Kyren Paris singles on a fly ball to right fielder Brooks Baldwin. Luis Rengifo to 2nd.,2025,Curveball
SI,669060,650859,single,hit_into_play,Luis Rengifo singles on a ground ball to left fielder Andrew Benintendi.,2025,Sinker
FC,669060,650859,No event,ball,Luis Rengifo singles on a ground ball to left fielder Andrew Benintendi.,2025,Cutter
FC,669060,650859,No event,foul,Luis Rengifo singles on a ground ball to left fielder Andrew Benintendi.,2025,Cutter
