pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,671922,665487,field_out,hit_into_play,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,4-Seam Fastball
ST,671922,665487,No event,ball,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,Sweeper
FS,671922,665487,No event,called_strike,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,Split-Finger
FF,671922,665487,No event,ball,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,4-Seam Fastball
FS,671922,665487,No event,swinging_strike,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,Split-Finger
FS,671922,665487,No event,ball,"Fernando Tatis Jr. grounds out sharply, second baseman Daniel Schneemann to first baseman Kyle Manzardo.",2025,Split-Finger
FF,671922,455117,field_out,hit_into_play,Martín Maldonado pops out softly to first baseman Kyle Manzardo.,2025,4-Seam Fastball
FF,671922,455117,No event,called_strike,Martín Maldonado pops out softly to first baseman Kyle Manzardo.,2025,4-Seam Fastball
FF,671922,578428,field_out,hit_into_play,"Jose Iglesias grounds out, first baseman Kyle Manzardo to pitcher Cade Smith.",2025,4-Seam Fastball
FF,671922,578428,No event,called_strike,"Jose Iglesias grounds out, first baseman Kyle Manzardo to pitcher Cade Smith.",2025,4-Seam Fastball
FF,671922,578428,No event,ball,"Jose Iglesias grounds out, first baseman Kyle Manzardo to pitcher Cade Smith.",2025,4-Seam Fastball
FF,671922,578428,No event,ball,"Jose Iglesias grounds out, first baseman Kyle Manzardo to pitcher Cade Smith.",2025,4-Seam Fastball
FF,671922,669004,field_out,hit_into_play,MJ Melendez pops out to shortstop Brayan Rocchio.,2025,4-Seam Fastball
FF,671922,669004,No event,ball,MJ Melendez pops out to shortstop Brayan Rocchio.,2025,4-Seam Fastball
FS,671922,669004,No event,ball,MJ Melendez pops out to shortstop Brayan Rocchio.,2025,Split-Finger
FF,671922,669004,No event,foul,MJ Melendez pops out to shortstop Brayan Rocchio.,2025,4-Seam Fastball
FF,671922,686681,single,hit_into_play,Michael Massey singles on a line drive to left fielder Steven Kwan. Vinnie Pasquantino to 3rd. Salvador Perez to 2nd.,2025,4-Seam Fastball
FF,671922,686681,No event,swinging_strike,Michael Massey singles on a line drive to left fielder Steven Kwan. Vinnie Pasquantino to 3rd. Salvador Perez to 2nd.,2025,4-Seam Fastball
FF,671922,686681,No event,foul,Michael Massey singles on a line drive to left fielder Steven Kwan. Vinnie Pasquantino to 3rd. Salvador Perez to 2nd.,2025,4-Seam Fastball
ST,671922,521692,single,hit_into_play,Salvador Perez singles on a fly ball to left fielder Steven Kwan. Kyle Isbel scores. Vinnie Pasquantino to 2nd.,2025,Sweeper
FS,671922,686469,force_out,hit_into_play,"Vinnie Pasquantino grounds into a force out, second baseman Daniel Schneemann to shortstop Brayan Rocchio. Kyle Isbel to 3rd. Jonathan India out at 2nd. Vinnie Pasquantino to 1st.",2025,Split-Finger
FS,671922,686469,No event,ball,"Vinnie Pasquantino grounds into a force out, second baseman Daniel Schneemann to shortstop Brayan Rocchio. Kyle Isbel to 3rd. Jonathan India out at 2nd. Vinnie Pasquantino to 1st.",2025,Split-Finger
FS,671922,677951,field_out,hit_into_play,Bobby Witt Jr. flies out to right fielder Nolan Jones.,2025,Split-Finger
FS,671922,677951,No event,foul,Bobby Witt Jr. flies out to right fielder Nolan Jones.,2025,Split-Finger
FF,671922,677951,No event,ball,Bobby Witt Jr. flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,671922,677951,No event,called_strike,Bobby Witt Jr. flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,671922,677951,No event,ball,Bobby Witt Jr. flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
ST,671922,521692,strikeout,swinging_strike,Salvador Perez strikes out swinging.,2025,Sweeper
ST,671922,521692,No event,swinging_strike,Salvador Perez strikes out swinging.,2025,Sweeper
FF,671922,521692,No event,called_strike,Salvador Perez strikes out swinging.,2025,4-Seam Fastball
FF,671922,686469,field_out,hit_into_play,Vinnie Pasquantino flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,671922,686469,No event,ball,Vinnie Pasquantino flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,671922,686469,No event,swinging_strike,Vinnie Pasquantino flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,671922,686469,No event,ball,Vinnie Pasquantino flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,671922,686469,No event,called_strike,Vinnie Pasquantino flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,671922,677951,strikeout,swinging_strike,Bobby Witt Jr. strikes out swinging.,2025,4-Seam Fastball
FS,671922,677951,No event,ball,Bobby Witt Jr. strikes out swinging.,2025,Split-Finger
FF,671922,677951,No event,foul,Bobby Witt Jr. strikes out swinging.,2025,4-Seam Fastball
FF,671922,677951,No event,foul,Bobby Witt Jr. strikes out swinging.,2025,4-Seam Fastball
ST,671922,677951,No event,called_strike,Bobby Witt Jr. strikes out swinging.,2025,Sweeper
FS,671922,677951,No event,ball,Bobby Witt Jr. strikes out swinging.,2025,Split-Finger
FS,671922,677951,No event,called_strike,Bobby Witt Jr. strikes out swinging.,2025,Split-Finger
FF,671922,666632,strikeout,swinging_strike,Yonathan Perlaza strikes out swinging.,2025,4-Seam Fastball
FS,671922,666632,No event,blocked_ball,Yonathan Perlaza strikes out swinging.,2025,Split-Finger
FF,671922,666632,No event,called_strike,Yonathan Perlaza strikes out swinging.,2025,4-Seam Fastball
FS,671922,666632,No event,called_strike,Yonathan Perlaza strikes out swinging.,2025,Split-Finger
FF,671922,670712,hit_by_pitch,hit_by_pitch,Mike Brosseau hit by pitch.,2025,4-Seam Fastball
ST,671922,670712,No event,ball,Mike Brosseau hit by pitch.,2025,Sweeper
ST,671922,670712,No event,foul,Mike Brosseau hit by pitch.,2025,Sweeper
FF,671922,670712,No event,called_strike,Mike Brosseau hit by pitch.,2025,4-Seam Fastball
FF,671922,670092,strikeout,swinging_strike,Trenton Brooks strikes out swinging.,2025,4-Seam Fastball
FS,671922,670092,No event,foul,Trenton Brooks strikes out swinging.,2025,Split-Finger
FS,671922,670092,No event,foul,Trenton Brooks strikes out swinging.,2025,Split-Finger
FF,671922,670092,No event,ball,Trenton Brooks strikes out swinging.,2025,4-Seam Fastball
FF,671922,670092,No event,foul,Trenton Brooks strikes out swinging.,2025,4-Seam Fastball
FS,671922,670092,No event,swinging_strike,Trenton Brooks strikes out swinging.,2025,Split-Finger
FS,671922,670092,No event,foul,Trenton Brooks strikes out swinging.,2025,Split-Finger
FF,671922,687867,grounded_into_double_play,hit_into_play,"Clay Dungan grounds into a double play, second baseman Travis Bazzana to shortstop Will Wilson to first baseman Jhonkensy Noel. Forrest Wall out at 2nd. Clay Dungan out at 1st.",2025,4-Seam Fastball
FS,671922,687867,No event,ball,"Clay Dungan grounds into a double play, second baseman Travis Bazzana to shortstop Will Wilson to first baseman Jhonkensy Noel. Forrest Wall out at 2nd. Clay Dungan out at 1st.",2025,Split-Finger
,671922,677347,single,hit_into_play,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,foul,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,foul,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,foul,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,swinging_strike,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,ball,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,called_strike,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,ball,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,677347,No event,ball,Kyren Paris singles on a soft ground ball to shortstop Brayan Rocchio. Mike Trout scores. Jorge Soler to 2nd.,2025,
,671922,681351,strikeout,swinging_strike,Logan O'Hoppe strikes out swinging.,2025,
,671922,681351,No event,foul,Logan O'Hoppe strikes out swinging.,2025,
,671922,681351,No event,swinging_strike,Logan O'Hoppe strikes out swinging.,2025,
,671922,681351,No event,foul,Logan O'Hoppe strikes out swinging.,2025,
,671922,624585,single,hit_into_play,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,624585,No event,ball,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,624585,No event,foul,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,624585,No event,ball,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,624585,No event,called_strike,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,624585,No event,swinging_strike,Jorge Soler singles on a fly ball to right fielder Wuilfredo Antunez. Mike Trout to 3rd.,2025,
,671922,545361,walk,ball,Mike Trout walks.,2025,
,671922,545361,No event,ball,Mike Trout walks.,2025,
,671922,545361,No event,foul,Mike Trout walks.,2025,
,671922,545361,No event,called_strike,Mike Trout walks.,2025,
,671922,545361,No event,ball,Mike Trout walks.,2025,
,671922,545361,No event,ball,Mike Trout walks.,2025,
,671922,676116,strikeout,swinging_strike,Ryan Noda strikes out swinging.,2025,
,671922,676116,No event,swinging_strike,Ryan Noda strikes out swinging.,2025,
,671922,676116,No event,called_strike,Ryan Noda strikes out swinging.,2025,
