pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,702674,671286,walk,ball,Johnathan Rodriguez walks.,2025,4-Seam Fastball
FF,702674,671286,No event,called_strike,Johnathan Rodriguez walks.,2025,4-Seam Fastball
SL,702674,671286,No event,ball,Johnathan Rodriguez walks.,2025,Slider
FF,702674,671286,No event,ball,Johnathan Rodriguez walks.,2025,4-Seam Fastball
CU,702674,671286,No event,ball,Johnathan Rodriguez walks.,2025,Curveball
FF,702674,696135,strikeout,swinging_strike,Kahlil Watson strikes out swinging.,2025,4-Seam Fastball
CH,702674,696135,No event,foul,Kahlil Watson strikes out swinging.,2025,Changeup
SL,702674,696135,No event,ball,Kahlil Watson strikes out swinging.,2025,Slider
CH,702674,696135,No event,foul,Kahlil Watson strikes out swinging.,2025,Changeup
FF,702674,696135,No event,foul,Kahlil Watson strikes out swinging.,2025,4-Seam Fastball
FF,702674,696135,No event,ball,Kahlil Watson strikes out swinging.,2025,4-Seam Fastball
FF,702674,686798,home_run,hit_into_play,Yordys Valdes homers (2) on a line drive to right center field. Will Wilson scores.,2025,4-Seam Fastball
FF,702674,686798,No event,ball,Yordys Valdes homers (2) on a line drive to right center field. Will Wilson scores.,2025,4-Seam Fastball
CH,702674,686798,No event,ball,Yordys Valdes homers (2) on a line drive to right center field. Will Wilson scores.,2025,Changeup
FF,702674,680971,strikeout,swinging_strike,Jake Anchia strikes out swinging.,2025,4-Seam Fastball
SL,702674,680971,No event,foul,Jake Anchia strikes out swinging.,2025,Slider
FF,702674,680971,No event,swinging_strike,Jake Anchia strikes out swinging.,2025,4-Seam Fastball
CU,702674,680971,No event,ball,Jake Anchia strikes out swinging.,2025,Curveball
FF,702674,669717,double,hit_into_play,Will Wilson doubles (1) on a sharp fly ball to center fielder Matthew Lugo. Jonah Advincula scores.,2025,4-Seam Fastball
SL,702674,669717,No event,blocked_ball,Will Wilson doubles (1) on a sharp fly ball to center fielder Matthew Lugo. Jonah Advincula scores.,2025,Slider
FF,702674,809945,walk,ball,Jonah Advincula walks.,2025,4-Seam Fastball
FF,702674,809945,No event,foul,Jonah Advincula walks.,2025,4-Seam Fastball
FF,702674,809945,No event,called_strike,Jonah Advincula walks.,2025,4-Seam Fastball
FF,702674,809945,No event,ball,Jonah Advincula walks.,2025,4-Seam Fastball
FF,702674,809945,No event,ball,Jonah Advincula walks.,2025,4-Seam Fastball
FF,702674,809945,No event,ball,Jonah Advincula walks.,2025,4-Seam Fastball
CH,702674,666310,single,hit_into_play,Bo Naylor singles on a ground ball to right fielder Gustavo Campero. Yordys Valdes scores. Kahlil Watson to 3rd.,2025,Changeup
CH,702674,666310,No event,ball,Bo Naylor singles on a ground ball to right fielder Gustavo Campero. Yordys Valdes scores. Kahlil Watson to 3rd.,2025,Changeup
CH,702674,666310,No event,called_strike,Bo Naylor singles on a ground ball to right fielder Gustavo Campero. Yordys Valdes scores. Kahlil Watson to 3rd.,2025,Changeup
SL,702674,671286,sac_fly,hit_into_play,Johnathan Rodriguez out on a sacrifice fly to center fielder Matthew Lugo. Kyle Manzardo scores. Yordys Valdes to 3rd.,2025,Slider
SL,702674,671286,No event,swinging_strike,Johnathan Rodriguez out on a sacrifice fly to center fielder Matthew Lugo. Kyle Manzardo scores. Yordys Valdes to 3rd.,2025,Slider
SL,702674,657041,single,hit_into_play,Lane Thomas singles on a line drive to right fielder Gustavo Campero. Will Wilson scores. Kyle Manzardo to 3rd. Yordys Valdes to 2nd.,2025,Slider
FF,702674,657041,No event,called_strike,Lane Thomas singles on a line drive to right fielder Gustavo Campero. Will Wilson scores. Kyle Manzardo to 3rd. Yordys Valdes to 2nd.,2025,4-Seam Fastball
FF,702674,657041,No event,called_strike,Lane Thomas singles on a line drive to right fielder Gustavo Campero. Will Wilson scores. Kyle Manzardo to 3rd. Yordys Valdes to 2nd.,2025,4-Seam Fastball
SL,702674,657041,No event,blocked_ball,Lane Thomas singles on a line drive to right fielder Gustavo Campero. Will Wilson scores. Kyle Manzardo to 3rd. Yordys Valdes to 2nd.,2025,Slider
SL,702674,657041,No event,ball,Lane Thomas singles on a line drive to right fielder Gustavo Campero. Will Wilson scores. Kyle Manzardo to 3rd. Yordys Valdes to 2nd.,2025,Slider
