pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,592155,543877,field_out,hit_into_play,Christian Vázquez pops out to third baseman Miguel Vargas.,2025,Sweeper
FC,592155,543877,No event,called_strike,Christian Vázquez pops out to third baseman Miguel Vargas.,2025,Cutter
FC,592155,664056,field_out,hit_into_play,Harrison Bader pops out to second baseman Brooks Baldwin.,2025,Cutter
FF,592155,664056,No event,ball,Harrison Bader pops out to second baseman Brooks Baldwin.,2025,4-Seam Fastball
FF,592155,664056,No event,called_strike,Harrison Bader pops out to second baseman Brooks Baldwin.,2025,4-Seam Fastball
FF,592155,666397,strikeout,swinging_strike,Edouard Julien strikes out swinging.,2025,4-Seam Fastball
ST,592155,666397,No event,swinging_strike,Edouard Julien strikes out swinging.,2025,Sweeper
ST,592155,666397,No event,called_strike,Edouard Julien strikes out swinging.,2025,Sweeper
FC,592155,650489,field_out,hit_into_play,Willi Castro lines out to shortstop Jacob Amaya.,2025,Cutter
FC,592155,664034,double,hit_into_play,Ty France doubles (1) on a line drive to left fielder Andrew Benintendi. Byron Buxton scores.,2025,Cutter
ST,592155,664034,No event,ball,Ty France doubles (1) on a line drive to left fielder Andrew Benintendi. Byron Buxton scores.,2025,Sweeper
FF,592155,664034,No event,ball,Ty France doubles (1) on a line drive to left fielder Andrew Benintendi. Byron Buxton scores.,2025,4-Seam Fastball
FC,592155,664034,No event,foul,Ty France doubles (1) on a line drive to left fielder Andrew Benintendi. Byron Buxton scores.,2025,Cutter
FC,592155,664034,No event,called_strike,Ty France doubles (1) on a line drive to left fielder Andrew Benintendi. Byron Buxton scores.,2025,Cutter
FF,592155,663616,field_out,hit_into_play,"Trevor Larnach grounds out, third baseman Miguel Vargas to first baseman Nick Maton.",2025,4-Seam Fastball
ST,592155,663616,No event,ball,"Trevor Larnach grounds out, third baseman Miguel Vargas to first baseman Nick Maton.",2025,Sweeper
ST,592155,663616,No event,called_strike,"Trevor Larnach grounds out, third baseman Miguel Vargas to first baseman Nick Maton.",2025,Sweeper
ST,592155,624585,strikeout,swinging_strike,Jorge Soler strikes out swinging.,2025,Sweeper
FC,592155,624585,No event,called_strike,Jorge Soler strikes out swinging.,2025,Cutter
ST,592155,624585,No event,ball,Jorge Soler strikes out swinging.,2025,Sweeper
FC,592155,624585,No event,foul,Jorge Soler strikes out swinging.,2025,Cutter
ST,592155,545361,strikeout,swinging_strike,Mike Trout strikes out swinging.,2025,Sweeper
FF,592155,545361,No event,foul,Mike Trout strikes out swinging.,2025,4-Seam Fastball
FC,592155,545361,No event,swinging_strike_blocked,Mike Trout strikes out swinging.,2025,Cutter
FC,592155,545361,No event,called_strike,Mike Trout strikes out swinging.,2025,Cutter
FC,592155,545361,No event,ball,Mike Trout strikes out swinging.,2025,Cutter
FF,592155,694384,single,hit_into_play,Nolan Schanuel singles on a line drive to left fielder Andrew Benintendi.,2025,4-Seam Fastball
FF,592155,694384,No event,foul,Nolan Schanuel singles on a line drive to left fielder Andrew Benintendi.,2025,4-Seam Fastball
ST,592155,694384,No event,ball,Nolan Schanuel singles on a line drive to left fielder Andrew Benintendi.,2025,Sweeper
FF,592155,694384,No event,called_strike,Nolan Schanuel singles on a line drive to left fielder Andrew Benintendi.,2025,4-Seam Fastball
ST,592155,694384,No event,ball,Nolan Schanuel singles on a line drive to left fielder Andrew Benintendi.,2025,Sweeper
ST,592155,621493,field_out,hit_into_play,Taylor Ward flies out to right fielder Travis Jankowski in foul territory.,2025,Sweeper
FC,592155,621493,No event,foul,Taylor Ward flies out to right fielder Travis Jankowski in foul territory.,2025,Cutter
FC,592155,621493,No event,called_strike,Taylor Ward flies out to right fielder Travis Jankowski in foul territory.,2025,Cutter
FC,592155,621493,No event,ball,Taylor Ward flies out to right fielder Travis Jankowski in foul territory.,2025,Cutter
FF,592155,677347,home_run,hit_into_play,Kyren Paris homers (1) on a fly ball to left center field.,2025,4-Seam Fastball
FF,592155,677347,strikeout,swinging_strike,Kyren Paris strikes out swinging.,2025,4-Seam Fastball
FF,592155,677347,No event,ball,Kyren Paris strikes out swinging.,2025,4-Seam Fastball
ST,592155,677347,No event,swinging_strike,Kyren Paris strikes out swinging.,2025,Sweeper
FF,592155,677347,No event,called_strike,Kyren Paris strikes out swinging.,2025,4-Seam Fastball
FC,592155,681351,home_run,hit_into_play,Logan O'Hoppe homers (1) on a fly ball to left field.,2025,Cutter
FC,592155,681351,No event,ball,Logan O'Hoppe homers (1) on a fly ball to left field.,2025,Cutter
FF,592155,681351,No event,ball,Logan O'Hoppe homers (1) on a fly ball to left field.,2025,4-Seam Fastball
FF,592155,681351,No event,foul,Logan O'Hoppe homers (1) on a fly ball to left field.,2025,4-Seam Fastball
ST,592155,681351,No event,called_strike,Logan O'Hoppe homers (1) on a fly ball to left field.,2025,Sweeper
FC,592155,650859,strikeout,swinging_strike,Luis Rengifo strikes out swinging.,2025,Cutter
FC,592155,650859,No event,swinging_strike,Luis Rengifo strikes out swinging.,2025,Cutter
FF,592155,650859,No event,called_strike,Luis Rengifo strikes out swinging.,2025,4-Seam Fastball
FC,592155,641313,strikeout,swinging_strike,Tim Anderson strikes out swinging.,2025,Cutter
FF,592155,641313,No event,ball,Tim Anderson strikes out swinging.,2025,4-Seam Fastball
FC,592155,641313,No event,ball,Tim Anderson strikes out swinging.,2025,Cutter
FC,592155,641313,No event,swinging_strike,Tim Anderson strikes out swinging.,2025,Cutter
FF,592155,641313,No event,called_strike,Tim Anderson strikes out swinging.,2025,4-Seam Fastball
FC,592155,641313,No event,ball,Tim Anderson strikes out swinging.,2025,Cutter
FF,592155,694977,strikeout,swinging_strike,Nate Nankil strikes out swinging.,2025,4-Seam Fastball
FC,592155,694977,No event,foul,Nate Nankil strikes out swinging.,2025,Cutter
FC,592155,694977,No event,swinging_strike,Nate Nankil strikes out swinging.,2025,Cutter
ST,592155,701548,strikeout,swinging_strike_blocked,Ali Camarillo strikes out swinging.,2025,Sweeper
FF,592155,701548,No event,ball,Ali Camarillo strikes out swinging.,2025,4-Seam Fastball
