pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,608032,681962,field_out,hit_into_play,Vinny Capra pops out to second baseman Maikel Garcia.,2025,4-Seam Fastball
FF,608032,681962,No event,foul,Vinny Capra pops out to second baseman Maikel Garcia.,2025,4-Seam Fastball
FF,608032,681962,No event,ball,Vinny Capra pops out to second baseman Maikel Garcia.,2025,4-Seam Fastball
FF,608032,681962,No event,ball,Vinny Capra pops out to second baseman Maikel Garcia.,2025,4-Seam Fastball
SL,608032,681962,No event,blocked_ball,Vinny Capra pops out to second baseman Maikel Garcia.,2025,Slider
SL,608032,681962,No event,called_strike,Vinny Capra pops out to second baseman Maikel Garcia.,2025,Slider
SL,608032,681962,No event,called_strike,Vinny Capra pops out to second baseman Maikel Garcia.,2025,Slider
FF,608032,641343,strikeout,called_strike,Jake Bauers called out on strikes.,2025,4-Seam Fastball
SL,608032,641343,No event,foul,Jake Bauers called out on strikes.,2025,Slider
SL,608032,641343,No event,ball,Jake Bauers called out on strikes.,2025,Slider
SL,608032,641343,No event,blocked_ball,Jake Bauers called out on strikes.,2025,Slider
SL,608032,641343,No event,foul,Jake Bauers called out on strikes.,2025,Slider
SL,608032,641343,No event,called_strike,Jake Bauers called out on strikes.,2025,Slider
FF,608032,686217,field_out,hit_into_play,Sal Frelick lines out to second baseman Maikel Garcia.,2025,4-Seam Fastball
FF,608032,686217,No event,called_strike,Sal Frelick lines out to second baseman Maikel Garcia.,2025,4-Seam Fastball
SL,608032,686217,No event,ball,Sal Frelick lines out to second baseman Maikel Garcia.,2025,Slider
FF,608032,661388,No event,ball,Carlos Estévez intentionally walks William Contreras.,2025,4-Seam Fastball
FF,608032,661388,No event,ball,Carlos Estévez intentionally walks William Contreras.,2025,4-Seam Fastball
SL,608032,661388,No event,called_strike,Carlos Estévez intentionally walks William Contreras.,2025,Slider
SL,608032,661388,No event,ball,Carlos Estévez intentionally walks William Contreras.,2025,Slider
FF,608032,694192,double,hit_into_play,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
SL,608032,694192,No event,ball,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,Slider
FF,608032,694192,No event,foul,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
FF,608032,694192,No event,ball,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
FF,608032,694192,No event,swinging_strike,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
FF,608032,694192,No event,ball,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
FF,608032,694192,No event,foul,Jackson Chourio doubles (3) on a sharp line drive to left fielder Cavan Biggio. Brice Turang scores.,2025,4-Seam Fastball
FF,608032,657041,strikeout,called_strike,Lane Thomas called out on strikes.,2025,4-Seam Fastball
SL,608032,657041,No event,foul,Lane Thomas called out on strikes.,2025,Slider
FF,608032,657041,No event,ball,Lane Thomas called out on strikes.,2025,4-Seam Fastball
FF,608032,657041,No event,foul,Lane Thomas called out on strikes.,2025,4-Seam Fastball
FF,608032,657041,No event,ball,Lane Thomas called out on strikes.,2025,4-Seam Fastball
FF,608032,666134,field_out,hit_into_play,Nolan Jones lines out to center fielder Kyle Isbel.,2025,4-Seam Fastball
SL,608032,666134,No event,ball,Nolan Jones lines out to center fielder Kyle Isbel.,2025,Slider
CH,608032,467793,force_out,hit_into_play,"Carlos Santana grounds into a force out, second baseman Michael Massey to shortstop Bobby Witt Jr. Kyle Manzardo out at 2nd. Carlos Santana to 1st.",2025,Changeup
FF,608032,467793,No event,ball,"Carlos Santana grounds into a force out, second baseman Michael Massey to shortstop Bobby Witt Jr. Kyle Manzardo out at 2nd. Carlos Santana to 1st.",2025,4-Seam Fastball
FF,608032,467793,No event,called_strike,"Carlos Santana grounds into a force out, second baseman Michael Massey to shortstop Bobby Witt Jr. Kyle Manzardo out at 2nd. Carlos Santana to 1st.",2025,4-Seam Fastball
FF,608032,467793,No event,foul,"Carlos Santana grounds into a force out, second baseman Michael Massey to shortstop Bobby Witt Jr. Kyle Manzardo out at 2nd. Carlos Santana to 1st.",2025,4-Seam Fastball
FF,608032,700932,walk,ball,Kyle Manzardo walks.,2025,4-Seam Fastball
FF,608032,700932,No event,ball,Kyle Manzardo walks.,2025,4-Seam Fastball
SL,608032,700932,No event,ball,Kyle Manzardo walks.,2025,Slider
CH,608032,700932,No event,ball,Kyle Manzardo walks.,2025,Changeup
SL,608032,700932,No event,called_strike,Kyle Manzardo walks.,2025,Slider
FF,608032,677587,field_out,hit_into_play,Brayan Rocchio flies out to left fielder Jonathan India.,2025,4-Seam Fastball
CH,608032,677587,No event,ball,Brayan Rocchio flies out to left fielder Jonathan India.,2025,Changeup
SL,608032,677587,No event,called_strike,Brayan Rocchio flies out to left fielder Jonathan India.,2025,Slider
FF,608032,672356,field_out,hit_into_play,"Gabriel Arias grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
FF,608032,672356,No event,ball,"Gabriel Arias grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
SL,608032,672356,No event,foul,"Gabriel Arias grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Slider
FF,608032,672356,No event,ball,"Gabriel Arias grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
SL,608032,672356,No event,foul,"Gabriel Arias grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Slider
FF,608032,666310,strikeout,swinging_strike,Bo Naylor strikes out swinging.,2025,4-Seam Fastball
CH,608032,666310,No event,ball,Bo Naylor strikes out swinging.,2025,Changeup
SL,608032,666310,No event,called_strike,Bo Naylor strikes out swinging.,2025,Slider
CH,608032,666310,No event,ball,Bo Naylor strikes out swinging.,2025,Changeup
