pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FS,672578,686611,strikeout,swinging_strike,Dylan Crews strikes out swinging.,2025,Split-Finger
FS,672578,686611,No event,swinging_strike,Dylan Crews strikes out swinging.,2025,Split-Finger
FF,672578,686611,No event,called_strike,Dylan Crews strikes out swinging.,2025,4-Seam Fastball
FF,672578,682928,walk,ball,CJ Abrams walks. José Tena to 2nd.,2025,4-Seam Fastball
FF,672578,682928,No event,called_strike,CJ Abrams walks. José Tena to 2nd.,2025,4-Seam Fastball
FF,672578,682928,No event,ball,CJ Abrams walks. José Tena to 2nd.,2025,4-Seam Fastball
FF,672578,682928,No event,ball,CJ Abrams walks. José Tena to 2nd.,2025,4-Seam Fastball
FF,672578,682928,No event,ball,CJ Abrams walks. José Tena to 2nd.,2025,4-Seam Fastball
FF,672578,696285,field_out,hit_into_play,Jacob Young flies out to right fielder Max Kepler.,2025,4-Seam Fastball
KC,672578,696285,No event,called_strike,Jacob Young flies out to right fielder Max Kepler.,2025,Knuckle Curve
FF,672578,677588,single,hit_into_play,"Umpire reviewed (play at 1st), call on the field was upheld: José Tena singles on a sharp ground ball to shortstop Edmundo Sosa, deflected by pitcher Carlos Hernández.",2025,4-Seam Fastball
KC,672578,677588,No event,ball,"Umpire reviewed (play at 1st), call on the field was upheld: José Tena singles on a sharp ground ball to shortstop Edmundo Sosa, deflected by pitcher Carlos Hernández.",2025,Knuckle Curve
KC,672578,656180,field_out,hit_into_play,Riley Adams lines out to center fielder Johan Rojas.,2025,Knuckle Curve
FF,672578,656180,No event,foul,Riley Adams lines out to center fielder Johan Rojas.,2025,4-Seam Fastball
KC,672578,663993,home_run,hit_into_play,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,Knuckle Curve
FS,672578,663993,No event,foul,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,Split-Finger
FF,672578,663993,No event,foul,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,4-Seam Fastball
FF,672578,663993,No event,foul,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,4-Seam Fastball
KC,672578,663993,No event,called_strike,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,Knuckle Curve
KC,672578,663993,No event,ball,Nathaniel Lowe homers (1) on a fly ball to center field. Amed Rosario scores.,2025,Knuckle Curve
FF,672578,642708,single,hit_into_play,Amed Rosario singles on a ground ball to shortstop Edmundo Sosa.,2025,4-Seam Fastball
FF,672578,642708,No event,called_strike,Amed Rosario singles on a ground ball to shortstop Edmundo Sosa.,2025,4-Seam Fastball
KC,672578,687597,field_out,hit_into_play,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,Knuckle Curve
FF,672578,687597,No event,foul,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
FF,672578,687597,No event,foul,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
FF,672578,687597,No event,foul,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
FF,672578,687597,No event,called_strike,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
FF,672578,687597,No event,ball,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
FF,672578,687597,No event,ball,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
KC,672578,687597,No event,ball,"Jordan Beck grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,Knuckle Curve
FF,672578,656248,hit_by_pitch,hit_by_pitch,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,4-Seam Fastball
KC,672578,656248,No event,ball,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,Knuckle Curve
FF,672578,656248,No event,ball,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,4-Seam Fastball
KC,672578,656248,No event,called_strike,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,Knuckle Curve
SL,672578,656248,No event,ball,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,Slider
FF,672578,656248,No event,called_strike,Sean Bouchard hit by pitch. Nick Martini to 2nd.,2025,4-Seam Fastball
FF,672578,605361,single,hit_into_play,Nick Martini singles on a line drive to right fielder Hunter Renfroe.,2025,4-Seam Fastball
FF,672578,605361,No event,called_strike,Nick Martini singles on a line drive to right fielder Hunter Renfroe.,2025,4-Seam Fastball
SL,672578,607732,field_out,hit_into_play,"Jacob Stallings grounds out, shortstop Maikel Garcia to first baseman Cavan Biggio.",2025,Slider
FF,672578,571657,field_out,hit_into_play,"Kyle Farmer grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,4-Seam Fastball
KC,672578,571657,No event,ball,"Kyle Farmer grounds out, third baseman Harold Castro to first baseman Cavan Biggio.",2025,Knuckle Curve
KC,672578,669911,field_out,hit_into_play,Michael Toglia lines out to first baseman Cavan Biggio.,2025,Knuckle Curve
FF,672578,669911,No event,foul,Michael Toglia lines out to first baseman Cavan Biggio.,2025,4-Seam Fastball
FS,672578,669911,No event,called_strike,Michael Toglia lines out to first baseman Cavan Biggio.,2025,Split-Finger
FS,672578,669911,No event,swinging_strike,Michael Toglia lines out to first baseman Cavan Biggio.,2025,Split-Finger
FF,672578,641857,strikeout,swinging_strike,Ryan McMahon strikes out swinging.,2025,4-Seam Fastball
FF,672578,641857,No event,foul_tip,Ryan McMahon strikes out swinging.,2025,4-Seam Fastball
FS,672578,641857,No event,ball,Ryan McMahon strikes out swinging.,2025,Split-Finger
FF,672578,641857,No event,foul,Ryan McMahon strikes out swinging.,2025,4-Seam Fastball
FF,672578,663604,fielders_choice_out,hit_into_play,"Brandon Lockridge reaches on a fielder's choice out, shortstop Austin Charles to catcher Luke Maile. Connor Joe out at home.",2025,4-Seam Fastball
FF,672578,663604,No event,ball,"Brandon Lockridge reaches on a fielder's choice out, shortstop Austin Charles to catcher Luke Maile. Connor Joe out at home.",2025,4-Seam Fastball
KC,672578,664954,field_out,hit_into_play,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,Knuckle Curve
KC,672578,664954,No event,ball,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,Knuckle Curve
FF,672578,664954,No event,foul,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,4-Seam Fastball
FS,672578,664954,No event,foul,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,Split-Finger
FF,672578,664954,No event,swinging_strike,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,4-Seam Fastball
KC,672578,664954,No event,ball,Brett Sullivan grounds out to first baseman Brett Squires. Connor Joe to 3rd.,2025,Knuckle Curve
FF,672578,656582,walk,ball,Connor Joe walks.,2025,4-Seam Fastball
FF,672578,656582,No event,ball,Connor Joe walks.,2025,4-Seam Fastball
FS,672578,656582,No event,ball,Connor Joe walks.,2025,Split-Finger
KC,672578,656582,No event,ball,Connor Joe walks.,2025,Knuckle Curve
FS,672578,672359,field_out,hit_into_play,"Tirso Ornelas grounds out, second baseman Dustin Dickerson to first baseman Harold Castro.",2025,Split-Finger
KC,672578,672359,No event,called_strike,"Tirso Ornelas grounds out, second baseman Dustin Dickerson to first baseman Harold Castro.",2025,Knuckle Curve
SL,672578,672359,No event,ball,"Tirso Ornelas grounds out, second baseman Dustin Dickerson to first baseman Harold Castro.",2025,Slider
SL,672578,660757,field_out,hit_into_play,Oscar Gonzalez flies out to shortstop Cam Devanney.,2025,Slider
FF,672578,660757,No event,called_strike,Oscar Gonzalez flies out to shortstop Cam Devanney.,2025,4-Seam Fastball
SL,672578,660757,No event,foul,Oscar Gonzalez flies out to shortstop Cam Devanney.,2025,Slider
FS,672578,670148,walk,blocked_ball,Nate Mondou walks.,2025,Split-Finger
FS,672578,670148,No event,ball,Nate Mondou walks.,2025,Split-Finger
KC,672578,670148,No event,foul,Nate Mondou walks.,2025,Knuckle Curve
KC,672578,670148,No event,ball,Nate Mondou walks.,2025,Knuckle Curve
FF,672578,670148,No event,ball,Nate Mondou walks.,2025,4-Seam Fastball
FF,672578,670148,No event,foul,Nate Mondou walks.,2025,4-Seam Fastball
FS,672578,670148,No event,swinging_strike_blocked,Nate Mondou walks.,2025,Split-Finger
FF,672578,670148,No event,foul,Nate Mondou walks.,2025,4-Seam Fastball
SL,672578,669200,home_run,hit_into_play,Mason McCoy homers (1) on a fly ball to left field.,2025,Slider
SL,672578,669200,No event,ball,Mason McCoy homers (1) on a fly ball to left field.,2025,Slider
FF,672578,670092,strikeout,called_strike,Trenton Brooks called out on strikes.,2025,4-Seam Fastball
KC,672578,670092,No event,foul,Trenton Brooks called out on strikes.,2025,Knuckle Curve
FF,672578,670092,No event,foul,Trenton Brooks called out on strikes.,2025,4-Seam Fastball
FS,672578,670092,No event,ball,Trenton Brooks called out on strikes.,2025,Split-Finger
FF,672578,670092,No event,foul,Trenton Brooks called out on strikes.,2025,4-Seam Fastball
FS,672578,670092,No event,swinging_strike,Trenton Brooks called out on strikes.,2025,Split-Finger
FF,672578,670092,No event,ball,Trenton Brooks called out on strikes.,2025,4-Seam Fastball
ST,672578,670092,No event,called_strike,Trenton Brooks called out on strikes.,2025,Sweeper
SL,672578,681962,double_play,hit_into_play,"Vinny Capra lines into an unassisted double play, third baseman Jonathan India. Raynel Delgado out at 3rd.",2025,Slider
FF,672578,681962,No event,foul_tip,"Vinny Capra lines into an unassisted double play, third baseman Jonathan India. Raynel Delgado out at 3rd.",2025,4-Seam Fastball
SL,672578,681962,No event,ball,"Vinny Capra lines into an unassisted double play, third baseman Jonathan India. Raynel Delgado out at 3rd.",2025,Slider
KC,672578,681962,No event,called_strike,"Vinny Capra lines into an unassisted double play, third baseman Jonathan India. Raynel Delgado out at 3rd.",2025,Knuckle Curve
FF,672578,686217,field_out,hit_into_play,"Sal Frelick grounds out, shortstop Cam Devanney to first baseman Jac Caglianone. Raynel Delgado to 3rd.",2025,4-Seam Fastball
KC,672578,686217,No event,called_strike,"Sal Frelick grounds out, shortstop Cam Devanney to first baseman Jac Caglianone. Raynel Delgado to 3rd.",2025,Knuckle Curve
SL,672578,686217,No event,ball,"Sal Frelick grounds out, shortstop Cam Devanney to first baseman Jac Caglianone. Raynel Delgado to 3rd.",2025,Slider
FF,672578,669384,walk,ball,Raynel Delgado walks.,2025,4-Seam Fastball
FF,672578,669384,No event,called_strike,Raynel Delgado walks.,2025,4-Seam Fastball
KC,672578,669384,No event,ball,Raynel Delgado walks.,2025,Knuckle Curve
FF,672578,669384,No event,ball,Raynel Delgado walks.,2025,4-Seam Fastball
KC,672578,669384,No event,ball,Raynel Delgado walks.,2025,Knuckle Curve
FF,672578,606992,single,hit_into_play,"Eric Haase singles on a sharp line drive to left fielder MJ Melendez. Jake Bauers out at home on the throw, left fielder MJ Melendez to catcher Carter Jensen.",2025,4-Seam Fastball
KC,672578,606992,No event,called_strike,"Eric Haase singles on a sharp line drive to left fielder MJ Melendez. Jake Bauers out at home on the throw, left fielder MJ Melendez to catcher Carter Jensen.",2025,Knuckle Curve
KC,672578,606992,No event,ball,"Eric Haase singles on a sharp line drive to left fielder MJ Melendez. Jake Bauers out at home on the throw, left fielder MJ Melendez to catcher Carter Jensen.",2025,Knuckle Curve
FF,672578,641343,double,hit_into_play,Jake Bauers doubles (3) on a line drive to left fielder MJ Melendez. Mark Canha scores.,2025,4-Seam Fastball
FS,672578,641343,No event,ball,Jake Bauers doubles (3) on a line drive to left fielder MJ Melendez. Mark Canha scores.,2025,Split-Finger
KC,672578,641343,No event,foul,Jake Bauers doubles (3) on a line drive to left fielder MJ Melendez. Mark Canha scores.,2025,Knuckle Curve
KC,672578,641343,No event,ball,Jake Bauers doubles (3) on a line drive to left fielder MJ Melendez. Mark Canha scores.,2025,Knuckle Curve
FF,672578,641343,No event,foul_tip,Jake Bauers doubles (3) on a line drive to left fielder MJ Melendez. Mark Canha scores.,2025,4-Seam Fastball
KC,672578,622534,field_out,hit_into_play,Manuel Margot flies out to left fielder MJ Melendez.,2025,Knuckle Curve
FF,672578,622534,No event,blocked_ball,Manuel Margot flies out to left fielder MJ Melendez.,2025,4-Seam Fastball
SL,672578,622534,No event,foul,Manuel Margot flies out to left fielder MJ Melendez.,2025,Slider
SL,672578,622534,No event,ball,Manuel Margot flies out to left fielder MJ Melendez.,2025,Slider
KC,672578,686554,field_out,hit_into_play,Oliver Dunn flies out to left fielder MJ Melendez.,2025,Knuckle Curve
FF,672578,686554,No event,ball,Oliver Dunn flies out to left fielder MJ Melendez.,2025,4-Seam Fastball
SL,672578,592192,walk,ball,Mark Canha walks.,2025,Slider
FF,672578,592192,No event,foul,Mark Canha walks.,2025,4-Seam Fastball
KC,672578,592192,No event,ball,Mark Canha walks.,2025,Knuckle Curve
KC,672578,592192,No event,foul,Mark Canha walks.,2025,Knuckle Curve
FF,672578,592192,No event,foul,Mark Canha walks.,2025,4-Seam Fastball
KC,672578,592192,No event,ball,Mark Canha walks.,2025,Knuckle Curve
FF,672578,592192,No event,swinging_strike,Mark Canha walks.,2025,4-Seam Fastball
SL,672578,592192,No event,ball,Mark Canha walks.,2025,Slider
,672578,683737,field_out,hit_into_play,Michael Busch pops out to catcher Freddy Fermin in foul territory.,2025,
,672578,673548,strikeout,swinging_strike,Seiya Suzuki strikes out swinging.,2025,
,672578,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,
,672578,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,
,672578,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,
,672578,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,
,672578,663656,field_out,hit_into_play,Kyle Tucker flies out to left fielder MJ Melendez.,2025,
,672578,663656,No event,ball,Kyle Tucker flies out to left fielder MJ Melendez.,2025,
,672578,663656,No event,foul,Kyle Tucker flies out to left fielder MJ Melendez.,2025,
,672578,663656,No event,called_strike,Kyle Tucker flies out to left fielder MJ Melendez.,2025,
,672578,663656,No event,foul,Kyle Tucker flies out to left fielder MJ Melendez.,2025,
KC,672578,571466,field_out,hit_into_play,Tucker Barnhart grounds out to first baseman Salvador Perez.,2025,Knuckle Curve
FF,672578,571466,No event,ball,Tucker Barnhart grounds out to first baseman Salvador Perez.,2025,4-Seam Fastball
FS,672578,571466,No event,foul,Tucker Barnhart grounds out to first baseman Salvador Perez.,2025,Split-Finger
KC,672578,571466,No event,foul,Tucker Barnhart grounds out to first baseman Salvador Perez.,2025,Knuckle Curve
