pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,672841,681481,field_out,hit_into_play,Kerry Carpenter flies out to center fielder Julio Rodríguez.,2025,Sinker
SI,672841,681481,No event,ball,Kerry Carpenter flies out to center fielder Julio Rodríguez.,2025,Sinker
CH,672841,669234,single,hit_into_play,Justyn-Henry Malloy singles on a ground ball to third baseman Jorge Polanco. Dillon Dingler scores. Javier Báez to 2nd.,2025,Changeup
SL,672841,669234,No event,swinging_strike,Justyn-Henry Malloy singles on a ground ball to third baseman Jorge Polanco. Dillon Dingler scores. Javier Báez to 2nd.,2025,Slider
SI,672841,669234,No event,ball,Justyn-Henry Malloy singles on a ground ball to third baseman Jorge Polanco. Dillon Dingler scores. Javier Báez to 2nd.,2025,Sinker
FC,672841,595879,single,hit_into_play,Javier Báez singles on a fly ball to center fielder Julio Rodríguez. Dillon Dingler to 3rd.,2025,Cutter
FC,672841,595879,No event,ball,Javier Báez singles on a fly ball to center fielder Julio Rodríguez. Dillon Dingler to 3rd.,2025,Cutter
SI,672841,595879,No event,foul,Javier Báez singles on a fly ball to center fielder Julio Rodríguez. Dillon Dingler to 3rd.,2025,Sinker
SL,672841,700242,field_out,hit_into_play,Trey Sweeney lines out to left fielder Randy Arozarena.,2025,Slider
SI,672841,700242,No event,foul,Trey Sweeney lines out to left fielder Randy Arozarena.,2025,Sinker
SI,672841,693307,single,hit_into_play,Dillon Dingler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SI,672841,693307,No event,ball,Dillon Dingler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SI,672841,693307,No event,swinging_strike,Dillon Dingler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SI,672841,693307,No event,ball,Dillon Dingler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SI,672841,656716,field_out,hit_into_play,"Zach McKinstry grounds out, second baseman Ryan Bliss to first baseman Luke Raley.",2025,Sinker
SI,672841,690993,field_out,hit_into_play,Colt Keith flies out to left fielder Randy Arozarena.,2025,Sinker
SL,672841,690993,No event,ball,Colt Keith flies out to left fielder Randy Arozarena.,2025,Slider
FF,672841,690993,No event,called_strike,Colt Keith flies out to left fielder Randy Arozarena.,2025,4-Seam Fastball
SI,672841,679529,field_out,hit_into_play,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
SI,672841,679529,No event,ball,"Spencer Torkelson grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
FC,672841,682985,field_out,hit_into_play,"Riley Greene grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Cutter
SI,672841,682985,No event,ball,"Riley Greene grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Sinker
SI,672841,682985,No event,ball,"Riley Greene grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Sinker
FC,672841,681481,field_out,hit_into_play,Kerry Carpenter flies out to right fielder Victor Robles.,2025,Cutter
SI,672841,681481,No event,called_strike,Kerry Carpenter flies out to right fielder Victor Robles.,2025,Sinker
SI,672841,669234,strikeout,called_strike,Justyn-Henry Malloy called out on strikes.,2025,Sinker
SL,672841,669234,No event,ball,Justyn-Henry Malloy called out on strikes.,2025,Slider
SI,672841,669234,No event,called_strike,Justyn-Henry Malloy called out on strikes.,2025,Sinker
SI,672841,669234,No event,swinging_strike,Justyn-Henry Malloy called out on strikes.,2025,Sinker
SI,672841,669234,No event,ball,Justyn-Henry Malloy called out on strikes.,2025,Sinker
SL,672841,595879,field_out,hit_into_play,"Javier Báez grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Slider
SI,672841,595879,No event,called_strike,"Javier Báez grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Sinker
SI,672841,595879,No event,called_strike,"Javier Báez grounds out, first baseman Luke Raley to pitcher Carlos Vargas.",2025,Sinker
FC,672841,700242,field_out,hit_into_play,"Trey Sweeney grounds out, pitcher Carlos Vargas to first baseman Luke Raley.",2025,Cutter
SI,672841,700242,No event,ball,"Trey Sweeney grounds out, pitcher Carlos Vargas to first baseman Luke Raley.",2025,Sinker
SI,672841,693307,single,hit_into_play,Dillon Dingler singles on a line drive to right fielder Victor Robles. Colt Keith scores.,2025,Sinker
SL,672841,693307,No event,ball,Dillon Dingler singles on a line drive to right fielder Victor Robles. Colt Keith scores.,2025,Slider
FC,672841,693307,No event,foul,Dillon Dingler singles on a line drive to right fielder Victor Robles. Colt Keith scores.,2025,Cutter
SI,672841,693307,No event,ball,Dillon Dingler singles on a line drive to right fielder Victor Robles. Colt Keith scores.,2025,Sinker
SI,672841,693307,No event,called_strike,Dillon Dingler singles on a line drive to right fielder Victor Robles. Colt Keith scores.,2025,Sinker
FC,672841,656716,strikeout,swinging_strike_blocked,"Zach McKinstry strikes out swinging, catcher Cal Raleigh to first baseman Luke Raley.",2025,Cutter
FC,672841,656716,No event,ball,"Zach McKinstry strikes out swinging, catcher Cal Raleigh to first baseman Luke Raley.",2025,Cutter
FC,672841,656716,No event,foul,"Zach McKinstry strikes out swinging, catcher Cal Raleigh to first baseman Luke Raley.",2025,Cutter
SI,672841,656716,No event,called_strike,"Zach McKinstry strikes out swinging, catcher Cal Raleigh to first baseman Luke Raley.",2025,Sinker
SI,672841,691777,field_out,hit_into_play,"Max Muncy grounds out softly, pitcher Carlos Vargas to first baseman Luke Raley.",2025,Sinker
SL,672841,649966,home_run,hit_into_play,Luis Urías homers (1) on a fly ball to left center field.,2025,Slider
SL,672841,649966,No event,called_strike,Luis Urías homers (1) on a fly ball to left center field.,2025,Slider
SI,672841,609280,field_out,hit_into_play,Miguel Andujar pops out to shortstop J.P. Crawford.,2025,Sinker
SL,672841,609280,No event,ball,Miguel Andujar pops out to shortstop J.P. Crawford.,2025,Slider
SL,672841,609280,No event,foul,Miguel Andujar pops out to shortstop J.P. Crawford.,2025,Slider
FC,672841,609280,No event,ball,Miguel Andujar pops out to shortstop J.P. Crawford.,2025,Cutter
SI,672841,691016,field_out,hit_into_play,Tyler Soderstrom flies out to left fielder Randy Arozarena.,2025,Sinker
FC,672841,669127,force_out,hit_into_play,"Shea Langeliers grounds into a force out, shortstop J.P. Crawford to second baseman Jorge Polanco. JJ Bleday out at 2nd.",2025,Cutter
FC,672841,669127,No event,called_strike,"Shea Langeliers grounds into a force out, shortstop J.P. Crawford to second baseman Jorge Polanco. JJ Bleday out at 2nd.",2025,Cutter
SI,672841,669127,No event,ball,"Shea Langeliers grounds into a force out, shortstop J.P. Crawford to second baseman Jorge Polanco. JJ Bleday out at 2nd.",2025,Sinker
FC,672841,669127,No event,ball,"Shea Langeliers grounds into a force out, shortstop J.P. Crawford to second baseman Jorge Polanco. JJ Bleday out at 2nd.",2025,Cutter
FC,672841,668709,single,hit_into_play,JJ Bleday singles on a ground ball to right fielder Victor Robles. Brent Rooker to 3rd.,2025,Cutter
FC,672841,668709,No event,called_strike,JJ Bleday singles on a ground ball to right fielder Victor Robles. Brent Rooker to 3rd.,2025,Cutter
FC,672841,668709,No event,ball,JJ Bleday singles on a ground ball to right fielder Victor Robles. Brent Rooker to 3rd.,2025,Cutter
SL,672841,667670,single,hit_into_play,Brent Rooker singles on a ground ball to center fielder Julio Rodríguez.,2025,Slider
FC,672841,667670,No event,swinging_strike,Brent Rooker singles on a ground ball to center fielder Julio Rodríguez.,2025,Cutter
SI,672841,686744,field_out,hit_into_play,"Jake Snider grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Sinker
SI,672841,686744,No event,called_strike,"Jake Snider grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Sinker
FC,672841,670092,double,hit_into_play,Trenton Brooks doubles (5) on a fly ball to center fielder Carlos Jimenez.,2025,Cutter
FC,672841,670092,No event,swinging_strike,Trenton Brooks doubles (5) on a fly ball to center fielder Carlos Jimenez.,2025,Cutter
SL,672841,660710,field_out,hit_into_play,"Rodolfo Durán grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Slider
SI,672841,660710,No event,swinging_strike,"Rodolfo Durán grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Sinker
SI,672841,660710,No event,ball,"Rodolfo Durán grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Sinker
FC,672841,660710,No event,ball,"Rodolfo Durán grounds out, shortstop Axel Sanchez to first baseman Gabriel Moncada.",2025,Cutter
SI,672841,687625,field_out,hit_into_play,"Kai Murphy grounds out, pitcher Carlos Vargas to first baseman Gabriel Moncada.",2025,Sinker
FC,672841,664731,strikeout,swinging_strike,P.J. Higgins strikes out swinging.,2025,Cutter
SI,672841,664731,No event,foul,P.J. Higgins strikes out swinging.,2025,Sinker
SL,672841,664731,No event,ball,P.J. Higgins strikes out swinging.,2025,Slider
SL,672841,664731,No event,ball,P.J. Higgins strikes out swinging.,2025,Slider
FC,672841,664731,No event,foul,P.J. Higgins strikes out swinging.,2025,Cutter
SI,672841,664731,No event,called_strike,P.J. Higgins strikes out swinging.,2025,Sinker
FC,672841,673995,field_out,hit_into_play,Davis Wendzel lines out to shortstop Leo Rivas.,2025,Cutter
SI,672841,673995,No event,foul,Davis Wendzel lines out to shortstop Leo Rivas.,2025,Sinker
