pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,668984,680574,strikeout,swinging_strike,Matt McLain strikes out swinging.,2025,4-Seam Fastball
FF,668984,680574,No event,called_strike,Matt McLain strikes out swinging.,2025,4-Seam Fastball
FF,668984,680574,No event,called_strike,Matt McLain strikes out swinging.,2025,4-Seam Fastball
FF,668984,670770,field_out,hit_into_play,TJ Friedl flies out to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,670770,No event,called_strike,TJ Friedl flies out to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,670770,No event,called_strike,TJ Friedl flies out to left fielder Luke Raley.,2025,4-Seam Fastball
SL,668984,702140,home_run,hit_into_play,Ruben Ibarra homers (2) on a fly ball to center field. Jacob Hurtubise scores.,2025,Slider
FF,668984,702140,No event,called_strike,Ruben Ibarra homers (2) on a fly ball to center field. Jacob Hurtubise scores.,2025,4-Seam Fastball
FF,668984,702140,No event,ball,Ruben Ibarra homers (2) on a fly ball to center field. Jacob Hurtubise scores.,2025,4-Seam Fastball
FF,668984,642851,sac_bunt,hit_into_play,"Austin Wynns out on a sacrifice bunt, pitcher Casey Legumina to first baseman Rowdy Tellez. Jacob Hurtubise to 2nd.",2025,4-Seam Fastball
ST,668984,674441,hit_by_pitch,hit_by_pitch,Jacob Hurtubise hit by pitch.,2025,Sweeper
ST,668984,674441,No event,ball,Jacob Hurtubise hit by pitch.,2025,Sweeper
FF,668984,674441,No event,foul,Jacob Hurtubise hit by pitch.,2025,4-Seam Fastball
FF,668984,674441,No event,foul,Jacob Hurtubise hit by pitch.,2025,4-Seam Fastball
FF,668984,674441,No event,called_strike,Jacob Hurtubise hit by pitch.,2025,4-Seam Fastball
FF,668984,641584,field_out,hit_into_play,"Jake Fraley grounds out, first baseman Rowdy Tellez to pitcher Casey Legumina.",2025,4-Seam Fastball
FF,668984,641584,No event,foul,"Jake Fraley grounds out, first baseman Rowdy Tellez to pitcher Casey Legumina.",2025,4-Seam Fastball
FF,668984,687952,double,hit_into_play,Christian Encarnacion-Strand doubles (3) on a sharp line drive to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,687952,No event,ball,Christian Encarnacion-Strand doubles (3) on a sharp line drive to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,687952,No event,ball,Christian Encarnacion-Strand doubles (3) on a sharp line drive to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,687952,No event,called_strike,Christian Encarnacion-Strand doubles (3) on a sharp line drive to left fielder Luke Raley.,2025,4-Seam Fastball
FF,668984,821270,field_out,hit_into_play,Luis Peña flies out to right fielder Dominic Canzone.,2025,4-Seam Fastball
FF,668984,821270,No event,ball,Luis Peña flies out to right fielder Dominic Canzone.,2025,4-Seam Fastball
ST,668984,821270,No event,blocked_ball,Luis Peña flies out to right fielder Dominic Canzone.,2025,Sweeper
FF,668984,821270,No event,foul,Luis Peña flies out to right fielder Dominic Canzone.,2025,4-Seam Fastball
ST,668984,821270,No event,ball,Luis Peña flies out to right fielder Dominic Canzone.,2025,Sweeper
ST,668984,701392,force_out,hit_into_play,"Marco Dinges grounds into a force out, shortstop Leo Rivas to third baseman Caleb Cali. Jimmy Herron out at 3rd. Dylan O'Rae to 2nd. Marco Dinges to 1st.",2025,Sweeper
FF,668984,701392,No event,called_strike,"Marco Dinges grounds into a force out, shortstop Leo Rivas to third baseman Caleb Cali. Jimmy Herron out at 3rd. Dylan O'Rae to 2nd. Marco Dinges to 1st.",2025,4-Seam Fastball
CH,668984,802506,walk,ball,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,Changeup
FF,668984,802506,No event,called_strike,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,4-Seam Fastball
FF,668984,802506,No event,ball,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,4-Seam Fastball
CH,668984,802506,No event,ball,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,Changeup
FF,668984,802506,No event,ball,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,4-Seam Fastball
SL,668984,802506,No event,foul,Dylan O'Rae walks. Jimmy Herron to 2nd.,2025,Slider
FF,668984,676939,single,hit_into_play,Jimmy Herron singles on a line drive to right fielder Dominic Canzone.,2025,4-Seam Fastball
SL,668984,676939,No event,called_strike,Jimmy Herron singles on a line drive to right fielder Dominic Canzone.,2025,Slider
FF,668984,676939,No event,ball,Jimmy Herron singles on a line drive to right fielder Dominic Canzone.,2025,4-Seam Fastball
FF,668984,676939,No event,ball,Jimmy Herron singles on a line drive to right fielder Dominic Canzone.,2025,4-Seam Fastball
CH,668984,806983,field_out,hit_into_play,"Yophery Rodriguez grounds out softly, pitcher Casey Legumina to first baseman Austin Shenton.",2025,Changeup
SL,668984,806983,No event,called_strike,"Yophery Rodriguez grounds out softly, pitcher Casey Legumina to first baseman Austin Shenton.",2025,Slider
FF,668984,670231,field_out,hit_into_play,John Rave flies out to left fielder Randy Arozarena.,2025,4-Seam Fastball
ST,668984,670231,No event,ball,John Rave flies out to left fielder Randy Arozarena.,2025,Sweeper
