pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,608717,666310,field_out,hit_into_play,Bo Naylor pops out to third baseman Maikel Garcia on the infield fly rule.,2025,4-Seam Fastball
SL,608717,666310,No event,called_strike,Bo Naylor pops out to third baseman Maikel Garcia on the infield fly rule.,2025,Slider
CU,608717,666310,No event,called_strike,Bo Naylor pops out to third baseman Maikel Garcia on the infield fly rule.,2025,Curveball
FF,608717,666134,walk,ball,Nolan Jones walks.,2025,4-Seam Fastball
FF,608717,666134,No event,called_strike,Nolan Jones walks.,2025,4-Seam Fastball
FF,608717,666134,No event,ball,Nolan Jones walks.,2025,4-Seam Fastball
CH,608717,666134,No event,ball,Nolan Jones walks.,2025,Changeup
CU,608717,666134,No event,blocked_ball,Nolan Jones walks.,2025,Curveball
CU,608717,467793,field_out,hit_into_play,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,Curveball
FF,608717,467793,No event,called_strike,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,4-Seam Fastball
FF,608717,467793,No event,called_strike,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,4-Seam Fastball
FF,608717,467793,No event,ball,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,4-Seam Fastball
FF,608717,467793,No event,ball,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,4-Seam Fastball
CH,608717,467793,No event,ball,"Carlos Santana grounds out, second baseman Michael Massey to first baseman Salvador Perez. Kyle Manzardo to 2nd.",2025,Changeup
FF,608717,700932,single,hit_into_play,Kyle Manzardo singles on a ground ball to right fielder Hunter Renfroe.,2025,4-Seam Fastball
FF,608717,657041,field_out,hit_into_play,Lane Thomas pops out to second baseman Michael Massey.,2025,4-Seam Fastball
SL,608717,657041,No event,ball,Lane Thomas pops out to second baseman Michael Massey.,2025,Slider
SL,608717,657041,No event,ball,Lane Thomas pops out to second baseman Michael Massey.,2025,Slider
FF,608717,680757,force_out,hit_into_play,"Steven Kwan grounds into a force out, pitcher Chris Stratton to shortstop Bobby Witt Jr. Daniel Schneemann scores. Brayan Rocchio out at 2nd. Steven Kwan to 1st.",2025,4-Seam Fastball
CH,608717,680757,No event,ball,"Steven Kwan grounds into a force out, pitcher Chris Stratton to shortstop Bobby Witt Jr. Daniel Schneemann scores. Brayan Rocchio out at 2nd. Steven Kwan to 1st.",2025,Changeup
CU,608717,680757,No event,foul,"Steven Kwan grounds into a force out, pitcher Chris Stratton to shortstop Bobby Witt Jr. Daniel Schneemann scores. Brayan Rocchio out at 2nd. Steven Kwan to 1st.",2025,Curveball
FF,608717,680757,No event,foul,"Steven Kwan grounds into a force out, pitcher Chris Stratton to shortstop Bobby Witt Jr. Daniel Schneemann scores. Brayan Rocchio out at 2nd. Steven Kwan to 1st.",2025,4-Seam Fastball
