pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,675989,693819,strikeout,called_strike,Kyle Nevin called out on strikes.,2025,Cutter
ST,675989,693819,No event,foul,Kyle Nevin called out on strikes.,2025,Sweeper
ST,675989,693819,No event,called_strike,Kyle Nevin called out on strikes.,2025,Sweeper
SI,675989,669899,force_out,hit_into_play,"Ryan Ward grounds into a force out, shortstop Felnin Celesten to second baseman Brock Rodden. Aaron Bracho scores. David Bote out at 2nd. Ryan Ward to 1st.",2025,Sinker
FC,675989,669899,No event,ball,"Ryan Ward grounds into a force out, shortstop Felnin Celesten to second baseman Brock Rodden. Aaron Bracho scores. David Bote out at 2nd. Ryan Ward to 1st.",2025,Cutter
SI,675989,669899,No event,blocked_ball,"Ryan Ward grounds into a force out, shortstop Felnin Celesten to second baseman Brock Rodden. Aaron Bracho scores. David Bote out at 2nd. Ryan Ward to 1st.",2025,Sinker
SI,675989,623520,walk,ball,David Bote walks.,2025,Sinker
SI,675989,623520,No event,ball,David Bote walks.,2025,Sinker
ST,675989,623520,No event,foul,David Bote walks.,2025,Sweeper
ST,675989,623520,No event,ball,David Bote walks.,2025,Sweeper
ST,675989,623520,No event,blocked_ball,David Bote walks.,2025,Sweeper
FC,675989,808975,field_out,hit_into_play,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Cutter
CH,675989,808975,No event,ball,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Changeup
CH,675989,808975,No event,ball,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Changeup
CH,675989,808975,No event,swinging_strike,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Changeup
SI,675989,808975,No event,called_strike,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Sinker
ST,675989,808975,No event,ball,"Hyeseong Kim grounds out, second baseman Brock Rodden to first baseman Hogan Windish. Aaron Bracho to 3rd.",2025,Sweeper
SI,675989,656308,single,hit_into_play,"Michael Chavis singles on a sharp line drive to left fielder Rhylan Thomas. Michael Chavis to 2nd. Michael Chavis advances to 2nd, on a fielding error by left fielder Rhylan Thomas.",2025,Sinker
FF,675989,682657,strikeout,swinging_strike,Angel Martínez strikes out swinging.,2025,4-Seam Fastball
FF,675989,682657,No event,ball,Angel Martínez strikes out swinging.,2025,4-Seam Fastball
ST,675989,682657,No event,foul,Angel Martínez strikes out swinging.,2025,Sweeper
ST,675989,682657,No event,called_strike,Angel Martínez strikes out swinging.,2025,Sweeper
SI,675989,678877,single,hit_into_play,Jhonkensy Noel singles on a ground ball to center fielder Victor Robles. Kyle Manzardo to 2nd.,2025,Sinker
CH,675989,678877,No event,ball,Jhonkensy Noel singles on a ground ball to center fielder Victor Robles. Kyle Manzardo to 2nd.,2025,Changeup
CH,675989,678877,No event,called_strike,Jhonkensy Noel singles on a ground ball to center fielder Victor Robles. Kyle Manzardo to 2nd.,2025,Changeup
SI,675989,678877,No event,ball,Jhonkensy Noel singles on a ground ball to center fielder Victor Robles. Kyle Manzardo to 2nd.,2025,Sinker
ST,675989,595978,field_out,hit_into_play,Austin Hedges flies out to left fielder Dominic Canzone.,2025,Sweeper
ST,675989,595978,No event,called_strike,Austin Hedges flies out to left fielder Dominic Canzone.,2025,Sweeper
FF,675989,595978,No event,foul,Austin Hedges flies out to left fielder Dominic Canzone.,2025,4-Seam Fastball
ST,675989,672356,field_out,hit_into_play,Gabriel Arias flies out to center fielder Victor Robles.,2025,Sweeper
ST,675989,672356,No event,swinging_strike,Gabriel Arias flies out to center fielder Victor Robles.,2025,Sweeper
SI,675989,682515,field_out,hit_into_play,"Logan Porter grounds out, shortstop Felnin Celesten to first baseman Hogan Windish.",2025,Sinker
SI,675989,682641,grounded_into_double_play,hit_into_play,"Luis Matos grounds into a double play, shortstop Felnin Celesten to second baseman Blake Rambusch to first baseman Hogan Windish. Jake Lamb out at 2nd. Luis Matos out at 1st.",2025,Sinker
ST,675989,682641,No event,blocked_ball,"Luis Matos grounds into a double play, shortstop Felnin Celesten to second baseman Blake Rambusch to first baseman Hogan Windish. Jake Lamb out at 2nd. Luis Matos out at 1st.",2025,Sweeper
SI,675989,682641,No event,called_strike,"Luis Matos grounds into a double play, shortstop Felnin Celesten to second baseman Blake Rambusch to first baseman Hogan Windish. Jake Lamb out at 2nd. Luis Matos out at 1st.",2025,Sinker
FC,675989,571875,single,hit_into_play,Jake Lamb singles on a line drive to left fielder Jared Sundstrom.,2025,Cutter
FF,675989,571875,No event,foul,Jake Lamb singles on a line drive to left fielder Jared Sundstrom.,2025,4-Seam Fastball
FF,675989,571875,No event,foul,Jake Lamb singles on a line drive to left fielder Jared Sundstrom.,2025,4-Seam Fastball
CH,675989,571875,No event,swinging_strike,Jake Lamb singles on a line drive to left fielder Jared Sundstrom.,2025,Changeup
ST,675989,571875,No event,called_strike,Jake Lamb singles on a line drive to left fielder Jared Sundstrom.,2025,Sweeper
SI,675989,672359,walk,ball,Tirso Ornelas walks. Mason McCoy to 2nd.,2025,Sinker
SI,675989,672359,No event,called_strike,Tirso Ornelas walks. Mason McCoy to 2nd.,2025,Sinker
SI,675989,672359,No event,ball,Tirso Ornelas walks. Mason McCoy to 2nd.,2025,Sinker
FC,675989,672359,No event,ball,Tirso Ornelas walks. Mason McCoy to 2nd.,2025,Cutter
FC,675989,672359,No event,ball,Tirso Ornelas walks. Mason McCoy to 2nd.,2025,Cutter
CH,675989,642180,force_out,hit_into_play,"Tyler Wade grounds into a force out, first baseman Hogan Windish to shortstop Colt Emerson. Ethan Salas to 3rd. Oscar Gonzalez out at 2nd. Tyler Wade to 1st.",2025,Changeup
SI,675989,642180,No event,foul,"Tyler Wade grounds into a force out, first baseman Hogan Windish to shortstop Colt Emerson. Ethan Salas to 3rd. Oscar Gonzalez out at 2nd. Tyler Wade to 1st.",2025,Sinker
FC,675989,642180,No event,called_strike,"Tyler Wade grounds into a force out, first baseman Hogan Windish to shortstop Colt Emerson. Ethan Salas to 3rd. Oscar Gonzalez out at 2nd. Tyler Wade to 1st.",2025,Cutter
FC,675989,642180,No event,ball,"Tyler Wade grounds into a force out, first baseman Hogan Windish to shortstop Colt Emerson. Ethan Salas to 3rd. Oscar Gonzalez out at 2nd. Tyler Wade to 1st.",2025,Cutter
SI,675989,660757,single,hit_into_play,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sinker
SI,675989,660757,No event,foul,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sinker
ST,675989,660757,No event,ball,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sweeper
SI,675989,660757,No event,called_strike,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sinker
ST,675989,660757,No event,ball,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sweeper
SI,675989,660757,No event,called_strike,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sinker
SI,675989,660757,No event,ball,Oscar Gonzalez singles on a sharp line drive to left fielder Bill Knight. Ethan Salas to 2nd.,2025,Sinker
FC,675989,806956,walk,ball,Ethan Salas walks.,2025,Cutter
CH,675989,806956,No event,ball,Ethan Salas walks.,2025,Changeup
SI,675989,806956,No event,foul,Ethan Salas walks.,2025,Sinker
FC,675989,806956,No event,foul,Ethan Salas walks.,2025,Cutter
FC,675989,806956,No event,ball,Ethan Salas walks.,2025,Cutter
FC,675989,806956,No event,ball,Ethan Salas walks.,2025,Cutter
SI,675989,553869,field_out,hit_into_play,Elias Díaz flies out to left fielder Bill Knight.,2025,Sinker
SI,675989,680700,field_out,hit_into_play,"Richie Palacios grounds out, third baseman Josh Rojas to first baseman Ty France.",2024,Sinker
FC,675989,680700,No event,swinging_strike,"Richie Palacios grounds out, third baseman Josh Rojas to first baseman Ty France.",2024,Cutter
ST,675989,670623,home_run,hit_into_play,Isaac Paredes homers (12) on a fly ball to left field. José Caballero scores.,2024,Sweeper
FC,675989,670623,No event,blocked_ball,Isaac Paredes homers (12) on a fly ball to left field. José Caballero scores.,2024,Cutter
FF,675989,670623,No event,foul,Isaac Paredes homers (12) on a fly ball to left field. José Caballero scores.,2024,4-Seam Fastball
SI,675989,670623,No event,swinging_strike,Isaac Paredes homers (12) on a fly ball to left field. José Caballero scores.,2024,Sinker
FC,675989,676609,field_error,hit_into_play,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Cutter
FF,675989,676609,No event,foul,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,4-Seam Fastball
ST,675989,676609,No event,foul,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Sweeper
ST,675989,676609,No event,foul,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Sweeper
SI,675989,676609,No event,called_strike,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Sinker
ST,675989,676609,No event,ball,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Sweeper
ST,675989,676609,No event,foul,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Sweeper
FC,675989,676609,No event,ball,José Caballero reaches on a fielding error by pitcher Cody Bolton.,2024,Cutter
FC,675989,666139,strikeout,swinging_strike,Josh Lowe strikes out swinging.,2024,Cutter
FC,675989,666139,No event,foul,Josh Lowe strikes out swinging.,2024,Cutter
ST,675989,666139,No event,ball,Josh Lowe strikes out swinging.,2024,Sweeper
SI,675989,666139,No event,ball,Josh Lowe strikes out swinging.,2024,Sinker
CH,675989,666139,No event,foul,Josh Lowe strikes out swinging.,2024,Changeup
SI,675989,666139,No event,ball,Josh Lowe strikes out swinging.,2024,Sinker
ST,675989,666139,No event,foul,Josh Lowe strikes out swinging.,2024,Sweeper
ST,675989,650490,strikeout,swinging_strike,Yandy Díaz strikes out swinging.,2024,Sweeper
CH,675989,650490,No event,ball,Yandy Díaz strikes out swinging.,2024,Changeup
ST,675989,650490,No event,foul,Yandy Díaz strikes out swinging.,2024,Sweeper
SI,675989,650490,No event,called_strike,Yandy Díaz strikes out swinging.,2024,Sinker
FC,675989,650490,No event,called_strike,Yandy Díaz strikes out swinging.,2024,Cutter
ST,675989,676356,field_out,hit_into_play,Jonny DeLuca flies out to left fielder Luke Raley.,2024,Sweeper
ST,675989,676356,No event,foul,Jonny DeLuca flies out to left fielder Luke Raley.,2024,Sweeper
ST,675989,676356,No event,ball,Jonny DeLuca flies out to left fielder Luke Raley.,2024,Sweeper
SI,675989,676356,No event,called_strike,Jonny DeLuca flies out to left fielder Luke Raley.,2024,Sinker
FC,675989,676356,No event,ball,Jonny DeLuca flies out to left fielder Luke Raley.,2024,Cutter
FC,675989,666163,single,hit_into_play,Ben Rortvedt singles on a ground ball to left fielder Luke Raley. Richie Palacios scores. Jose Siri scores. Taylor Walls to 3rd. Fielding error by left fielder Luke Raley.,2024,Cutter
CH,675989,666163,No event,ball,Ben Rortvedt singles on a ground ball to left fielder Luke Raley. Richie Palacios scores. Jose Siri scores. Taylor Walls to 3rd. Fielding error by left fielder Luke Raley.,2024,Changeup
FC,675989,670764,single,hit_into_play,Taylor Walls singles on a ground ball to shortstop J. P. Crawford. Richie Palacios to 3rd. Jose Siri to 2nd.,2024,Cutter
SI,675989,670764,No event,foul,Taylor Walls singles on a ground ball to shortstop J. P. Crawford. Richie Palacios to 3rd. Jose Siri to 2nd.,2024,Sinker
FC,675989,670764,No event,blocked_ball,Taylor Walls singles on a ground ball to shortstop J. P. Crawford. Richie Palacios to 3rd. Jose Siri to 2nd.,2024,Cutter
ST,675989,670764,No event,ball,Taylor Walls singles on a ground ball to shortstop J. P. Crawford. Richie Palacios to 3rd. Jose Siri to 2nd.,2024,Sweeper
FC,675989,665926,strikeout,swinging_strike,Andrés Giménez strikes out swinging.,2024,Cutter
CH,675989,665926,No event,swinging_strike,Andrés Giménez strikes out swinging.,2024,Changeup
CH,675989,665926,No event,ball,Andrés Giménez strikes out swinging.,2024,Changeup
ST,675989,665926,No event,called_strike,Andrés Giménez strikes out swinging.,2024,Sweeper
CH,675989,680757,single,hit_into_play,Steven Kwan singles on a line drive to center fielder Julio Rodríguez. Bo Naylor to 2nd.,2024,Changeup
FC,675989,680757,No event,ball,Steven Kwan singles on a line drive to center fielder Julio Rodríguez. Bo Naylor to 2nd.,2024,Cutter
SI,675989,680757,No event,called_strike,Steven Kwan singles on a line drive to center fielder Julio Rodríguez. Bo Naylor to 2nd.,2024,Sinker
FC,675989,666310,single,hit_into_play,Bo Naylor singles on a ground ball to right fielder Dominic Canzone. Daniel Schneemann scores.,2024,Cutter
ST,675989,666310,No event,called_strike,Bo Naylor singles on a ground ball to right fielder Dominic Canzone. Daniel Schneemann scores.,2024,Sweeper
CH,675989,666310,No event,blocked_ball,Bo Naylor singles on a ground ball to right fielder Dominic Canzone. Daniel Schneemann scores.,2024,Changeup
ST,675989,666310,No event,ball,Bo Naylor singles on a ground ball to right fielder Dominic Canzone. Daniel Schneemann scores.,2024,Sweeper
SI,675989,671289,field_out,hit_into_play,Tyler Freeman pops out to second baseman Ryan Bliss.,2024,Sinker
ST,675989,671289,No event,called_strike,Tyler Freeman pops out to second baseman Ryan Bliss.,2024,Sweeper
CH,675989,682177,walk,ball,Daniel Schneemann walks.,2024,Changeup
FC,675989,682177,No event,called_strike,Daniel Schneemann walks.,2024,Cutter
SI,675989,682177,No event,called_strike,Daniel Schneemann walks.,2024,Sinker
FC,675989,682177,No event,ball,Daniel Schneemann walks.,2024,Cutter
FC,675989,682177,No event,ball,Daniel Schneemann walks.,2024,Cutter
CH,675989,682177,No event,ball,Daniel Schneemann walks.,2024,Changeup
CH,675989,686823,field_out,hit_into_play,"Will Brennan grounds out, pitcher Cody Bolton to first baseman Ty France.",2024,Changeup
ST,675989,686823,No event,swinging_strike,"Will Brennan grounds out, pitcher Cody Bolton to first baseman Ty France.",2024,Sweeper
FC,675989,665742,strikeout,swinging_strike,Juan Soto strikes out swinging.,2024,Cutter
SI,675989,665742,No event,foul_tip,Juan Soto strikes out swinging.,2024,Sinker
FC,675989,665742,No event,swinging_strike,Juan Soto strikes out swinging.,2024,Cutter
FF,675989,683011,walk,ball,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,4-Seam Fastball
FC,675989,683011,No event,blocked_ball,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Cutter
FF,675989,683011,No event,foul,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,4-Seam Fastball
CH,675989,683011,No event,foul,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Changeup
ST,675989,683011,No event,foul,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Sweeper
SI,675989,683011,No event,ball,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Sinker
ST,675989,683011,No event,foul,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Sweeper
ST,675989,683011,No event,called_strike,Anthony Volpe walks.   Anthony Rizzo to 3rd.    Oswaldo Cabrera to 2nd.,2024,Sweeper
