pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,666142,661388,field_out,hit_into_play,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Changeup
FF,666142,661388,No event,foul,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
FF,666142,661388,No event,ball,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
FF,666142,661388,No event,foul,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
CH,666142,661388,No event,ball,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Changeup
FF,666142,661388,No event,foul,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
KC,666142,661388,No event,blocked_ball,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Knuckle Curve
FF,666142,661388,No event,foul,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
FF,666142,661388,No event,foul,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
FF,666142,661388,No event,swinging_strike,"William Contreras grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
CH,666142,686555,force_out,hit_into_play,"Isaac Collins grounds into a force out, fielded by second baseman Michael Massey. Jackson Chourio out at 2nd. Isaac Collins to 1st.",2025,Changeup
FF,666142,686555,No event,swinging_strike,"Isaac Collins grounds into a force out, fielded by second baseman Michael Massey. Jackson Chourio out at 2nd. Isaac Collins to 1st.",2025,4-Seam Fastball
FF,666142,694192,single,hit_into_play,Jackson Chourio singles on a ground ball to shortstop Bobby Witt Jr.,2025,4-Seam Fastball
SL,666142,694192,No event,called_strike,Jackson Chourio singles on a ground ball to shortstop Bobby Witt Jr.,2025,Slider
CH,666142,694192,No event,called_strike,Jackson Chourio singles on a ground ball to shortstop Bobby Witt Jr.,2025,Changeup
KC,666142,694192,No event,ball,Jackson Chourio singles on a ground ball to shortstop Bobby Witt Jr.,2025,Knuckle Curve
FF,666142,668930,strikeout,swinging_strike,Brice Turang strikes out swinging.,2025,4-Seam Fastball
FF,666142,668930,No event,foul,Brice Turang strikes out swinging.,2025,4-Seam Fastball
FF,666142,668930,No event,foul,Brice Turang strikes out swinging.,2025,4-Seam Fastball
SL,666142,668930,No event,swinging_strike,Brice Turang strikes out swinging.,2025,Slider
CH,666142,668930,No event,ball,Brice Turang strikes out swinging.,2025,Changeup
FF,666142,668930,No event,foul,Brice Turang strikes out swinging.,2025,4-Seam Fastball
SL,666142,668930,No event,ball,Brice Turang strikes out swinging.,2025,Slider
FF,666142,687401,strikeout,swinging_strike,Joey Ortiz strikes out swinging.,2025,4-Seam Fastball
FF,666142,687401,No event,swinging_strike,Joey Ortiz strikes out swinging.,2025,4-Seam Fastball
KC,666142,687401,No event,called_strike,Joey Ortiz strikes out swinging.,2025,Knuckle Curve
KC,666142,687401,No event,ball,Joey Ortiz strikes out swinging.,2025,Knuckle Curve
FF,666142,669003,walk,ball,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,4-Seam Fastball
KC,666142,669003,No event,ball,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,Knuckle Curve
FF,666142,669003,No event,foul,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,4-Seam Fastball
SL,666142,669003,No event,swinging_strike,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,Slider
FF,666142,669003,No event,ball,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,4-Seam Fastball
FF,666142,669003,No event,ball,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,4-Seam Fastball
FF,666142,669003,No event,called_strike,Garrett Mitchell walks. Vinny Capra to 2nd.,2025,4-Seam Fastball
FF,666142,681962,force_out,hit_into_play,"Vinny Capra grounds into a force out, third baseman Jonathan India to second baseman Michael Massey. Rhys Hoskins out at 2nd. Vinny Capra to 1st.",2025,4-Seam Fastball
CH,666142,681962,No event,ball,"Vinny Capra grounds into a force out, third baseman Jonathan India to second baseman Michael Massey. Rhys Hoskins out at 2nd. Vinny Capra to 1st.",2025,Changeup
FF,666142,681962,No event,called_strike,"Vinny Capra grounds into a force out, third baseman Jonathan India to second baseman Michael Massey. Rhys Hoskins out at 2nd. Vinny Capra to 1st.",2025,4-Seam Fastball
KC,666142,656555,walk,ball,Rhys Hoskins walks.,2025,Knuckle Curve
CH,666142,656555,No event,ball,Rhys Hoskins walks.,2025,Changeup
CH,666142,656555,No event,foul,Rhys Hoskins walks.,2025,Changeup
FF,666142,656555,No event,foul,Rhys Hoskins walks.,2025,4-Seam Fastball
KC,666142,656555,No event,foul,Rhys Hoskins walks.,2025,Knuckle Curve
CH,666142,656555,No event,called_strike,Rhys Hoskins walks.,2025,Changeup
FF,666142,656555,No event,ball,Rhys Hoskins walks.,2025,4-Seam Fastball
FF,666142,656555,No event,ball,Rhys Hoskins walks.,2025,4-Seam Fastball
SL,666142,686217,strikeout,swinging_strike_blocked,Sal Frelick strikes out swinging.,2025,Slider
KC,666142,686217,No event,ball,Sal Frelick strikes out swinging.,2025,Knuckle Curve
FF,666142,686217,No event,ball,Sal Frelick strikes out swinging.,2025,4-Seam Fastball
FF,666142,686217,No event,foul,Sal Frelick strikes out swinging.,2025,4-Seam Fastball
FF,666142,686217,No event,swinging_strike,Sal Frelick strikes out swinging.,2025,4-Seam Fastball
FF,666142,686217,No event,called_strike,Sal Frelick strikes out swinging.,2025,4-Seam Fastball
FF,666142,661388,strikeout,swinging_strike,William Contreras strikes out swinging.,2025,4-Seam Fastball
CH,666142,661388,No event,ball,William Contreras strikes out swinging.,2025,Changeup
SL,666142,661388,No event,called_strike,William Contreras strikes out swinging.,2025,Slider
FF,666142,661388,No event,called_strike,William Contreras strikes out swinging.,2025,4-Seam Fastball
SL,666142,661388,No event,ball,William Contreras strikes out swinging.,2025,Slider
KC,666142,686555,strikeout,swinging_strike,Isaac Collins strikes out swinging.,2025,Knuckle Curve
FF,666142,686555,No event,ball,Isaac Collins strikes out swinging.,2025,4-Seam Fastball
FF,666142,686555,No event,called_strike,Isaac Collins strikes out swinging.,2025,4-Seam Fastball
FF,666142,686555,No event,swinging_strike,Isaac Collins strikes out swinging.,2025,4-Seam Fastball
CH,666142,686555,No event,ball,Isaac Collins strikes out swinging.,2025,Changeup
FF,666142,694192,strikeout,called_strike,Jackson Chourio called out on strikes.,2025,4-Seam Fastball
FF,666142,694192,No event,foul,Jackson Chourio called out on strikes.,2025,4-Seam Fastball
SL,666142,694192,No event,ball,Jackson Chourio called out on strikes.,2025,Slider
FF,666142,694192,No event,foul,Jackson Chourio called out on strikes.,2025,4-Seam Fastball
KC,666142,668930,strikeout,foul_tip,Brice Turang strikes out on a foul tip.,2025,Knuckle Curve
FF,666142,668930,No event,foul,Brice Turang strikes out on a foul tip.,2025,4-Seam Fastball
SL,666142,668930,No event,blocked_ball,Brice Turang strikes out on a foul tip.,2025,Slider
FF,666142,668930,No event,foul,Brice Turang strikes out on a foul tip.,2025,4-Seam Fastball
FF,666142,668930,No event,ball,Brice Turang strikes out on a foul tip.,2025,4-Seam Fastball
FF,666142,668930,No event,swinging_strike,Brice Turang strikes out on a foul tip.,2025,4-Seam Fastball
FC,666142,687401,single,hit_into_play,Joey Ortiz singles on a ground ball to center fielder Kyle Isbel. Vinny Capra to 2nd.,2025,Cutter
FF,666142,669003,field_out,hit_into_play,Garrett Mitchell flies out sharply to left fielder Cavan Biggio.,2025,4-Seam Fastball
