pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,676092,690993,double,hit_into_play,Colt Keith doubles (1) on a sharp line drive to right fielder Victor Robles.,2025,4-Seam Fastball
FC,676092,690993,No event,foul,Colt Keith doubles (1) on a sharp line drive to right fielder Victor Robles.,2025,Cutter
ST,676092,690993,No event,ball,Colt Keith doubles (1) on a sharp line drive to right fielder Victor Robles.,2025,Sweeper
ST,676092,679529,field_out,hit_into_play,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
FF,676092,679529,No event,ball,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,4-Seam Fastball
ST,676092,679529,No event,ball,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
ST,676092,679529,No event,ball,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
FF,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,4-Seam Fastball
ST,676092,679529,No event,foul,Spencer Torkelson flies out to left fielder Randy Arozarena.,2025,Sweeper
FC,676092,682985,strikeout,called_strike,Riley Greene called out on strikes.,2025,Cutter
FF,676092,682985,No event,foul,Riley Greene called out on strikes.,2025,4-Seam Fastball
ST,676092,682985,No event,foul,Riley Greene called out on strikes.,2025,Sweeper
FC,676092,682985,No event,foul,Riley Greene called out on strikes.,2025,Cutter
ST,676092,682985,No event,swinging_strike_blocked,Riley Greene called out on strikes.,2025,Sweeper
SI,676092,682985,No event,ball,Riley Greene called out on strikes.,2025,Sinker
FC,676092,681481,double,hit_into_play,Kerry Carpenter doubles (1) on a sharp line drive to center fielder Julio Rodríguez. Justyn-Henry Malloy scores.,2025,Cutter
FF,676092,669234,walk,ball,Justyn-Henry Malloy walks.,2025,4-Seam Fastball
ST,676092,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Sweeper
ST,676092,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Sweeper
ST,676092,669234,No event,ball,Justyn-Henry Malloy walks.,2025,Sweeper
ST,676092,669234,No event,foul,Justyn-Henry Malloy walks.,2025,Sweeper
FF,676092,669234,No event,foul,Justyn-Henry Malloy walks.,2025,4-Seam Fastball
ST,676092,669234,No event,called_strike,Justyn-Henry Malloy walks.,2025,Sweeper
ST,676092,595879,grounded_into_double_play,hit_into_play,"Javier Báez grounds into a double play, third baseman Jorge Polanco to second baseman Ryan Bliss to first baseman Luke Raley. Trey Sweeney out at 2nd. Javier Báez out at 1st.",2025,Sweeper
FF,676092,595879,No event,ball,"Javier Báez grounds into a double play, third baseman Jorge Polanco to second baseman Ryan Bliss to first baseman Luke Raley. Trey Sweeney out at 2nd. Javier Báez out at 1st.",2025,4-Seam Fastball
FF,676092,595879,No event,ball,"Javier Báez grounds into a double play, third baseman Jorge Polanco to second baseman Ryan Bliss to first baseman Luke Raley. Trey Sweeney out at 2nd. Javier Báez out at 1st.",2025,4-Seam Fastball
FF,676092,595879,No event,swinging_strike,"Javier Báez grounds into a double play, third baseman Jorge Polanco to second baseman Ryan Bliss to first baseman Luke Raley. Trey Sweeney out at 2nd. Javier Báez out at 1st.",2025,4-Seam Fastball
FC,676092,700242,single,hit_into_play,Trey Sweeney singles on a ground ball to second baseman Ryan Bliss.,2025,Cutter
FC,676092,700242,No event,called_strike,Trey Sweeney singles on a ground ball to second baseman Ryan Bliss.,2025,Cutter
FC,676092,667670,single,hit_into_play,Brent Rooker singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores.,2025,Cutter
ST,676092,667670,No event,foul,Brent Rooker singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores.,2025,Sweeper
ST,676092,667670,No event,ball,Brent Rooker singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores.,2025,Sweeper
ST,676092,667670,No event,foul,Brent Rooker singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores.,2025,Sweeper
FF,676092,667670,No event,foul,Brent Rooker singles on a ground ball to third baseman Jorge Polanco. Jacob Wilson scores.,2025,4-Seam Fastball
FF,676092,671732,field_out,hit_into_play,"Lawrence Butler grounds out, second baseman Ryan Bliss to first baseman Dylan Moore. Jacob Wilson to 3rd.",2025,4-Seam Fastball
FC,676092,671732,No event,ball,"Lawrence Butler grounds out, second baseman Ryan Bliss to first baseman Dylan Moore. Jacob Wilson to 3rd.",2025,Cutter
ST,676092,805779,field_error,hit_into_play,Jacob Wilson reaches on a fielding error by pitcher Collin Snider. Jacob Wilson to 2nd.,2025,Sweeper
ST,676092,805779,No event,foul,Jacob Wilson reaches on a fielding error by pitcher Collin Snider. Jacob Wilson to 2nd.,2025,Sweeper
SI,676092,805779,No event,foul,Jacob Wilson reaches on a fielding error by pitcher Collin Snider. Jacob Wilson to 2nd.,2025,Sinker
ST,676092,805779,No event,called_strike,Jacob Wilson reaches on a fielding error by pitcher Collin Snider. Jacob Wilson to 2nd.,2025,Sweeper
ST,676092,805779,No event,ball,Jacob Wilson reaches on a fielding error by pitcher Collin Snider. Jacob Wilson to 2nd.,2025,Sweeper
FF,676092,691777,strikeout,swinging_strike,Max Muncy strikes out swinging.,2025,4-Seam Fastball
ST,676092,691777,No event,called_strike,Max Muncy strikes out swinging.,2025,Sweeper
ST,676092,691777,No event,swinging_strike,Max Muncy strikes out swinging.,2025,Sweeper
ST,676092,649966,field_out,hit_into_play,Luis Urías flies out to shortstop J.P. Crawford.,2025,Sweeper
ST,676092,649966,No event,foul,Luis Urías flies out to shortstop J.P. Crawford.,2025,Sweeper
FF,676092,649966,No event,ball,Luis Urías flies out to shortstop J.P. Crawford.,2025,4-Seam Fastball
FF,676092,701392,single,hit_into_play,Marco Dinges singles on a ground ball to center fielder Luke Raley.,2025,4-Seam Fastball
ST,676092,701392,No event,called_strike,Marco Dinges singles on a ground ball to center fielder Luke Raley.,2025,Sweeper
ST,676092,701392,No event,ball,Marco Dinges singles on a ground ball to center fielder Luke Raley.,2025,Sweeper
FF,676092,695501,home_run,hit_into_play,Blake Burke homers (1) on a fly ball to right center field.,2025,4-Seam Fastball
FC,676092,695501,No event,ball,Blake Burke homers (1) on a fly ball to right center field.,2025,Cutter
FC,676092,695501,No event,ball,Blake Burke homers (1) on a fly ball to right center field.,2025,Cutter
