pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,681867,668939,field_out,hit_into_play,Adley Rutschman lines out to second baseman Kristian Campbell.,2025,Cutter
CH,681867,668939,No event,foul,Adley Rutschman lines out to second baseman Kristian Campbell.,2025,Changeup
CH,681867,668939,No event,ball,Adley Rutschman lines out to second baseman Kristian Campbell.,2025,Changeup
ST,681867,668939,No event,ball,Adley Rutschman lines out to second baseman Kristian Campbell.,2025,Sweeper
CH,681867,676059,force_out,hit_into_play,"Jordan Westburg grounds into a force out, fielded by second baseman Kristian Campbell. Ramón Urías to 3rd. Jackson Holliday out at 2nd. Jordan Westburg to 1st.",2025,Changeup
CH,681867,702616,single,hit_into_play,Jackson Holliday singles on a line drive to left fielder Jarren Duran. Dylan Carlson scores. Ramón Urías to 2nd.,2025,Changeup
CH,681867,602104,force_out,hit_into_play,"Umpire reviewed (play at 1st), call on the field was overturned: Umpire reviewed (force play), call on the field was upheld: Ramón Urías grounds into a force out, third baseman Alex Bregman to second baseman Kristian Campbell. Dylan Carlson to 3rd. Cedric Mullins out at 2nd. Ramón Urías to 1st.",2025,Changeup
SI,681867,602104,No event,called_strike,"Umpire reviewed (play at 1st), call on the field was overturned: Umpire reviewed (force play), call on the field was upheld: Ramón Urías grounds into a force out, third baseman Alex Bregman to second baseman Kristian Campbell. Dylan Carlson to 3rd. Cedric Mullins out at 2nd. Ramón Urías to 1st.",2025,Sinker
CH,681867,656775,single,hit_into_play,"Cedric Mullins singles on a ground ball to center fielder Ceddanne Rafaela, deflected by pitcher Cooper Criswell. Ryan Mountcastle scores. Jorge Mateo scores. Dylan Carlson to 2nd.",2025,Changeup
FC,681867,656775,No event,ball,"Cedric Mullins singles on a ground ball to center fielder Ceddanne Rafaela, deflected by pitcher Cooper Criswell. Ryan Mountcastle scores. Jorge Mateo scores. Dylan Carlson to 2nd.",2025,Cutter
,681867,806263,field_out,hit_into_play,"Brandon Winokur grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,681867,806263,No event,ball,"Brandon Winokur grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,681867,806263,No event,called_strike,"Brandon Winokur grounds out, shortstop Trevor Story to first baseman Triston Casas.",2025,
,681867,669137,single,hit_into_play,"Armando Alvarez singles on a line drive to right fielder Wilyer Abreu. Austin Martin scores. Armando Alvarez out at 2nd on the throw, right fielder Wilyer Abreu to shortstop Trevor Story to second baseman Kristian Campbell to first baseman Triston Casas to shortstop Trevor Story. DaShawn Keirsey Jr. to 3rd.",2025,
,681867,680577,single,hit_into_play,DaShawn Keirsey Jr. singles on a line drive to right fielder Wilyer Abreu. Austin Martin to 3rd.,2025,
,681867,668885,single,hit_into_play,"Austin Martin singles on a ground ball to first baseman Triston Casas. Austin Martin to 2nd. Austin Martin advances to 2nd, on a fielding error by pitcher Cooper Criswell.",2025,
,681867,668885,No event,foul,"Austin Martin singles on a ground ball to first baseman Triston Casas. Austin Martin to 2nd. Austin Martin advances to 2nd, on a fielding error by pitcher Cooper Criswell.",2025,
,681867,668885,No event,ball,"Austin Martin singles on a ground ball to first baseman Triston Casas. Austin Martin to 2nd. Austin Martin advances to 2nd, on a fielding error by pitcher Cooper Criswell.",2025,
,681867,668885,No event,foul,"Austin Martin singles on a ground ball to first baseman Triston Casas. Austin Martin to 2nd. Austin Martin advances to 2nd, on a fielding error by pitcher Cooper Criswell.",2025,
,681867,668885,No event,ball,"Austin Martin singles on a ground ball to first baseman Triston Casas. Austin Martin to 2nd. Austin Martin advances to 2nd, on a fielding error by pitcher Cooper Criswell.",2025,
,681867,543877,field_out,hit_into_play,Christian Vázquez lines out to shortstop Trevor Story.,2025,
,681867,543877,No event,ball,Christian Vázquez lines out to shortstop Trevor Story.,2025,
,681867,669304,field_out,hit_into_play,"Jose Miranda grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,
,681867,669304,No event,ball,"Jose Miranda grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,
,681867,669304,No event,foul,"Jose Miranda grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,
,681867,669304,No event,ball,"Jose Miranda grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,
