pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,682967,669369,sac_fly,hit_into_play,Bryce Johnson out on a sacrifice fly to center fielder Elio Prado. DJ Stewart scores.,2025,Slider
CH,682967,669369,No event,called_strike,Bryce Johnson out on a sacrifice fly to center fielder Elio Prado. DJ Stewart scores.,2025,Changeup
CH,682967,694377,sac_fly,hit_into_play,Nick Yorke out on a sacrifice fly to right fielder Leandro Pineda. Nick Solak scores. DJ Stewart to 3rd.,2025,Changeup
CH,682967,694377,No event,blocked_ball,Nick Yorke out on a sacrifice fly to right fielder Leandro Pineda. Nick Solak scores. DJ Stewart to 3rd.,2025,Changeup
FF,682967,694377,No event,ball,Nick Yorke out on a sacrifice fly to right fielder Leandro Pineda. Nick Solak scores. DJ Stewart to 3rd.,2025,4-Seam Fastball
CH,682967,621466,double,hit_into_play,DJ Stewart hits a ground-rule double (5) on a line drive to right field. Nick Solak to 3rd.,2025,Changeup
FF,682967,621466,No event,ball,DJ Stewart hits a ground-rule double (5) on a line drive to right field. Nick Solak to 3rd.,2025,4-Seam Fastball
FF,682967,621466,No event,ball,DJ Stewart hits a ground-rule double (5) on a line drive to right field. Nick Solak to 3rd.,2025,4-Seam Fastball
SL,682967,669256,single,hit_into_play,Nick Solak singles on a ground ball to center fielder Elio Prado.,2025,Slider
CH,682967,669256,No event,ball,Nick Solak singles on a ground ball to center fielder Elio Prado.,2025,Changeup
SL,682967,669256,No event,called_strike,Nick Solak singles on a ground ball to center fielder Elio Prado.,2025,Slider
FF,682967,675961,field_out,hit_into_play,Alika Williams lines out to right fielder Leandro Pineda.,2025,4-Seam Fastball
SL,682967,675961,No event,foul,Alika Williams lines out to right fielder Leandro Pineda.,2025,Slider
CH,682967,675961,No event,swinging_strike,Alika Williams lines out to right fielder Leandro Pineda.,2025,Changeup
FF,682967,675961,No event,called_strike,Alika Williams lines out to right fielder Leandro Pineda.,2025,4-Seam Fastball
CH,682967,682848,walk,ball,Endy Rodríguez walks.,2025,Changeup
