pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,689672,669004,field_out,hit_into_play,MJ Melendez grounds out to first baseman Andrew Vaughn.,2024,Changeup
CH,689672,669004,No event,foul,MJ Melendez grounds out to first baseman Andrew Vaughn.,2024,Changeup
CH,689672,669004,No event,swinging_strike,MJ Melendez grounds out to first baseman Andrew Vaughn.,2024,Changeup
CH,689672,669004,No event,swinging_strike,MJ Melendez grounds out to first baseman Andrew Vaughn.,2024,Changeup
CH,689672,669004,No event,ball,MJ Melendez grounds out to first baseman Andrew Vaughn.,2024,Changeup
FF,689672,592669,sac_fly,hit_into_play,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,2024,4-Seam Fastball
CH,689672,592669,No event,foul,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,2024,Changeup
CH,689672,592669,No event,ball,Hunter Renfroe out on a sacrifice fly to center fielder Dominic Fletcher.   Bobby Witt Jr.  scores.    Salvador Perez to 3rd.,2024,Changeup
SL,689672,521692,double,hit_into_play,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,2024,Slider
SL,689672,521692,No event,ball,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,2024,Slider
SL,689672,521692,No event,swinging_strike,Salvador Perez doubles (17) on a sharp line drive to center fielder Dominic Fletcher.   Maikel Garcia scores.    Bobby Witt Jr.  to 3rd.,2024,Slider
FC,689672,686469,field_out,hit_into_play,Vinnie Pasquantino grounds out sharply to first baseman Andrew Vaughn.   Maikel Garcia to 3rd.    Bobby Witt Jr.  to 2nd.,2024,Cutter
CH,689672,686469,No event,ball,Vinnie Pasquantino grounds out sharply to first baseman Andrew Vaughn.   Maikel Garcia to 3rd.    Bobby Witt Jr.  to 2nd.,2024,Changeup
SL,689672,677951,single,hit_into_play,Bobby Witt Jr.  singles on a sharp ground ball to third baseman Nick Senzel.   Maikel Garcia to 2nd.,2024,Slider
CH,689672,672580,single,hit_into_play,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,2024,Changeup
FC,689672,672580,No event,ball,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,2024,Cutter
CH,689672,672580,No event,ball,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,2024,Changeup
FF,689672,672580,No event,called_strike,Maikel Garcia singles on a fly ball to center fielder Dominic Fletcher.,2024,4-Seam Fastball
CH,689672,664728,field_out,hit_into_play,Kyle Isbel lines out to center fielder Dominic Fletcher.,2024,Changeup
FC,689672,664728,No event,foul,Kyle Isbel lines out to center fielder Dominic Fletcher.,2024,Cutter
FF,689672,664728,No event,called_strike,Kyle Isbel lines out to center fielder Dominic Fletcher.,2024,4-Seam Fastball
CH,689672,666023,field_out,hit_into_play,Freddy Fermin flies out to left fielder Miguel Vargas.,2024,Changeup
CH,689672,666023,No event,foul,Freddy Fermin flies out to left fielder Miguel Vargas.,2024,Changeup
FF,689672,666023,No event,ball,Freddy Fermin flies out to left fielder Miguel Vargas.,2024,4-Seam Fastball
FF,689672,666023,No event,ball,Freddy Fermin flies out to left fielder Miguel Vargas.,2024,4-Seam Fastball
FF,689672,666023,No event,called_strike,Freddy Fermin flies out to left fielder Miguel Vargas.,2024,4-Seam Fastball
FF,689672,657557,field_out,hit_into_play,Paul DeJong flies out to right fielder Gavin Sheets.,2024,4-Seam Fastball
FC,689672,669004,field_out,hit_into_play,MJ Melendez flies out to center fielder Dominic Fletcher.,2024,Cutter
FF,689672,592669,field_out,hit_into_play,Hunter Renfroe flies out to center fielder Dominic Fletcher.,2024,4-Seam Fastball
FF,689672,592669,No event,called_strike,Hunter Renfroe flies out to center fielder Dominic Fletcher.,2024,4-Seam Fastball
SL,689672,521692,single,hit_into_play,Salvador Perez singles on a sharp line drive to left fielder Miguel Vargas.   Bobby Witt Jr.  scores.,2024,Slider
SL,689672,521692,No event,ball,Salvador Perez singles on a sharp line drive to left fielder Miguel Vargas.   Bobby Witt Jr.  scores.,2024,Slider
CH,689672,686469,field_out,hit_into_play,Vinnie Pasquantino pops out to third baseman Nick Senzel.,2024,Changeup
CH,689672,686469,No event,foul,Vinnie Pasquantino pops out to third baseman Nick Senzel.,2024,Changeup
FC,689672,686469,No event,ball,Vinnie Pasquantino pops out to third baseman Nick Senzel.,2024,Cutter
