pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,656302,657041,field_out,hit_into_play,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez. Carlos Santana scores.",2025,Slider
SL,656302,657041,No event,called_strike,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez. Carlos Santana scores.",2025,Slider
FF,656302,657041,No event,blocked_ball,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez. Carlos Santana scores.",2025,4-Seam Fastball
FF,656302,657041,No event,ball,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Luis Arraez. Carlos Santana scores.",2025,4-Seam Fastball
FF,656302,666134,single,hit_into_play,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,4-Seam Fastball
SL,656302,666134,No event,foul,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,Slider
FF,656302,666134,No event,ball,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,4-Seam Fastball
SL,656302,666134,No event,foul,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,Slider
FF,656302,666134,No event,ball,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,4-Seam Fastball
FF,656302,666134,No event,ball,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,4-Seam Fastball
FF,656302,666134,No event,foul,Nolan Jones singles on a ground ball to left fielder Gavin Sheets. Carlos Santana to 3rd. Nolan Jones to 2nd.,2025,4-Seam Fastball
FF,656302,467793,walk,ball,Carlos Santana walks.,2025,4-Seam Fastball
KC,656302,467793,No event,ball,Carlos Santana walks.,2025,Knuckle Curve
SL,656302,467793,No event,called_strike,Carlos Santana walks.,2025,Slider
SL,656302,467793,No event,ball,Carlos Santana walks.,2025,Slider
FF,656302,467793,No event,swinging_strike,Carlos Santana walks.,2025,4-Seam Fastball
FF,656302,467793,No event,ball,Carlos Santana walks.,2025,4-Seam Fastball
SL,656302,700932,field_out,hit_into_play,Kyle Manzardo flies out sharply to right fielder Fernando Tatis Jr.,2025,Slider
SL,656302,608070,field_out,hit_into_play,José Ramírez flies out to left fielder Gavin Sheets.,2025,Slider
KC,656302,608070,No event,ball,José Ramírez flies out to left fielder Gavin Sheets.,2025,Knuckle Curve
KC,656302,680757,field_out,hit_into_play,Steven Kwan flies out to center fielder Jackson Merrill.,2025,Knuckle Curve
KC,656302,680757,No event,called_strike,Steven Kwan flies out to center fielder Jackson Merrill.,2025,Knuckle Curve
CH,656302,682177,strikeout,called_strike,Daniel Schneemann called out on strikes.,2025,Changeup
SL,656302,682177,No event,swinging_strike,Daniel Schneemann called out on strikes.,2025,Slider
SL,656302,682177,No event,swinging_strike,Daniel Schneemann called out on strikes.,2025,Slider
FF,656302,682177,No event,ball,Daniel Schneemann called out on strikes.,2025,4-Seam Fastball
ST,656302,682177,No event,ball,Daniel Schneemann called out on strikes.,2025,Sweeper
ST,656302,672356,strikeout,called_strike,Gabriel Arias called out on strikes.,2025,Sweeper
FF,656302,672356,No event,foul,Gabriel Arias called out on strikes.,2025,4-Seam Fastball
SL,656302,672356,No event,called_strike,Gabriel Arias called out on strikes.,2025,Slider
SL,656302,666310,strikeout,swinging_strike,Bo Naylor strikes out swinging.,2025,Slider
FF,656302,666310,No event,ball,Bo Naylor strikes out swinging.,2025,4-Seam Fastball
CH,656302,666310,No event,foul,Bo Naylor strikes out swinging.,2025,Changeup
SL,656302,666310,No event,called_strike,Bo Naylor strikes out swinging.,2025,Slider
FF,656302,666310,No event,ball,Bo Naylor strikes out swinging.,2025,4-Seam Fastball
SL,656302,666310,No event,foul,Bo Naylor strikes out swinging.,2025,Slider
SL,656302,666310,No event,ball,Bo Naylor strikes out swinging.,2025,Slider
SI,656302,657041,field_out,hit_into_play,Lane Thomas flies out to right fielder Fernando Tatis Jr.,2025,Sinker
SL,656302,657041,No event,blocked_ball,Lane Thomas flies out to right fielder Fernando Tatis Jr.,2025,Slider
SL,656302,657041,No event,called_strike,Lane Thomas flies out to right fielder Fernando Tatis Jr.,2025,Slider
SL,656302,666134,double,hit_into_play,Nolan Jones doubles (2) on a sharp line drive to center fielder Jackson Merrill.,2025,Slider
SL,656302,666134,No event,foul,Nolan Jones doubles (2) on a sharp line drive to center fielder Jackson Merrill.,2025,Slider
SL,656302,666134,No event,swinging_strike,Nolan Jones doubles (2) on a sharp line drive to center fielder Jackson Merrill.,2025,Slider
FF,656302,666134,No event,ball,Nolan Jones doubles (2) on a sharp line drive to center fielder Jackson Merrill.,2025,4-Seam Fastball
FF,656302,467793,field_out,hit_into_play,Carlos Santana grounds out to first baseman Luis Arraez.,2025,4-Seam Fastball
SL,656302,467793,No event,swinging_strike,Carlos Santana grounds out to first baseman Luis Arraez.,2025,Slider
FF,656302,467793,No event,ball,Carlos Santana grounds out to first baseman Luis Arraez.,2025,4-Seam Fastball
CH,656302,700932,field_out,hit_into_play,Kyle Manzardo grounds out softly to first baseman Luis Arraez.,2025,Changeup
KC,656302,700932,No event,ball,Kyle Manzardo grounds out softly to first baseman Luis Arraez.,2025,Knuckle Curve
FF,656302,700932,No event,called_strike,Kyle Manzardo grounds out softly to first baseman Luis Arraez.,2025,4-Seam Fastball
SL,656302,608070,strikeout,swinging_strike,José Ramírez strikes out swinging.,2025,Slider
KC,656302,608070,No event,called_strike,José Ramírez strikes out swinging.,2025,Knuckle Curve
CH,656302,608070,No event,ball,José Ramírez strikes out swinging.,2025,Changeup
CH,656302,608070,No event,ball,José Ramírez strikes out swinging.,2025,Changeup
KC,656302,608070,No event,called_strike,José Ramírez strikes out swinging.,2025,Knuckle Curve
SL,656302,680757,strikeout,swinging_strike,Steven Kwan strikes out swinging.,2025,Slider
CH,656302,680757,No event,ball,Steven Kwan strikes out swinging.,2025,Changeup
FF,656302,680757,No event,ball,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
CH,656302,680757,No event,swinging_strike,Steven Kwan strikes out swinging.,2025,Changeup
CH,656302,680757,No event,called_strike,Steven Kwan strikes out swinging.,2025,Changeup
