pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
ST,676106,595879,double,hit_into_play,Javier Báez doubles (1) on a line drive to left fielder Randy Arozarena. Dillon Dingler scores. Trey Sweeney scores.,2025,Sweeper
FF,676106,595879,No event,ball,Javier Báez doubles (1) on a line drive to left fielder Randy Arozarena. Dillon Dingler scores. Trey Sweeney scores.,2025,4-Seam Fastball
SI,676106,595879,No event,called_strike,Javier Báez doubles (1) on a line drive to left fielder Randy Arozarena. Dillon Dingler scores. Trey Sweeney scores.,2025,Sinker
SI,676106,595879,No event,ball,Javier Báez doubles (1) on a line drive to left fielder Randy Arozarena. Dillon Dingler scores. Trey Sweeney scores.,2025,Sinker
SI,676106,595879,No event,called_strike,Javier Báez doubles (1) on a line drive to left fielder Randy Arozarena. Dillon Dingler scores. Trey Sweeney scores.,2025,Sinker
CH,676106,700242,single,hit_into_play,Trey Sweeney singles on a line drive to center fielder Julio Rodríguez. Colt Keith scores. Dillon Dingler to 3rd.,2025,Changeup
CH,676106,700242,No event,blocked_ball,Trey Sweeney singles on a line drive to center fielder Julio Rodríguez. Colt Keith scores. Dillon Dingler to 3rd.,2025,Changeup
SI,676106,700242,No event,called_strike,Trey Sweeney singles on a line drive to center fielder Julio Rodríguez. Colt Keith scores. Dillon Dingler to 3rd.,2025,Sinker
ST,676106,693307,single,hit_into_play,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,Sweeper
SI,676106,693307,No event,foul,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,Sinker
FF,676106,693307,No event,foul,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,4-Seam Fastball
ST,676106,693307,No event,blocked_ball,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,Sweeper
ST,676106,693307,No event,ball,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,Sweeper
SI,676106,693307,No event,foul,Dillon Dingler singles on a fly ball to left fielder Randy Arozarena. Spencer Torkelson scores. Colt Keith to 3rd.,2025,Sinker
SI,676106,656716,field_out,hit_into_play,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,Sinker
SI,676106,656716,No event,swinging_strike,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,Sinker
SI,676106,656716,No event,called_strike,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,Sinker
SI,676106,656716,No event,ball,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,Sinker
FF,676106,656716,No event,ball,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,4-Seam Fastball
SI,676106,656716,No event,ball,Zach McKinstry flies out to left fielder Randy Arozarena.,2025,Sinker
SI,676106,690993,walk,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sinker
SI,676106,690993,No event,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sinker
CH,676106,690993,No event,blocked_ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Changeup
SI,676106,690993,No event,ball,Colt Keith walks. Spencer Torkelson to 2nd.,2025,Sinker
SI,676106,679529,single,hit_into_play,"Spencer Torkelson singles on a ground ball to shortstop J.P. Crawford, deflected by second baseman Ryan Bliss.",2025,Sinker
SI,676106,679529,No event,called_strike,"Spencer Torkelson singles on a ground ball to shortstop J.P. Crawford, deflected by second baseman Ryan Bliss.",2025,Sinker
SI,676106,682985,home_run,hit_into_play,Riley Greene homers (1) on a line drive to left field.,2025,Sinker
