pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FC,661403,455117,force_out,hit_into_play,"Martín Maldonado grounds into a force out, third baseman José Ramírez to second baseman Gabriel Arias. Jose Iglesias out at 2nd.",2025,Cutter
FC,661403,455117,No event,swinging_strike,"Martín Maldonado grounds into a force out, third baseman José Ramírez to second baseman Gabriel Arias. Jose Iglesias out at 2nd.",2025,Cutter
SL,661403,578428,single,hit_into_play,Jose Iglesias singles on a ground ball to third baseman José Ramírez.,2025,Slider
FC,661403,578428,No event,called_strike,Jose Iglesias singles on a ground ball to third baseman José Ramírez.,2025,Cutter
FC,661403,578428,No event,ball,Jose Iglesias singles on a ground ball to third baseman José Ramírez.,2025,Cutter
SL,661403,578428,No event,ball,Jose Iglesias singles on a ground ball to third baseman José Ramírez.,2025,Slider
FC,661403,657757,field_out,hit_into_play,"Gavin Sheets grounds out, second baseman Gabriel Arias to first baseman Kyle Manzardo.",2025,Cutter
FC,661403,593428,field_out,hit_into_play,Xander Bogaerts lines out to left fielder Steven Kwan.,2025,Cutter
SL,661403,593428,No event,called_strike,Xander Bogaerts lines out to left fielder Steven Kwan.,2025,Slider
FC,661403,677951,strikeout,swinging_strike,Bobby Witt Jr. strikes out swinging.,2025,Cutter
SL,661403,677951,No event,blocked_ball,Bobby Witt Jr. strikes out swinging.,2025,Slider
FC,661403,677951,No event,swinging_strike,Bobby Witt Jr. strikes out swinging.,2025,Cutter
SL,661403,677951,No event,ball,Bobby Witt Jr. strikes out swinging.,2025,Slider
SL,661403,677951,No event,called_strike,Bobby Witt Jr. strikes out swinging.,2025,Slider
FC,661403,663697,hit_by_pitch,hit_by_pitch,Jonathan India hit by pitch.,2025,Cutter
FF,661403,663697,No event,ball,Jonathan India hit by pitch.,2025,4-Seam Fastball
SL,661403,663697,No event,called_strike,Jonathan India hit by pitch.,2025,Slider
FC,661403,624415,field_out,hit_into_play,Cavan Biggio flies out to center fielder Lane Thomas.,2025,Cutter
FC,661403,624415,No event,called_strike,Cavan Biggio flies out to center fielder Lane Thomas.,2025,Cutter
FC,661403,666023,field_out,hit_into_play,"Freddy Fermin grounds out, second baseman Daniel Schneemann to first baseman Carlos Santana.",2025,Cutter
FC,661403,666023,No event,called_strike,"Freddy Fermin grounds out, second baseman Daniel Schneemann to first baseman Carlos Santana.",2025,Cutter
SL,661403,666023,No event,ball,"Freddy Fermin grounds out, second baseman Daniel Schneemann to first baseman Carlos Santana.",2025,Slider
SL,661403,666023,No event,ball,"Freddy Fermin grounds out, second baseman Daniel Schneemann to first baseman Carlos Santana.",2025,Slider
FC,661403,592192,strikeout,swinging_strike,Mark Canha strikes out swinging.,2025,Cutter
FC,661403,592192,No event,foul,Mark Canha strikes out swinging.,2025,Cutter
