pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CU,681870,683011,field_out,hit_into_play,Anthony Volpe flies out to center fielder Lane Thomas.,2024,Curveball
FF,681870,683011,No event,called_strike,Anthony Volpe flies out to center fielder Lane Thomas.,2024,4-Seam Fastball
SL,681870,683011,No event,called_strike,Anthony Volpe flies out to center fielder Lane Thomas.,2024,Slider
FF,681870,683011,No event,ball,Anthony Volpe flies out to center fielder Lane Thomas.,2024,4-Seam Fastball
SL,681870,683011,No event,ball,Anthony Volpe flies out to center fielder Lane Thomas.,2024,Slider
SL,681870,519203,single,hit_into_play,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,2024,Slider
CU,681870,519203,No event,ball,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,2024,Curveball
CU,681870,519203,No event,foul,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,2024,Curveball
FF,681870,519203,No event,foul,Anthony Rizzo singles on a line drive to center fielder Lane Thomas.,2024,4-Seam Fastball
FF,681870,519317,strikeout,called_strike,Giancarlo Stanton called out on strikes.,2024,4-Seam Fastball
FF,681870,519317,No event,ball,Giancarlo Stanton called out on strikes.,2024,4-Seam Fastball
SL,681870,519317,No event,foul,Giancarlo Stanton called out on strikes.,2024,Slider
CU,681870,519317,No event,ball,Giancarlo Stanton called out on strikes.,2024,Curveball
CU,681870,519317,No event,foul,Giancarlo Stanton called out on strikes.,2024,Curveball
CU,681870,519317,No event,foul,Giancarlo Stanton called out on strikes.,2024,Curveball
SL,681870,519317,No event,ball,Giancarlo Stanton called out on strikes.,2024,Slider
FF,681870,665862,strikeout,called_strike,Jazz Chisholm Jr.  called out on strikes.,2024,4-Seam Fastball
SL,681870,665862,No event,swinging_strike,Jazz Chisholm Jr.  called out on strikes.,2024,Slider
SL,681870,665862,No event,ball,Jazz Chisholm Jr.  called out on strikes.,2024,Slider
SL,681870,665862,No event,called_strike,Jazz Chisholm Jr.  called out on strikes.,2024,Slider
CU,681870,592450,strikeout,swinging_strike,Aaron Judge strikes out swinging.,2024,Curveball
SL,681870,592450,No event,foul,Aaron Judge strikes out swinging.,2024,Slider
SL,681870,592450,No event,swinging_strike,Aaron Judge strikes out swinging.,2024,Slider
CU,681870,592450,No event,ball,Aaron Judge strikes out swinging.,2024,Curveball
SL,681870,592450,No event,ball,Aaron Judge strikes out swinging.,2024,Slider
SL,681870,665742,field_out,hit_into_play,"Juan Soto grounds out, first baseman Josh Naylor to pitcher Erik Sabrowski.",2024,Slider
FF,681870,665742,No event,ball,"Juan Soto grounds out, first baseman Josh Naylor to pitcher Erik Sabrowski.",2024,4-Seam Fastball
FF,681870,665742,No event,foul_tip,"Juan Soto grounds out, first baseman Josh Naylor to pitcher Erik Sabrowski.",2024,4-Seam Fastball
CU,681870,665742,No event,ball,"Juan Soto grounds out, first baseman Josh Naylor to pitcher Erik Sabrowski.",2024,Curveball
FF,681870,657077,field_out,hit_into_play,Alex Verdugo flies out to left fielder Steven Kwan.,2024,4-Seam Fastball
SL,681870,657077,No event,ball,Alex Verdugo flies out to left fielder Steven Kwan.,2024,Slider
FF,681870,657077,No event,ball,Alex Verdugo flies out to left fielder Steven Kwan.,2024,4-Seam Fastball
FF,681870,657077,No event,called_strike,Alex Verdugo flies out to left fielder Steven Kwan.,2024,4-Seam Fastball
FF,681870,657077,No event,ball,Alex Verdugo flies out to left fielder Steven Kwan.,2024,4-Seam Fastball
SL,681870,519203,double,hit_into_play,Anthony Rizzo doubles (1) on a line drive to right fielder Will Brennan.   Anthony Volpe scores.  Fielding error by right fielder Will Brennan.,2024,Slider
SL,681870,519203,No event,ball,Anthony Rizzo doubles (1) on a line drive to right fielder Will Brennan.   Anthony Volpe scores.  Fielding error by right fielder Will Brennan.,2024,Slider
SL,681870,519203,No event,swinging_strike,Anthony Rizzo doubles (1) on a line drive to right fielder Will Brennan.   Anthony Volpe scores.  Fielding error by right fielder Will Brennan.,2024,Slider
FF,681870,683011,walk,blocked_ball,Anthony Volpe walks.,2024,4-Seam Fastball
FF,681870,683011,No event,ball,Anthony Volpe walks.,2024,4-Seam Fastball
