pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,676477,656775,strikeout,called_strike,Cedric Mullins called out on strikes.,2025,Sinker
ST,676477,656775,No event,foul,Cedric Mullins called out on strikes.,2025,Sweeper
CH,676477,656775,No event,ball,Cedric Mullins called out on strikes.,2025,Changeup
SL,676477,656775,No event,foul,Cedric Mullins called out on strikes.,2025,Slider
SI,676477,656775,No event,ball,Cedric Mullins called out on strikes.,2025,Sinker
SL,676477,656775,No event,foul,Cedric Mullins called out on strikes.,2025,Slider
CH,676477,656775,No event,foul,Cedric Mullins called out on strikes.,2025,Changeup
ST,676477,656775,No event,called_strike,Cedric Mullins called out on strikes.,2025,Sweeper
SI,676477,666185,sac_fly,hit_into_play,Dylan Carlson out on a sacrifice fly to left fielder Jarren Duran. Jackson Holliday scores.,2025,Sinker
SL,676477,666185,No event,blocked_ball,Dylan Carlson out on a sacrifice fly to left fielder Jarren Duran. Jackson Holliday scores.,2025,Slider
SI,676477,666185,No event,swinging_strike,Dylan Carlson out on a sacrifice fly to left fielder Jarren Duran. Jackson Holliday scores.,2025,Sinker
CH,676477,666185,No event,ball,Dylan Carlson out on a sacrifice fly to left fielder Jarren Duran. Jackson Holliday scores.,2025,Changeup
SI,676477,666185,No event,ball,Dylan Carlson out on a sacrifice fly to left fielder Jarren Duran. Jackson Holliday scores.,2025,Sinker
SL,676477,602104,field_out,hit_into_play,"Ramón Urías grounds out, shortstop Trevor Story to first baseman Triston Casas. Jackson Holliday to 3rd.",2025,Slider
SI,676477,602104,No event,called_strike,"Ramón Urías grounds out, shortstop Trevor Story to first baseman Triston Casas. Jackson Holliday to 3rd.",2025,Sinker
SL,676477,602104,No event,ball,"Ramón Urías grounds out, shortstop Trevor Story to first baseman Triston Casas. Jackson Holliday to 3rd.",2025,Slider
SI,676477,702616,double,hit_into_play,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sinker
SL,676477,702616,No event,ball,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Slider
SI,676477,702616,No event,swinging_strike,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sinker
SI,676477,702616,No event,foul,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sinker
SI,676477,702616,No event,ball,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sinker
SI,676477,702616,No event,ball,Jackson Holliday doubles (1) on a sharp line drive to left fielder Jarren Duran.,2025,Sinker
SL,676477,663624,strikeout,swinging_strike,Ryan Mountcastle strikes out swinging.,2025,Slider
SI,676477,663624,No event,swinging_strike,Ryan Mountcastle strikes out swinging.,2025,Sinker
SI,676477,663624,No event,called_strike,Ryan Mountcastle strikes out swinging.,2025,Sinker
ST,676477,641933,force_out,hit_into_play,"Tyler O'Neill grounds into a force out, third baseman Alex Bregman to second baseman Kristian Campbell. Jordan Westburg out at 2nd. Tyler O'Neill to 1st.",2025,Sweeper
SI,676477,641933,No event,called_strike,"Tyler O'Neill grounds into a force out, third baseman Alex Bregman to second baseman Kristian Campbell. Jordan Westburg out at 2nd. Tyler O'Neill to 1st.",2025,Sinker
SL,676477,656811,strikeout,swinging_strike,Ryan O'Hearn strikes out swinging.,2025,Slider
SL,676477,656811,No event,swinging_strike,Ryan O'Hearn strikes out swinging.,2025,Slider
CH,676477,656811,No event,swinging_strike,Ryan O'Hearn strikes out swinging.,2025,Changeup
SI,676477,656811,No event,ball,Ryan O'Hearn strikes out swinging.,2025,Sinker
SI,676477,676059,walk,ball,Jordan Westburg walks.,2025,Sinker
SL,676477,676059,No event,ball,Jordan Westburg walks.,2025,Slider
SI,676477,676059,No event,called_strike,Jordan Westburg walks.,2025,Sinker
SI,676477,676059,No event,ball,Jordan Westburg walks.,2025,Sinker
SL,676477,676059,No event,ball,Jordan Westburg walks.,2025,Slider
SI,676477,676059,No event,called_strike,Jordan Westburg walks.,2025,Sinker
SL,676477,656775,field_out,hit_into_play,"Cedric Mullins grounds out, first baseman Romy Gonzalez to pitcher Garrett Whitlock.",2025,Slider
SI,676477,666185,strikeout,swinging_strike,Dylan Carlson strikes out swinging.,2025,Sinker
CH,676477,666185,No event,foul,Dylan Carlson strikes out swinging.,2025,Changeup
CH,676477,666185,No event,ball,Dylan Carlson strikes out swinging.,2025,Changeup
SI,676477,666185,No event,called_strike,Dylan Carlson strikes out swinging.,2025,Sinker
CH,676477,666185,No event,ball,Dylan Carlson strikes out swinging.,2025,Changeup
CH,676477,666185,No event,called_strike,Dylan Carlson strikes out swinging.,2025,Changeup
CH,676477,677008,field_out,hit_into_play,Heston Kjerstad pops out to third baseman Alex Bregman.,2025,Changeup
CH,676477,677008,No event,ball,Heston Kjerstad pops out to third baseman Alex Bregman.,2025,Changeup
SI,676477,677008,No event,called_strike,Heston Kjerstad pops out to third baseman Alex Bregman.,2025,Sinker
SL,676477,663624,field_out,hit_into_play,Ryan Mountcastle flies out to right fielder Rob Refsnyder.,2025,Slider
SI,676477,663624,No event,called_strike,Ryan Mountcastle flies out to right fielder Rob Refsnyder.,2025,Sinker
SI,676477,663624,No event,ball,Ryan Mountcastle flies out to right fielder Rob Refsnyder.,2025,Sinker
SI,676477,641933,double,hit_into_play,Tyler O'Neill doubles (1) on a sharp line drive to center fielder Ceddanne Rafaela.,2025,Sinker
SI,676477,641933,No event,ball,Tyler O'Neill doubles (1) on a sharp line drive to center fielder Ceddanne Rafaela.,2025,Sinker
SL,676477,668939,strikeout,swinging_strike_blocked,Adley Rutschman strikes out swinging.,2025,Slider
CH,676477,668939,No event,called_strike,Adley Rutschman strikes out swinging.,2025,Changeup
SL,676477,668939,No event,ball,Adley Rutschman strikes out swinging.,2025,Slider
SL,676477,668939,No event,called_strike,Adley Rutschman strikes out swinging.,2025,Slider
SI,676477,668939,No event,ball,Adley Rutschman strikes out swinging.,2025,Sinker
CH,676477,676059,field_out,hit_into_play,"Jordan Westburg grounds out, third baseman Alex Bregman to first baseman Romy Gonzalez.",2025,Changeup
SI,676477,676059,No event,called_strike,"Jordan Westburg grounds out, third baseman Alex Bregman to first baseman Romy Gonzalez.",2025,Sinker
SL,676477,676059,No event,called_strike,"Jordan Westburg grounds out, third baseman Alex Bregman to first baseman Romy Gonzalez.",2025,Slider
SI,676477,676059,No event,ball,"Jordan Westburg grounds out, third baseman Alex Bregman to first baseman Romy Gonzalez.",2025,Sinker
ST,676477,543760,strikeout,swinging_strike_blocked,Marcus Semien strikes out swinging.,2025,Sweeper
SL,676477,543760,No event,foul,Marcus Semien strikes out swinging.,2025,Slider
SI,676477,543760,No event,ball,Marcus Semien strikes out swinging.,2025,Sinker
