pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,668909,663697,walk,ball,Jonathan India walks. Kyle Isbel to 2nd.,2025,4-Seam Fastball
FF,668909,663697,No event,called_strike,Jonathan India walks. Kyle Isbel to 2nd.,2025,4-Seam Fastball
FF,668909,663697,No event,ball,Jonathan India walks. Kyle Isbel to 2nd.,2025,4-Seam Fastball
ST,668909,663697,No event,ball,Jonathan India walks. Kyle Isbel to 2nd.,2025,Sweeper
ST,668909,663697,No event,blocked_ball,Jonathan India walks. Kyle Isbel to 2nd.,2025,Sweeper
CU,668909,664728,single,hit_into_play,Kyle Isbel singles on a line drive to left fielder Steven Kwan.,2025,Curveball
FF,668909,664728,No event,called_strike,Kyle Isbel singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,624415,field_out,hit_into_play,Cavan Biggio pops out to shortstop Brayan Rocchio.,2025,4-Seam Fastball
CU,668909,624415,No event,called_strike,Cavan Biggio pops out to shortstop Brayan Rocchio.,2025,Curveball
FF,668909,672580,field_out,hit_into_play,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,672580,No event,foul,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,4-Seam Fastball
CU,668909,672580,No event,called_strike,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,Curveball
ST,668909,672580,No event,ball,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,Sweeper
ST,668909,672580,No event,ball,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,Sweeper
ST,668909,672580,No event,called_strike,"Maikel Garcia grounds out, pitcher Gavin Williams to first baseman Carlos Santana.",2025,Sweeper
CU,668909,669004,strikeout,called_strike,MJ Melendez called out on strikes.,2025,Curveball
FF,668909,669004,No event,ball,MJ Melendez called out on strikes.,2025,4-Seam Fastball
FF,668909,669004,No event,swinging_strike,MJ Melendez called out on strikes.,2025,4-Seam Fastball
FF,668909,669004,No event,called_strike,MJ Melendez called out on strikes.,2025,4-Seam Fastball
FF,668909,686681,field_out,hit_into_play,Michael Massey flies out to center fielder Lane Thomas.,2025,4-Seam Fastball
FF,668909,686681,No event,called_strike,Michael Massey flies out to center fielder Lane Thomas.,2025,4-Seam Fastball
CU,668909,521692,single,hit_into_play,Salvador Perez singles on a fly ball to center fielder Lane Thomas. Jonathan India scores.,2025,Curveball
ST,668909,521692,No event,blocked_ball,Salvador Perez singles on a fly ball to center fielder Lane Thomas. Jonathan India scores.,2025,Sweeper
FF,668909,521692,No event,foul,Salvador Perez singles on a fly ball to center fielder Lane Thomas. Jonathan India scores.,2025,4-Seam Fastball
FF,668909,521692,No event,ball,Salvador Perez singles on a fly ball to center fielder Lane Thomas. Jonathan India scores.,2025,4-Seam Fastball
ST,668909,521692,No event,swinging_strike,Salvador Perez singles on a fly ball to center fielder Lane Thomas. Jonathan India scores.,2025,Sweeper
CU,668909,686469,field_out,hit_into_play,Vinnie Pasquantino grounds out to first baseman Carlos Santana. Jonathan India to 3rd.,2025,Curveball
FF,668909,686469,No event,swinging_strike,Vinnie Pasquantino grounds out to first baseman Carlos Santana. Jonathan India to 3rd.,2025,4-Seam Fastball
ST,668909,677951,field_out,hit_into_play,"Bobby Witt Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Sweeper
FF,668909,677951,No event,ball,"Bobby Witt Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,4-Seam Fastball
ST,668909,677951,No event,ball,"Bobby Witt Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Sweeper
ST,668909,677951,No event,swinging_strike,"Bobby Witt Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Sweeper
FF,668909,663697,single,hit_into_play,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,ball,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,Curveball
FF,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,Curveball
ST,668909,663697,No event,ball,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,Sweeper
FF,668909,663697,No event,ball,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,foul,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,called_strike,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,664728,field_out,hit_into_play,Kyle Isbel pops out to first baseman Carlos Santana in foul territory.,2025,4-Seam Fastball
CU,668909,664728,No event,ball,Kyle Isbel pops out to first baseman Carlos Santana in foul territory.,2025,Curveball
CU,668909,664728,No event,ball,Kyle Isbel pops out to first baseman Carlos Santana in foul territory.,2025,Curveball
CU,668909,664728,No event,called_strike,Kyle Isbel pops out to first baseman Carlos Santana in foul territory.,2025,Curveball
FF,668909,664728,No event,foul,Kyle Isbel pops out to first baseman Carlos Santana in foul territory.,2025,4-Seam Fastball
FF,668909,624415,field_out,hit_into_play,Cavan Biggio lines out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,668909,624415,No event,foul,Cavan Biggio lines out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,668909,624415,No event,ball,Cavan Biggio lines out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,668909,672580,field_out,hit_into_play,"Maikel Garcia grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,672580,No event,called_strike,"Maikel Garcia grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,672580,No event,called_strike,"Maikel Garcia grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,669004,field_out,hit_into_play,MJ Melendez flies out sharply to center fielder Lane Thomas.,2025,4-Seam Fastball
FF,668909,669004,No event,ball,MJ Melendez flies out sharply to center fielder Lane Thomas.,2025,4-Seam Fastball
FF,668909,669004,No event,swinging_strike,MJ Melendez flies out sharply to center fielder Lane Thomas.,2025,4-Seam Fastball
CU,668909,669004,No event,ball,MJ Melendez flies out sharply to center fielder Lane Thomas.,2025,Curveball
FF,668909,686681,field_out,hit_into_play,Michael Massey flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
CU,668909,686681,No event,called_strike,Michael Massey flies out to right fielder Nolan Jones.,2025,Curveball
CU,668909,686681,No event,ball,Michael Massey flies out to right fielder Nolan Jones.,2025,Curveball
FF,668909,521692,field_out,hit_into_play,Salvador Perez flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,668909,686469,strikeout,swinging_strike,Vinnie Pasquantino strikes out swinging.,2025,4-Seam Fastball
FF,668909,686469,No event,foul,Vinnie Pasquantino strikes out swinging.,2025,4-Seam Fastball
FF,668909,686469,No event,foul,Vinnie Pasquantino strikes out swinging.,2025,4-Seam Fastball
FF,668909,686469,No event,ball,Vinnie Pasquantino strikes out swinging.,2025,4-Seam Fastball
ST,668909,677951,force_out,hit_into_play,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,Sweeper
CU,668909,677951,No event,foul,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,Curveball
FF,668909,677951,No event,ball,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,4-Seam Fastball
CU,668909,677951,No event,blocked_ball,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,Curveball
FF,668909,677951,No event,foul,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,4-Seam Fastball
FF,668909,677951,No event,called_strike,"Bobby Witt Jr. grounds into a force out, catcher Bo Naylor to second baseman Daniel Schneemann. Jonathan India out at 2nd. Bobby Witt Jr. to 1st.",2025,4-Seam Fastball
FF,668909,663697,single,hit_into_play,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,663697,No event,called_strike,Jonathan India singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,672695,field_out,hit_into_play,"Geraldo Perdomo grounds out, shortstop Brayan Rocchio to first baseman Carlos Santana.",2025,Curveball
FF,668909,672695,No event,called_strike,"Geraldo Perdomo grounds out, shortstop Brayan Rocchio to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,672695,No event,foul_tip,"Geraldo Perdomo grounds out, shortstop Brayan Rocchio to first baseman Carlos Santana.",2025,4-Seam Fastball
CU,668909,672695,No event,ball,"Geraldo Perdomo grounds out, shortstop Brayan Rocchio to first baseman Carlos Santana.",2025,Curveball
CU,668909,672695,No event,blocked_ball,"Geraldo Perdomo grounds out, shortstop Brayan Rocchio to first baseman Carlos Santana.",2025,Curveball
FF,668909,664983,field_out,hit_into_play,Jake McCarthy grounds out to first baseman Carlos Santana. Gabriel Moreno to 3rd.,2025,4-Seam Fastball
FF,668909,664983,No event,foul,Jake McCarthy grounds out to first baseman Carlos Santana. Gabriel Moreno to 3rd.,2025,4-Seam Fastball
FF,668909,545341,strikeout,swinging_strike,Randal Grichuk strikes out swinging.,2025,4-Seam Fastball
FF,668909,545341,No event,ball,Randal Grichuk strikes out swinging.,2025,4-Seam Fastball
FF,668909,545341,No event,called_strike,Randal Grichuk strikes out swinging.,2025,4-Seam Fastball
FF,668909,545341,No event,called_strike,Randal Grichuk strikes out swinging.,2025,4-Seam Fastball
CU,668909,672515,double,hit_into_play,Gabriel Moreno doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Curveball
ST,668909,672515,No event,swinging_strike,Gabriel Moreno doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Sweeper
FF,668909,672515,No event,foul,Gabriel Moreno doubles (1) on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,656976,strikeout,called_strike,Pavin Smith called out on strikes.,2025,Curveball
CU,668909,656976,No event,blocked_ball,Pavin Smith called out on strikes.,2025,Curveball
FF,668909,656976,No event,foul_tip,Pavin Smith called out on strikes.,2025,4-Seam Fastball
FF,668909,656976,No event,called_strike,Pavin Smith called out on strikes.,2025,4-Seam Fastball
FF,668909,553993,single,hit_into_play,Eugenio Suárez singles on a sharp line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
ST,668909,553993,No event,ball,Eugenio Suárez singles on a sharp line drive to left fielder Steven Kwan.,2025,Sweeper
FF,668909,553993,No event,ball,Eugenio Suárez singles on a sharp line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,553993,No event,ball,Eugenio Suárez singles on a sharp line drive to left fielder Steven Kwan.,2025,Curveball
ST,668909,553993,No event,swinging_strike,Eugenio Suárez singles on a sharp line drive to left fielder Steven Kwan.,2025,Sweeper
FF,668909,666971,grounded_into_double_play,hit_into_play,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
FF,668909,666971,No event,foul,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
FF,668909,666971,No event,foul,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
FF,668909,666971,No event,called_strike,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
FF,668909,666971,No event,called_strike,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
ST,668909,666971,No event,blocked_ball,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,Sweeper
FF,668909,666971,No event,ball,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
ST,668909,666971,No event,ball,"Lourdes Gurriel Jr. grounds into a double play, shortstop Brayan Rocchio to second baseman Gabriel Arias to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,Sweeper
FF,668909,682998,single,hit_into_play,Corbin Carroll singles on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,682998,No event,called_strike,Corbin Carroll singles on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,682998,No event,ball,Corbin Carroll singles on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,606466,field_out,hit_into_play,"Ketel Marte grounds out, second baseman Gabriel Arias to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,668909,672695,single,hit_into_play,Geraldo Perdomo singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,672695,No event,swinging_strike,Geraldo Perdomo singles on a line drive to left fielder Steven Kwan.,2025,Curveball
FF,668909,672695,No event,foul,Geraldo Perdomo singles on a line drive to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,672695,No event,ball,Geraldo Perdomo singles on a line drive to left fielder Steven Kwan.,2025,Curveball
CU,668909,664983,strikeout,swinging_strike,Jake McCarthy strikes out swinging.,2025,Curveball
CU,668909,664983,No event,foul,Jake McCarthy strikes out swinging.,2025,Curveball
FF,668909,664983,No event,called_strike,Jake McCarthy strikes out swinging.,2025,4-Seam Fastball
CU,668909,545341,field_out,hit_into_play,Randal Grichuk flies out to left fielder Steven Kwan.,2025,Curveball
FF,668909,545341,No event,ball,Randal Grichuk flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,545341,No event,foul,Randal Grichuk flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,668909,545341,No event,called_strike,Randal Grichuk flies out to left fielder Steven Kwan.,2025,4-Seam Fastball
CU,668909,672515,strikeout,swinging_strike_blocked,Gabriel Moreno strikes out swinging.,2025,Curveball
FF,668909,672515,No event,foul,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
FF,668909,672515,No event,foul,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
FF,668909,672515,No event,ball,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
FF,668909,672515,No event,called_strike,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
FF,668909,672515,No event,ball,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
ST,668909,672515,No event,swinging_strike,Gabriel Moreno strikes out swinging.,2025,Sweeper
FF,668909,672515,No event,ball,Gabriel Moreno strikes out swinging.,2025,4-Seam Fastball
FF,668909,656976,field_out,hit_into_play,Pavin Smith flies out to center fielder Lane Thomas.,2025,4-Seam Fastball
CU,668909,656976,No event,called_strike,Pavin Smith flies out to center fielder Lane Thomas.,2025,Curveball
CU,668909,553993,strikeout,swinging_strike,Eugenio Suárez strikes out swinging.,2025,Curveball
CU,668909,553993,No event,ball,Eugenio Suárez strikes out swinging.,2025,Curveball
FF,668909,553993,No event,foul,Eugenio Suárez strikes out swinging.,2025,4-Seam Fastball
FF,668909,553993,No event,called_strike,Eugenio Suárez strikes out swinging.,2025,4-Seam Fastball
FF,668909,553993,No event,foul,Eugenio Suárez strikes out swinging.,2025,4-Seam Fastball
FF,668909,553993,No event,ball,Eugenio Suárez strikes out swinging.,2025,4-Seam Fastball
FF,668909,666971,grounded_into_double_play,hit_into_play,"Lourdes Gurriel Jr. grounds into a double play, second baseman Gabriel Arias to shortstop Brayan Rocchio to first baseman Carlos Santana. Corbin Carroll out at 2nd. Lourdes Gurriel Jr. out at 1st.",2025,4-Seam Fastball
CU,668909,682998,single,hit_into_play,Corbin Carroll singles on a soft ground ball to first baseman Carlos Santana.,2025,Curveball
