pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,669923,664913,walk,ball,Seth Brown walks. JJ Bleday to 2nd.,2025,4-Seam Fastball
SL,669923,664913,No event,ball,Seth Brown walks. JJ Bleday to 2nd.,2025,Slider
FC,669923,664913,No event,foul_tip,Seth Brown walks. JJ Bleday to 2nd.,2025,Cutter
SL,669923,664913,No event,ball,Seth Brown walks. JJ Bleday to 2nd.,2025,Slider
FF,669923,664913,No event,ball,Seth Brown walks. JJ Bleday to 2nd.,2025,4-Seam Fastball
FF,669923,668709,walk,ball,JJ Bleday walks.,2025,4-Seam Fastball
KC,669923,668709,No event,ball,JJ Bleday walks.,2025,Knuckle Curve
FF,669923,668709,No event,foul,JJ Bleday walks.,2025,4-Seam Fastball
FS,669923,668709,No event,ball,JJ Bleday walks.,2025,Split-Finger
FS,669923,668709,No event,swinging_strike,JJ Bleday walks.,2025,Split-Finger
FS,669923,668709,No event,ball,JJ Bleday walks.,2025,Split-Finger
FF,669923,668709,No event,foul,JJ Bleday walks.,2025,4-Seam Fastball
SI,669923,691016,strikeout,called_strike,Tyler Soderstrom called out on strikes.,2025,Sinker
SL,669923,691016,No event,called_strike,Tyler Soderstrom called out on strikes.,2025,Slider
SL,669923,691016,No event,swinging_strike,Tyler Soderstrom called out on strikes.,2025,Slider
KC,669923,691016,No event,ball,Tyler Soderstrom called out on strikes.,2025,Knuckle Curve
SI,669923,609280,field_out,hit_into_play,"Miguel Andujar grounds out, third baseman Miles Mastrobuoni to first baseman Rowdy Tellez.",2025,Sinker
SL,669923,609280,No event,foul,"Miguel Andujar grounds out, third baseman Miles Mastrobuoni to first baseman Rowdy Tellez.",2025,Slider
FC,669923,671732,field_out,hit_into_play,Lawrence Butler lines out to center fielder Victor Robles.,2025,Cutter
FF,669923,671732,No event,ball,Lawrence Butler lines out to center fielder Victor Robles.,2025,4-Seam Fastball
FF,669923,518792,field_out,hit_into_play,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",2024,4-Seam Fastball
SL,669923,518792,No event,called_strike,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",2024,Slider
SL,669923,518792,No event,ball,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",2024,Slider
SL,669923,518792,No event,ball,"Jason Heyward grounds out, first baseman Justin Turner to pitcher George Kirby.",2024,Slider
FF,669923,605170,field_out,hit_into_play,"Victor Caratini grounds out, second baseman Jorge Polanco to first baseman Justin Turner.",2024,4-Seam Fastball
FF,669923,572138,field_out,hit_into_play,Jon Singleton pops out to third baseman Dylan Moore in foul territory.,2024,4-Seam Fastball
