pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,680880,641313,field_out,hit_into_play,"Tim Anderson grounds out, shortstop Alejo Lopez to first baseman Seth Brown.",2025,
,680880,641313,No event,ball,"Tim Anderson grounds out, shortstop Alejo Lopez to first baseman Seth Brown.",2025,
,680880,641313,No event,ball,"Tim Anderson grounds out, shortstop Alejo Lopez to first baseman Seth Brown.",2025,
,680880,666176,field_out,hit_into_play,Jo Adell flies out to right fielder CJ Alexander.,2025,
,680880,694384,field_out,hit_into_play,Nolan Schanuel flies out to center fielder Drew Avans.,2025,
,680880,694384,No event,ball,Nolan Schanuel flies out to center fielder Drew Avans.,2025,
FF,680880,695521,grounded_into_double_play,hit_into_play,"Gavin Conticello grounds into a double play, second baseman Drew Swift to shortstop Joshua Kuroda-Grauer to first baseman Logan Davidson. Tristin English out at 2nd. Gavin Conticello out at 1st.",2025,4-Seam Fastball
FF,680880,695521,No event,swinging_strike,"Gavin Conticello grounds into a double play, second baseman Drew Swift to shortstop Joshua Kuroda-Grauer to first baseman Logan Davidson. Tristin English out at 2nd. Gavin Conticello out at 1st.",2025,4-Seam Fastball
CH,680880,695521,No event,blocked_ball,"Gavin Conticello grounds into a double play, second baseman Drew Swift to shortstop Joshua Kuroda-Grauer to first baseman Logan Davidson. Tristin English out at 2nd. Gavin Conticello out at 1st.",2025,Changeup
FF,680880,663536,single,hit_into_play,"Tristin English singles on a ground ball to center fielder Henry Bolte, deflected by second baseman Drew Swift.",2025,4-Seam Fastball
SL,680880,702258,field_out,hit_into_play,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,Slider
FF,680880,702258,No event,foul,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,4-Seam Fastball
CH,680880,702258,No event,ball,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,Changeup
FF,680880,702258,No event,foul,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,4-Seam Fastball
FF,680880,702258,No event,foul,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,4-Seam Fastball
SL,680880,702258,No event,ball,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,Slider
FF,680880,702258,No event,foul_tip,"Druw Jones grounds out, second baseman Drew Swift to first baseman Logan Davidson.",2025,4-Seam Fastball
CH,680880,696030,field_out,hit_into_play,"Alejandro Osuna grounds out, second baseman Alejo Lopez to first baseman CJ Alexander.",2025,Changeup
CH,680880,696030,No event,ball,"Alejandro Osuna grounds out, second baseman Alejo Lopez to first baseman CJ Alexander.",2025,Changeup
FF,680880,641680,field_out,hit_into_play,Jonah Heim pops out to third baseman Luke Mann in foul territory.,2025,4-Seam Fastball
CH,680880,641680,No event,called_strike,Jonah Heim pops out to third baseman Luke Mann in foul territory.,2025,Changeup
FF,680880,641680,No event,ball,Jonah Heim pops out to third baseman Luke Mann in foul territory.,2025,4-Seam Fastball
SL,680880,669701,strikeout,swinging_strike_blocked,Josh Smith strikes out swinging.,2025,Slider
