pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,669711,668939,field_out,hit_into_play,Adley Rutschman flies out to right fielder Rob Refsnyder.,2025,Slider
SI,669711,668939,No event,ball,Adley Rutschman flies out to right fielder Rob Refsnyder.,2025,Sinker
SL,669711,668939,No event,ball,Adley Rutschman flies out to right fielder Rob Refsnyder.,2025,Slider
SI,669711,676059,field_out,hit_into_play,Jordan Westburg lines out to right fielder Rob Refsnyder.,2025,Sinker
SI,669711,676059,No event,called_strike,Jordan Westburg lines out to right fielder Rob Refsnyder.,2025,Sinker
SI,669711,702616,strikeout,called_strike,Jackson Holliday called out on strikes.,2025,Sinker
FF,669711,702616,No event,called_strike,Jackson Holliday called out on strikes.,2025,4-Seam Fastball
SI,669711,702616,No event,ball,Jackson Holliday called out on strikes.,2025,Sinker
CH,669711,702616,No event,ball,Jackson Holliday called out on strikes.,2025,Changeup
CH,669711,702616,No event,blocked_ball,Jackson Holliday called out on strikes.,2025,Changeup
SL,669711,702616,No event,swinging_strike,Jackson Holliday called out on strikes.,2025,Slider
ST,669711,602104,single,hit_into_play,Ramón Urías singles on a line drive to left fielder Jarren Duran.,2025,Sweeper
SL,669711,602104,No event,called_strike,Ramón Urías singles on a line drive to left fielder Jarren Duran.,2025,Slider
SI,669711,602104,No event,ball,Ramón Urías singles on a line drive to left fielder Jarren Duran.,2025,Sinker
ST,669711,677649,field_out,hit_into_play,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
ST,669711,677649,No event,swinging_strike,"Ezequiel Duran grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sweeper
FF,669711,669394,force_out,hit_into_play,"Rangers challenged (play at 1st), call on the field was overturned: Jake Burger grounds into a force out, fielded by second baseman Romy Gonzalez. Joc Pederson to 3rd. Adolis García out at 2nd. Jake Burger to 1st.",2025,4-Seam Fastball
SI,669711,669394,No event,called_strike,"Rangers challenged (play at 1st), call on the field was overturned: Jake Burger grounds into a force out, fielded by second baseman Romy Gonzalez. Joc Pederson to 3rd. Adolis García out at 2nd. Jake Burger to 1st.",2025,Sinker
FF,669711,666969,hit_by_pitch,hit_by_pitch,Adolis García hit by pitch. Joc Pederson to 2nd.,2025,4-Seam Fastball
FF,669711,666969,No event,ball,Adolis García hit by pitch. Joc Pederson to 2nd.,2025,4-Seam Fastball
SI,669711,666969,No event,foul,Adolis García hit by pitch. Joc Pederson to 2nd.,2025,Sinker
SI,669711,666969,No event,called_strike,Adolis García hit by pitch. Joc Pederson to 2nd.,2025,Sinker
FF,669711,592626,walk,ball,Joc Pederson walks.,2025,4-Seam Fastball
SI,669711,592626,No event,ball,Joc Pederson walks.,2025,Sinker
CH,669711,592626,No event,ball,Joc Pederson walks.,2025,Changeup
CH,669711,592626,No event,ball,Joc Pederson walks.,2025,Changeup
SL,669711,592626,No event,called_strike,Joc Pederson walks.,2025,Slider
SI,669711,694671,strikeout,swinging_strike,Wyatt Langford strikes out swinging.,2025,Sinker
ST,669711,694671,No event,foul,Wyatt Langford strikes out swinging.,2025,Sweeper
FF,669711,694671,No event,foul,Wyatt Langford strikes out swinging.,2025,4-Seam Fastball
FF,669711,694671,No event,ball,Wyatt Langford strikes out swinging.,2025,4-Seam Fastball
ST,669711,694671,No event,called_strike,Wyatt Langford strikes out swinging.,2025,Sweeper
SL,669711,694671,No event,called_strike,Wyatt Langford strikes out swinging.,2025,Slider
SI,669711,694671,No event,ball,Wyatt Langford strikes out swinging.,2025,Sinker
SI,669711,543760,field_out,hit_into_play,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sinker
SI,669711,543760,No event,ball,"Marcus Semien grounds out, third baseman Alex Bregman to first baseman Triston Casas.",2025,Sinker
SI,669711,665750,strikeout,called_strike,Leody Taveras called out on strikes.,2025,Sinker
FF,669711,665750,No event,foul,Leody Taveras called out on strikes.,2025,4-Seam Fastball
SI,669711,665750,No event,foul,Leody Taveras called out on strikes.,2025,Sinker
SL,669711,665750,No event,ball,Leody Taveras called out on strikes.,2025,Slider
SL,669711,665750,No event,ball,Leody Taveras called out on strikes.,2025,Slider
FF,669711,641680,field_out,hit_into_play,Jonah Heim flies out to left fielder Jarren Duran.,2025,4-Seam Fastball
SL,669711,673962,single,hit_into_play,Josh Jung singles on a line drive to center fielder Ceddanne Rafaela. Jake Burger scores. Josh Jung to 2nd.,2025,Slider
SI,669711,673962,No event,called_strike,Josh Jung singles on a line drive to center fielder Ceddanne Rafaela. Jake Burger scores. Josh Jung to 2nd.,2025,Sinker
,669711,663647,strikeout,swinging_strike,Ke'Bryan Hayes strikes out swinging.,2025,
,669711,663647,No event,called_strike,Ke'Bryan Hayes strikes out swinging.,2025,
,669711,663647,No event,called_strike,Ke'Bryan Hayes strikes out swinging.,2025,
,669711,663647,No event,ball,Ke'Bryan Hayes strikes out swinging.,2025,
,669711,663647,No event,ball,Ke'Bryan Hayes strikes out swinging.,2025,
,669711,680779,strikeout,called_strike,Henry Davis called out on strikes.,2025,
,669711,680779,No event,foul,Henry Davis called out on strikes.,2025,
,669711,680779,No event,ball,Henry Davis called out on strikes.,2025,
,669711,680779,No event,ball,Henry Davis called out on strikes.,2025,
,669711,680779,No event,called_strike,Henry Davis called out on strikes.,2025,
,669711,680779,No event,ball,Henry Davis called out on strikes.,2025,
,669711,669261,single,hit_into_play,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,669261,No event,ball,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,669261,No event,foul,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,669261,No event,foul,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,669261,No event,called_strike,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,669261,No event,ball,Jack Suwinski singles on a sharp line drive to center fielder Ceddanne Rafaela.,2025,
,669711,643396,field_out,hit_into_play,Isiah Kiner-Falefa flies out to right fielder Wilyer Abreu.,2025,
,669711,643396,No event,called_strike,Isiah Kiner-Falefa flies out to right fielder Wilyer Abreu.,2025,
,669711,643396,No event,ball,Isiah Kiner-Falefa flies out to right fielder Wilyer Abreu.,2025,
,669711,643396,No event,called_strike,Isiah Kiner-Falefa flies out to right fielder Wilyer Abreu.,2025,
,669711,687637,walk,ball,Dylan Beavers walks.,2025,
,669711,687637,No event,blocked_ball,Dylan Beavers walks.,2025,
,669711,687637,No event,foul,Dylan Beavers walks.,2025,
,669711,687637,No event,ball,Dylan Beavers walks.,2025,
,669711,687637,No event,foul,Dylan Beavers walks.,2025,
,669711,687637,No event,ball,Dylan Beavers walks.,2025,
,669711,687637,No event,called_strike,Dylan Beavers walks.,2025,
,669711,687637,No event,called_strike,Dylan Beavers walks.,2025,
,669711,676679,single,hit_into_play,Luis Vazquez singles on a sharp line drive to left fielder Jarren Duran. Coby Mayo scores. Daz Cameron to 3rd. Vimael Machín to 2nd.,2025,
,669711,676679,No event,foul,Luis Vazquez singles on a sharp line drive to left fielder Jarren Duran. Coby Mayo scores. Daz Cameron to 3rd. Vimael Machín to 2nd.,2025,
,669711,605353,single,hit_into_play,Vimael Machín singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez scores. Coby Mayo to 3rd. Daz Cameron to 2nd.,2025,
,669711,605353,No event,ball,Vimael Machín singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez scores. Coby Mayo to 3rd. Daz Cameron to 2nd.,2025,
,669711,605353,No event,foul,Vimael Machín singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez scores. Coby Mayo to 3rd. Daz Cameron to 2nd.,2025,
,669711,605353,No event,ball,Vimael Machín singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez scores. Coby Mayo to 3rd. Daz Cameron to 2nd.,2025,
,669711,663662,single,hit_into_play,Daz Cameron singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez to 3rd. Coby Mayo to 2nd.,2025,
,669711,663662,No event,called_strike,Daz Cameron singles on a ground ball to center fielder Ceddanne Rafaela. Gary Sánchez to 3rd. Coby Mayo to 2nd.,2025,
,669711,691723,single,hit_into_play,Coby Mayo singles on a line drive to center fielder Ceddanne Rafaela. Gary Sánchez to 2nd.,2025,
,669711,596142,walk,ball,Gary Sánchez walks.,2025,
,669711,596142,No event,foul,Gary Sánchez walks.,2025,
,669711,596142,No event,ball,Gary Sánchez walks.,2025,
,669711,596142,No event,ball,Gary Sánchez walks.,2025,
