pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,666619,656716,field_out,hit_into_play,"Zach McKinstry grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Slider
SI,666619,656716,No event,ball,"Zach McKinstry grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Sinker
SL,666619,656716,No event,called_strike,"Zach McKinstry grounds out, shortstop J.P. Crawford to first baseman Luke Raley.",2025,Slider
SL,666619,668952,single,hit_into_play,Ryan Kreidler singles on a ground ball to left fielder Randy Arozarena.,2025,Slider
SI,666619,668952,No event,ball,Ryan Kreidler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SI,666619,668952,No event,foul,Ryan Kreidler singles on a ground ball to left fielder Randy Arozarena.,2025,Sinker
SL,666619,668670,field_out,hit_into_play,"Jake Rogers grounds out, third baseman Miles Mastrobuoni to first baseman Luke Raley.",2025,Slider
SI,666619,668670,No event,called_strike,"Jake Rogers grounds out, third baseman Miles Mastrobuoni to first baseman Luke Raley.",2025,Sinker
SL,666619,668670,No event,swinging_strike,"Jake Rogers grounds out, third baseman Miles Mastrobuoni to first baseman Luke Raley.",2025,Slider
SL,666619,668670,No event,ball,"Jake Rogers grounds out, third baseman Miles Mastrobuoni to first baseman Luke Raley.",2025,Slider
SI,666619,668670,No event,ball,"Jake Rogers grounds out, third baseman Miles Mastrobuoni to first baseman Luke Raley.",2025,Sinker
SI,666619,700242,field_out,hit_into_play,"Trey Sweeney grounds out, second baseman Ryan Bliss to first baseman Luke Raley.",2025,Sinker
SI,666619,700242,No event,called_strike,"Trey Sweeney grounds out, second baseman Ryan Bliss to first baseman Luke Raley.",2025,Sinker
SL,666619,640902,field_out,hit_into_play,"Jhonny Pereda grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Slider
SL,666619,640902,No event,swinging_strike,"Jhonny Pereda grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Slider
SI,666619,640902,No event,ball,"Jhonny Pereda grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Sinker
SL,666619,640902,No event,foul,"Jhonny Pereda grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Slider
SI,666619,570482,field_out,hit_into_play,"Gio Urshela grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Sinker
SL,666619,570482,No event,foul,"Gio Urshela grounds out, third baseman Dylan Moore to first baseman Donovan Solano.",2025,Slider
SI,666619,805779,field_out,hit_into_play,"Jacob Wilson grounds out, shortstop J.P. Crawford to first baseman Donovan Solano.",2025,Sinker
SL,666619,805779,No event,called_strike,"Jacob Wilson grounds out, shortstop J.P. Crawford to first baseman Donovan Solano.",2025,Slider
SL,666619,805779,No event,ball,"Jacob Wilson grounds out, shortstop J.P. Crawford to first baseman Donovan Solano.",2025,Slider
SI,666619,805779,No event,ball,"Jacob Wilson grounds out, shortstop J.P. Crawford to first baseman Donovan Solano.",2025,Sinker
SL,666619,570482,field_out,hit_into_play,Gio Urshela lines out sharply to center fielder Julio Rodríguez.,2025,Slider
SL,666619,570482,No event,ball,Gio Urshela lines out sharply to center fielder Julio Rodríguez.,2025,Slider
SI,666619,570482,No event,swinging_strike,Gio Urshela lines out sharply to center fielder Julio Rodríguez.,2025,Sinker
SI,666619,570482,No event,foul,Gio Urshela lines out sharply to center fielder Julio Rodríguez.,2025,Sinker
SL,666619,664913,walk,ball,Seth Brown walks.,2025,Slider
SL,666619,664913,No event,ball,Seth Brown walks.,2025,Slider
SI,666619,664913,No event,foul,Seth Brown walks.,2025,Sinker
SL,666619,664913,No event,ball,Seth Brown walks.,2025,Slider
SI,666619,664913,No event,ball,Seth Brown walks.,2025,Sinker
SL,666619,664913,No event,foul,Seth Brown walks.,2025,Slider
SL,666619,664913,No event,ball,Seth Brown walks.,2025,Slider
SI,666619,691016,single,hit_into_play,"Tyler Soderstrom singles on a ground ball to shortstop J.P. Crawford. Tyler Soderstrom out at 2nd, first baseman Donovan Solano to second baseman Dylan Moore.",2025,Sinker
SL,666619,669127,field_out,hit_into_play,Shea Langeliers grounds out to first baseman Donovan Solano.,2025,Slider
SL,666619,694320,strikeout,called_strike,Jack Costello called out on strikes.,2025,Slider
SI,666619,694320,No event,swinging_strike,Jack Costello called out on strikes.,2025,Sinker
SL,666619,694320,No event,called_strike,Jack Costello called out on strikes.,2025,Slider
SL,666619,694320,No event,ball,Jack Costello called out on strikes.,2025,Slider
SL,666619,672696,field_out,hit_into_play,"Francisco Acuna grounds out, third baseman Brandon Eike to first baseman Gabriel Moncada.",2025,Slider
SI,666619,672696,No event,swinging_strike,"Francisco Acuna grounds out, third baseman Brandon Eike to first baseman Gabriel Moncada.",2025,Sinker
SL,666619,672696,No event,ball,"Francisco Acuna grounds out, third baseman Brandon Eike to first baseman Gabriel Moncada.",2025,Slider
SI,666619,687867,strikeout,foul_tip,Clay Dungan strikes out on a foul tip.,2025,Sinker
FF,666619,687867,No event,foul,Clay Dungan strikes out on a foul tip.,2025,4-Seam Fastball
SL,666619,687867,No event,called_strike,Clay Dungan strikes out on a foul tip.,2025,Slider
SI,666619,805234,hit_by_pitch,hit_by_pitch,Tyler Robertson hit by pitch.,2025,Sinker
SI,666619,805234,No event,ball,Tyler Robertson hit by pitch.,2025,Sinker
SI,666619,805234,No event,ball,Tyler Robertson hit by pitch.,2025,Sinker
SL,666619,691392,field_out,hit_into_play,Johnny Ascanio flies out sharply to center fielder Bill Knight.,2025,Slider
CH,666619,691392,No event,ball,Johnny Ascanio flies out sharply to center fielder Bill Knight.,2025,Changeup
SL,666619,691392,No event,called_strike,Johnny Ascanio flies out sharply to center fielder Bill Knight.,2025,Slider
CH,666619,691392,No event,ball,Johnny Ascanio flies out sharply to center fielder Bill Knight.,2025,Changeup
SL,666619,687192,walk,ball,Cade Hunter walks.,2025,Slider
SL,666619,687192,No event,ball,Cade Hunter walks.,2025,Slider
SL,666619,687192,No event,swinging_strike,Cade Hunter walks.,2025,Slider
SL,666619,687192,No event,ball,Cade Hunter walks.,2025,Slider
SI,666619,687192,No event,foul,Cade Hunter walks.,2025,Sinker
SI,666619,687192,No event,ball,Cade Hunter walks.,2025,Sinker
SL,666619,699302,strikeout,swinging_strike,Hector Rodriguez strikes out swinging.,2025,Slider
SL,666619,699302,No event,foul,Hector Rodriguez strikes out swinging.,2025,Slider
SL,666619,699302,No event,called_strike,Hector Rodriguez strikes out swinging.,2025,Slider
SL,666619,690988,field_out,hit_into_play,Austin Hendrick flies out to center fielder Bill Knight.,2025,Slider
SL,666619,690988,No event,called_strike,Austin Hendrick flies out to center fielder Bill Knight.,2025,Slider
CH,666619,690988,No event,called_strike,Austin Hendrick flies out to center fielder Bill Knight.,2025,Changeup
,666619,640902,field_out,hit_into_play,Jhonny Pereda lines out to right fielder Victor Robles.,2025,
,666619,640902,No event,foul,Jhonny Pereda lines out to right fielder Victor Robles.,2025,
,666619,640902,No event,called_strike,Jhonny Pereda lines out to right fielder Victor Robles.,2025,
,666619,640902,No event,ball,Jhonny Pereda lines out to right fielder Victor Robles.,2025,
,666619,805779,force_out,hit_into_play,"Jacob Wilson grounds into a force out, shortstop J.P. Crawford to second baseman Ryan Bliss. Gio Urshela scores. CJ Alexander out at 2nd. Jacob Wilson to 1st.",2025,
,666619,805779,No event,called_strike,"Jacob Wilson grounds into a force out, shortstop J.P. Crawford to second baseman Ryan Bliss. Gio Urshela scores. CJ Alexander out at 2nd. Jacob Wilson to 1st.",2025,
,666619,805779,No event,foul,"Jacob Wilson grounds into a force out, shortstop J.P. Crawford to second baseman Ryan Bliss. Gio Urshela scores. CJ Alexander out at 2nd. Jacob Wilson to 1st.",2025,
,666619,680769,force_out,hit_into_play,"CJ Alexander grounds into a force out, first baseman Austin Shenton to shortstop J.P. Crawford. Gio Urshela to 3rd. Zack Gelof out at 2nd. CJ Alexander to 1st.",2025,
,666619,680769,No event,swinging_strike,"CJ Alexander grounds into a force out, first baseman Austin Shenton to shortstop J.P. Crawford. Gio Urshela to 3rd. Zack Gelof out at 2nd. CJ Alexander to 1st.",2025,
,666619,680769,No event,ball,"CJ Alexander grounds into a force out, first baseman Austin Shenton to shortstop J.P. Crawford. Gio Urshela to 3rd. Zack Gelof out at 2nd. CJ Alexander to 1st.",2025,
,666619,680769,No event,foul,"CJ Alexander grounds into a force out, first baseman Austin Shenton to shortstop J.P. Crawford. Gio Urshela to 3rd. Zack Gelof out at 2nd. CJ Alexander to 1st.",2025,
,666619,680869,single,hit_into_play,Zack Gelof singles on a ground ball to center fielder Luke Raley. Gio Urshela to 2nd.,2025,
,666619,680869,No event,ball,Zack Gelof singles on a ground ball to center fielder Luke Raley. Gio Urshela to 2nd.,2025,
,666619,680869,No event,ball,Zack Gelof singles on a ground ball to center fielder Luke Raley. Gio Urshela to 2nd.,2025,
,666619,680869,No event,swinging_strike,Zack Gelof singles on a ground ball to center fielder Luke Raley. Gio Urshela to 2nd.,2025,
,666619,570482,single,hit_into_play,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,ball,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,foul,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,swinging_strike,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,ball,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,foul,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
,666619,570482,No event,ball,Gio Urshela singles on a line drive to right fielder Victor Robles.,2025,
SL,666619,687588,field_out,hit_into_play,Micah Pries grounds out to first baseman Charlie Pagliarini.,2025,Slider
SL,666619,687588,No event,ball,Micah Pries grounds out to first baseman Charlie Pagliarini.,2025,Slider
SI,666619,687588,No event,swinging_strike,Micah Pries grounds out to first baseman Charlie Pagliarini.,2025,Sinker
SL,666619,687588,No event,foul,Micah Pries grounds out to first baseman Charlie Pagliarini.,2025,Slider
SI,666619,666310,field_out,hit_into_play,Bo Naylor grounds out to first baseman Charlie Pagliarini. Milan Tolentino to 2nd.,2025,Sinker
SL,666619,666310,No event,ball,Bo Naylor grounds out to first baseman Charlie Pagliarini. Milan Tolentino to 2nd.,2025,Slider
SI,666619,675455,walk,ball,Milan Tolentino walks.,2025,Sinker
SL,666619,675455,No event,ball,Milan Tolentino walks.,2025,Slider
SL,666619,675455,No event,foul,Milan Tolentino walks.,2025,Slider
SL,666619,675455,No event,ball,Milan Tolentino walks.,2025,Slider
SI,666619,675455,No event,called_strike,Milan Tolentino walks.,2025,Sinker
