pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,681402,670042,field_out,hit_into_play,"Luke Raley grounds out softly, catcher Matt Thaiss to first baseman Andrew Vaughn.",2025,Changeup
FF,681402,670042,No event,swinging_strike,"Luke Raley grounds out softly, catcher Matt Thaiss to first baseman Andrew Vaughn.",2025,4-Seam Fastball
FF,681402,670042,No event,foul,"Luke Raley grounds out softly, catcher Matt Thaiss to first baseman Andrew Vaughn.",2025,4-Seam Fastball
SL,681402,668227,home_run,hit_into_play,Randy Arozarena homers (3) on a line drive to left center field.,2025,Slider
FF,681402,668227,No event,ball,Randy Arozarena homers (3) on a line drive to left center field.,2025,4-Seam Fastball
CH,681402,668227,No event,ball,Randy Arozarena homers (3) on a line drive to left center field.,2025,Changeup
SL,681402,668227,No event,called_strike,Randy Arozarena homers (3) on a line drive to left center field.,2025,Slider
SL,681402,456781,field_out,hit_into_play,"Donovan Solano grounds out, third baseman Lenyn Sosa to first baseman Andrew Vaughn.",2025,Slider
FF,681402,456781,No event,called_strike,"Donovan Solano grounds out, third baseman Lenyn Sosa to first baseman Andrew Vaughn.",2025,4-Seam Fastball
FF,681402,456781,No event,called_strike,"Donovan Solano grounds out, third baseman Lenyn Sosa to first baseman Andrew Vaughn.",2025,4-Seam Fastball
CH,681402,677594,home_run,hit_into_play,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,Changeup
SL,681402,677594,No event,ball,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,Slider
CH,681402,677594,No event,foul,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,Changeup
FF,681402,677594,No event,foul,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,4-Seam Fastball
FF,681402,677594,No event,ball,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,4-Seam Fastball
SL,681402,677594,No event,ball,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,Slider
FF,681402,677594,No event,foul,Julio Rodríguez homers (4) on a fly ball to left center field. J.P. Crawford scores. Anthony Donofrio scores.,2025,4-Seam Fastball
SL,681402,645302,hit_by_pitch,hit_by_pitch,Victor Robles hit by pitch. J.P. Crawford to 2nd.,2025,Slider
SL,681402,645302,No event,swinging_strike,Victor Robles hit by pitch. J.P. Crawford to 2nd.,2025,Slider
CH,681402,641487,walk,ball,J.P. Crawford walks.,2025,Changeup
CH,681402,641487,No event,ball,J.P. Crawford walks.,2025,Changeup
SI,681402,641487,No event,foul,J.P. Crawford walks.,2025,Sinker
SL,681402,641487,No event,ball,J.P. Crawford walks.,2025,Slider
FF,681402,641487,No event,ball,J.P. Crawford walks.,2025,4-Seam Fastball
FF,681402,675448,field_out,hit_into_play,Blake Hunt lines out to left fielder Travis Jankowski.,2025,4-Seam Fastball
FF,681402,675448,No event,called_strike,Blake Hunt lines out to left fielder Travis Jankowski.,2025,4-Seam Fastball
SL,681402,675448,No event,foul,Blake Hunt lines out to left fielder Travis Jankowski.,2025,Slider
,681402,681962,field_out,hit_into_play,Vinny Capra flies out to left fielder Michael A. Taylor.,2025,
,681402,681962,No event,ball,Vinny Capra flies out to left fielder Michael A. Taylor.,2025,
,681402,687401,double,hit_into_play,Joey Ortiz doubles (5) on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia scores. William Contreras to 3rd.,2025,
,681402,687401,No event,ball,Joey Ortiz doubles (5) on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia scores. William Contreras to 3rd.,2025,
,681402,687401,No event,blocked_ball,Joey Ortiz doubles (5) on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia scores. William Contreras to 3rd.,2025,
,681402,687401,No event,called_strike,Joey Ortiz doubles (5) on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia scores. William Contreras to 3rd.,2025,
,681402,687401,No event,swinging_strike,Joey Ortiz doubles (5) on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia scores. William Contreras to 3rd.,2025,
,681402,656555,strikeout,swinging_strike,Rhys Hoskins strikes out swinging.,2025,
,681402,656555,No event,called_strike,Rhys Hoskins strikes out swinging.,2025,
,681402,656555,No event,blocked_ball,Rhys Hoskins strikes out swinging.,2025,
,681402,656555,No event,ball,Rhys Hoskins strikes out swinging.,2025,
,681402,656555,No event,called_strike,Rhys Hoskins strikes out swinging.,2025,
,681402,669003,field_out,hit_into_play,Garrett Mitchell flies out to left fielder Michael A. Taylor.,2025,
,681402,669003,No event,ball,Garrett Mitchell flies out to left fielder Michael A. Taylor.,2025,
,681402,669003,No event,ball,Garrett Mitchell flies out to left fielder Michael A. Taylor.,2025,
,681402,669003,No event,blocked_ball,Garrett Mitchell flies out to left fielder Michael A. Taylor.,2025,
,681402,669003,No event,called_strike,Garrett Mitchell flies out to left fielder Michael A. Taylor.,2025,
,681402,661388,single,hit_into_play,William Contreras singles on a line drive to center fielder Luis Robert Jr. Kay-Lan Nicasia to 2nd.,2025,
