pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,668470,678232,field_out,hit_into_play,"Jesus Valdez grounds out, shortstop Colt Emerson to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,678232,No event,ball,"Jesus Valdez grounds out, shortstop Colt Emerson to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,678232,No event,called_strike,"Jesus Valdez grounds out, shortstop Colt Emerson to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,678232,No event,called_strike,"Jesus Valdez grounds out, shortstop Colt Emerson to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,694815,field_out,hit_into_play,"Jack Hurley grounds out, third baseman Nick Dunn to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,694815,No event,ball,"Jack Hurley grounds out, third baseman Nick Dunn to first baseman Charlie Pagliarini.",2025,Slider
FF,668470,694815,No event,foul,"Jack Hurley grounds out, third baseman Nick Dunn to first baseman Charlie Pagliarini.",2025,4-Seam Fastball
FF,668470,694815,No event,ball,"Jack Hurley grounds out, third baseman Nick Dunn to first baseman Charlie Pagliarini.",2025,4-Seam Fastball
SL,668470,694815,No event,called_strike,"Jack Hurley grounds out, third baseman Nick Dunn to first baseman Charlie Pagliarini.",2025,Slider
SL,668470,605244,field_out,hit_into_play,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,Slider
FF,668470,605244,No event,foul,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,4-Seam Fastball
FF,668470,605244,No event,ball,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,4-Seam Fastball
FF,668470,605244,No event,ball,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,4-Seam Fastball
SL,668470,605244,No event,ball,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,Slider
FF,668470,605244,No event,called_strike,Aramis Garcia pops out to first baseman Charlie Pagliarini.,2025,4-Seam Fastball
SL,668470,680911,sac_fly,hit_into_play,Owen Miller out on a sacrifice fly to center fielder Samad Taylor. Yanquiel Fernandez scores. Kyle Karros to 3rd.,2025,Slider
SL,668470,680911,No event,ball,Owen Miller out on a sacrifice fly to center fielder Samad Taylor. Yanquiel Fernandez scores. Kyle Karros to 3rd.,2025,Slider
SL,668470,680911,No event,called_strike,Owen Miller out on a sacrifice fly to center fielder Samad Taylor. Yanquiel Fernandez scores. Kyle Karros to 3rd.,2025,Slider
SL,668470,680911,No event,swinging_strike,Owen Miller out on a sacrifice fly to center fielder Samad Taylor. Yanquiel Fernandez scores. Kyle Karros to 3rd.,2025,Slider
FF,668470,691720,double,hit_into_play,Kyle Karros doubles (2) on a ground ball to left fielder Spencer Packard. Zac Veen scores. Adael Amador scores. Yanquiel Fernandez to 3rd.,2025,4-Seam Fastball
SL,668470,691720,No event,blocked_ball,Kyle Karros doubles (2) on a ground ball to left fielder Spencer Packard. Zac Veen scores. Adael Amador scores. Yanquiel Fernandez to 3rd.,2025,Slider
FF,668470,691720,No event,foul,Kyle Karros doubles (2) on a ground ball to left fielder Spencer Packard. Zac Veen scores. Adael Amador scores. Yanquiel Fernandez to 3rd.,2025,4-Seam Fastball
FF,668470,692585,single,hit_into_play,Yanquiel Fernandez singles on a soft ground ball to pitcher Hagen Danner. Sterlin Thompson scores. Zac Veen to 3rd. Adael Amador to 2nd.,2025,4-Seam Fastball
