pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,668968,680716,single,hit_into_play,Jonathan Ornelas singles on a ground ball to right fielder David Calabrese. Ezequiel Duran to 3rd.,2025,Slider
SI,668968,680716,No event,called_strike,Jonathan Ornelas singles on a ground ball to right fielder David Calabrese. Ezequiel Duran to 3rd.,2025,Sinker
SI,668968,680716,No event,called_strike,Jonathan Ornelas singles on a ground ball to right fielder David Calabrese. Ezequiel Duran to 3rd.,2025,Sinker
SI,668968,680716,No event,ball,Jonathan Ornelas singles on a ground ball to right fielder David Calabrese. Ezequiel Duran to 3rd.,2025,Sinker
SL,668968,677649,single,hit_into_play,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Slider
SL,668968,677649,No event,called_strike,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Slider
SL,668968,677649,No event,ball,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Slider
SI,668968,677649,No event,ball,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Sinker
SI,668968,677649,No event,ball,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Sinker
SL,668968,677649,No event,called_strike,Ezequiel Duran singles on a fly ball to left fielder Anthony Scull.,2025,Slider
SI,668968,687957,home_run,hit_into_play,Dustin Harris homers (2) on a fly ball to right field. Justin Foscue scores.,2025,Sinker
SL,668968,687957,No event,called_strike,Dustin Harris homers (2) on a fly ball to right field. Justin Foscue scores.,2025,Slider
SI,668968,687957,No event,ball,Dustin Harris homers (2) on a fly ball to right field. Justin Foscue scores.,2025,Sinker
SI,668968,687957,No event,ball,Dustin Harris homers (2) on a fly ball to right field. Justin Foscue scores.,2025,Sinker
SL,668968,679822,single,hit_into_play,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Slider
SI,668968,679822,No event,ball,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Sinker
SL,668968,679822,No event,ball,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Slider
SL,668968,679822,No event,foul,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Slider
SL,668968,679822,No event,called_strike,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Slider
SI,668968,679822,No event,ball,Justin Foscue singles on a line drive to left fielder Anthony Scull.,2025,Sinker
SL,668968,607680,strikeout,swinging_strike,Kevin Pillar strikes out swinging.,2025,Slider
SL,668968,607680,No event,swinging_strike,Kevin Pillar strikes out swinging.,2025,Slider
SL,668968,607680,No event,called_strike,Kevin Pillar strikes out swinging.,2025,Slider
SI,668968,571466,field_out,hit_into_play,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Sinker
SL,668968,571466,No event,ball,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Slider
SI,668968,571466,No event,foul,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Sinker
SI,668968,571466,No event,ball,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Sinker
SI,668968,571466,No event,ball,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Sinker
SI,668968,571466,No event,called_strike,Tucker Barnhart lines out to right fielder David Calabrese.,2025,Sinker
,668968,656413,field_out,hit_into_play,Stuart Fairchild grounds out to pitcher Hans Crouse.,2025,
,668968,656413,No event,ball,Stuart Fairchild grounds out to pitcher Hans Crouse.,2025,
,668968,656413,No event,ball,Stuart Fairchild grounds out to pitcher Hans Crouse.,2025,
,668968,656413,No event,called_strike,Stuart Fairchild grounds out to pitcher Hans Crouse.,2025,
,668968,701398,double,hit_into_play,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,701398,No event,ball,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,701398,No event,ball,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,701398,No event,foul,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,701398,No event,called_strike,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,701398,No event,ball,Sal Stewart doubles (2) on a line drive to center fielder David Calabrese.,2025,
,668968,663886,field_out,hit_into_play,Tyler Stephenson flies out to center fielder David Calabrese.,2025,
,668968,663886,No event,called_strike,Tyler Stephenson flies out to center fielder David Calabrese.,2025,
,668968,600869,field_out,hit_into_play,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,foul,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,ball,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,foul,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,ball,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,ball,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
,668968,600869,No event,swinging_strike,Jeimer Candelario flies out to left fielder Rio Foster.,2025,
SI,668968,670156,field_out,hit_into_play,Miles Mastrobuoni flies out to left fielder Matthew Lugo.,2025,Sinker
SL,668968,670156,No event,ball,Miles Mastrobuoni flies out to left fielder Matthew Lugo.,2025,Slider
SL,668968,670156,No event,called_strike,Miles Mastrobuoni flies out to left fielder Matthew Lugo.,2025,Slider
SL,668968,670156,No event,ball,Miles Mastrobuoni flies out to left fielder Matthew Lugo.,2025,Slider
,668968,691720,walk,ball,Kyle Karros walks. Sean Bouchard scores. Hunter Goodman to 3rd. Jordan Beck to 2nd.,2025,
,668968,691720,No event,called_strike,Kyle Karros walks. Sean Bouchard scores. Hunter Goodman to 3rd. Jordan Beck to 2nd.,2025,
,668968,691720,No event,ball,Kyle Karros walks. Sean Bouchard scores. Hunter Goodman to 3rd. Jordan Beck to 2nd.,2025,
,668968,691720,No event,ball,Kyle Karros walks. Sean Bouchard scores. Hunter Goodman to 3rd. Jordan Beck to 2nd.,2025,
,668968,691720,No event,ball,Kyle Karros walks. Sean Bouchard scores. Hunter Goodman to 3rd. Jordan Beck to 2nd.,2025,
,668968,687597,force_out,hit_into_play,"Jordan Beck grounds into a force out, pitcher Hans Crouse to catcher Travis d'Arnaud. Nick Martini out at home. Sean Bouchard to 3rd. Hunter Goodman to 2nd. Jordan Beck to 1st.",2025,
,668968,687597,No event,called_strike,"Jordan Beck grounds into a force out, pitcher Hans Crouse to catcher Travis d'Arnaud. Nick Martini out at home. Sean Bouchard to 3rd. Hunter Goodman to 2nd. Jordan Beck to 1st.",2025,
,668968,696100,walk,blocked_ball,Hunter Goodman walks. Nick Martini to 3rd. Sean Bouchard to 2nd.,2025,
,668968,696100,No event,blocked_ball,Hunter Goodman walks. Nick Martini to 3rd. Sean Bouchard to 2nd.,2025,
,668968,696100,No event,called_strike,Hunter Goodman walks. Nick Martini to 3rd. Sean Bouchard to 2nd.,2025,
,668968,696100,No event,ball,Hunter Goodman walks. Nick Martini to 3rd. Sean Bouchard to 2nd.,2025,
,668968,696100,No event,ball,Hunter Goodman walks. Nick Martini to 3rd. Sean Bouchard to 2nd.,2025,
,668968,669911,strikeout,swinging_strike,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,foul,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,ball,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,called_strike,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,blocked_ball,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,called_strike,Michael Toglia strikes out swinging.,2025,
,668968,669911,No event,ball,Michael Toglia strikes out swinging.,2025,
,668968,656248,single,hit_into_play,Sean Bouchard singles on a sharp ground ball to left fielder Matthew Lugo. Nick Martini to 2nd.,2025,
,668968,656248,No event,called_strike,Sean Bouchard singles on a sharp ground ball to left fielder Matthew Lugo. Nick Martini to 2nd.,2025,
,668968,656248,No event,swinging_strike,Sean Bouchard singles on a sharp ground ball to left fielder Matthew Lugo. Nick Martini to 2nd.,2025,
,668968,656248,No event,ball,Sean Bouchard singles on a sharp ground ball to left fielder Matthew Lugo. Nick Martini to 2nd.,2025,
,668968,605361,walk,ball,Nick Martini walks.,2025,
,668968,605361,No event,ball,Nick Martini walks.,2025,
,668968,605361,No event,foul,Nick Martini walks.,2025,
,668968,605361,No event,called_strike,Nick Martini walks.,2025,
,668968,605361,No event,ball,Nick Martini walks.,2025,
,668968,605361,No event,ball,Nick Martini walks.,2025,
,668968,673548,strikeout,swinging_strike_blocked,Seiya Suzuki strikes out swinging.,2025,
,668968,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,
,668968,673548,No event,ball,Seiya Suzuki strikes out swinging.,2025,
,668968,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,
,668968,673548,No event,ball,Seiya Suzuki strikes out swinging.,2025,
,668968,663656,strikeout,swinging_strike,Kyle Tucker strikes out swinging.,2025,
,668968,663656,No event,foul,Kyle Tucker strikes out swinging.,2025,
,668968,663656,No event,ball,Kyle Tucker strikes out swinging.,2025,
,668968,663656,No event,swinging_strike,Kyle Tucker strikes out swinging.,2025,
,668968,663656,No event,ball,Kyle Tucker strikes out swinging.,2025,
,668968,663656,No event,swinging_strike,Kyle Tucker strikes out swinging.,2025,
,668968,664023,field_out,hit_into_play,Ian Happ flies out sharply to center fielder Nelson Rada.,2025,
,668968,664023,No event,ball,Ian Happ flies out sharply to center fielder Nelson Rada.,2025,
,668968,689172,strikeout,swinging_strike,Brett Wisely strikes out swinging.,2025,
,668968,689172,No event,ball,Brett Wisely strikes out swinging.,2025,
