pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,663687,664238,walk,ball,Dylan Moore walks. Jorge Polanco to 2nd.,2025,4-Seam Fastball
FF,663687,664238,No event,swinging_strike,Dylan Moore walks. Jorge Polanco to 2nd.,2025,4-Seam Fastball
FF,663687,664238,No event,called_strike,Dylan Moore walks. Jorge Polanco to 2nd.,2025,4-Seam Fastball
CH,663687,664238,No event,ball,Dylan Moore walks. Jorge Polanco to 2nd.,2025,Changeup
CH,663687,664238,No event,ball,Dylan Moore walks. Jorge Polanco to 2nd.,2025,Changeup
FF,663687,664238,No event,ball,Dylan Moore walks. Jorge Polanco to 2nd.,2025,4-Seam Fastball
CU,663687,593871,single,hit_into_play,Jorge Polanco singles on a ground ball to left fielder Miguel Andujar. Randy Arozarena scores.,2025,Curveball
CU,663687,641598,strikeout,swinging_strike,Mitch Garver strikes out swinging.,2025,Curveball
FF,663687,641598,No event,ball,Mitch Garver strikes out swinging.,2025,4-Seam Fastball
FF,663687,641598,No event,foul,Mitch Garver strikes out swinging.,2025,4-Seam Fastball
CH,663687,641598,No event,called_strike,Mitch Garver strikes out swinging.,2025,Changeup
CU,663687,641598,No event,called_strike,Mitch Garver strikes out swinging.,2025,Curveball
,663687,656185,strikeout,swinging_strike,Greg Allen strikes out swinging.,2025,
,663687,656185,No event,foul,Greg Allen strikes out swinging.,2025,
,663687,656185,No event,called_strike,Greg Allen strikes out swinging.,2025,
,663687,696513,walk,ball,Andy Garriola walks.,2025,
,663687,696513,No event,foul,Andy Garriola walks.,2025,
,663687,696513,No event,ball,Andy Garriola walks.,2025,
,663687,696513,No event,foul,Andy Garriola walks.,2025,
,663687,696513,No event,foul,Andy Garriola walks.,2025,
,663687,696513,No event,blocked_ball,Andy Garriola walks.,2025,
,663687,696513,No event,ball,Andy Garriola walks.,2025,
,663687,696513,No event,foul,Andy Garriola walks.,2025,
,663687,701496,hit_by_pitch,hit_by_pitch,Ben Cowles hit by pitch. Gage Workman to 2nd.,2025,
,663687,669398,walk,ball,Gage Workman walks.,2025,
,663687,669398,No event,foul,Gage Workman walks.,2025,
,663687,669398,No event,ball,Gage Workman walks.,2025,
,663687,669398,No event,foul,Gage Workman walks.,2025,
,663687,669398,No event,ball,Gage Workman walks.,2025,
,663687,669398,No event,swinging_strike,Gage Workman walks.,2025,
,663687,669398,No event,ball,Gage Workman walks.,2025,
,663687,669398,No event,called_strike,Gage Workman walks.,2025,
,663687,811289,field_out,hit_into_play,Spencer Nivens flies out to center fielder Drew Avans.,2025,
,663687,811289,No event,called_strike,Spencer Nivens flies out to center fielder Drew Avans.,2025,
,663687,811289,No event,ball,Spencer Nivens flies out to center fielder Drew Avans.,2025,
,663687,800051,field_out,hit_into_play,Austin Charles flies out to right fielder Brayan Buelvas.,2025,
,663687,800051,No event,ball,Austin Charles flies out to right fielder Brayan Buelvas.,2025,
,663687,801978,single,hit_into_play,Callan Moss singles on a line drive to center fielder Drew Avans.,2025,
,663687,801978,No event,ball,Callan Moss singles on a line drive to center fielder Drew Avans.,2025,
,663687,801978,No event,foul,Callan Moss singles on a line drive to center fielder Drew Avans.,2025,
