pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,683769,672580,field_out,hit_into_play,"Maikel Garcia grounds out, first baseman Carlos Santana to pitcher Hunter Gaddis.",2025,Slider
SL,683769,672580,No event,ball,"Maikel Garcia grounds out, first baseman Carlos Santana to pitcher Hunter Gaddis.",2025,Slider
SL,683769,672580,No event,called_strike,"Maikel Garcia grounds out, first baseman Carlos Santana to pitcher Hunter Gaddis.",2025,Slider
SL,683769,592669,walk,ball,Hunter Renfroe walks. Jonathan India scores. Bobby Witt Jr. to 3rd. Vinnie Pasquantino to 2nd.,2025,Slider
FF,683769,592669,No event,called_strike,Hunter Renfroe walks. Jonathan India scores. Bobby Witt Jr. to 3rd. Vinnie Pasquantino to 2nd.,2025,4-Seam Fastball
SL,683769,592669,No event,ball,Hunter Renfroe walks. Jonathan India scores. Bobby Witt Jr. to 3rd. Vinnie Pasquantino to 2nd.,2025,Slider
SL,683769,592669,No event,ball,Hunter Renfroe walks. Jonathan India scores. Bobby Witt Jr. to 3rd. Vinnie Pasquantino to 2nd.,2025,Slider
SL,683769,592669,No event,ball,Hunter Renfroe walks. Jonathan India scores. Bobby Witt Jr. to 3rd. Vinnie Pasquantino to 2nd.,2025,Slider
SL,683769,686681,strikeout,swinging_strike,Michael Massey strikes out swinging.,2025,Slider
CH,683769,686681,No event,blocked_ball,Michael Massey strikes out swinging.,2025,Changeup
CH,683769,686681,No event,blocked_ball,Michael Massey strikes out swinging.,2025,Changeup
SL,683769,686681,No event,foul,Michael Massey strikes out swinging.,2025,Slider
FF,683769,686681,No event,foul,Michael Massey strikes out swinging.,2025,4-Seam Fastball
FF,683769,686681,No event,foul,Michael Massey strikes out swinging.,2025,4-Seam Fastball
SL,683769,521692,strikeout,swinging_strike,Salvador Perez strikes out swinging.,2025,Slider
SL,683769,521692,No event,ball,Salvador Perez strikes out swinging.,2025,Slider
SL,683769,521692,No event,foul,Salvador Perez strikes out swinging.,2025,Slider
SL,683769,521692,No event,swinging_strike,Salvador Perez strikes out swinging.,2025,Slider
SL,683769,521692,No event,ball,Salvador Perez strikes out swinging.,2025,Slider
SL,683769,521692,force_out,hit_into_play,"Salvador Perez grounds into a force out, shortstop Brayan Rocchio to second baseman Daniel Schneemann. Vinnie Pasquantino out at 2nd.",2025,Slider
FF,683769,521692,No event,foul,"Salvador Perez grounds into a force out, shortstop Brayan Rocchio to second baseman Daniel Schneemann. Vinnie Pasquantino out at 2nd.",2025,4-Seam Fastball
FF,683769,521692,No event,swinging_strike,"Salvador Perez grounds into a force out, shortstop Brayan Rocchio to second baseman Daniel Schneemann. Vinnie Pasquantino out at 2nd.",2025,4-Seam Fastball
CH,683769,677951,double,hit_into_play,Bobby Witt Jr. doubles (1) on a line drive to left fielder Steven Kwan. Dairon Blanco scores.,2025,Changeup
