pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,666120,691026,single,hit_into_play,Masyn Winn singles on a bunt ground ball to third baseman Yoán Moncada. Jordan Walker to 3rd. Victor Scott II to 2nd.,2025,Changeup
FF,666120,691026,No event,called_strike,Masyn Winn singles on a bunt ground ball to third baseman Yoán Moncada. Jordan Walker to 3rd. Victor Scott II to 2nd.,2025,4-Seam Fastball
FF,666120,691026,No event,ball,Masyn Winn singles on a bunt ground ball to third baseman Yoán Moncada. Jordan Walker to 3rd. Victor Scott II to 2nd.,2025,4-Seam Fastball
FF,666120,691026,No event,ball,Masyn Winn singles on a bunt ground ball to third baseman Yoán Moncada. Jordan Walker to 3rd. Victor Scott II to 2nd.,2025,4-Seam Fastball
CU,666120,691026,No event,ball,Masyn Winn singles on a bunt ground ball to third baseman Yoán Moncada. Jordan Walker to 3rd. Victor Scott II to 2nd.,2025,Curveball
CH,666120,687363,single,hit_into_play,Victor Scott II singles on a bunt ground ball to catcher Logan O'Hoppe. Jordan Walker to 2nd.,2025,Changeup
CH,666120,687363,No event,swinging_strike,Victor Scott II singles on a bunt ground ball to catcher Logan O'Hoppe. Jordan Walker to 2nd.,2025,Changeup
FF,666120,691023,single,hit_into_play,Jordan Walker singles on a ground ball to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,691023,No event,ball,Jordan Walker singles on a ground ball to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,691023,No event,ball,Jordan Walker singles on a ground ball to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,691023,No event,ball,Jordan Walker singles on a ground ball to left fielder Taylor Ward.,2025,4-Seam Fastball
CH,666120,691023,No event,swinging_strike,Jordan Walker singles on a ground ball to left fielder Taylor Ward.,2025,Changeup
FF,666120,680977,field_out,hit_into_play,Brendan Donovan flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,680977,No event,foul,Brendan Donovan flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,680977,No event,called_strike,Brendan Donovan flies out to left fielder Taylor Ward.,2025,4-Seam Fastball
FF,666120,671056,strikeout,swinging_strike,Iván Herrera strikes out swinging.,2025,4-Seam Fastball
CU,666120,671056,No event,blocked_ball,Iván Herrera strikes out swinging.,2025,Curveball
CU,666120,671056,No event,foul,Iván Herrera strikes out swinging.,2025,Curveball
FF,666120,671056,No event,called_strike,Iván Herrera strikes out swinging.,2025,4-Seam Fastball
CU,666120,671056,No event,called_strike,Iván Herrera strikes out swinging.,2025,Curveball
CH,666120,676475,field_out,hit_into_play,Alec Burleson grounds out to first baseman Nolan Schanuel.,2025,Changeup
FF,666120,676475,No event,foul,Alec Burleson grounds out to first baseman Nolan Schanuel.,2025,4-Seam Fastball
FF,666120,676475,No event,foul,Alec Burleson grounds out to first baseman Nolan Schanuel.,2025,4-Seam Fastball
CH,666120,676475,No event,foul,Alec Burleson grounds out to first baseman Nolan Schanuel.,2025,Changeup
CH,666120,676475,No event,ball,Alec Burleson grounds out to first baseman Nolan Schanuel.,2025,Changeup
CH,666120,575929,double,hit_into_play,Willson Contreras doubles (1) on a line drive to left fielder Taylor Ward. Masyn Winn scores. Lars Nootbaar scores. Willson Contreras to 3rd. Throwing error by shortstop Nicky Lopez.,2025,Changeup
FF,666120,575929,No event,ball,Willson Contreras doubles (1) on a line drive to left fielder Taylor Ward. Masyn Winn scores. Lars Nootbaar scores. Willson Contreras to 3rd. Throwing error by shortstop Nicky Lopez.,2025,4-Seam Fastball
FF,666120,575929,No event,foul,Willson Contreras doubles (1) on a line drive to left fielder Taylor Ward. Masyn Winn scores. Lars Nootbaar scores. Willson Contreras to 3rd. Throwing error by shortstop Nicky Lopez.,2025,4-Seam Fastball
CU,666120,575929,No event,called_strike,Willson Contreras doubles (1) on a line drive to left fielder Taylor Ward. Masyn Winn scores. Lars Nootbaar scores. Willson Contreras to 3rd. Throwing error by shortstop Nicky Lopez.,2025,Curveball
CH,666120,663457,single,hit_into_play,Lars Nootbaar singles on a line drive to center fielder Jo Adell. Masyn Winn to 2nd.,2025,Changeup
CU,666120,663457,No event,foul,Lars Nootbaar singles on a line drive to center fielder Jo Adell. Masyn Winn to 2nd.,2025,Curveball
CU,666120,663457,No event,called_strike,Lars Nootbaar singles on a line drive to center fielder Jo Adell. Masyn Winn to 2nd.,2025,Curveball
FF,666120,663457,No event,ball,Lars Nootbaar singles on a line drive to center fielder Jo Adell. Masyn Winn to 2nd.,2025,4-Seam Fastball
FF,666120,691026,single,hit_into_play,Masyn Winn singles on a line drive to center fielder Jo Adell.,2025,4-Seam Fastball
FF,666120,691026,No event,ball,Masyn Winn singles on a line drive to center fielder Jo Adell.,2025,4-Seam Fastball
FF,666120,691026,field_out,hit_into_play,Masyn Winn grounds out to first baseman Nolan Schanuel.,2025,4-Seam Fastball
CH,666120,691026,No event,called_strike,Masyn Winn grounds out to first baseman Nolan Schanuel.,2025,Changeup
FF,666120,691026,No event,ball,Masyn Winn grounds out to first baseman Nolan Schanuel.,2025,4-Seam Fastball
CU,666120,691026,No event,ball,Masyn Winn grounds out to first baseman Nolan Schanuel.,2025,Curveball
CH,666120,687363,strikeout,swinging_strike,Victor Scott II strikes out swinging.,2025,Changeup
CH,666120,687363,No event,swinging_strike,Victor Scott II strikes out swinging.,2025,Changeup
CU,666120,687363,No event,called_strike,Victor Scott II strikes out swinging.,2025,Curveball
CH,666120,686780,strikeout,swinging_strike,Pedro Pagés strikes out swinging.,2025,Changeup
CH,666120,686780,No event,ball,Pedro Pagés strikes out swinging.,2025,Changeup
FF,666120,686780,No event,called_strike,Pedro Pagés strikes out swinging.,2025,4-Seam Fastball
FF,666120,686780,No event,called_strike,Pedro Pagés strikes out swinging.,2025,4-Seam Fastball
,666120,670869,grounded_into_double_play,hit_into_play,"Livan Soto grounds into a double play, first baseman Will Verdung to shortstop Nick Allen to pitcher Ian Anderson. Ethan Anderson out at 2nd. Livan Soto out at 1st.",2025,
,666120,670869,No event,called_strike,"Livan Soto grounds into a double play, first baseman Will Verdung to shortstop Nick Allen to pitcher Ian Anderson. Ethan Anderson out at 2nd. Livan Soto out at 1st.",2025,
,666120,670869,No event,swinging_strike,"Livan Soto grounds into a double play, first baseman Will Verdung to shortstop Nick Allen to pitcher Ian Anderson. Ethan Anderson out at 2nd. Livan Soto out at 1st.",2025,
,666120,670869,No event,ball,"Livan Soto grounds into a double play, first baseman Will Verdung to shortstop Nick Allen to pitcher Ian Anderson. Ethan Anderson out at 2nd. Livan Soto out at 1st.",2025,
,666120,803175,walk,blocked_ball,Ethan Anderson walks.,2025,
,666120,803175,No event,foul,Ethan Anderson walks.,2025,
,666120,803175,No event,ball,Ethan Anderson walks.,2025,
,666120,803175,No event,ball,Ethan Anderson walks.,2025,
,666120,803175,No event,swinging_strike,Ethan Anderson walks.,2025,
,666120,803175,No event,blocked_ball,Ethan Anderson walks.,2025,
,666120,677008,field_out,hit_into_play,Heston Kjerstad flies out to center fielder Eli White.,2025,
,666120,677008,No event,ball,Heston Kjerstad flies out to center fielder Eli White.,2025,
,666120,677008,No event,ball,Heston Kjerstad flies out to center fielder Eli White.,2025,
,666120,677008,No event,foul,Heston Kjerstad flies out to center fielder Eli White.,2025,
,666120,694444,single,hit_into_play,Tavian Josenberger singles on a ground ball to center fielder Eli White.,2025,
,666120,694444,No event,swinging_strike,Tavian Josenberger singles on a ground ball to center fielder Eli White.,2025,
,666120,605353,field_out,hit_into_play,"Vimael Machín grounds out, third baseman Colby Jones to first baseman Will Verdung.",2025,
,666120,605353,No event,ball,"Vimael Machín grounds out, third baseman Colby Jones to first baseman Will Verdung.",2025,
,666120,676545,strikeout,swinging_strike,Anthony Servideo strikes out swinging.,2025,
,666120,676545,No event,swinging_strike,Anthony Servideo strikes out swinging.,2025,
,666120,676545,No event,ball,Anthony Servideo strikes out swinging.,2025,
,666120,676545,No event,foul,Anthony Servideo strikes out swinging.,2025,
,666120,596142,field_out,hit_into_play,Gary Sánchez lines out to center fielder Eli White.,2025,
,666120,596142,No event,called_strike,Gary Sánchez lines out to center fielder Eli White.,2025,
,666120,657656,field_out,hit_into_play,Ramón Laureano lines out to left fielder Jurickson Profar.,2025,
