pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,676664,664238,single,hit_into_play,"Dylan Moore singles on a fly ball to shortstop Jacob Wilson, deflected by right fielder Lawrence Butler.",2025,4-Seam Fastball
SI,676664,664238,No event,ball,"Dylan Moore singles on a fly ball to shortstop Jacob Wilson, deflected by right fielder Lawrence Butler.",2025,Sinker
ST,676664,664238,No event,called_strike,"Dylan Moore singles on a fly ball to shortstop Jacob Wilson, deflected by right fielder Lawrence Butler.",2025,Sweeper
CH,676664,664238,No event,ball,"Dylan Moore singles on a fly ball to shortstop Jacob Wilson, deflected by right fielder Lawrence Butler.",2025,Changeup
ST,676664,456781,field_out,hit_into_play,Donovan Solano pops out to second baseman Max Schuemann.,2025,Sweeper
FF,676664,456781,No event,foul,Donovan Solano pops out to second baseman Max Schuemann.,2025,4-Seam Fastball
FF,676664,456781,No event,foul,Donovan Solano pops out to second baseman Max Schuemann.,2025,4-Seam Fastball
FF,676664,456781,No event,ball,Donovan Solano pops out to second baseman Max Schuemann.,2025,4-Seam Fastball
SL,676664,456781,No event,foul,Donovan Solano pops out to second baseman Max Schuemann.,2025,Slider
SL,676664,456781,No event,foul,Donovan Solano pops out to second baseman Max Schuemann.,2025,Slider
CH,676664,456781,No event,foul,Donovan Solano pops out to second baseman Max Schuemann.,2025,Changeup
ST,676664,456781,No event,called_strike,Donovan Solano pops out to second baseman Max Schuemann.,2025,Sweeper
SI,676664,456781,No event,ball,Donovan Solano pops out to second baseman Max Schuemann.,2025,Sinker
SI,676664,641598,field_out,hit_into_play,"Mitch Garver grounds out, second baseman Max Schuemann to first baseman Tyler Soderstrom.",2025,Sinker
FF,676664,668227,field_out,hit_into_play,"Randy Arozarena grounds out sharply, second baseman Max Schuemann to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
SL,676664,663728,field_out,hit_into_play,"Cal Raleigh grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Slider
SL,676664,663728,No event,swinging_strike,"Cal Raleigh grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Slider
SL,676664,677594,home_run,hit_into_play,Julio Rodríguez homers (1) on a fly ball to left field. Victor Robles scores.,2025,Slider
FF,676664,645302,single,hit_into_play,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,4-Seam Fastball
FF,676664,645302,No event,ball,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,4-Seam Fastball
ST,676664,645302,No event,called_strike,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,Sweeper
ST,676664,645302,No event,ball,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,Sweeper
CH,676664,645302,No event,ball,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,Changeup
SI,676664,645302,No event,foul,Victor Robles singles on a ground ball to shortstop Jacob Wilson.,2025,Sinker
SI,676664,641487,field_out,hit_into_play,J.P. Crawford grounds out to first baseman Tyler Soderstrom.,2025,Sinker
ST,676664,641487,No event,swinging_strike,J.P. Crawford grounds out to first baseman Tyler Soderstrom.,2025,Sweeper
FF,676664,669208,field_out,hit_into_play,"Ryan Bliss grounds out, third baseman Gio Urshela to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
FF,676664,669208,No event,swinging_strike,"Ryan Bliss grounds out, third baseman Gio Urshela to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
FF,676664,669208,No event,foul,"Ryan Bliss grounds out, third baseman Gio Urshela to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
SL,676664,669208,No event,ball,"Ryan Bliss grounds out, third baseman Gio Urshela to first baseman Tyler Soderstrom.",2025,Slider
FF,676664,664238,strikeout,foul_tip,Dylan Moore strikes out on a foul tip.,2025,4-Seam Fastball
SL,676664,664238,No event,ball,Dylan Moore strikes out on a foul tip.,2025,Slider
ST,676664,664238,No event,called_strike,Dylan Moore strikes out on a foul tip.,2025,Sweeper
CH,676664,664238,No event,ball,Dylan Moore strikes out on a foul tip.,2025,Changeup
SI,676664,664238,No event,called_strike,Dylan Moore strikes out on a foul tip.,2025,Sinker
FF,676664,456781,strikeout,swinging_strike,Donovan Solano strikes out swinging.,2025,4-Seam Fastball
FF,676664,456781,No event,foul,Donovan Solano strikes out swinging.,2025,4-Seam Fastball
ST,676664,456781,No event,ball,Donovan Solano strikes out swinging.,2025,Sweeper
FF,676664,456781,No event,ball,Donovan Solano strikes out swinging.,2025,4-Seam Fastball
FF,676664,456781,No event,ball,Donovan Solano strikes out swinging.,2025,4-Seam Fastball
ST,676664,456781,No event,called_strike,Donovan Solano strikes out swinging.,2025,Sweeper
ST,676664,641598,strikeout,called_strike,Mitch Garver called out on strikes.,2025,Sweeper
SL,676664,641598,No event,foul,Mitch Garver called out on strikes.,2025,Slider
SL,676664,641598,No event,blocked_ball,Mitch Garver called out on strikes.,2025,Slider
ST,676664,641598,No event,foul,Mitch Garver called out on strikes.,2025,Sweeper
FF,676664,641598,No event,ball,Mitch Garver called out on strikes.,2025,4-Seam Fastball
SL,676664,641598,No event,blocked_ball,Mitch Garver called out on strikes.,2025,Slider
ST,676664,641598,No event,called_strike,Mitch Garver called out on strikes.,2025,Sweeper
CH,676664,668227,field_out,hit_into_play,Randy Arozarena flies out sharply to center fielder JJ Bleday.,2025,Changeup
ST,676664,668227,No event,foul,Randy Arozarena flies out sharply to center fielder JJ Bleday.,2025,Sweeper
FF,676664,668227,No event,ball,Randy Arozarena flies out sharply to center fielder JJ Bleday.,2025,4-Seam Fastball
CH,676664,663728,single,hit_into_play,Cal Raleigh singles on a line drive to left fielder Miguel Andujar.,2025,Changeup
ST,676664,663728,No event,ball,Cal Raleigh singles on a line drive to left fielder Miguel Andujar.,2025,Sweeper
FF,676664,677594,field_out,hit_into_play,"Julio Rodríguez grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
ST,676664,677594,No event,called_strike,"Julio Rodríguez grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Sweeper
