pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,663804,669004,strikeout,swinging_strike,MJ Melendez strikes out swinging.,2024,
,663804,669004,No event,swinging_strike,MJ Melendez strikes out swinging.,2024,
,663804,669004,No event,swinging_strike,MJ Melendez strikes out swinging.,2024,
,663804,680118,field_out,hit_into_play,"Dairon Blanco grounds out, second baseman Jorge Polanco to first baseman Ty France.",2024,
,663804,666023,field_out,hit_into_play,Freddy Fermin pops out to second baseman Jorge Polanco.,2024,
,663804,643217,field_out,hit_into_play,Andrew Benintendi flies out to center fielder Cade Marlowe.,2024,
,663804,664901,strikeout,swinging_strike_blocked,"Danny Mendick strikes out swinging, catcher Seby Zavala to first baseman Ty France.",2024,
,663804,664901,No event,swinging_strike,"Danny Mendick strikes out swinging, catcher Seby Zavala to first baseman Ty France.",2024,
,663804,664901,No event,swinging_strike,"Danny Mendick strikes out swinging, catcher Seby Zavala to first baseman Ty France.",2024,
,663804,545358,strikeout,called_strike,Max Stassi called out on strikes.,2024,
,663804,545358,No event,called_strike,Max Stassi called out on strikes.,2024,
,663804,545358,No event,called_strike,Max Stassi called out on strikes.,2024,
