pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
,682052,606466,strikeout,called_strike,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,foul,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,called_strike,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,ball,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,ball,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,called_strike,Ketel Marte called out on strikes.,2025,
,682052,606466,No event,ball,Ketel Marte called out on strikes.,2025,
,682052,678489,force_out,hit_into_play,"Jorge Barrosa grounds into a force out, third baseman Darell Hernaiz to second baseman Max Muncy. Ildemaro Vargas out at 2nd. Jorge Barrosa to 1st.",2025,
,682052,678489,No event,ball,"Jorge Barrosa grounds into a force out, third baseman Darell Hernaiz to second baseman Max Muncy. Ildemaro Vargas out at 2nd. Jorge Barrosa to 1st.",2025,
,682052,678489,No event,ball,"Jorge Barrosa grounds into a force out, third baseman Darell Hernaiz to second baseman Max Muncy. Ildemaro Vargas out at 2nd. Jorge Barrosa to 1st.",2025,
,682052,645444,strikeout,swinging_strike,Jose Herrera strikes out swinging.,2025,
,682052,645444,No event,swinging_strike,Jose Herrera strikes out swinging.,2025,
,682052,645444,No event,foul,Jose Herrera strikes out swinging.,2025,
,682052,545121,walk,ball,Ildemaro Vargas walks.,2025,
,682052,545121,No event,foul,Ildemaro Vargas walks.,2025,
,682052,545121,No event,foul,Ildemaro Vargas walks.,2025,
,682052,545121,No event,ball,Ildemaro Vargas walks.,2025,
,682052,545121,No event,ball,Ildemaro Vargas walks.,2025,
,682052,545121,No event,ball,Ildemaro Vargas walks.,2025,
,682052,669911,field_out,hit_into_play,"Michael Toglia grounds out, third baseman Gio Urshela to first baseman Nick Kurtz.",2025,
,682052,669911,No event,ball,"Michael Toglia grounds out, third baseman Gio Urshela to first baseman Nick Kurtz.",2025,
,682052,656541,strikeout,swinging_strike,Sam Hilliard strikes out swinging.,2025,
,682052,656541,No event,ball,Sam Hilliard strikes out swinging.,2025,
,682052,656541,No event,ball,Sam Hilliard strikes out swinging.,2025,
,682052,656541,No event,swinging_strike,Sam Hilliard strikes out swinging.,2025,
,682052,656541,No event,called_strike,Sam Hilliard strikes out swinging.,2025,
,682052,656248,strikeout,swinging_strike,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,ball,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,ball,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,foul,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,ball,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,swinging_strike,Sean Bouchard strikes out swinging.,2025,
,682052,656248,No event,called_strike,Sean Bouchard strikes out swinging.,2025,
,682052,666134,grounded_into_double_play,hit_into_play,"Nolan Jones grounds into a double play, second baseman Brett Harris to shortstop Max Schuemann to first baseman Nick Kurtz. Kyle Karros out at 2nd. Nolan Jones out at 1st.",2025,
,682052,666134,No event,ball,"Nolan Jones grounds into a double play, second baseman Brett Harris to shortstop Max Schuemann to first baseman Nick Kurtz. Kyle Karros out at 2nd. Nolan Jones out at 1st.",2025,
,682052,666134,No event,called_strike,"Nolan Jones grounds into a double play, second baseman Brett Harris to shortstop Max Schuemann to first baseman Nick Kurtz. Kyle Karros out at 2nd. Nolan Jones out at 1st.",2025,
,682052,666134,No event,ball,"Nolan Jones grounds into a double play, second baseman Brett Harris to shortstop Max Schuemann to first baseman Nick Kurtz. Kyle Karros out at 2nd. Nolan Jones out at 1st.",2025,
,682052,668845,field_out,hit_into_play,Aaron Schunk pops out to first baseman Nick Kurtz in foul territory.,2025,
,682052,668845,No event,ball,Aaron Schunk pops out to first baseman Nick Kurtz in foul territory.,2025,
,682052,668845,No event,foul,Aaron Schunk pops out to first baseman Nick Kurtz in foul territory.,2025,
,682052,691720,walk,ball,Kyle Karros walks.,2025,
,682052,691720,No event,foul,Kyle Karros walks.,2025,
,682052,691720,No event,ball,Kyle Karros walks.,2025,
,682052,691720,No event,foul,Kyle Karros walks.,2025,
,682052,691720,No event,ball,Kyle Karros walks.,2025,
,682052,691720,No event,ball,Kyle Karros walks.,2025,
,682052,691720,No event,foul,Kyle Karros walks.,2025,
