pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,683568,691016,field_out,hit_into_play,"Tyler Soderstrom grounds out, shortstop Chase Meidroth to first baseman Lenyn Sosa.",2025,4-Seam Fastball
CH,683568,691016,No event,ball,"Tyler Soderstrom grounds out, shortstop Chase Meidroth to first baseman Lenyn Sosa.",2025,Changeup
SL,683568,691016,No event,called_strike,"Tyler Soderstrom grounds out, shortstop Chase Meidroth to first baseman Lenyn Sosa.",2025,Slider
CH,683568,666177,field_out,hit_into_play,"Carter Aldrete grounds out, second baseman Josh Rojas to first baseman Lenyn Sosa.",2025,Changeup
FF,683568,666177,No event,called_strike,"Carter Aldrete grounds out, second baseman Josh Rojas to first baseman Lenyn Sosa.",2025,4-Seam Fastball
FF,683568,666126,field_out,hit_into_play,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,4-Seam Fastball
FF,683568,666126,No event,called_strike,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,4-Seam Fastball
CH,683568,666126,No event,ball,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,Changeup
FF,683568,666126,No event,ball,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,4-Seam Fastball
FF,683568,666126,No event,ball,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,4-Seam Fastball
SL,683568,666126,No event,called_strike,Carlos Cortes lines out to right fielder Braden Montgomery.,2025,Slider
FF,683568,680474,hit_by_pitch,hit_by_pitch,Max Schuemann hit by pitch. Shea Langeliers to 3rd. Nick Kurtz to 2nd.,2025,4-Seam Fastball
SL,683568,649966,strikeout,swinging_strike,Luis Urías strikes out swinging.,2025,Slider
FF,683568,649966,No event,foul,Luis Urías strikes out swinging.,2025,4-Seam Fastball
FF,683568,649966,No event,called_strike,Luis Urías strikes out swinging.,2025,4-Seam Fastball
FF,683568,649966,No event,called_strike,Luis Urías strikes out swinging.,2025,4-Seam Fastball
FF,683568,649966,No event,ball,Luis Urías strikes out swinging.,2025,4-Seam Fastball
FF,683568,649966,No event,blocked_ball,Luis Urías strikes out swinging.,2025,4-Seam Fastball
FF,683568,701762,walk,ball,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,4-Seam Fastball
CH,683568,701762,No event,ball,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,Changeup
SL,683568,701762,No event,foul,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,Slider
FF,683568,701762,No event,called_strike,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,4-Seam Fastball
CH,683568,701762,No event,ball,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,Changeup
FF,683568,701762,No event,foul,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,4-Seam Fastball
CH,683568,701762,No event,ball,Nick Kurtz walks. Shea Langeliers to 2nd.,2025,Changeup
SL,683568,669127,walk,ball,Shea Langeliers walks.,2025,Slider
SL,683568,669127,No event,ball,Shea Langeliers walks.,2025,Slider
FF,683568,669127,No event,ball,Shea Langeliers walks.,2025,4-Seam Fastball
CH,683568,669127,No event,swinging_strike,Shea Langeliers walks.,2025,Changeup
FF,683568,669127,No event,foul,Shea Langeliers walks.,2025,4-Seam Fastball
SL,683568,669127,No event,ball,Shea Langeliers walks.,2025,Slider
CH,683568,691016,strikeout,swinging_strike,Tyler Soderstrom strikes out swinging.,2025,Changeup
FF,683568,691016,No event,ball,Tyler Soderstrom strikes out swinging.,2025,4-Seam Fastball
CH,683568,691016,No event,ball,Tyler Soderstrom strikes out swinging.,2025,Changeup
FF,683568,691016,No event,swinging_strike,Tyler Soderstrom strikes out swinging.,2025,4-Seam Fastball
CH,683568,691016,No event,blocked_ball,Tyler Soderstrom strikes out swinging.,2025,Changeup
CH,683568,691016,No event,called_strike,Tyler Soderstrom strikes out swinging.,2025,Changeup
SL,683568,805779,force_out,hit_into_play,"Jacob Wilson grounds into a force out, third baseman Brandon Drury to second baseman Josh Rojas. Denzel Clarke to 3rd. Lawrence Butler out at 2nd. Jacob Wilson to 1st.",2025,Slider
SL,683568,805779,No event,called_strike,"Jacob Wilson grounds into a force out, third baseman Brandon Drury to second baseman Josh Rojas. Denzel Clarke to 3rd. Lawrence Butler out at 2nd. Jacob Wilson to 1st.",2025,Slider
CH,683568,671732,walk,ball,Lawrence Butler walks. Denzel Clarke to 2nd.,2025,Changeup
FF,683568,671732,No event,foul,Lawrence Butler walks. Denzel Clarke to 2nd.,2025,4-Seam Fastball
FF,683568,671732,No event,ball,Lawrence Butler walks. Denzel Clarke to 2nd.,2025,4-Seam Fastball
FF,683568,671732,No event,ball,Lawrence Butler walks. Denzel Clarke to 2nd.,2025,4-Seam Fastball
SL,683568,671732,No event,blocked_ball,Lawrence Butler walks. Denzel Clarke to 2nd.,2025,Slider
FF,683568,672016,force_out,hit_into_play,"Denzel Clarke grounds into a force out, shortstop Chase Meidroth to second baseman Josh Rojas. CJ Alexander out at 2nd. Denzel Clarke to 1st.",2025,4-Seam Fastball
SL,683568,672016,No event,ball,"Denzel Clarke grounds into a force out, shortstop Chase Meidroth to second baseman Josh Rojas. CJ Alexander out at 2nd. Denzel Clarke to 1st.",2025,Slider
SL,683568,680769,walk,ball,CJ Alexander walks.,2025,Slider
FF,683568,680769,No event,foul,CJ Alexander walks.,2025,4-Seam Fastball
FF,683568,680769,No event,ball,CJ Alexander walks.,2025,4-Seam Fastball
CH,683568,680769,No event,ball,CJ Alexander walks.,2025,Changeup
FF,683568,680769,No event,foul,CJ Alexander walks.,2025,4-Seam Fastball
FF,683568,680769,No event,ball,CJ Alexander walks.,2025,4-Seam Fastball
SL,683568,571657,force_out,hit_into_play,"Kyle Farmer grounds into a force out, third baseman Josh Rojas to second baseman Lenyn Sosa. Thairo Estrada out at 2nd.",2025,Slider
FF,683568,607732,field_out,hit_into_play,Jacob Stallings flies out to right fielder Austin Slater.,2025,4-Seam Fastball
SL,683568,607732,No event,ball,Jacob Stallings flies out to right fielder Austin Slater.,2025,Slider
SL,683568,607732,No event,called_strike,Jacob Stallings flies out to right fielder Austin Slater.,2025,Slider
FF,683568,642731,single,hit_into_play,Thairo Estrada singles on a sharp line drive to right fielder Austin Slater.,2025,4-Seam Fastball
CH,683568,642731,No event,ball,Thairo Estrada singles on a sharp line drive to right fielder Austin Slater.,2025,Changeup
CH,683568,642731,No event,ball,Thairo Estrada singles on a sharp line drive to right fielder Austin Slater.,2025,Changeup
FF,683568,642731,No event,called_strike,Thairo Estrada singles on a sharp line drive to right fielder Austin Slater.,2025,4-Seam Fastball
