pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,671109,800543,double,hit_into_play,Josue De Paula doubles (1) on a ground ball to right fielder Cal Mitchell. Joe Vetrano scores.,2025,Changeup
SL,671109,800543,No event,ball,Josue De Paula doubles (1) on a ground ball to right fielder Cal Mitchell. Joe Vetrano scores.,2025,Slider
FF,671109,800543,No event,foul,Josue De Paula doubles (1) on a ground ball to right fielder Cal Mitchell. Joe Vetrano scores.,2025,4-Seam Fastball
SL,671109,800543,No event,called_strike,Josue De Paula doubles (1) on a ground ball to right fielder Cal Mitchell. Joe Vetrano scores.,2025,Slider
SL,671109,800543,No event,called_strike,Josue De Paula doubles (1) on a ground ball to right fielder Cal Mitchell. Joe Vetrano scores.,2025,Slider
FF,671109,694838,double,hit_into_play,Joe Vetrano doubles (1) on a sharp line drive to left fielder Braden Montgomery. Chris Newell scores. Dalton Rushing scores.,2025,4-Seam Fastball
FF,671109,687221,walk,ball,Dalton Rushing walks.,2025,4-Seam Fastball
FF,671109,687221,No event,ball,Dalton Rushing walks.,2025,4-Seam Fastball
SL,671109,687221,No event,blocked_ball,Dalton Rushing walks.,2025,Slider
FF,671109,687221,No event,called_strike,Dalton Rushing walks.,2025,4-Seam Fastball
SL,671109,687221,No event,ball,Dalton Rushing walks.,2025,Slider
FF,671109,674976,strikeout,swinging_strike,Griffin Lockwood-Powell strikes out swinging.,2025,4-Seam Fastball
FF,671109,674976,No event,swinging_strike,Griffin Lockwood-Powell strikes out swinging.,2025,4-Seam Fastball
CH,671109,674976,No event,ball,Griffin Lockwood-Powell strikes out swinging.,2025,Changeup
CH,671109,674976,No event,ball,Griffin Lockwood-Powell strikes out swinging.,2025,Changeup
FF,671109,674976,No event,called_strike,Griffin Lockwood-Powell strikes out swinging.,2025,4-Seam Fastball
CH,671109,681624,field_error,hit_into_play,Andy Pages reaches on a fielding error by shortstop Tristan Gray. Jake Vogel scores.,2025,Changeup
CH,671109,681624,No event,called_strike,Andy Pages reaches on a fielding error by shortstop Tristan Gray. Jake Vogel scores.,2025,Changeup
FF,671109,681624,No event,ball,Andy Pages reaches on a fielding error by shortstop Tristan Gray. Jake Vogel scores.,2025,4-Seam Fastball
CH,671109,681624,No event,blocked_ball,Andy Pages reaches on a fielding error by shortstop Tristan Gray. Jake Vogel scores.,2025,Changeup
SL,671109,592696,walk,ball,Eddie Rosario walks.,2025,Slider
SL,671109,592696,No event,called_strike,Eddie Rosario walks.,2025,Slider
FF,671109,592696,No event,ball,Eddie Rosario walks.,2025,4-Seam Fastball
FF,671109,592696,No event,ball,Eddie Rosario walks.,2025,4-Seam Fastball
FF,671109,592696,No event,ball,Eddie Rosario walks.,2025,4-Seam Fastball
CH,671109,682877,strikeout,swinging_strike,Juan Brito strikes out swinging.,2025,Changeup
CH,671109,682877,No event,called_strike,Juan Brito strikes out swinging.,2025,Changeup
FF,671109,682877,No event,called_strike,Juan Brito strikes out swinging.,2025,4-Seam Fastball
FF,671109,682877,No event,ball,Juan Brito strikes out swinging.,2025,4-Seam Fastball
FF,671109,672356,walk,blocked_ball,Gabriel Arias walks.,2025,4-Seam Fastball
CH,671109,672356,No event,ball,Gabriel Arias walks.,2025,Changeup
FF,671109,672356,No event,foul,Gabriel Arias walks.,2025,4-Seam Fastball
FF,671109,672356,No event,foul,Gabriel Arias walks.,2025,4-Seam Fastball
FF,671109,672356,No event,swinging_strike,Gabriel Arias walks.,2025,4-Seam Fastball
FF,671109,672356,No event,ball,Gabriel Arias walks.,2025,4-Seam Fastball
CH,671109,672356,No event,ball,Gabriel Arias walks.,2025,Changeup
