pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,596001,657757,field_out,hit_into_play,Gavin Sheets lines out to left fielder Steven Kwan.,2025,Slider
SL,596001,657757,No event,ball,Gavin Sheets lines out to left fielder Steven Kwan.,2025,Slider
CH,596001,657757,No event,foul,Gavin Sheets lines out to left fielder Steven Kwan.,2025,Changeup
FF,596001,657757,No event,called_strike,Gavin Sheets lines out to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,596001,657757,No event,ball,Gavin Sheets lines out to left fielder Steven Kwan.,2025,4-Seam Fastball
CH,596001,657757,No event,blocked_ball,Gavin Sheets lines out to left fielder Steven Kwan.,2025,Changeup
CH,596001,593428,fielders_choice,hit_into_play,"Xander Bogaerts reaches on a fielder's choice, fielded by third baseman José Ramírez. Manny Machado to 3rd. Jackson Merrill to 2nd.",2025,Changeup
SI,596001,593428,No event,called_strike,"Xander Bogaerts reaches on a fielder's choice, fielded by third baseman José Ramírez. Manny Machado to 3rd. Jackson Merrill to 2nd.",2025,Sinker
SL,596001,593428,No event,ball,"Xander Bogaerts reaches on a fielder's choice, fielded by third baseman José Ramírez. Manny Machado to 3rd. Jackson Merrill to 2nd.",2025,Slider
SI,596001,593428,No event,called_strike,"Xander Bogaerts reaches on a fielder's choice, fielded by third baseman José Ramírez. Manny Machado to 3rd. Jackson Merrill to 2nd.",2025,Sinker
SL,596001,593428,No event,ball,"Xander Bogaerts reaches on a fielder's choice, fielded by third baseman José Ramírez. Manny Machado to 3rd. Jackson Merrill to 2nd.",2025,Slider
CH,596001,630105,field_out,hit_into_play,Jake Cronenworth flies out to center fielder Lane Thomas.,2025,Changeup
SL,596001,630105,No event,blocked_ball,Jake Cronenworth flies out to center fielder Lane Thomas.,2025,Slider
CH,596001,630105,No event,blocked_ball,Jake Cronenworth flies out to center fielder Lane Thomas.,2025,Changeup
FF,596001,630105,No event,called_strike,Jake Cronenworth flies out to center fielder Lane Thomas.,2025,4-Seam Fastball
CH,596001,630105,No event,called_strike,Jake Cronenworth flies out to center fielder Lane Thomas.,2025,Changeup
CH,596001,701538,single,hit_into_play,Jackson Merrill singles on a fly ball to left fielder Steven Kwan. Manny Machado to 2nd.,2025,Changeup
FF,596001,701538,No event,called_strike,Jackson Merrill singles on a fly ball to left fielder Steven Kwan. Manny Machado to 2nd.,2025,4-Seam Fastball
CH,596001,701538,No event,ball,Jackson Merrill singles on a fly ball to left fielder Steven Kwan. Manny Machado to 2nd.,2025,Changeup
SI,596001,701538,No event,ball,Jackson Merrill singles on a fly ball to left fielder Steven Kwan. Manny Machado to 2nd.,2025,Sinker
SL,596001,701538,field_out,hit_into_play,Jackson Merrill lines out sharply to center fielder Lane Thomas.,2025,Slider
SI,596001,701538,No event,foul,Jackson Merrill lines out sharply to center fielder Lane Thomas.,2025,Sinker
CH,596001,701538,No event,ball,Jackson Merrill lines out sharply to center fielder Lane Thomas.,2025,Changeup
SL,596001,701538,No event,foul,Jackson Merrill lines out sharply to center fielder Lane Thomas.,2025,Slider
SL,596001,592518,single,hit_into_play,Manny Machado singles on a ground ball to left fielder Steven Kwan.,2025,Slider
SL,596001,592518,No event,ball,Manny Machado singles on a ground ball to left fielder Steven Kwan.,2025,Slider
SI,596001,592518,No event,foul,Manny Machado singles on a ground ball to left fielder Steven Kwan.,2025,Sinker
SI,596001,650333,single,hit_into_play,"Luis Arraez singles on a line drive to right fielder Jhonkensy Noel. Luis Arraez out at 2nd on the throw, right fielder Jhonkensy Noel to shortstop Brayan Rocchio.",2025,Sinker
CH,596001,650333,No event,foul,"Luis Arraez singles on a line drive to right fielder Jhonkensy Noel. Luis Arraez out at 2nd on the throw, right fielder Jhonkensy Noel to shortstop Brayan Rocchio.",2025,Changeup
SL,596001,650333,No event,ball,"Luis Arraez singles on a line drive to right fielder Jhonkensy Noel. Luis Arraez out at 2nd on the throw, right fielder Jhonkensy Noel to shortstop Brayan Rocchio.",2025,Slider
CH,596001,650333,No event,called_strike,"Luis Arraez singles on a line drive to right fielder Jhonkensy Noel. Luis Arraez out at 2nd on the throw, right fielder Jhonkensy Noel to shortstop Brayan Rocchio.",2025,Changeup
SL,596001,665487,field_out,hit_into_play,"Fernando Tatis Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Slider
SL,596001,665487,No event,ball,"Fernando Tatis Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Slider
SL,596001,665487,No event,called_strike,"Fernando Tatis Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Slider
SL,596001,665487,No event,ball,"Fernando Tatis Jr. grounds out, third baseman José Ramírez to first baseman Carlos Santana.",2025,Slider
SL,596001,553869,strikeout,swinging_strike,Elias Díaz strikes out swinging.,2025,Slider
SL,596001,553869,No event,swinging_strike,Elias Díaz strikes out swinging.,2025,Slider
SI,596001,553869,No event,called_strike,Elias Díaz strikes out swinging.,2025,Sinker
SL,596001,666023,strikeout,swinging_strike,Freddy Fermin strikes out swinging.,2025,Slider
SI,596001,666023,No event,foul,Freddy Fermin strikes out swinging.,2025,Sinker
SL,596001,666023,No event,called_strike,Freddy Fermin strikes out swinging.,2025,Slider
SI,596001,672580,single,hit_into_play,Maikel Garcia singles on a sharp line drive to left fielder Steven Kwan.,2025,Sinker
SI,596001,672580,No event,called_strike,Maikel Garcia singles on a sharp line drive to left fielder Steven Kwan.,2025,Sinker
CH,596001,669004,field_out,hit_into_play,"MJ Melendez grounds out softly, catcher Bo Naylor to first baseman Carlos Santana.",2025,Changeup
FF,596001,669004,No event,called_strike,"MJ Melendez grounds out softly, catcher Bo Naylor to first baseman Carlos Santana.",2025,4-Seam Fastball
SI,596001,686681,field_out,hit_into_play,Michael Massey flies out to center fielder Lane Thomas.,2025,Sinker
FC,596001,686681,No event,called_strike,Michael Massey flies out to center fielder Lane Thomas.,2025,Cutter
SI,596001,686681,No event,ball,Michael Massey flies out to center fielder Lane Thomas.,2025,Sinker
SL,596001,686681,No event,ball,Michael Massey flies out to center fielder Lane Thomas.,2025,Slider
SI,596001,686681,No event,foul,Michael Massey flies out to center fielder Lane Thomas.,2025,Sinker
SI,596001,686681,No event,ball,Michael Massey flies out to center fielder Lane Thomas.,2025,Sinker
SI,596001,657088,single,hit_into_play,Forrest Wall singles on a line drive to center fielder Jaison Chourio.,2025,Sinker
FC,596001,657088,No event,ball,Forrest Wall singles on a line drive to center fielder Jaison Chourio.,2025,Cutter
CH,596001,657088,No event,foul,Forrest Wall singles on a line drive to center fielder Jaison Chourio.,2025,Changeup
CH,596001,657088,No event,called_strike,Forrest Wall singles on a line drive to center fielder Jaison Chourio.,2025,Changeup
CH,596001,657088,No event,ball,Forrest Wall singles on a line drive to center fielder Jaison Chourio.,2025,Changeup
SL,596001,669200,field_out,hit_into_play,Mason McCoy lines out sharply to center fielder Lane Thomas.,2025,Slider
SI,596001,669200,No event,foul,Mason McCoy lines out sharply to center fielder Lane Thomas.,2025,Sinker
SL,596001,669200,No event,foul,Mason McCoy lines out sharply to center fielder Lane Thomas.,2025,Slider
SL,596001,669200,No event,called_strike,Mason McCoy lines out sharply to center fielder Lane Thomas.,2025,Slider
CH,596001,672359,double,hit_into_play,Tirso Ornelas doubles (5) on a sharp line drive to center fielder Lane Thomas. Cole Roederer scores.,2025,Changeup
SI,596001,672359,No event,blocked_ball,Tirso Ornelas doubles (5) on a sharp line drive to center fielder Lane Thomas. Cole Roederer scores.,2025,Sinker
SI,596001,672359,No event,foul,Tirso Ornelas doubles (5) on a sharp line drive to center fielder Lane Thomas. Cole Roederer scores.,2025,Sinker
SL,596001,672359,No event,ball,Tirso Ornelas doubles (5) on a sharp line drive to center fielder Lane Thomas. Cole Roederer scores.,2025,Slider
SI,596001,660757,triple,hit_into_play,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Sinker
SI,596001,660757,No event,ball,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Sinker
SL,596001,660757,No event,ball,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Slider
SL,596001,660757,No event,ball,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Slider
CH,596001,660757,No event,swinging_strike,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Changeup
SI,596001,660757,No event,foul,Oscar Gonzalez triples (1) on a sharp fly ball to center fielder Lane Thomas.,2025,Sinker
SI,596001,669134,strikeout,swinging_strike,Luis Campusano strikes out swinging.,2025,Sinker
SL,596001,669134,No event,foul,Luis Campusano strikes out swinging.,2025,Slider
CH,596001,669134,No event,ball,Luis Campusano strikes out swinging.,2025,Changeup
SL,596001,669134,No event,ball,Luis Campusano strikes out swinging.,2025,Slider
CH,596001,669134,No event,foul,Luis Campusano strikes out swinging.,2025,Changeup
SL,596001,669134,No event,ball,Luis Campusano strikes out swinging.,2025,Slider
SL,596001,669134,No event,called_strike,Luis Campusano strikes out swinging.,2025,Slider
SL,596001,677649,field_out,hit_into_play,Ezequiel Duran flies out to right fielder Jhonkensy Noel.,2025,Slider
CH,596001,677649,No event,swinging_strike,Ezequiel Duran flies out to right fielder Jhonkensy Noel.,2025,Changeup
SL,596001,677649,No event,called_strike,Ezequiel Duran flies out to right fielder Jhonkensy Noel.,2025,Slider
SI,596001,677649,No event,ball,Ezequiel Duran flies out to right fielder Jhonkensy Noel.,2025,Sinker
SI,596001,607680,home_run,hit_into_play,Kevin Pillar homers (1) on a fly ball to right center field. Jonah Heim scores.,2025,Sinker
SL,596001,607680,No event,ball,Kevin Pillar homers (1) on a fly ball to right center field. Jonah Heim scores.,2025,Slider
SL,596001,641680,single,hit_into_play,Jonah Heim singles on a line drive to center fielder Tyler Freeman.,2025,Slider
SI,596001,641680,No event,ball,Jonah Heim singles on a line drive to center fielder Tyler Freeman.,2025,Sinker
