pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SI,663704,668670,No event,ball,Jake Rogers walks.,2024,Sinker
SL,663704,668670,No event,ball,Jake Rogers walks.,2024,Slider
SI,663704,668670,No event,ball,Jake Rogers walks.,2024,Sinker
SI,663704,628451,strikeout,called_strike,Andy Ibáñez called out on strikes.,2024,Sinker
SL,663704,628451,No event,swinging_strike,Andy Ibáñez called out on strikes.,2024,Slider
CU,663704,628451,No event,ball,Andy Ibáñez called out on strikes.,2024,Curveball
SL,663704,628451,No event,swinging_strike,Andy Ibáñez called out on strikes.,2024,Slider
SI,663704,628451,No event,ball,Andy Ibáñez called out on strikes.,2024,Sinker
CU,663704,656716,field_error,hit_into_play,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,Curveball
SL,663704,656716,No event,foul,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,Slider
CU,663704,656716,No event,ball,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,Curveball
SI,663704,656716,No event,ball,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,Sinker
CU,663704,656716,No event,foul,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,Curveball
FF,663704,656716,No event,called_strike,"Zach McKinstry reaches on a missed catch error by pitcher James McArthur, assist to second baseman Michael Massey.",2024,4-Seam Fastball
SI,663704,679529,field_out,hit_into_play,Spencer Torkelson grounds out to first baseman Yuli Gurriel.,2024,Sinker
SL,663704,679529,No event,swinging_strike,Spencer Torkelson grounds out to first baseman Yuli Gurriel.,2024,Slider
SI,663704,679529,No event,called_strike,Spencer Torkelson grounds out to first baseman Yuli Gurriel.,2024,Sinker
SI,663704,669707,single,hit_into_play,Jared Triolo singles on a sharp line drive to left fielder Garrett Hampson. Bryan De La Cruz to 3rd. Yasmani Grandal to 2nd.,2024,Sinker
SI,663704,669707,No event,ball,Jared Triolo singles on a sharp line drive to left fielder Garrett Hampson. Bryan De La Cruz to 3rd. Yasmani Grandal to 2nd.,2024,Sinker
SL,663704,669707,No event,swinging_strike,Jared Triolo singles on a sharp line drive to left fielder Garrett Hampson. Bryan De La Cruz to 3rd. Yasmani Grandal to 2nd.,2024,Slider
SI,663704,518735,walk,ball,Yasmani Grandal walks. Bryan De La Cruz to 2nd.,2024,Sinker
CU,663704,518735,No event,ball,Yasmani Grandal walks. Bryan De La Cruz to 2nd.,2024,Curveball
SI,663704,518735,No event,ball,Yasmani Grandal walks. Bryan De La Cruz to 2nd.,2024,Sinker
CU,663704,518735,No event,called_strike,Yasmani Grandal walks. Bryan De La Cruz to 2nd.,2024,Curveball
CU,663704,518735,No event,ball,Yasmani Grandal walks. Bryan De La Cruz to 2nd.,2024,Curveball
SI,663704,650559,force_out,hit_into_play,"Umpire reviewed (play at 1st), call on the field was overturned: Bryan De La Cruz grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Nick Gonzales out at 2nd. Bryan De La Cruz to 1st.",2024,Sinker
SI,663704,650559,No event,swinging_strike,"Umpire reviewed (play at 1st), call on the field was overturned: Bryan De La Cruz grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Nick Gonzales out at 2nd. Bryan De La Cruz to 1st.",2024,Sinker
SL,663704,650559,No event,ball,"Umpire reviewed (play at 1st), call on the field was overturned: Bryan De La Cruz grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Nick Gonzales out at 2nd. Bryan De La Cruz to 1st.",2024,Slider
CU,663704,650559,No event,called_strike,"Umpire reviewed (play at 1st), call on the field was overturned: Bryan De La Cruz grounds into a force out, third baseman Maikel Garcia to second baseman Michael Massey. Nick Gonzales out at 2nd. Bryan De La Cruz to 1st.",2024,Curveball
SL,663704,693304,single,hit_into_play,Nick Gonzales singles on a line drive to right fielder Hunter Renfroe.,2024,Slider
SL,663704,693304,No event,foul,Nick Gonzales singles on a line drive to right fielder Hunter Renfroe.,2024,Slider
CU,663704,693304,No event,foul,Nick Gonzales singles on a line drive to right fielder Hunter Renfroe.,2024,Curveball
FF,663704,669224,home_run,hit_into_play,Austin Wells homers (13) on a fly ball to right center field. Juan Soto scores. Aaron Judge scores.,2024,4-Seam Fastball
FF,663704,669224,No event,ball,Austin Wells homers (13) on a fly ball to right center field. Juan Soto scores. Aaron Judge scores.,2024,4-Seam Fastball
FF,663704,669224,No event,ball,Austin Wells homers (13) on a fly ball to right center field. Juan Soto scores. Aaron Judge scores.,2024,4-Seam Fastball
CU,663704,669224,No event,swinging_strike,Austin Wells homers (13) on a fly ball to right center field. Juan Soto scores. Aaron Judge scores.,2024,Curveball
SI,663704,592450,single,hit_into_play,Aaron Judge singles on a ground ball to left fielder Tommy Pham. Gleyber Torres scores. Juan Soto to 2nd.,2024,Sinker
SL,663704,592450,No event,ball,Aaron Judge singles on a ground ball to left fielder Tommy Pham. Gleyber Torres scores. Juan Soto to 2nd.,2024,Slider
CU,663704,665742,walk,blocked_ball,Juan Soto walks. Gleyber Torres to 2nd.,2024,Curveball
SL,663704,665742,No event,ball,Juan Soto walks. Gleyber Torres to 2nd.,2024,Slider
SI,663704,665742,No event,ball,Juan Soto walks. Gleyber Torres to 2nd.,2024,Sinker
CU,663704,665742,No event,foul,Juan Soto walks. Gleyber Torres to 2nd.,2024,Curveball
CU,663704,665742,No event,ball,Juan Soto walks. Gleyber Torres to 2nd.,2024,Curveball
SL,663704,665742,No event,swinging_strike_blocked,Juan Soto walks. Gleyber Torres to 2nd.,2024,Slider
CU,663704,665742,No event,foul,Juan Soto walks. Gleyber Torres to 2nd.,2024,Curveball
SL,663704,650402,single,hit_into_play,Gleyber Torres singles on a ground ball to shortstop Bobby Witt Jr.,2024,Slider
CU,663704,650402,No event,ball,Gleyber Torres singles on a ground ball to shortstop Bobby Witt Jr.,2024,Curveball
SL,663704,650402,No event,foul,Gleyber Torres singles on a ground ball to shortstop Bobby Witt Jr.,2024,Slider
SI,663704,650402,No event,foul,Gleyber Torres singles on a ground ball to shortstop Bobby Witt Jr.,2024,Sinker
CU,663704,650402,No event,ball,Gleyber Torres singles on a ground ball to shortstop Bobby Witt Jr.,2024,Curveball
CU,663704,543877,strikeout,called_strike,Christian Vázquez called out on strikes.,2024,Curveball
SL,663704,543877,No event,ball,Christian Vázquez called out on strikes.,2024,Slider
SI,663704,543877,No event,ball,Christian Vázquez called out on strikes.,2024,Sinker
SL,663704,543877,No event,swinging_strike,Christian Vázquez called out on strikes.,2024,Slider
CU,663704,543877,No event,called_strike,Christian Vázquez called out on strikes.,2024,Curveball
SL,663704,668885,field_out,hit_into_play,"Austin Martin grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Slider
SI,663704,668885,No event,ball,"Austin Martin grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Sinker
CU,663704,668885,No event,ball,"Austin Martin grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Curveball
SL,663704,668885,No event,swinging_strike,"Austin Martin grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Slider
SI,663704,668885,No event,called_strike,"Austin Martin grounds out, third baseman Maikel Garcia to first baseman Yuli Gurriel.",2024,Sinker
FF,663704,571657,strikeout,foul_tip,Kyle Farmer strikes out on a foul tip.,2024,4-Seam Fastball
CU,663704,571657,No event,foul,Kyle Farmer strikes out on a foul tip.,2024,Curveball
SL,663704,571657,No event,ball,Kyle Farmer strikes out on a foul tip.,2024,Slider
SI,663704,571657,No event,called_strike,Kyle Farmer strikes out on a foul tip.,2024,Sinker
CU,663704,665926,strikeout,swinging_strike,Andrés Giménez strikes out swinging.,2024,Curveball
CU,663704,665926,No event,swinging_strike,Andrés Giménez strikes out swinging.,2024,Curveball
