pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,694363,670156,field_out,hit_into_play,Miles Mastrobuoni lines out to right fielder Wilfred Veras.,2025,Slider
FF,694363,670156,No event,called_strike,Miles Mastrobuoni lines out to right fielder Wilfred Veras.,2025,4-Seam Fastball
FF,694363,692039,walk,ball,Carlos Jimenez walks.,2025,4-Seam Fastball
SL,694363,692039,No event,ball,Carlos Jimenez walks.,2025,Slider
SL,694363,692039,No event,swinging_strike,Carlos Jimenez walks.,2025,Slider
FF,694363,692039,No event,blocked_ball,Carlos Jimenez walks.,2025,4-Seam Fastball
CH,694363,692039,No event,blocked_ball,Carlos Jimenez walks.,2025,Changeup
SL,694363,692039,No event,called_strike,Carlos Jimenez walks.,2025,Slider
SL,694363,823703,grounded_into_double_play,hit_into_play,"Anthony Donofrio grounds into a double play, second baseman Mario Camilletti to shortstop William Bergolla to first baseman Tim Elko. Harry Ford to 3rd. Leo Rivas out at 2nd. Anthony Donofrio out at 1st.",2025,Slider
FF,694363,660844,single,hit_into_play,Leo Rivas singles on a line drive to center fielder Corey Julks. Harry Ford to 2nd.,2025,4-Seam Fastball
SL,694363,695670,walk,blocked_ball,Harry Ford walks.,2025,Slider
FF,694363,695670,No event,foul,Harry Ford walks.,2025,4-Seam Fastball
CH,694363,695670,No event,ball,Harry Ford walks.,2025,Changeup
CH,694363,695670,No event,ball,Harry Ford walks.,2025,Changeup
FF,694363,695670,No event,called_strike,Harry Ford walks.,2025,4-Seam Fastball
SL,694363,695670,No event,ball,Harry Ford walks.,2025,Slider
FF,694363,669208,strikeout,called_strike,Ryan Bliss called out on strikes.,2025,4-Seam Fastball
CH,694363,669208,No event,foul,Ryan Bliss called out on strikes.,2025,Changeup
FF,694363,669208,No event,swinging_strike,Ryan Bliss called out on strikes.,2025,4-Seam Fastball
CH,694363,669208,No event,called_strike,Ryan Bliss called out on strikes.,2025,Changeup
FF,694363,669208,No event,ball,Ryan Bliss called out on strikes.,2025,4-Seam Fastball
SL,694363,702112,single,hit_into_play,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,Slider
SL,694363,702112,No event,swinging_strike,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,Slider
FF,694363,702112,No event,called_strike,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,4-Seam Fastball
SL,694363,702112,No event,ball,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,Slider
SL,694363,702112,No event,ball,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,Slider
FF,694363,702112,No event,ball,Hogan Windish singles on a ground ball to shortstop Chase Meidroth.,2025,4-Seam Fastball
SL,694363,686638,strikeout,swinging_strike,Hunter Fitz-Gerald strikes out swinging.,2025,Slider
CH,694363,686638,No event,ball,Hunter Fitz-Gerald strikes out swinging.,2025,Changeup
FF,694363,686638,No event,called_strike,Hunter Fitz-Gerald strikes out swinging.,2025,4-Seam Fastball
SL,694363,686638,No event,called_strike,Hunter Fitz-Gerald strikes out swinging.,2025,Slider
SL,694363,686638,No event,ball,Hunter Fitz-Gerald strikes out swinging.,2025,Slider
FF,694363,687982,strikeout,called_strike,Carson Jones called out on strikes.,2025,4-Seam Fastball
CH,694363,687982,No event,ball,Carson Jones called out on strikes.,2025,Changeup
FF,694363,687982,No event,called_strike,Carson Jones called out on strikes.,2025,4-Seam Fastball
SL,694363,687982,No event,ball,Carson Jones called out on strikes.,2025,Slider
SI,694363,687982,No event,ball,Carson Jones called out on strikes.,2025,Sinker
FF,694363,687982,No event,swinging_strike,Carson Jones called out on strikes.,2025,4-Seam Fastball
SL,694363,664954,strikeout,called_strike,"Padres challenged (pitch result), call on the field was upheld: Brett Sullivan called out on strikes.",2025,Slider
CH,694363,664954,No event,blocked_ball,"Padres challenged (pitch result), call on the field was upheld: Brett Sullivan called out on strikes.",2025,Changeup
SI,694363,664954,No event,foul,"Padres challenged (pitch result), call on the field was upheld: Brett Sullivan called out on strikes.",2025,Sinker
SL,694363,664954,No event,blocked_ball,"Padres challenged (pitch result), call on the field was upheld: Brett Sullivan called out on strikes.",2025,Slider
SL,694363,664954,No event,swinging_strike,"Padres challenged (pitch result), call on the field was upheld: Brett Sullivan called out on strikes.",2025,Slider
SL,694363,657088,strikeout,swinging_strike,Forrest Wall strikes out swinging.,2025,Slider
SI,694363,657088,No event,foul,Forrest Wall strikes out swinging.,2025,Sinker
FF,694363,657088,No event,foul,Forrest Wall strikes out swinging.,2025,4-Seam Fastball
SI,694363,642180,sac_bunt,hit_into_play,"Tyler Wade out on a sacrifice bunt, third baseman Bobby Dalbec to second baseman Nick Maton. Oscar Gonzalez to 3rd. Gavin Sheets to 2nd.",2025,Sinker
FF,694363,642180,No event,foul_bunt,"Tyler Wade out on a sacrifice bunt, third baseman Bobby Dalbec to second baseman Nick Maton. Oscar Gonzalez to 3rd. Gavin Sheets to 2nd.",2025,4-Seam Fastball
SL,694363,657757,single,hit_into_play,Gavin Sheets singles on a line drive to right fielder Braden Montgomery. Oscar Gonzalez to 2nd.,2025,Slider
SL,694363,657757,No event,foul,Gavin Sheets singles on a line drive to right fielder Braden Montgomery. Oscar Gonzalez to 2nd.,2025,Slider
CH,694363,657757,No event,called_strike,Gavin Sheets singles on a line drive to right fielder Braden Montgomery. Oscar Gonzalez to 2nd.,2025,Changeup
FF,694363,660757,single,hit_into_play,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,4-Seam Fastball
CH,694363,660757,No event,foul,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,Changeup
FF,694363,660757,No event,ball,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,4-Seam Fastball
CH,694363,660757,No event,swinging_strike,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,Changeup
CH,694363,660757,No event,ball,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,Changeup
FF,694363,660757,No event,ball,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,4-Seam Fastball
CH,694363,660757,No event,foul,Oscar Gonzalez singles on a line drive to right fielder Braden Montgomery.,2025,Changeup
CH,694363,666703,strikeout,swinging_strike_blocked,Eguy Rosario strikes out swinging.,2025,Changeup
FF,694363,666703,No event,ball,Eguy Rosario strikes out swinging.,2025,4-Seam Fastball
FF,694363,666703,No event,foul,Eguy Rosario strikes out swinging.,2025,4-Seam Fastball
CH,694363,666703,No event,foul,Eguy Rosario strikes out swinging.,2025,Changeup
CH,694363,666703,No event,swinging_strike,Eguy Rosario strikes out swinging.,2025,Changeup
FF,694363,666703,No event,ball,Eguy Rosario strikes out swinging.,2025,4-Seam Fastball
FF,694363,666703,No event,foul,Eguy Rosario strikes out swinging.,2025,4-Seam Fastball
CH,694363,666703,No event,blocked_ball,Eguy Rosario strikes out swinging.,2025,Changeup
FF,694363,663604,single,hit_into_play,"Brandon Lockridge singles on a line drive to right fielder Braden Montgomery. Brandon Lockridge out at 2nd on the throw, right fielder Braden Montgomery to catcher Korey Lee to shortstop Jacob Gonzalez. Connor Joe to 3rd.",2025,4-Seam Fastball
FF,694363,663604,No event,foul,"Brandon Lockridge singles on a line drive to right fielder Braden Montgomery. Brandon Lockridge out at 2nd on the throw, right fielder Braden Montgomery to catcher Korey Lee to shortstop Jacob Gonzalez. Connor Joe to 3rd.",2025,4-Seam Fastball
CH,694363,663604,No event,foul,"Brandon Lockridge singles on a line drive to right fielder Braden Montgomery. Brandon Lockridge out at 2nd on the throw, right fielder Braden Montgomery to catcher Korey Lee to shortstop Jacob Gonzalez. Connor Joe to 3rd.",2025,Changeup
CH,694363,663604,No event,ball,"Brandon Lockridge singles on a line drive to right fielder Braden Montgomery. Brandon Lockridge out at 2nd on the throw, right fielder Braden Montgomery to catcher Korey Lee to shortstop Jacob Gonzalez. Connor Joe to 3rd.",2025,Changeup
SL,694363,656582,double,hit_into_play,Connor Joe doubles (3) on a line drive to center fielder Brooks Baldwin.,2025,Slider
FF,694363,669200,field_out,hit_into_play,Mason McCoy pops out to first baseman Andre Lipcius.,2025,4-Seam Fastball
CH,694363,669200,No event,foul,Mason McCoy pops out to first baseman Andre Lipcius.,2025,Changeup
SI,694363,669200,No event,ball,Mason McCoy pops out to first baseman Andre Lipcius.,2025,Sinker
