pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,592094,467793,field_out,hit_into_play,"Carlos Santana grounds out, second baseman Jake Cronenworth to first baseman Luis Arraez.",2025,4-Seam Fastball
CH,592094,700932,field_out,hit_into_play,Kyle Manzardo grounds out to first baseman Luis Arraez.,2025,Changeup
FF,592094,700932,No event,swinging_strike,Kyle Manzardo grounds out to first baseman Luis Arraez.,2025,4-Seam Fastball
SL,592094,700932,No event,ball,Kyle Manzardo grounds out to first baseman Luis Arraez.,2025,Slider
CH,592094,700932,No event,ball,Kyle Manzardo grounds out to first baseman Luis Arraez.,2025,Changeup
CH,592094,608070,strikeout,swinging_strike,José Ramírez strikes out swinging.,2025,Changeup
SL,592094,608070,No event,foul,José Ramírez strikes out swinging.,2025,Slider
SL,592094,608070,No event,swinging_strike,José Ramírez strikes out swinging.,2025,Slider
FF,592094,608070,No event,ball,José Ramírez strikes out swinging.,2025,4-Seam Fastball
CH,592094,608070,No event,ball,José Ramírez strikes out swinging.,2025,Changeup
CH,592094,608070,No event,called_strike,José Ramírez strikes out swinging.,2025,Changeup
SL,592094,608070,No event,ball,José Ramírez strikes out swinging.,2025,Slider
SL,592094,680757,strikeout,swinging_strike,Steven Kwan strikes out swinging.,2025,Slider
FF,592094,680757,No event,foul,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
SL,592094,680757,No event,called_strike,Steven Kwan strikes out swinging.,2025,Slider
CH,592094,680757,No event,ball,Steven Kwan strikes out swinging.,2025,Changeup
CH,592094,680757,No event,ball,Steven Kwan strikes out swinging.,2025,Changeup
FF,592094,680757,No event,called_strike,Steven Kwan strikes out swinging.,2025,4-Seam Fastball
ST,592094,677587,hit_by_pitch,hit_by_pitch,Brayan Rocchio hit by pitch. Bo Naylor to 3rd. Jhonkensy Noel to 2nd.,2025,Sweeper
FF,592094,677587,No event,foul,Brayan Rocchio hit by pitch. Bo Naylor to 3rd. Jhonkensy Noel to 2nd.,2025,4-Seam Fastball
CH,592094,677587,No event,ball,Brayan Rocchio hit by pitch. Bo Naylor to 3rd. Jhonkensy Noel to 2nd.,2025,Changeup
CH,592094,671739,double_play,hit_into_play,"Michael Harris II grounds into a double play, pitcher Jason Adam to third baseman Manny Machado to first baseman Luis Arraez to second baseman Jake Cronenworth. Marcell Ozuna out at 3rd.",2025,Changeup
ST,592094,671739,No event,ball,"Michael Harris II grounds into a double play, pitcher Jason Adam to third baseman Manny Machado to first baseman Luis Arraez to second baseman Jake Cronenworth. Marcell Ozuna out at 3rd.",2025,Sweeper
CH,592094,645277,strikeout,swinging_strike,Ozzie Albies strikes out swinging.,2025,Changeup
ST,592094,645277,No event,ball,Ozzie Albies strikes out swinging.,2025,Sweeper
SL,592094,645277,No event,ball,Ozzie Albies strikes out swinging.,2025,Slider
CH,592094,645277,No event,blocked_ball,Ozzie Albies strikes out swinging.,2025,Changeup
ST,592094,645277,No event,called_strike,Ozzie Albies strikes out swinging.,2025,Sweeper
CH,592094,645277,No event,called_strike,Ozzie Albies strikes out swinging.,2025,Changeup
FF,592094,542303,walk,ball,Marcell Ozuna walks.,2025,4-Seam Fastball
CH,592094,542303,No event,ball,Marcell Ozuna walks.,2025,Changeup
SL,592094,542303,No event,ball,Marcell Ozuna walks.,2025,Slider
FF,592094,542303,No event,ball,Marcell Ozuna walks.,2025,4-Seam Fastball
FF,592094,671739,strikeout,swinging_strike,Michael Harris II strikes out swinging.,2025,4-Seam Fastball
FF,592094,671739,No event,foul,Michael Harris II strikes out swinging.,2025,4-Seam Fastball
SL,592094,671739,No event,called_strike,Michael Harris II strikes out swinging.,2025,Slider
CH,592094,645277,walk,ball,Ozzie Albies walks.,2025,Changeup
CH,592094,645277,No event,ball,Ozzie Albies walks.,2025,Changeup
ST,592094,645277,No event,ball,Ozzie Albies walks.,2025,Sweeper
CH,592094,645277,No event,foul,Ozzie Albies walks.,2025,Changeup
CH,592094,645277,No event,ball,Ozzie Albies walks.,2025,Changeup
CH,592094,645277,No event,called_strike,Ozzie Albies walks.,2025,Changeup
SL,592094,542303,strikeout,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Slider
SL,592094,542303,No event,swinging_strike,Marcell Ozuna strikes out swinging.,2025,Slider
FF,592094,542303,No event,foul,Marcell Ozuna strikes out swinging.,2025,4-Seam Fastball
CH,592094,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Changeup
SL,592094,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Slider
ST,592094,542303,No event,ball,Marcell Ozuna strikes out swinging.,2025,Sweeper
ST,592094,621566,strikeout,swinging_strike,Matt Olson strikes out swinging.,2025,Sweeper
FF,592094,621566,No event,foul,Matt Olson strikes out swinging.,2025,4-Seam Fastball
CH,592094,621566,No event,foul,Matt Olson strikes out swinging.,2025,Changeup
SL,592094,621566,No event,called_strike,Matt Olson strikes out swinging.,2025,Slider
SL,592094,621566,No event,ball,Matt Olson strikes out swinging.,2025,Slider
CH,592094,672284,strikeout,swinging_strike,Jarred Kelenic strikes out swinging.,2025,Changeup
SL,592094,672284,No event,foul,Jarred Kelenic strikes out swinging.,2025,Slider
