pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,605488,664023,field_out,hit_into_play,Ian Happ flies out to left fielder Seth Brown.,2025,Changeup
CH,605488,664023,No event,foul,Ian Happ flies out to left fielder Seth Brown.,2025,Changeup
FF,605488,664023,No event,ball,Ian Happ flies out to left fielder Seth Brown.,2025,4-Seam Fastball
FF,605488,664023,No event,ball,Ian Happ flies out to left fielder Seth Brown.,2025,4-Seam Fastball
SL,605488,608348,walk,ball,Carson Kelly walks. Dansby Swanson to 3rd. Matt Shaw to 2nd.,2025,Slider
FF,605488,608348,No event,ball,Carson Kelly walks. Dansby Swanson to 3rd. Matt Shaw to 2nd.,2025,4-Seam Fastball
CH,605488,608348,No event,ball,Carson Kelly walks. Dansby Swanson to 3rd. Matt Shaw to 2nd.,2025,Changeup
CH,605488,608348,No event,swinging_strike,Carson Kelly walks. Dansby Swanson to 3rd. Matt Shaw to 2nd.,2025,Changeup
SL,605488,608348,No event,ball,Carson Kelly walks. Dansby Swanson to 3rd. Matt Shaw to 2nd.,2025,Slider
CH,605488,807713,single,hit_into_play,Matt Shaw singles on a line drive to left fielder Seth Brown. Justin Turner scores. Dansby Swanson to 2nd.,2025,Changeup
SL,605488,691718,field_out,hit_into_play,Pete Crow-Armstrong pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Slider
FF,605488,691718,No event,foul_bunt,Pete Crow-Armstrong pops out to shortstop Jacob Wilson on the infield fly rule.,2025,4-Seam Fastball
CH,605488,663538,field_out,hit_into_play,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Changeup
CH,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Changeup
FF,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,4-Seam Fastball
SL,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Slider
SL,605488,663538,No event,blocked_ball,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Slider
FF,605488,663538,No event,ball,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,4-Seam Fastball
FF,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,4-Seam Fastball
CH,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Changeup
SL,605488,663538,No event,foul,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Slider
CH,605488,663538,No event,called_strike,Nico Hoerner pops out to shortstop Jacob Wilson on the infield fly rule.,2025,Changeup
CH,605488,621020,fielders_choice,hit_into_play,"Dansby Swanson reaches on a fielder's choice. Justin Turner to 2nd. Justin Turner advances to 2nd, on a fielding error by third baseman Luis Urías.",2025,Changeup
SL,605488,621020,No event,foul,"Dansby Swanson reaches on a fielder's choice. Justin Turner to 2nd. Justin Turner advances to 2nd, on a fielding error by third baseman Luis Urías.",2025,Slider
CH,605488,457759,single,hit_into_play,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,Changeup
CH,605488,457759,No event,ball,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,Changeup
FF,605488,457759,No event,foul,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,4-Seam Fastball
FF,605488,457759,No event,foul,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,4-Seam Fastball
CH,605488,457759,No event,called_strike,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,Changeup
FF,605488,457759,No event,ball,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,4-Seam Fastball
FF,605488,457759,No event,called_strike,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,4-Seam Fastball
FF,605488,457759,No event,ball,Justin Turner singles on a fly ball to left fielder Seth Brown.,2025,4-Seam Fastball
ST,605488,663656,field_out,hit_into_play,Kyle Tucker pops out to catcher Shea Langeliers in foul territory.,2025,Sweeper
FF,605488,663656,No event,ball,Kyle Tucker pops out to catcher Shea Langeliers in foul territory.,2025,4-Seam Fastball
