pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,605452,678662,force_out,hit_into_play,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,4-Seam Fastball
CU,605452,678662,No event,foul,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,Curveball
SL,605452,678662,No event,ball,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,Slider
SL,605452,678662,No event,ball,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,Slider
SL,605452,678662,No event,foul,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,Slider
SI,605452,678662,No event,foul,"Ezequiel Tovar grounds into a force out, second baseman Bryson Stott to shortstop Edmundo Sosa. Brenton Doyle out at 2nd.",2025,Sinker
SI,605452,686668,single,hit_into_play,Brenton Doyle singles on a ground ball to third baseman Alec Bohm.,2025,Sinker
SI,605452,686668,No event,called_strike,Brenton Doyle singles on a ground ball to third baseman Alec Bohm.,2025,Sinker
SL,605452,686668,No event,ball,Brenton Doyle singles on a ground ball to third baseman Alec Bohm.,2025,Slider
SI,605452,687597,strikeout,called_strike,Jordan Beck called out on strikes.,2025,Sinker
SL,605452,687597,No event,ball,Jordan Beck called out on strikes.,2025,Slider
SL,605452,687597,No event,swinging_strike,Jordan Beck called out on strikes.,2025,Slider
SI,605452,687597,No event,called_strike,Jordan Beck called out on strikes.,2025,Sinker
SI,605452,605361,field_out,hit_into_play,Nick Martini pops out to catcher J.T. Realmuto in foul territory.,2025,Sinker
SL,605452,656180,force_out,hit_into_play,"Riley Adams grounds into a force out, shortstop Edmundo Sosa to second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Slider
SL,605452,656180,No event,swinging_strike_blocked,"Riley Adams grounds into a force out, shortstop Edmundo Sosa to second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Slider
SI,605452,656180,No event,foul,"Riley Adams grounds into a force out, shortstop Edmundo Sosa to second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Sinker
SI,605452,656180,No event,ball,"Riley Adams grounds into a force out, shortstop Edmundo Sosa to second baseman Bryson Stott. Nathaniel Lowe out at 2nd.",2025,Sinker
SI,605452,663993,single,hit_into_play,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,Sinker
FF,605452,663993,No event,ball,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,4-Seam Fastball
CU,605452,663993,No event,ball,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,Curveball
CH,605452,663993,No event,foul,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,Changeup
FF,605452,663993,No event,foul,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,4-Seam Fastball
FF,605452,663993,No event,ball,Nathaniel Lowe singles on a ground ball to left fielder Brandon Marsh. Josh Bell scores.,2025,4-Seam Fastball
SI,605452,642708,field_out,hit_into_play,"Amed Rosario grounds out sharply, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SI,605452,642708,No event,ball,"Amed Rosario grounds out sharply, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Sinker
SL,605452,642708,No event,called_strike,"Amed Rosario grounds out sharply, third baseman Alec Bohm to first baseman Bryce Harper.",2025,Slider
SI,605452,605137,walk,ball,Josh Bell walks.,2025,Sinker
CU,605452,605137,No event,ball,Josh Bell walks.,2025,Curveball
SL,605452,605137,No event,swinging_strike,Josh Bell walks.,2025,Slider
FF,605452,605137,No event,ball,Josh Bell walks.,2025,4-Seam Fastball
CH,605452,605137,No event,foul,Josh Bell walks.,2025,Changeup
FF,605452,605137,No event,ball,Josh Bell walks.,2025,4-Seam Fastball
CU,605452,695578,strikeout,swinging_strike,James Wood strikes out swinging.,2025,Curveball
CU,605452,695578,No event,ball,James Wood strikes out swinging.,2025,Curveball
FF,605452,695578,No event,foul,James Wood strikes out swinging.,2025,4-Seam Fastball
SL,605452,695578,No event,ball,James Wood strikes out swinging.,2025,Slider
FF,605452,695578,No event,foul,James Wood strikes out swinging.,2025,4-Seam Fastball
FF,605452,666163,field_out,hit_into_play,"Ben Rortvedt grounds out, second baseman Robert Moore to pitcher Joe Ross.",2025,4-Seam Fastball
FF,605452,666163,No event,ball,"Ben Rortvedt grounds out, second baseman Robert Moore to pitcher Joe Ross.",2025,4-Seam Fastball
CH,605452,666163,No event,ball,"Ben Rortvedt grounds out, second baseman Robert Moore to pitcher Joe Ross.",2025,Changeup
CH,605452,666163,No event,ball,"Ben Rortvedt grounds out, second baseman Robert Moore to pitcher Joe Ross.",2025,Changeup
FF,605452,666163,No event,called_strike,"Ben Rortvedt grounds out, second baseman Robert Moore to pitcher Joe Ross.",2025,4-Seam Fastball
SI,605452,670764,double,hit_into_play,Taylor Walls doubles (3) on a line drive to right fielder Marcus Lee Sang. Curtis Mead scores. Taylor Walls to 3rd.,2025,Sinker
SL,605452,670764,No event,foul,Taylor Walls doubles (3) on a line drive to right fielder Marcus Lee Sang. Curtis Mead scores. Taylor Walls to 3rd.,2025,Slider
CH,605452,670764,No event,called_strike,Taylor Walls doubles (3) on a line drive to right fielder Marcus Lee Sang. Curtis Mead scores. Taylor Walls to 3rd.,2025,Changeup
FF,605452,670764,No event,ball,Taylor Walls doubles (3) on a line drive to right fielder Marcus Lee Sang. Curtis Mead scores. Taylor Walls to 3rd.,2025,4-Seam Fastball
FF,605452,670764,No event,ball,Taylor Walls doubles (3) on a line drive to right fielder Marcus Lee Sang. Curtis Mead scores. Taylor Walls to 3rd.,2025,4-Seam Fastball
CU,605452,676609,field_out,hit_into_play,José Caballero lines out to left fielder Kody Clemens.,2025,Curveball
SI,605452,676609,No event,missed_bunt,José Caballero lines out to left fielder Kody Clemens.,2025,Sinker
SL,605452,676609,No event,missed_bunt,José Caballero lines out to left fielder Kody Clemens.,2025,Slider
SI,605452,678554,hit_by_pitch,hit_by_pitch,Curtis Mead hit by pitch.,2025,Sinker
SL,605452,678554,No event,called_strike,Curtis Mead hit by pitch.,2025,Slider
FF,605452,691406,field_out,hit_into_play,"Junior Caminero grounds out, shortstop Edmundo Sosa to first baseman Raider Tello.",2025,4-Seam Fastball
FF,605452,691406,No event,called_strike,"Junior Caminero grounds out, shortstop Edmundo Sosa to first baseman Raider Tello.",2025,4-Seam Fastball
FF,605452,676391,field_out,hit_into_play,Ernie Clement flies out to right fielder Cal Stevenson.,2025,4-Seam Fastball
CU,605452,676391,No event,foul,Ernie Clement flies out to right fielder Cal Stevenson.,2025,Curveball
SL,605452,676391,No event,foul,Ernie Clement flies out to right fielder Cal Stevenson.,2025,Slider
CH,605452,680718,field_out,hit_into_play,"Addison Barger grounds out, pitcher Joe Ross to first baseman Kyle Schwarber.",2025,Changeup
CU,605452,680718,No event,called_strike,"Addison Barger grounds out, pitcher Joe Ross to first baseman Kyle Schwarber.",2025,Curveball
CH,605452,672386,field_out,hit_into_play,Alejandro Kirk flies out to center fielder Brandon Marsh.,2025,Changeup
CH,605452,672386,No event,foul,Alejandro Kirk flies out to center fielder Brandon Marsh.,2025,Changeup
SI,605452,543807,strikeout,called_strike,George Springer called out on strikes.,2025,Sinker
FF,605452,543807,No event,called_strike,George Springer called out on strikes.,2025,4-Seam Fastball
CU,605452,543807,No event,blocked_ball,George Springer called out on strikes.,2025,Curveball
FF,605452,543807,No event,called_strike,George Springer called out on strikes.,2025,4-Seam Fastball
CH,605452,543807,No event,ball,George Springer called out on strikes.,2025,Changeup
FF,605452,543807,No event,ball,George Springer called out on strikes.,2025,4-Seam Fastball
FF,605452,665926,walk,ball,Andrés Giménez walks.,2025,4-Seam Fastball
FF,605452,665926,No event,called_strike,Andrés Giménez walks.,2025,4-Seam Fastball
