pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,676282,650333,field_out,hit_into_play,"Luis Arraez grounds out, pitcher Joey Cantillo to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,676282,650333,No event,foul,"Luis Arraez grounds out, pitcher Joey Cantillo to first baseman Carlos Santana.",2025,4-Seam Fastball
FF,676282,650333,No event,called_strike,"Luis Arraez grounds out, pitcher Joey Cantillo to first baseman Carlos Santana.",2025,4-Seam Fastball
CH,676282,650333,No event,ball,"Luis Arraez grounds out, pitcher Joey Cantillo to first baseman Carlos Santana.",2025,Changeup
FF,676282,665487,field_out,hit_into_play,"Fernando Tatis Jr. grounds out, pitcher Joey Cantillo to first baseman Carlos Santana. Jake Cronenworth scores. Jason Heyward to 3rd.",2025,4-Seam Fastball
FF,676282,665487,No event,ball,"Fernando Tatis Jr. grounds out, pitcher Joey Cantillo to first baseman Carlos Santana. Jake Cronenworth scores. Jason Heyward to 3rd.",2025,4-Seam Fastball
FF,676282,665487,No event,ball,"Fernando Tatis Jr. grounds out, pitcher Joey Cantillo to first baseman Carlos Santana. Jake Cronenworth scores. Jason Heyward to 3rd.",2025,4-Seam Fastball
CH,676282,665487,No event,blocked_ball,"Fernando Tatis Jr. grounds out, pitcher Joey Cantillo to first baseman Carlos Santana. Jake Cronenworth scores. Jason Heyward to 3rd.",2025,Changeup
CH,676282,665487,No event,swinging_strike,"Fernando Tatis Jr. grounds out, pitcher Joey Cantillo to first baseman Carlos Santana. Jake Cronenworth scores. Jason Heyward to 3rd.",2025,Changeup
FF,676282,553869,field_out,hit_into_play,Elias Díaz pops out to third baseman José Ramírez on the infield fly rule. Jason Heyward to 2nd. Fielding error by third baseman José Ramírez.,2025,4-Seam Fastball
FF,676282,553869,No event,ball,Elias Díaz pops out to third baseman José Ramírez on the infield fly rule. Jason Heyward to 2nd. Fielding error by third baseman José Ramírez.,2025,4-Seam Fastball
FF,676282,518792,single,hit_into_play,Jason Heyward singles on a ground ball to third baseman José Ramírez. Jake Cronenworth to 2nd.,2025,4-Seam Fastball
CH,676282,518792,No event,ball,Jason Heyward singles on a ground ball to third baseman José Ramírez. Jake Cronenworth to 2nd.,2025,Changeup
FF,676282,518792,No event,called_strike,Jason Heyward singles on a ground ball to third baseman José Ramírez. Jake Cronenworth to 2nd.,2025,4-Seam Fastball
FF,676282,630105,single,hit_into_play,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,4-Seam Fastball
FF,676282,630105,No event,called_strike,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,4-Seam Fastball
FF,676282,630105,No event,called_strike,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,4-Seam Fastball
SL,676282,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,Slider
FF,676282,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,4-Seam Fastball
FF,676282,630105,No event,ball,Jake Cronenworth singles on a line drive to center fielder Nolan Jones.,2025,4-Seam Fastball
CH,676282,493329,field_out,hit_into_play,Yuli Gurriel pops out to shortstop Brayan Rocchio.,2025,Changeup
FF,676282,493329,No event,ball,Yuli Gurriel pops out to shortstop Brayan Rocchio.,2025,4-Seam Fastball
CH,676282,493329,No event,foul,Yuli Gurriel pops out to shortstop Brayan Rocchio.,2025,Changeup
CH,676282,493329,No event,called_strike,Yuli Gurriel pops out to shortstop Brayan Rocchio.,2025,Changeup
CH,676282,701538,strikeout,swinging_strike,Jackson Merrill strikes out swinging. Manny Machado scores. Xander Bogaerts steals (3) 2nd base. Manny Machado scores. Throwing error by catcher Bo Naylor.,2025,Changeup
CH,676282,701538,No event,foul,Jackson Merrill strikes out swinging. Manny Machado scores. Xander Bogaerts steals (3) 2nd base. Manny Machado scores. Throwing error by catcher Bo Naylor.,2025,Changeup
FF,676282,701538,No event,foul,Jackson Merrill strikes out swinging. Manny Machado scores. Xander Bogaerts steals (3) 2nd base. Manny Machado scores. Throwing error by catcher Bo Naylor.,2025,4-Seam Fastball
FF,676282,701538,No event,ball,Jackson Merrill strikes out swinging. Manny Machado scores. Xander Bogaerts steals (3) 2nd base. Manny Machado scores. Throwing error by catcher Bo Naylor.,2025,4-Seam Fastball
FF,676282,593428,fielders_choice,hit_into_play,"Xander Bogaerts reaches on a fielder's choice, fielded by second baseman Gabriel Arias. Fernando Tatis Jr. scores. Manny Machado to 3rd.",2025,4-Seam Fastball
CU,676282,593428,No event,ball,"Xander Bogaerts reaches on a fielder's choice, fielded by second baseman Gabriel Arias. Fernando Tatis Jr. scores. Manny Machado to 3rd.",2025,Curveball
CH,676282,592518,walk,ball,Manny Machado walks.,2025,Changeup
CH,676282,592518,No event,ball,Manny Machado walks.,2025,Changeup
CH,676282,592518,No event,ball,Manny Machado walks.,2025,Changeup
CU,676282,592518,No event,ball,Manny Machado walks.,2025,Curveball
FF,676282,650333,field_out,hit_into_play,"Luis Arraez grounds out, second baseman Gabriel Arias to first baseman Carlos Santana. Fernando Tatis Jr. to 3rd.",2025,4-Seam Fastball
CH,676282,650333,No event,called_strike,"Luis Arraez grounds out, second baseman Gabriel Arias to first baseman Carlos Santana. Fernando Tatis Jr. to 3rd.",2025,Changeup
FF,676282,650333,No event,ball,"Luis Arraez grounds out, second baseman Gabriel Arias to first baseman Carlos Santana. Fernando Tatis Jr. to 3rd.",2025,4-Seam Fastball
CH,676282,665487,walk,ball,Fernando Tatis Jr. walks.,2025,Changeup
CU,676282,665487,No event,ball,Fernando Tatis Jr. walks.,2025,Curveball
CH,676282,665487,No event,called_strike,Fernando Tatis Jr. walks.,2025,Changeup
CH,676282,665487,No event,ball,Fernando Tatis Jr. walks.,2025,Changeup
CH,676282,665487,No event,ball,Fernando Tatis Jr. walks.,2025,Changeup
CU,676282,665487,No event,called_strike,Fernando Tatis Jr. walks.,2025,Curveball
FF,676282,686469,walk,ball,Vinnie Pasquantino walks. Jonathan India to 3rd. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
CH,676282,686469,No event,ball,Vinnie Pasquantino walks. Jonathan India to 3rd. Bobby Witt Jr. to 2nd.,2025,Changeup
CH,676282,686469,No event,ball,Vinnie Pasquantino walks. Jonathan India to 3rd. Bobby Witt Jr. to 2nd.,2025,Changeup
FF,676282,686469,No event,ball,Vinnie Pasquantino walks. Jonathan India to 3rd. Bobby Witt Jr. to 2nd.,2025,4-Seam Fastball
FF,676282,677951,single,hit_into_play,Bobby Witt Jr. singles on a ground ball to left fielder Steven Kwan. Dairon Blanco scores. Jonathan India to 2nd.,2025,4-Seam Fastball
FF,676282,677951,No event,foul,Bobby Witt Jr. singles on a ground ball to left fielder Steven Kwan. Dairon Blanco scores. Jonathan India to 2nd.,2025,4-Seam Fastball
FF,676282,677951,No event,ball,Bobby Witt Jr. singles on a ground ball to left fielder Steven Kwan. Dairon Blanco scores. Jonathan India to 2nd.,2025,4-Seam Fastball
CH,676282,677951,No event,swinging_strike,Bobby Witt Jr. singles on a ground ball to left fielder Steven Kwan. Dairon Blanco scores. Jonathan India to 2nd.,2025,Changeup
FF,676282,677951,No event,called_strike,Bobby Witt Jr. singles on a ground ball to left fielder Steven Kwan. Dairon Blanco scores. Jonathan India to 2nd.,2025,4-Seam Fastball
FF,676282,663697,single,hit_into_play,Jonathan India singles on a ground ball to left fielder Steven Kwan. Dairon Blanco to 2nd.,2025,4-Seam Fastball
CU,676282,663697,No event,called_strike,Jonathan India singles on a ground ball to left fielder Steven Kwan. Dairon Blanco to 2nd.,2025,Curveball
CH,676282,680118,field_error,hit_into_play,Dairon Blanco reaches on a throwing error by third baseman Gabriel Arias.,2025,Changeup
FF,676282,680118,No event,ball,Dairon Blanco reaches on a throwing error by third baseman Gabriel Arias.,2025,4-Seam Fastball
CH,676282,680118,No event,swinging_strike,Dairon Blanco reaches on a throwing error by third baseman Gabriel Arias.,2025,Changeup
CH,676282,680118,No event,swinging_strike,Dairon Blanco reaches on a throwing error by third baseman Gabriel Arias.,2025,Changeup
CH,676282,680118,No event,ball,Dairon Blanco reaches on a throwing error by third baseman Gabriel Arias.,2025,Changeup
FF,676282,666023,field_out,hit_into_play,Freddy Fermin lines out to second baseman Daniel Schneemann.,2025,4-Seam Fastball
FF,676282,666023,No event,foul,Freddy Fermin lines out to second baseman Daniel Schneemann.,2025,4-Seam Fastball
CH,676282,672580,double,hit_into_play,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Changeup
CH,676282,672580,No event,ball,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Changeup
CH,676282,672580,No event,ball,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Changeup
FF,676282,672580,No event,swinging_strike,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
FF,676282,672580,No event,ball,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,4-Seam Fastball
CH,676282,672580,No event,called_strike,Maikel Garcia doubles (1) on a ground ball to left fielder Steven Kwan.,2025,Changeup
FF,676282,592669,field_out,hit_into_play,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
CH,676282,592669,No event,ball,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,Changeup
FF,676282,592669,No event,foul,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
FF,676282,592669,No event,ball,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,4-Seam Fastball
CH,676282,592669,No event,swinging_strike,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,Changeup
CU,676282,592669,No event,ball,Hunter Renfroe flies out to right fielder Nolan Jones.,2025,Curveball
CH,676282,686681,strikeout,called_strike,Michael Massey called out on strikes.,2025,Changeup
CH,676282,686681,No event,ball,Michael Massey called out on strikes.,2025,Changeup
SL,676282,686681,No event,foul,Michael Massey called out on strikes.,2025,Slider
