pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,683155,663538,single,hit_into_play,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,4-Seam Fastball
FF,683155,663538,No event,foul,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,4-Seam Fastball
FF,683155,663538,No event,called_strike,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,4-Seam Fastball
ST,683155,663538,No event,ball,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,Sweeper
FF,683155,663538,No event,foul,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,4-Seam Fastball
SL,683155,663538,No event,ball,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,Slider
FF,683155,663538,No event,ball,Nico Hoerner singles on a ground ball to left fielder Miguel Andujar.,2025,4-Seam Fastball
FF,683155,621020,field_out,hit_into_play,Dansby Swanson flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,683155,683737,field_out,hit_into_play,Michael Busch flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,683155,683737,No event,ball,Michael Busch flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
FF,683155,683737,No event,foul,Michael Busch flies out to center fielder JJ Bleday.,2025,4-Seam Fastball
CH,683155,683737,No event,foul,Michael Busch flies out to center fielder JJ Bleday.,2025,Changeup
SI,683155,673548,single,hit_into_play,Seiya Suzuki singles on a line drive to left fielder Miguel Andujar. Ian Happ to 2nd.,2025,Sinker
FF,683155,673548,No event,ball,Seiya Suzuki singles on a line drive to left fielder Miguel Andujar. Ian Happ to 2nd.,2025,4-Seam Fastball
FF,683155,663656,field_out,hit_into_play,Kyle Tucker flies out to right fielder Lawrence Butler.,2025,4-Seam Fastball
ST,683155,664023,walk,ball,Ian Happ walks.,2025,Sweeper
CH,683155,664023,No event,foul,Ian Happ walks.,2025,Changeup
FF,683155,664023,No event,ball,Ian Happ walks.,2025,4-Seam Fastball
CH,683155,664023,No event,ball,Ian Happ walks.,2025,Changeup
FF,683155,664023,No event,ball,Ian Happ walks.,2025,4-Seam Fastball
ST,683155,664023,No event,called_strike,Ian Happ walks.,2025,Sweeper
FF,683155,608348,home_run,hit_into_play,Carson Kelly homers (1) on a fly ball to left field.,2025,4-Seam Fastball
SI,683155,807713,field_out,hit_into_play,Matt Shaw pops out to third baseman Gio Urshela in foul territory.,2025,Sinker
FF,683155,691718,walk,ball,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,4-Seam Fastball
FF,683155,691718,No event,ball,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,4-Seam Fastball
CH,683155,691718,No event,foul,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,Changeup
FF,683155,691718,No event,ball,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,4-Seam Fastball
ST,683155,691718,No event,foul,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,Sweeper
FF,683155,691718,No event,ball,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,4-Seam Fastball
FF,683155,691718,No event,foul,Pete Crow-Armstrong walks. Nico Hoerner to 2nd.,2025,4-Seam Fastball
SI,683155,663538,single,hit_into_play,Nico Hoerner singles on a line drive to left fielder Miguel Andujar.,2025,Sinker
SI,683155,663538,No event,ball,Nico Hoerner singles on a line drive to left fielder Miguel Andujar.,2025,Sinker
FF,683155,663538,No event,called_strike,Nico Hoerner singles on a line drive to left fielder Miguel Andujar.,2025,4-Seam Fastball
FF,683155,621020,field_out,hit_into_play,Dansby Swanson pops out to catcher Shea Langeliers in foul territory. Dansby Swanson out on batter interference.,2025,4-Seam Fastball
ST,683155,621020,No event,ball,Dansby Swanson pops out to catcher Shea Langeliers in foul territory. Dansby Swanson out on batter interference.,2025,Sweeper
FF,683155,621020,No event,ball,Dansby Swanson pops out to catcher Shea Langeliers in foul territory. Dansby Swanson out on batter interference.,2025,4-Seam Fastball
SI,683155,621020,No event,ball,Dansby Swanson pops out to catcher Shea Langeliers in foul territory. Dansby Swanson out on batter interference.,2025,Sinker
SL,683155,621020,No event,called_strike,Dansby Swanson pops out to catcher Shea Langeliers in foul territory. Dansby Swanson out on batter interference.,2025,Slider
ST,683155,683737,field_out,hit_into_play,Michael Busch flies out to left fielder Miguel Andujar.,2025,Sweeper
FF,683155,673548,strikeout,swinging_strike,Seiya Suzuki strikes out swinging.,2025,4-Seam Fastball
SI,683155,673548,No event,foul,Seiya Suzuki strikes out swinging.,2025,Sinker
SL,683155,673548,No event,called_strike,Seiya Suzuki strikes out swinging.,2025,Slider
CH,683155,663656,single,hit_into_play,Kyle Tucker singles on a line drive to center fielder JJ Bleday. Carson Kelly to 2nd.,2025,Changeup
FF,683155,663656,No event,ball,Kyle Tucker singles on a line drive to center fielder JJ Bleday. Carson Kelly to 2nd.,2025,4-Seam Fastball
FF,683155,663656,No event,ball,Kyle Tucker singles on a line drive to center fielder JJ Bleday. Carson Kelly to 2nd.,2025,4-Seam Fastball
FF,683155,664023,field_out,hit_into_play,Ian Happ flies out to right fielder Lawrence Butler.,2025,4-Seam Fastball
CH,683155,664023,No event,ball,Ian Happ flies out to right fielder Lawrence Butler.,2025,Changeup
ST,683155,608348,walk,ball,Carson Kelly walks.,2025,Sweeper
FF,683155,608348,No event,foul,Carson Kelly walks.,2025,4-Seam Fastball
ST,683155,608348,No event,ball,Carson Kelly walks.,2025,Sweeper
FF,683155,608348,No event,called_strike,Carson Kelly walks.,2025,4-Seam Fastball
CH,683155,608348,No event,ball,Carson Kelly walks.,2025,Changeup
SI,683155,608348,No event,foul,Carson Kelly walks.,2025,Sinker
FF,683155,608348,No event,ball,Carson Kelly walks.,2025,4-Seam Fastball
SL,683155,807713,single,hit_into_play,"Matt Shaw singles on a line drive to left fielder Miguel Andujar. Matt Shaw out at 2nd on the throw, left fielder Miguel Andujar to second baseman Max Muncy.",2025,Slider
SI,683155,807713,No event,foul,"Matt Shaw singles on a line drive to left fielder Miguel Andujar. Matt Shaw out at 2nd on the throw, left fielder Miguel Andujar to second baseman Max Muncy.",2025,Sinker
FF,683155,807713,No event,swinging_strike,"Matt Shaw singles on a line drive to left fielder Miguel Andujar. Matt Shaw out at 2nd on the throw, left fielder Miguel Andujar to second baseman Max Muncy.",2025,4-Seam Fastball
ST,683155,807713,No event,ball,"Matt Shaw singles on a line drive to left fielder Miguel Andujar. Matt Shaw out at 2nd on the throw, left fielder Miguel Andujar to second baseman Max Muncy.",2025,Sweeper
ST,683155,807713,No event,ball,"Matt Shaw singles on a line drive to left fielder Miguel Andujar. Matt Shaw out at 2nd on the throw, left fielder Miguel Andujar to second baseman Max Muncy.",2025,Sweeper
FF,683155,691718,strikeout,swinging_strike,Pete Crow-Armstrong strikes out swinging.,2025,4-Seam Fastball
FF,683155,691718,No event,ball,Pete Crow-Armstrong strikes out swinging.,2025,4-Seam Fastball
SL,683155,691718,No event,foul,Pete Crow-Armstrong strikes out swinging.,2025,Slider
CH,683155,691718,No event,foul,Pete Crow-Armstrong strikes out swinging.,2025,Changeup
FF,683155,691718,No event,foul,Pete Crow-Armstrong strikes out swinging.,2025,4-Seam Fastball
FF,683155,691718,No event,swinging_strike,Pete Crow-Armstrong strikes out swinging.,2025,4-Seam Fastball
ST,683155,691718,No event,called_strike,Pete Crow-Armstrong strikes out swinging.,2025,Sweeper
FF,683155,691718,No event,ball,Pete Crow-Armstrong strikes out swinging.,2025,4-Seam Fastball
ST,683155,663538,field_out,hit_into_play,"Nico Hoerner grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Sweeper
SL,683155,663538,No event,called_strike,"Nico Hoerner grounds out, shortstop Jacob Wilson to first baseman Tyler Soderstrom.",2025,Slider
FF,683155,621020,home_run,hit_into_play,Dansby Swanson homers (2) on a fly ball to center field.,2025,4-Seam Fastball
SL,683155,683737,home_run,hit_into_play,Michael Busch homers (1) on a fly ball to right center field. Kyle Tucker scores.,2025,Slider
FF,683155,683737,No event,foul,Michael Busch homers (1) on a fly ball to right center field. Kyle Tucker scores.,2025,4-Seam Fastball
ST,683155,683737,No event,ball,Michael Busch homers (1) on a fly ball to right center field. Kyle Tucker scores.,2025,Sweeper
ST,683155,673548,sac_fly,hit_into_play,Seiya Suzuki out on a sacrifice fly to left fielder Miguel Andujar. Ian Happ scores. Kyle Tucker to 3rd.,2025,Sweeper
FF,683155,673548,No event,foul,Seiya Suzuki out on a sacrifice fly to left fielder Miguel Andujar. Ian Happ scores. Kyle Tucker to 3rd.,2025,4-Seam Fastball
FF,683155,673548,No event,swinging_strike,Seiya Suzuki out on a sacrifice fly to left fielder Miguel Andujar. Ian Happ scores. Kyle Tucker to 3rd.,2025,4-Seam Fastball
ST,683155,673548,No event,ball,Seiya Suzuki out on a sacrifice fly to left fielder Miguel Andujar. Ian Happ scores. Kyle Tucker to 3rd.,2025,Sweeper
FF,683155,673548,No event,ball,Seiya Suzuki out on a sacrifice fly to left fielder Miguel Andujar. Ian Happ scores. Kyle Tucker to 3rd.,2025,4-Seam Fastball
FF,683155,663656,double,hit_into_play,"Kyle Tucker doubles (3) on a ground ball to right fielder Lawrence Butler, deflected by first baseman Tyler Soderstrom. Ian Happ to 3rd.",2025,4-Seam Fastball
SI,683155,663656,No event,ball,"Kyle Tucker doubles (3) on a ground ball to right fielder Lawrence Butler, deflected by first baseman Tyler Soderstrom. Ian Happ to 3rd.",2025,Sinker
FF,683155,664023,walk,ball,Ian Happ walks.,2025,4-Seam Fastball
SI,683155,664023,No event,ball,Ian Happ walks.,2025,Sinker
SL,683155,664023,No event,ball,Ian Happ walks.,2025,Slider
FF,683155,664023,No event,foul_tip,Ian Happ walks.,2025,4-Seam Fastball
FF,683155,664023,No event,ball,Ian Happ walks.,2025,4-Seam Fastball
SL,683155,694815,double,hit_into_play,Jack Hurley doubles (1) on a sharp line drive to right fielder Seth Brown.,2025,Slider
FF,683155,694815,No event,foul,Jack Hurley doubles (1) on a sharp line drive to right fielder Seth Brown.,2025,4-Seam Fastball
FF,683155,694815,No event,swinging_strike,Jack Hurley doubles (1) on a sharp line drive to right fielder Seth Brown.,2025,4-Seam Fastball
FF,683155,695521,field_out,hit_into_play,Gavin Conticello flies out to left fielder Miguel Andujar.,2025,4-Seam Fastball
SL,683155,695521,No event,ball,Gavin Conticello flies out to left fielder Miguel Andujar.,2025,Slider
SL,683155,695521,No event,ball,Gavin Conticello flies out to left fielder Miguel Andujar.,2025,Slider
FF,683155,702679,field_out,hit_into_play,Demetrio Crisantes flies out to right fielder Seth Brown.,2025,4-Seam Fastball
SL,683155,702679,No event,called_strike,Demetrio Crisantes flies out to right fielder Seth Brown.,2025,Slider
FF,683155,702679,No event,ball,Demetrio Crisantes flies out to right fielder Seth Brown.,2025,4-Seam Fastball
SL,683155,645444,field_out,hit_into_play,"Jose Herrera grounds out, second baseman Max Muncy to first baseman Tyler Soderstrom.",2025,Slider
FF,683155,645444,No event,called_strike,"Jose Herrera grounds out, second baseman Max Muncy to first baseman Tyler Soderstrom.",2025,4-Seam Fastball
