pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
CH,607644,502671,field_out,hit_into_play,Paul Goldschmidt flies out sharply to left fielder Austin Hays.,2024,Changeup
CH,607644,502671,No event,called_strike,Paul Goldschmidt flies out sharply to left fielder Austin Hays.,2024,Changeup
CH,607644,502671,No event,blocked_ball,Paul Goldschmidt flies out sharply to left fielder Austin Hays.,2024,Changeup
SL,607644,663457,strikeout,called_strike,Lars Nootbaar called out on strikes.,2024,Slider
FF,607644,663457,No event,foul,Lars Nootbaar called out on strikes.,2024,4-Seam Fastball
FF,607644,663457,No event,ball,Lars Nootbaar called out on strikes.,2024,4-Seam Fastball
CH,607644,663457,No event,foul,Lars Nootbaar called out on strikes.,2024,Changeup
CH,607644,663457,No event,ball,Lars Nootbaar called out on strikes.,2024,Changeup
SL,607644,663457,No event,called_strike,Lars Nootbaar called out on strikes.,2024,Slider
SL,607644,663457,No event,ball,Lars Nootbaar called out on strikes.,2024,Slider
SL,607644,663457,No event,called_strike,Lars Nootbaar called out on strikes.,2024,Slider
FF,607644,691026,field_out,hit_into_play,Masyn Winn lines out to left fielder Austin Hays.,2024,4-Seam Fastball
FF,607644,691026,No event,foul,Masyn Winn lines out to left fielder Austin Hays.,2024,4-Seam Fastball
CH,607644,691026,No event,called_strike,Masyn Winn lines out to left fielder Austin Hays.,2024,Changeup
FF,607644,691026,No event,ball,Masyn Winn lines out to left fielder Austin Hays.,2024,4-Seam Fastball
FF,607644,672279,walk,ball,Michael Siani walks.,2024,4-Seam Fastball
FF,607644,672279,No event,foul,Michael Siani walks.,2024,4-Seam Fastball
SL,607644,672279,No event,foul,Michael Siani walks.,2024,Slider
SL,607644,672279,No event,ball,Michael Siani walks.,2024,Slider
CH,607644,672279,No event,ball,Michael Siani walks.,2024,Changeup
SL,607644,672279,No event,ball,Michael Siani walks.,2024,Slider
SL,607644,672279,No event,swinging_strike,Michael Siani walks.,2024,Slider
FF,607644,672279,No event,called_strike,Michael Siani walks.,2024,4-Seam Fastball
FF,607644,686780,field_out,hit_into_play,Pedro Pagés pops out to shortstop Gunnar Henderson.,2024,4-Seam Fastball
SL,607644,680977,force_out,hit_into_play,"Brendan Donovan grounds into a force out, first baseman Ryan O'Hearn to shortstop Gunnar Henderson.   Dylan Carlson out at 2nd.    Brendan Donovan to 1st.",2024,Slider
SL,607644,680977,No event,ball,"Brendan Donovan grounds into a force out, first baseman Ryan O'Hearn to shortstop Gunnar Henderson.   Dylan Carlson out at 2nd.    Brendan Donovan to 1st.",2024,Slider
FF,607644,666185,walk,ball,Dylan Carlson walks.,2024,4-Seam Fastball
CH,607644,666185,No event,ball,Dylan Carlson walks.,2024,Changeup
FF,607644,666185,No event,ball,Dylan Carlson walks.,2024,4-Seam Fastball
SL,607644,666185,No event,ball,Dylan Carlson walks.,2024,Slider
FF,607644,666185,No event,swinging_strike,Dylan Carlson walks.,2024,4-Seam Fastball
FF,607644,676475,field_out,hit_into_play,Alec Burleson pops out to catcher James McCann in foul territory.,2024,4-Seam Fastball
SL,607644,676475,No event,foul,Alec Burleson pops out to catcher James McCann in foul territory.,2024,Slider
CH,607644,676475,No event,foul,Alec Burleson pops out to catcher James McCann in foul territory.,2024,Changeup
KC,607644,676475,No event,foul,Alec Burleson pops out to catcher James McCann in foul territory.,2024,Knuckle Curve
FF,607644,676475,No event,foul,Alec Burleson pops out to catcher James McCann in foul territory.,2024,4-Seam Fastball
FF,607644,676475,No event,ball,Alec Burleson pops out to catcher James McCann in foul territory.,2024,4-Seam Fastball
FF,607644,676475,No event,foul,Alec Burleson pops out to catcher James McCann in foul territory.,2024,4-Seam Fastball
SL,607644,676475,No event,called_strike,Alec Burleson pops out to catcher James McCann in foul territory.,2024,Slider
CH,607644,571448,field_out,hit_into_play,Nolan Arenado pops out to shortstop Gunnar Henderson in foul territory.,2024,Changeup
CH,607644,571448,No event,ball,Nolan Arenado pops out to shortstop Gunnar Henderson in foul territory.,2024,Changeup
FF,607644,571448,No event,ball,Nolan Arenado pops out to shortstop Gunnar Henderson in foul territory.,2024,4-Seam Fastball
