pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,670167,681962,strikeout,swinging_strike,Vinny Capra strikes out swinging.,2025,4-Seam Fastball
FF,670167,681962,No event,foul,Vinny Capra strikes out swinging.,2025,4-Seam Fastball
ST,670167,681962,No event,foul,Vinny Capra strikes out swinging.,2025,Sweeper
ST,670167,681962,No event,ball,Vinny Capra strikes out swinging.,2025,Sweeper
SI,670167,681962,No event,called_strike,Vinny Capra strikes out swinging.,2025,Sinker
ST,670167,641343,strikeout,swinging_strike,Jake Bauers strikes out swinging.,2025,Sweeper
ST,670167,641343,No event,called_strike,Jake Bauers strikes out swinging.,2025,Sweeper
FF,670167,641343,No event,called_strike,Jake Bauers strikes out swinging.,2025,4-Seam Fastball
FC,670167,641343,No event,ball,Jake Bauers strikes out swinging.,2025,Cutter
SI,670167,686217,walk,ball,Sal Frelick walks.,2025,Sinker
FC,670167,686217,No event,foul,Sal Frelick walks.,2025,Cutter
FF,670167,686217,No event,foul,Sal Frelick walks.,2025,4-Seam Fastball
SI,670167,686217,No event,ball,Sal Frelick walks.,2025,Sinker
FF,670167,686217,No event,foul,Sal Frelick walks.,2025,4-Seam Fastball
ST,670167,686217,No event,ball,Sal Frelick walks.,2025,Sweeper
FF,670167,686217,No event,called_strike,Sal Frelick walks.,2025,4-Seam Fastball
FF,670167,686217,No event,foul,Sal Frelick walks.,2025,4-Seam Fastball
FC,670167,686217,No event,ball,Sal Frelick walks.,2025,Cutter
SI,670167,661388,field_out,hit_into_play,"William Contreras grounds out, pitcher John Schreiber to first baseman Salvador Perez.",2025,Sinker
ST,670167,656555,field_out,hit_into_play,Rhys Hoskins flies out to right fielder Hunter Renfroe.,2025,Sweeper
SI,670167,686217,field_out,hit_into_play,"Sal Frelick grounds out, pitcher John Schreiber to first baseman Mark Canha.",2025,Sinker
ST,670167,661388,field_out,hit_into_play,"William Contreras grounds out softly, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,Sweeper
FF,670167,661388,No event,swinging_strike,"William Contreras grounds out softly, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,4-Seam Fastball
ST,670167,661388,No event,called_strike,"William Contreras grounds out softly, shortstop Bobby Witt Jr. to first baseman Mark Canha.",2025,Sweeper
FC,670167,592885,home_run,hit_into_play,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
FC,670167,592885,No event,foul,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
FF,670167,592885,No event,ball,Christian Yelich homers (1) on a fly ball to right center field.,2025,4-Seam Fastball
FC,670167,592885,No event,foul,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
FC,670167,592885,No event,ball,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
SI,670167,592885,No event,foul,Christian Yelich homers (1) on a fly ball to right center field.,2025,Sinker
FC,670167,592885,No event,ball,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
FF,670167,592885,No event,called_strike,Christian Yelich homers (1) on a fly ball to right center field.,2025,4-Seam Fastball
FC,670167,592885,No event,called_strike,Christian Yelich homers (1) on a fly ball to right center field.,2025,Cutter
FF,670167,700932,strikeout,swinging_strike,Kyle Manzardo strikes out swinging.,2025,4-Seam Fastball
ST,670167,700932,No event,blocked_ball,Kyle Manzardo strikes out swinging.,2025,Sweeper
FF,670167,700932,No event,swinging_strike,Kyle Manzardo strikes out swinging.,2025,4-Seam Fastball
ST,670167,700932,No event,ball,Kyle Manzardo strikes out swinging.,2025,Sweeper
FC,670167,700932,No event,called_strike,Kyle Manzardo strikes out swinging.,2025,Cutter
SI,670167,657041,single,hit_into_play,Lane Thomas singles on a line drive to center fielder Kyle Isbel.,2025,Sinker
ST,670167,680757,field_out,hit_into_play,Steven Kwan flies out to left fielder Jonathan India.,2025,Sweeper
FF,670167,680757,No event,ball,Steven Kwan flies out to left fielder Jonathan India.,2025,4-Seam Fastball
ST,670167,680757,No event,called_strike,Steven Kwan flies out to left fielder Jonathan India.,2025,Sweeper
SI,670167,680757,No event,called_strike,Steven Kwan flies out to left fielder Jonathan India.,2025,Sinker
SI,670167,677587,field_out,hit_into_play,"Brayan Rocchio grounds out, second baseman Michael Massey to first baseman Salvador Perez.",2025,Sinker
SI,670167,677587,No event,foul,"Brayan Rocchio grounds out, second baseman Michael Massey to first baseman Salvador Perez.",2025,Sinker
FC,670167,682177,home_run,hit_into_play,Daniel Schneemann homers (1) on a fly ball to right center field.,2025,Cutter
FF,670167,682177,No event,ball,Daniel Schneemann homers (1) on a fly ball to right center field.,2025,4-Seam Fastball
FC,670167,682177,No event,called_strike,Daniel Schneemann homers (1) on a fly ball to right center field.,2025,Cutter
SI,670167,682177,No event,ball,Daniel Schneemann homers (1) on a fly ball to right center field.,2025,Sinker
FC,670167,682177,No event,called_strike,Daniel Schneemann homers (1) on a fly ball to right center field.,2025,Cutter
FF,670167,672356,strikeout,swinging_strike,Gabriel Arias strikes out swinging.,2025,4-Seam Fastball
SI,670167,672356,No event,foul,Gabriel Arias strikes out swinging.,2025,Sinker
SI,670167,672356,No event,blocked_ball,Gabriel Arias strikes out swinging.,2025,Sinker
ST,670167,672356,No event,ball,Gabriel Arias strikes out swinging.,2025,Sweeper
FF,670167,672356,No event,called_strike,Gabriel Arias strikes out swinging.,2025,4-Seam Fastball
ST,670167,672356,No event,ball,Gabriel Arias strikes out swinging.,2025,Sweeper
FC,670167,672356,No event,swinging_strike,Gabriel Arias strikes out swinging.,2025,Cutter
FF,670167,592626,field_out,hit_into_play,"Joc Pederson grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,4-Seam Fastball
FC,670167,592626,No event,ball,"Joc Pederson grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Cutter
SI,670167,592626,No event,called_strike,"Joc Pederson grounds out, second baseman Michael Massey to first baseman Mark Canha.",2025,Sinker
SI,670167,664238,field_out,hit_into_play,"Dylan Moore grounds out, shortstop Bobby Witt Jr. to first baseman Cavan Biggio.",2025,Sinker
FF,670167,664238,No event,foul,"Dylan Moore grounds out, shortstop Bobby Witt Jr. to first baseman Cavan Biggio.",2025,4-Seam Fastball
ST,670167,664238,No event,called_strike,"Dylan Moore grounds out, shortstop Bobby Witt Jr. to first baseman Cavan Biggio.",2025,Sweeper
ST,670167,641487,double,hit_into_play,J.P. Crawford doubles (1) on a sharp line drive to right fielder MJ Melendez.,2025,Sweeper
SI,670167,641487,No event,foul,J.P. Crawford doubles (1) on a sharp line drive to right fielder MJ Melendez.,2025,Sinker
FC,670167,641487,No event,called_strike,J.P. Crawford doubles (1) on a sharp line drive to right fielder MJ Melendez.,2025,Cutter
ST,670167,641487,No event,ball,J.P. Crawford doubles (1) on a sharp line drive to right fielder MJ Melendez.,2025,Sweeper
SI,670167,669392,grounded_into_double_play,hit_into_play,"Samad Taylor grounds into a double play, shortstop Bobby Witt Jr. to second baseman Harold Castro to first baseman Cavan Biggio. Miles Mastrobuoni out at 2nd. Samad Taylor out at 1st.",2025,Sinker
FF,670167,669392,No event,ball,"Samad Taylor grounds into a double play, shortstop Bobby Witt Jr. to second baseman Harold Castro to first baseman Cavan Biggio. Miles Mastrobuoni out at 2nd. Samad Taylor out at 1st.",2025,4-Seam Fastball
ST,670167,669392,No event,foul,"Samad Taylor grounds into a double play, shortstop Bobby Witt Jr. to second baseman Harold Castro to first baseman Cavan Biggio. Miles Mastrobuoni out at 2nd. Samad Taylor out at 1st.",2025,Sweeper
SI,670167,669392,No event,foul,"Samad Taylor grounds into a double play, shortstop Bobby Witt Jr. to second baseman Harold Castro to first baseman Cavan Biggio. Miles Mastrobuoni out at 2nd. Samad Taylor out at 1st.",2025,Sinker
SI,670167,669392,No event,called_strike,"Samad Taylor grounds into a double play, shortstop Bobby Witt Jr. to second baseman Harold Castro to first baseman Cavan Biggio. Miles Mastrobuoni out at 2nd. Samad Taylor out at 1st.",2025,Sinker
FF,670167,670156,single,hit_into_play,Miles Mastrobuoni singles on a ground ball to right fielder MJ Melendez.,2025,4-Seam Fastball
FC,670167,670156,No event,foul,Miles Mastrobuoni singles on a ground ball to right fielder MJ Melendez.,2025,Cutter
ST,670167,670156,No event,ball,Miles Mastrobuoni singles on a ground ball to right fielder MJ Melendez.,2025,Sweeper
SI,670167,670156,No event,ball,Miles Mastrobuoni singles on a ground ball to right fielder MJ Melendez.,2025,Sinker
FC,670167,670156,No event,called_strike,Miles Mastrobuoni singles on a ground ball to right fielder MJ Melendez.,2025,Cutter
SI,670167,669087,field_out,hit_into_play,Sam Huff lines out to first baseman Salvador Perez.,2025,Sinker
ST,670167,669087,No event,ball,Sam Huff lines out to first baseman Salvador Perez.,2025,Sweeper
ST,670167,669087,No event,ball,Sam Huff lines out to first baseman Salvador Perez.,2025,Sweeper
FC,670167,571875,field_out,hit_into_play,"Jake Lamb grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Cutter
FC,670167,571875,No event,called_strike,"Jake Lamb grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Cutter
SI,670167,682641,field_out,hit_into_play,"Luis Matos grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Sinker
SI,670167,682641,No event,ball,"Luis Matos grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Sinker
SI,670167,682641,No event,ball,"Luis Matos grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Sinker
ST,670167,682641,No event,ball,"Luis Matos grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,Sweeper
FF,670167,682641,No event,called_strike,"Luis Matos grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",2025,4-Seam Fastball
FF,670167,677587,field_out,hit_into_play,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,4-Seam Fastball
SI,670167,677587,No event,foul,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,Sinker
FC,670167,677587,No event,ball,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,Cutter
SI,670167,677587,No event,ball,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,Sinker
FC,670167,677587,No event,swinging_strike,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,Cutter
SI,670167,677587,No event,ball,"Brayan Rocchio grounds out, second baseman Jack Pineda to first baseman Vinnie Pasquantino.",2025,Sinker
FC,670167,700932,home_run,hit_into_play,Kyle Manzardo homers (3) on a fly ball to right field. Carlos Santana scores.,2025,Cutter
SI,670167,700932,No event,foul,Kyle Manzardo homers (3) on a fly ball to right field. Carlos Santana scores.,2025,Sinker
ST,670167,700932,No event,called_strike,Kyle Manzardo homers (3) on a fly ball to right field. Carlos Santana scores.,2025,Sweeper
ST,670167,700932,No event,ball,Kyle Manzardo homers (3) on a fly ball to right field. Carlos Santana scores.,2025,Sweeper
ST,670167,700932,No event,ball,Kyle Manzardo homers (3) on a fly ball to right field. Carlos Santana scores.,2025,Sweeper
FF,670167,671289,strikeout,swinging_strike,Tyler Freeman strikes out swinging.,2025,4-Seam Fastball
ST,670167,671289,No event,ball,Tyler Freeman strikes out swinging.,2025,Sweeper
SI,670167,671289,No event,foul,Tyler Freeman strikes out swinging.,2025,Sinker
ST,670167,671289,No event,ball,Tyler Freeman strikes out swinging.,2025,Sweeper
ST,670167,671289,No event,called_strike,Tyler Freeman strikes out swinging.,2025,Sweeper
SI,670167,671289,No event,ball,Tyler Freeman strikes out swinging.,2025,Sinker
SI,670167,467793,force_out,hit_into_play,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,Sinker
SI,670167,467793,No event,ball,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,Sinker
FF,670167,467793,No event,foul,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,4-Seam Fastball
ST,670167,467793,No event,ball,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,Sweeper
FF,670167,467793,No event,ball,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,4-Seam Fastball
SI,670167,467793,No event,called_strike,"Carlos Santana grounds into a force out, second baseman Jack Pineda to shortstop Bobby Witt Jr. Lane Thomas out at 2nd. Carlos Santana to 1st.",2025,Sinker
FF,670167,657041,walk,ball,Lane Thomas walks.,2025,4-Seam Fastball
FF,670167,657041,No event,ball,Lane Thomas walks.,2025,4-Seam Fastball
SI,670167,657041,No event,ball,Lane Thomas walks.,2025,Sinker
SI,670167,657041,No event,ball,Lane Thomas walks.,2025,Sinker
SI,670167,592348,strikeout,swinging_strike,Niko Goodrum strikes out swinging.,2025,Sinker
FF,670167,592348,No event,ball,Niko Goodrum strikes out swinging.,2025,4-Seam Fastball
FC,670167,592348,No event,swinging_strike,Niko Goodrum strikes out swinging.,2025,Cutter
CH,670167,592348,No event,called_strike,Niko Goodrum strikes out swinging.,2025,Changeup
CH,670167,663604,single,hit_into_play,Brandon Lockridge singles on a soft ground ball to third baseman Maikel Garcia. Connor Joe to 3rd.,2025,Changeup
CH,670167,664954,field_out,hit_into_play,Brett Sullivan lines out to left fielder Dairon Blanco.,2025,Changeup
CH,670167,664954,No event,foul,Brett Sullivan lines out to left fielder Dairon Blanco.,2025,Changeup
SL,670167,664954,No event,called_strike,Brett Sullivan lines out to left fielder Dairon Blanco.,2025,Slider
CH,670167,656582,double,hit_into_play,Connor Joe doubles (4) on a line drive to center fielder Drew Waters.,2025,Changeup
FC,670167,682679,field_out,hit_into_play,Dayan Frias pops out to first baseman Salvador Perez.,2025,Cutter
ST,670167,682679,No event,called_strike,Dayan Frias pops out to first baseman Salvador Perez.,2025,Sweeper
FF,670167,687627,strikeout,swinging_strike,Kody Huff strikes out swinging.,2025,4-Seam Fastball
SI,670167,687627,No event,foul,Kody Huff strikes out swinging.,2025,Sinker
SI,670167,687627,No event,called_strike,Kody Huff strikes out swinging.,2025,Sinker
SI,670167,687627,No event,ball,Kody Huff strikes out swinging.,2025,Sinker
SI,670167,687627,No event,ball,Kody Huff strikes out swinging.,2025,Sinker
FF,670167,692216,single,hit_into_play,C.J. Kayfus singles on a ground ball to left fielder John Rave. Cooper Ingle scores. Yordys Valdes to 2nd.,2025,4-Seam Fastball
FC,670167,692216,No event,foul,C.J. Kayfus singles on a ground ball to left fielder John Rave. Cooper Ingle scores. Yordys Valdes to 2nd.,2025,Cutter
FF,670167,692216,No event,swinging_strike,C.J. Kayfus singles on a ground ball to left fielder John Rave. Cooper Ingle scores. Yordys Valdes to 2nd.,2025,4-Seam Fastball
