pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
SL,680742,807643,single,hit_into_play,Alfredo Alcantara singles on a line drive to right fielder Diego Hernandez. Connor Burns scores. Stuart Fairchild scores.,2025,Slider
CU,680742,807643,No event,blocked_ball,Alfredo Alcantara singles on a line drive to right fielder Diego Hernandez. Connor Burns scores. Stuart Fairchild scores.,2025,Curveball
SL,680742,807643,No event,ball,Alfredo Alcantara singles on a line drive to right fielder Diego Hernandez. Connor Burns scores. Stuart Fairchild scores.,2025,Slider
CU,680742,807643,No event,called_strike,Alfredo Alcantara singles on a line drive to right fielder Diego Hernandez. Connor Burns scores. Stuart Fairchild scores.,2025,Curveball
FF,680742,656413,double,hit_into_play,Stuart Fairchild doubles (2) on a line drive to right fielder Diego Hernandez. Blake Dunn scores. Connor Burns to 3rd.,2025,4-Seam Fastball
SL,680742,656413,No event,blocked_ball,Stuart Fairchild doubles (2) on a line drive to right fielder Diego Hernandez. Blake Dunn scores. Connor Burns to 3rd.,2025,Slider
FF,680742,656413,No event,swinging_strike,Stuart Fairchild doubles (2) on a line drive to right fielder Diego Hernandez. Blake Dunn scores. Connor Burns to 3rd.,2025,4-Seam Fastball
SL,680742,694829,walk,ball,Connor Burns walks.,2025,Slider
SL,680742,694829,No event,foul,Connor Burns walks.,2025,Slider
FF,680742,694829,No event,ball,Connor Burns walks.,2025,4-Seam Fastball
SL,680742,694829,No event,ball,Connor Burns walks.,2025,Slider
SL,680742,694829,No event,called_strike,Connor Burns walks.,2025,Slider
SL,680742,694829,No event,called_strike,Connor Burns walks.,2025,Slider
FF,680742,694829,No event,ball,Connor Burns walks.,2025,4-Seam Fastball
FF,680742,694362,double,hit_into_play,Blake Dunn doubles (2) on a sharp line drive to center fielder Erick Torres. Francisco Urbaez scores.,2025,4-Seam Fastball
FF,680742,694362,No event,ball,Blake Dunn doubles (2) on a sharp line drive to center fielder Erick Torres. Francisco Urbaez scores.,2025,4-Seam Fastball
SL,680742,694362,No event,foul,Blake Dunn doubles (2) on a sharp line drive to center fielder Erick Torres. Francisco Urbaez scores.,2025,Slider
SL,680742,694362,No event,called_strike,Blake Dunn doubles (2) on a sharp line drive to center fielder Erick Torres. Francisco Urbaez scores.,2025,Slider
