pitch_type,pitcher,batter,events,description,des,game_year,pitch_name
FF,686563,694384,strikeout,called_strike,Nolan Schanuel called out on strikes.,2025,4-Seam Fastball
FF,686563,694384,No event,called_strike,Nolan Schanuel called out on strikes.,2025,4-Seam Fastball
SI,686563,694384,No event,called_strike,Nolan Schanuel called out on strikes.,2025,Sinker
FC,686563,694384,No event,ball,Nolan Schanuel called out on strikes.,2025,Cutter
SI,686563,694384,No event,ball,Nolan Schanuel called out on strikes.,2025,Sinker
FC,686563,694384,No event,ball,Nolan Schanuel called out on strikes.,2025,Cutter
FF,686563,621493,field_out,hit_into_play,Taylor Ward flies out to center fielder Luis Robert Jr.,2025,4-Seam Fastball
CH,686563,621493,No event,foul,Taylor Ward flies out to center fielder Luis Robert Jr.,2025,Changeup
FF,686563,621493,No event,ball,Taylor Ward flies out to center fielder Luis Robert Jr.,2025,4-Seam Fastball
FC,686563,621493,No event,called_strike,Taylor Ward flies out to center fielder Luis Robert Jr.,2025,Cutter
FC,686563,621028,field_out,hit_into_play,Kevin Newman flies out to right fielder Brooks Baldwin.,2025,Cutter
CH,686563,621028,No event,foul,Kevin Newman flies out to right fielder Brooks Baldwin.,2025,Changeup
FF,686563,621028,No event,foul,Kevin Newman flies out to right fielder Brooks Baldwin.,2025,4-Seam Fastball
FF,686563,621028,No event,foul,Kevin Newman flies out to right fielder Brooks Baldwin.,2025,4-Seam Fastball
SI,686563,621028,No event,foul_bunt,Kevin Newman flies out to right fielder Brooks Baldwin.,2025,Sinker
ST,686563,666176,single,hit_into_play,"Jo Adell singles on a ground ball to second baseman Lenyn Sosa, deflected by shortstop Jacob Amaya.",2025,Sweeper
SI,686563,650859,field_out,hit_into_play,Luis Rengifo grounds out to first baseman Andrew Vaughn.,2025,Sinker
FC,686563,650859,No event,foul,Luis Rengifo grounds out to first baseman Andrew Vaughn.,2025,Cutter
FC,686563,650859,No event,called_strike,Luis Rengifo grounds out to first baseman Andrew Vaughn.,2025,Cutter
CH,686563,681351,strikeout,swinging_strike,Logan O'Hoppe strikes out swinging.,2025,Changeup
SI,686563,681351,No event,swinging_strike,Logan O'Hoppe strikes out swinging.,2025,Sinker
SI,686563,681351,No event,called_strike,Logan O'Hoppe strikes out swinging.,2025,Sinker
ST,686563,681351,No event,ball,Logan O'Hoppe strikes out swinging.,2025,Sweeper
SI,686563,660162,walk,ball,Yoán Moncada walks.,2025,Sinker
FC,686563,660162,No event,ball,Yoán Moncada walks.,2025,Cutter
CH,686563,660162,No event,ball,Yoán Moncada walks.,2025,Changeup
ST,686563,660162,No event,ball,Yoán Moncada walks.,2025,Sweeper
FF,686563,624585,field_out,hit_into_play,Jorge Soler pops out to second baseman Lenyn Sosa.,2025,4-Seam Fastball
CH,686563,624585,No event,ball,Jorge Soler pops out to second baseman Lenyn Sosa.,2025,Changeup
ST,686563,624585,No event,called_strike,Jorge Soler pops out to second baseman Lenyn Sosa.,2025,Sweeper
FC,686563,624585,No event,called_strike,Jorge Soler pops out to second baseman Lenyn Sosa.,2025,Cutter
FF,686563,545361,strikeout,swinging_strike,Mike Trout strikes out swinging.,2025,4-Seam Fastball
FC,686563,545361,No event,swinging_strike,Mike Trout strikes out swinging.,2025,Cutter
ST,686563,545361,No event,ball,Mike Trout strikes out swinging.,2025,Sweeper
CH,686563,545361,No event,ball,Mike Trout strikes out swinging.,2025,Changeup
SI,686563,545361,No event,called_strike,Mike Trout strikes out swinging.,2025,Sinker
SI,686563,694384,grounded_into_double_play,hit_into_play,"Nolan Schanuel grounds into a double play, shortstop Jacob Amaya to first baseman Andrew Vaughn. Taylor Ward out at 2nd. Nolan Schanuel out at 1st.",2025,Sinker
FC,686563,694384,No event,ball,"Nolan Schanuel grounds into a double play, shortstop Jacob Amaya to first baseman Andrew Vaughn. Taylor Ward out at 2nd. Nolan Schanuel out at 1st.",2025,Cutter
FC,686563,694384,No event,swinging_strike,"Nolan Schanuel grounds into a double play, shortstop Jacob Amaya to first baseman Andrew Vaughn. Taylor Ward out at 2nd. Nolan Schanuel out at 1st.",2025,Cutter
FC,686563,694384,No event,ball,"Nolan Schanuel grounds into a double play, shortstop Jacob Amaya to first baseman Andrew Vaughn. Taylor Ward out at 2nd. Nolan Schanuel out at 1st.",2025,Cutter
SI,686563,621493,single,hit_into_play,Taylor Ward singles on a ground ball to left fielder Andrew Benintendi.,2025,Sinker
ST,686563,621493,No event,ball,Taylor Ward singles on a ground ball to left fielder Andrew Benintendi.,2025,Sweeper
SI,686563,621028,grounded_into_double_play,hit_into_play,"Kevin Newman grounds into a double play, pitcher Jonathan Cannon to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Jo Adell out at 2nd. Kevin Newman out at 1st.",2025,Sinker
FC,686563,666176,walk,ball,Jo Adell walks. Luis Rengifo to 2nd.,2025,Cutter
SI,686563,666176,No event,called_strike,Jo Adell walks. Luis Rengifo to 2nd.,2025,Sinker
SI,686563,666176,No event,blocked_ball,Jo Adell walks. Luis Rengifo to 2nd.,2025,Sinker
SI,686563,666176,No event,ball,Jo Adell walks. Luis Rengifo to 2nd.,2025,Sinker
ST,686563,666176,No event,ball,Jo Adell walks. Luis Rengifo to 2nd.,2025,Sweeper
FC,686563,650859,single,hit_into_play,Luis Rengifo singles on a ground ball to left fielder Andrew Benintendi.,2025,Cutter
SI,686563,650859,No event,called_strike,Luis Rengifo singles on a ground ball to left fielder Andrew Benintendi.,2025,Sinker
ST,686563,681351,field_out,hit_into_play,Logan O'Hoppe flies out sharply to left fielder Andrew Benintendi.,2025,Sweeper
ST,686563,660162,strikeout,called_strike,Yoán Moncada called out on strikes.,2025,Sweeper
SI,686563,660162,No event,foul,Yoán Moncada called out on strikes.,2025,Sinker
